min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.64,13.0,3.60,1.85,1.50,1.94,1.72,1.50,1.41,2.70,1,1,1,3.50,0,0
2,2.40,1.64,13.0,3.60,1.85,1.50,1.94,1.72,1.50,1.41,2.70,1,1,1,3.50,0,0
3,2.40,1.64,13.0,3.60,1.85,1.50,1.94,1.72,1.50,1.41,2.70,1,1,1,3.50,0,0
4,2.40,1.64,13.0,3.60,1.85,1.50,1.94,1.72,1.50,1.41,2.70,1,1,1,3.50,0,0
5,2.40,1.64,13.0,3.60,1.85,1.50,1.94,1.72,1.50,1.41,2.70,1,1,1,3.50,0,0
6,2.40,1.64,13.0,3.60,1.85,1.50,1.91,1.74,1.50,1.40,2.70,1,1,1,3.50,0,0
7,2.40,1.65,12.0,3.55,1.89,1.50,1.86,1.79,1.50,1.40,2.75,1,1,1,3.50,0,0
8,2.40,1.65,12.0,3.50,1.89,1.50,1.83,1.81,1.50,1.39,2.80,1,1,1,3.45,0,0
9,2.40,1.66,12.0,3.55,1.90,1.50,1.81,1.83,1.50,1.38,2.85,1,1,1,3.45,0,0
10,2.40,1.66,12.0,3.55,1.91,1.50,1.79,1.86,1.50,1.37,2.85,1,1,1,3.40,0,0
11,2.40,1.66,12.0,9.00,1.29,2.50,1.76,1.88,0.50,2.90,1.37,3.50,1.90,1.75,4.85,1,0
12,2.40,1.66,12.0,3.60,1.93,2.50,1.75,1.90,1.50,2.85,1.37,4.50,1.85,1.79,3.40,1,1
13,2.40,1.66,12.0,3.55,1.93,2.50,1.72,1.93,1.50,2.80,1.38,4.50,1.82,1.83,3.35,1,1
14,2.40,1.66,12.0,3.55,1.94,2.50,1.70,1.96,1.50,2.80,1.39,4.50,1.79,1.86,3.35,1,1
15,2.40,1.66,12.0,3.55,1.95,2.50,1.68,1.99,1.50,2.75,1.40,4.50,1.76,1.89,3.30,1,1
16,2.40,1.66,12.0,3.55,1.96,2.50,1.66,2.00,1.50,2.70,1.41,4.50,1.73,1.93,3.30,1,1
17,2.40,1.66,12.0,4.05,1.80,2.50,1.69,1.99,1.50,2.40,1.50,4.50,1.65,2.00,3.30,1,1
18,2.40,1.66,12.0,4.10,1.81,2.50,1.67,2.00,1.50,2.35,1.51,4.50,1.62,2.10,3.30,1,1
19,2.40,1.66,12.0,12.0,1.22,3.50,1.65,2.00,1.50,2.35,1.51,5.50,1.62,2.10,5.00,2,1
20,2.40,1.66,12.0,12.0,1.22,3.50,1.63,2.05,1.50,2.30,1.53,5.50,1.60,2.10,5.00,2,1
21,2.40,1.66,12.0,12.0,1.21,3.50,1.61,2.10,1.50,2.30,1.54,5.50,1.58,2.20,5.00,2,1
22,2.40,1.66,12.0,12.0,1.21,3.50,1.59,2.15,1.50,2.25,1.55,5.50,1.55,2.20,5.00,2,1
23,2.40,1.66,12.0,13.0,1.22,3.50,1.58,2.20,1.50,2.20,1.56,5.50,1.54,2.30,5.00,2,1
24,2.40,1.66,12.0,13.0,1.21,3.50,1.56,2.20,1.50,2.20,1.57,5.50,1.52,2.30,5.00,2,1
25,2.40,1.66,12.0,13.0,1.21,3.50,1.54,2.25,1.50,2.15,1.59,5.50,1.50,2.40,5.00,2,1
26,2.40,1.66,12.0,13.0,1.21,3.50,1.53,2.30,1.50,2.10,1.60,5.50,1.48,2.45,5.00,2,1
27,2.40,1.66,12.0,12.0,1.23,3.50,1.57,2.20,1.50,2.30,1.53,5.50,1.55,2.25,4.95,2,1
28,2.40,1.66,12.0,12.0,1.23,3.50,1.56,2.20,1.50,2.25,1.55,5.50,1.53,2.30,4.90,2,1
29,2.40,1.66,12.0,12.0,1.23,3.50,1.54,2.25,1.50,2.20,1.56,5.50,1.51,2.35,4.90,2,1
30,2.40,1.66,12.0,12.0,1.23,3.50,1.52,2.30,1.50,2.20,1.57,5.50,1.49,2.40,4.90,2,1
31,2.40,1.66,12.0,12.0,1.23,3.50,1.51,2.35,1.50,2.15,1.59,5.50,1.47,2.45,4.90,2,1
32,2.40,1.66,12.0,13.0,1.23,3.50,1.49,2.40,1.50,2.10,1.60,4.50,2.50,1.46,4.85,2,1
33,2.40,1.66,12.0,13.0,1.23,3.50,1.48,2.45,1.50,2.10,1.62,4.50,2.50,1.47,4.85,2,1
34,2.40,1.66,12.0,13.0,1.23,3.50,1.46,2.50,1.50,2.05,1.63,4.50,2.40,1.49,4.85,2,1
35,2.40,1.66,12.0,13.0,1.23,3.50,1.45,2.55,1.50,2.05,1.65,4.50,2.35,1.51,4.80,2,1
36,2.40,1.66,12.0,13.0,1.23,3.50,1.43,2.60,1.50,2.00,1.67,4.50,2.30,1.53,4.80,2,1
37,2.40,1.66,12.0,13.0,1.23,3.50,1.42,2.65,1.50,1.99,1.68,4.50,2.25,1.55,4.80,2,1
38,2.40,1.66,12.0,14.0,1.22,3.50,1.40,2.70,1.50,1.96,1.71,4.50,2.20,1.57,4.80,2,1
39,2.40,1.66,12.0,14.0,1.23,3.50,1.39,2.80,1.50,1.93,1.73,4.50,2.15,1.59,4.80,2,1
40,2.40,1.66,12.0,14.0,1.22,3.50,1.38,2.85,1.50,1.90,1.75,4.50,2.10,1.62,4.75,2,1
41,2.40,1.66,12.0,14.0,1.22,2.50,2.90,1.36,1.50,1.87,1.77,4.50,2.05,1.65,4.75,2,1
42,2.40,1.66,12.0,14.0,1.22,2.50,2.85,1.37,1.50,1.85,1.79,4.50,2.00,1.67,4.75,2,1
43,2.40,1.66,12.0,15.0,1.22,2.50,2.80,1.38,1.50,1.82,1.82,4.50,1.97,1.70,4.75,2,1
44,2.40,1.66,12.0,15.0,1.22,2.50,2.75,1.40,1.50,1.80,1.84,4.50,1.92,1.73,4.75,2,1
45,2.40,1.66,12.0,38.0,1.03,3.50,2.70,1.41,1.50,1.77,1.87,5.50,1.89,1.76,15.0,3,1
46,2.40,1.66,12.0,38.0,1.03,3.50,2.60,1.43,1.50,1.75,1.90,5.50,1.84,1.80,15.0,3,1
47,2.40,1.66,12.0,42.0,1.03,3.50,2.55,1.45,1.50,1.72,1.93,5.50,1.80,1.84,16.0,3,1
48,2.40,1.66,12.0,42.0,1.03,3.50,2.50,1.46,1.50,1.70,1.97,5.50,1.76,1.89,16.0,3,1
49,2.40,1.66,12.0,45.0,1.03,3.50,2.45,1.48,1.50,1.68,2.00,5.50,1.72,1.94,16.0,3,1
50,2.40,1.66,12.0,14.0,1.19,3.50,2.40,1.50,2.50,1.66,2.00,6.50,1.68,1.99,5.00,3,2
51,2.40,1.66,12.0,14.0,1.19,3.50,2.35,1.51,2.50,1.64,2.05,6.50,1.65,2.00,5.00,3,2
52,2.40,1.66,12.0,14.0,1.18,3.50,2.30,1.53,2.50,1.62,2.10,6.50,1.62,2.10,5.00,3,2
53,2.40,1.66,12.0,15.0,1.18,3.50,2.25,1.55,2.50,1.59,2.15,6.50,1.59,2.15,5.00,3,2
54,2.40,1.66,12.0,15.0,1.18,3.50,2.20,1.57,2.50,1.58,2.20,6.50,1.56,2.20,5.00,3,2
55,2.40,1.66,12.0,15.0,1.18,3.50,2.15,1.59,2.50,1.56,2.20,6.50,1.53,2.30,5.00,3,2
56,2.40,1.66,12.0,16.0,1.17,3.50,2.10,1.62,2.50,1.54,2.25,6.50,1.51,2.35,5.00,3,2
57,2.40,1.66,12.0,16.0,1.17,3.50,2.05,1.64,2.50,1.52,2.30,6.50,1.48,2.45,5.00,3,2
58,2.40,1.66,12.0,16.0,1.16,3.50,2.00,1.67,2.50,1.51,2.35,6.50,1.46,2.50,5.00,3,2
59,2.40,1.66,12.0,16.0,1.16,3.50,1.97,1.70,2.50,1.49,2.40,6.50,1.44,2.60,5.00,3,2
60,2.40,1.66,12.0,17.0,1.16,3.50,1.93,1.73,2.50,1.47,2.50,6.50,1.41,2.70,5.00,3,2
61,2.40,1.66,12.0,17.0,1.15,3.50,1.88,1.77,2.50,1.45,2.50,6.50,1.38,2.80,5.00,3,2
62,2.40,1.66,12.0,18.0,1.15,3.50,1.84,1.81,2.50,1.44,2.60,5.50,2.90,1.36,5.00,3,2
63,2.40,1.66,12.0,18.0,1.14,3.50,1.80,1.84,2.50,1.42,2.65,5.50,2.80,1.38,5.00,3,2
64,2.40,1.66,12.0,19.0,1.14,3.50,1.76,1.89,2.50,1.41,2.70,5.50,2.70,1.41,5.00,3,2
65,2.40,1.66,12.0,5.00,2.45,3.50,1.78,1.87,3.50,1.34,3.00,6.50,2.60,1.43,2.05,3,3
66,2.40,1.66,12.0,5.00,2.50,3.50,1.74,1.92,3.50,1.33,3.05,6.50,2.50,1.46,2.00,3,3
67,2.40,1.66,12.0,5.00,2.55,3.50,1.70,1.97,3.50,1.31,3.15,6.50,2.45,1.48,1.97,3,3
68,2.40,1.66,12.0,5.00,2.60,3.50,1.66,2.00,3.50,1.30,3.20,6.50,2.35,1.51,1.93,3,3
69,2.40,1.66,12.0,5.00,2.65,3.50,1.63,2.05,3.50,1.28,3.30,6.50,2.30,1.54,1.89,3,3
70,2.40,1.66,12.0,5.00,2.70,3.50,1.59,2.15,3.50,1.26,3.40,6.50,2.20,1.57,1.84,3,3
71,2.40,1.66,12.0,5.00,2.80,3.50,1.56,2.20,3.50,1.25,3.50,6.50,2.10,1.61,1.80,3,3
72,2.40,1.66,12.0,5.50,2.85,3.50,1.53,2.30,3.50,1.23,3.65,6.50,2.00,1.65,1.76,3,3
73,2.40,1.66,12.0,6.50,2.70,3.50,1.55,2.25,3.50,1.16,4.25,6.50,1.97,1.70,1.73,3,3
74,2.40,1.66,12.0,7.00,2.75,3.50,1.52,2.30,3.50,1.15,4.40,6.50,1.90,1.75,1.69,3,3
75,2.40,1.66,12.0,7.00,2.85,3.50,1.49,2.40,3.50,1.13,4.60,6.50,1.83,1.81,1.65,3,3
76,2.40,1.66,12.0,7.00,2.90,3.50,1.46,2.50,3.50,1.12,4.80,6.50,1.76,1.88,1.61,3,3
