min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
13,1.64,2.30,13.0,1.28,8.50,0.50,2.80,1.34,2.50,1.66,1.93,3.50,1.79,1.77,4.60,0,1
14,1.64,2.30,13.0,1.28,9.00,0.50,2.80,1.34,2.50,1.64,1.96,3.50,1.76,1.80,4.55,0,1
15,1.64,2.30,13.0,1.28,9.00,0.50,2.75,1.35,2.50,1.62,2.00,3.50,1.73,1.83,4.55,0,1
16,1.64,2.30,13.0,1.28,9.00,0.50,2.70,1.36,2.50,1.60,2.00,3.50,1.71,1.87,4.50,0,1
17,1.64,2.30,13.0,1.28,9.00,0.50,2.70,1.37,2.50,1.59,2.05,3.50,1.68,1.90,4.50,0,1
18,1.64,2.30,13.0,1.27,9.00,0.50,2.65,1.38,2.50,1.57,2.05,3.50,1.65,1.95,4.50,0,1
19,1.64,2.30,13.0,1.27,9.00,0.50,2.60,1.39,2.50,1.55,2.10,3.50,1.62,1.99,4.50,0,1
20,1.64,2.30,13.0,1.27,9.00,0.50,2.60,1.40,2.50,1.54,2.15,3.50,1.60,2.00,4.50,0,1
21,1.64,2.30,13.0,1.27,9.50,0.50,2.55,1.41,2.50,1.53,2.15,3.50,1.58,2.05,4.50,0,1
22,1.64,2.30,13.0,1.27,9.50,0.50,2.50,1.42,2.50,1.51,2.20,3.50,1.56,2.10,4.45,0,1
23,1.64,2.30,13.0,1.27,9.50,0.50,2.45,1.43,2.50,1.49,2.25,3.50,1.53,2.15,4.45,0,1
24,1.64,2.30,13.0,1.27,9.50,0.50,2.40,1.44,2.50,1.48,2.30,3.50,1.51,2.20,4.40,0,1
25,1.64,2.30,13.0,1.27,9.50,0.50,2.40,1.45,2.50,1.46,2.35,3.50,1.49,2.25,4.40,0,1
26,1.64,2.30,13.0,1.27,10.0,0.50,2.35,1.46,2.50,1.45,2.40,3.50,1.48,2.30,4.40,0,1
27,1.64,2.30,13.0,1.27,10.0,0.50,2.30,1.47,2.50,1.44,2.40,3.50,1.46,2.35,4.40,0,1
28,1.64,2.30,13.0,2.05,3.40,1.50,2.30,1.48,2.50,1.43,2.45,4.50,1.43,2.45,2.95,1,1
29,1.64,2.30,13.0,2.10,3.40,1.50,2.25,1.49,2.50,1.41,2.50,3.50,2.45,1.43,2.90,1,1
30,1.64,2.30,13.0,2.10,3.45,1.50,2.20,1.51,2.50,1.40,2.55,3.50,2.40,1.44,2.90,1,1
31,1.64,2.30,13.0,2.35,3.05,1.50,2.35,1.46,1.50,2.80,1.34,3.50,2.35,1.46,2.80,1,1
32,1.64,2.30,13.0,2.35,3.05,1.50,2.30,1.47,1.50,2.80,1.34,3.50,2.30,1.48,2.80,1,1
33,1.64,2.30,13.0,2.35,3.10,1.50,2.30,1.48,1.50,2.75,1.35,3.50,2.25,1.50,2.80,1,1
34,1.64,2.30,13.0,2.40,3.10,1.50,2.25,1.50,1.50,2.70,1.37,3.50,2.20,1.52,2.75,1,1
35,1.64,2.30,13.0,2.40,3.10,1.50,2.20,1.51,1.50,2.65,1.38,3.50,2.15,1.54,2.70,1,1
36,1.64,2.30,13.0,2.40,3.10,1.50,2.20,1.52,1.50,2.60,1.39,3.50,2.10,1.56,2.70,1,1
37,1.64,2.30,13.0,2.40,3.10,1.50,2.15,1.54,1.50,2.55,1.40,3.50,2.05,1.59,2.70,1,1
38,1.64,2.30,13.0,2.45,3.10,1.50,2.10,1.55,1.50,2.50,1.42,3.50,2.00,1.62,2.65,1,1
39,1.64,2.30,13.0,2.45,3.15,1.50,2.05,1.57,1.50,2.45,1.43,3.50,1.96,1.64,2.60,1,1
40,1.64,2.30,13.0,2.45,3.15,1.50,2.05,1.58,1.50,2.40,1.44,3.50,1.91,1.67,2.60,1,1
41,1.64,2.30,13.0,2.50,3.15,1.50,2.00,1.60,1.50,2.35,1.46,3.50,1.87,1.70,2.55,1,1
42,1.64,2.30,13.0,2.50,3.15,1.50,2.00,1.62,1.50,2.30,1.47,3.50,1.83,1.74,2.55,1,1
43,1.64,2.30,13.0,2.50,3.20,1.50,1.97,1.64,1.50,2.30,1.49,3.50,1.79,1.77,2.50,1,1
44,1.64,2.30,13.0,2.55,3.20,1.50,1.93,1.66,1.50,2.25,1.50,3.50,1.76,1.81,2.50,1,1
45,1.64,2.30,13.0,2.55,3.20,1.50,1.90,1.68,1.50,2.20,1.52,3.50,1.72,1.85,2.45,1,1
46,1.64,2.30,13.0,2.55,3.25,1.50,1.87,1.71,1.50,2.15,1.53,3.50,1.69,1.89,2.40,1,1
47,1.64,2.30,13.0,2.60,3.25,1.50,1.84,1.73,1.50,2.10,1.55,3.50,1.65,1.95,2.40,1,1
48,1.64,2.30,13.0,2.60,3.25,1.50,1.81,1.76,1.50,2.05,1.57,3.50,1.62,2.00,2.35,1,1
49,1.64,2.30,13.0,2.65,3.30,1.50,1.78,1.79,1.50,2.00,1.59,3.50,1.59,2.00,2.35,1,1
50,1.64,2.30,13.0,2.65,3.30,1.50,1.75,1.82,1.50,2.00,1.61,3.50,1.56,2.10,2.30,1,1
51,1.64,2.30,13.0,2.65,3.35,1.50,1.72,1.85,1.50,1.97,1.63,3.50,1.54,2.15,2.30,1,1
52,1.64,2.30,13.0,2.70,3.35,1.50,1.70,1.88,1.50,1.93,1.66,3.50,1.51,2.20,2.25,1,1
53,1.64,2.30,13.0,2.70,3.40,1.50,1.67,1.91,1.50,1.89,1.69,3.50,1.48,2.30,2.20,1,1
54,1.64,2.30,13.0,2.75,3.40,1.50,1.65,1.95,1.50,1.86,1.71,3.50,1.46,2.35,2.20,1,1
55,1.64,2.30,13.0,2.80,3.45,1.50,1.63,1.99,1.50,1.82,1.75,3.50,1.44,2.40,2.15,1,1
56,1.64,2.30,13.0,2.05,5.00,1.50,1.37,2.65,1.50,2.15,1.54,3.50,1.42,2.50,2.20,1,1
57,1.64,2.30,13.0,2.10,5.50,1.50,1.36,2.70,1.50,2.10,1.56,3.50,1.39,2.60,2.15,1,1
58,1.64,2.30,13.0,2.10,5.50,1.50,1.35,2.80,1.50,2.05,1.58,3.50,1.37,2.65,2.10,1,1
59,1.64,2.30,13.0,2.10,5.00,1.50,1.38,2.60,1.50,2.10,1.56,3.50,1.40,2.55,2.20,1,1
60,1.64,2.30,13.0,2.15,5.00,1.50,1.37,2.70,1.50,2.05,1.59,3.50,1.38,2.65,2.15,1,1
61,1.64,2.30,13.0,2.20,5.00,1.50,1.36,2.75,1.50,2.00,1.61,3.50,1.36,2.70,2.10,1,1
62,1.64,2.30,13.0,2.20,5.00,1.50,1.34,2.80,1.50,1.95,1.65,3.50,1.34,2.80,2.05,1,1
63,1.64,2.30,13.0,2.25,5.00,1.50,1.33,2.85,1.50,1.90,1.68,1,1,1,2.00,1,1
64,1.64,2.30,13.0,2.30,5.50,1.50,1.31,2.95,1.50,1.85,1.72,1,1,1,1.99,1,1
65,1.64,2.30,13.0,2.35,5.50,1.50,1.29,3.00,1.50,1.81,1.76,1,1,1,1.95,1,1
66,1.64,2.30,13.0,2.40,5.50,1.50,1.28,3.10,1.50,1.76,1.81,1,1,1,1.90,1,1
67,1.64,2.30,13.0,2.45,5.50,1.50,1.26,3.20,1.50,1.72,1.85,1,1,1,1.86,1,1
68,1.64,2.30,13.0,2.50,5.50,1.50,1.25,3.25,1.50,1.68,1.91,1,1,1,1.82,1,1
69,1.64,2.30,13.0,9.50,1.45,2.50,1.23,3.35,1.50,1.64,1.96,3.50,2.25,1.49,3.10,2,1
70,1.64,2.30,13.0,10.0,1.43,2.50,1.21,3.45,1.50,1.60,2.00,3.50,2.20,1.52,3.10,2,1
71,1.64,2.30,13.0,10.5,1.42,2.50,1.20,3.60,1.50,1.57,2.05,3.50,2.10,1.56,3.15,2,1
72,1.64,2.30,13.0,11.5,1.40,2.50,1.18,3.70,1.50,1.53,2.15,3.50,2.00,1.60,3.20,2,1
73,1.64,2.30,13.0,12.0,1.38,2.50,1.17,3.85,1.50,1.50,2.20,3.50,1.95,1.64,3.20,2,1
74,1.64,2.30,13.0,13.0,1.37,2.50,1.15,4.00,1.50,1.48,2.30,3.50,1.88,1.69,3.25,2,1
75,1.64,2.30,13.0,14.0,1.35,2.50,1.13,4.15,1.50,1.45,2.40,3.50,1.81,1.75,3.30,2,1
76,1.64,2.30,13.0,15.0,1.33,2.50,1.12,4.35,1.50,1.41,2.50,3.50,1.74,1.83,3.40,2,1
77,1.64,2.30,13.0,16.0,1.31,2.50,1.10,4.55,1.50,1.39,2.60,3.50,1.68,1.90,3.45,2,1
78,1.64,2.30,13.0,17.0,1.29,2.50,1.09,4.75,1.50,1.36,2.70,3.50,1.63,1.98,3.50,2,1
79,1.64,2.30,13.0,18.0,1.26,2.50,1.08,5.00,1.50,1.33,2.85,3.50,1.57,2.05,3.60,2,1
80,1.64,2.30,13.0,20.0,1.24,2.50,1.07,5.00,1.50,1.30,3.00,3.50,1.52,2.20,3.70,2,1
81,1.64,2.30,13.0,23.0,1.22,2.50,1.06,5.50,1.50,1.27,3.15,3.50,1.48,2.30,3.80,2,1
82,1.64,2.30,13.0,26.0,1.20,2.50,1.05,6.00,1.50,1.24,3.30,3.50,1.44,2.45,3.95,2,1
83,1.64,2.30,13.0,29.0,1.17,2.50,1.04,6.00,1.50,1.20,3.55,3.50,1.39,2.60,4.10,2,1
84,1.64,2.30,13.0,34.0,1.15,2.50,1.03,7.00,1.50,1.17,3.80,3.50,1.35,2.80,4.30,2,1
85,1.64,2.30,13.0,40.0,1.12,2.50,1.03,7.50,1.50,1.14,4.10,3.50,1.30,3.00,4.55,2,1
86,1.64,2.30,13.0,57.0,1.10,2.50,1.03,8.00,1.50,1.11,4.45,3.50,1.26,3.20,4.80,2,1
87,1.64,2.30,13.0,60.0,1.08,2.50,1.02,9.00,1.50,1.08,4.90,3.50,1.21,3.50,5.00,2,1
88,1.64,2.30,13.0,60.0,1.06,2.50,1.02,10.0,1.50,1.06,5.00,3.50,1.16,3.85,5.50,2,1
89,1.64,2.30,13.0,47.0,1.04,1,1,1,1,1,1,1,1,1,6.00,2,1
90,1.64,2.30,13.0,47.0,1.04,1,1,1,1,1,1,1,1,1,6.00,2,1
91,1.64,2.30,13.0,47.0,1.04,1,1,1,1,1,1,1,1,1,6.00,2,1
92,1.64,2.30,13.0,47.0,1.04,1,1,1,1,1,1,1,1,1,6.00,2,1
93,1.64,2.30,13.0,47.0,1.04,1,1,1,1,1,1,1,1,1,6.00,2,1
94,1.64,2.30,13.0,47.0,1.04,1,1,1,1,1,1,1,1,1,6.00,2,1
