min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.40,2.90,0.50,2.75,1.31,1.50,1.39,2.45,1,1,1,2.70,0,0
2,1,1,1,2.40,2.90,0.50,2.75,1.31,1.50,1.39,2.45,1,1,1,2.70,0,0
3,1,1,1,2.40,2.90,0.50,2.75,1.31,1.50,1.39,2.45,1,1,1,2.70,0,0
4,1,1,1,2.40,2.90,0.50,2.75,1.31,1.50,1.39,2.45,1,1,1,2.70,0,0
5,1,1,1,2.40,2.90,0.50,2.75,1.31,1.50,1.39,2.45,1,1,1,2.70,0,0
6,1,1,1,2.40,2.95,0.50,2.70,1.32,1.50,1.38,2.45,1,1,1,2.65,0,0
7,1.89,2.10,6.50,2.45,2.95,0.50,2.70,1.32,1.50,1.37,2.50,1,1,1,2.65,0,0
8,1.89,2.10,6.50,2.45,2.95,0.50,2.65,1.33,1.50,1.36,2.55,1,1,1,2.65,0,0
9,1.90,2.15,6.50,2.45,2.95,0.50,2.60,1.34,1.50,1.35,2.60,1,1,1,2.60,0,0
10,1.91,2.15,6.00,2.45,2.95,0.50,2.60,1.35,1.50,1.34,2.60,1,1,1,2.60,0,0
11,1.91,2.15,6.00,2.45,2.95,0.50,2.55,1.36,1.50,1.33,2.65,1,1,1,2.60,0,0
12,1.92,2.15,6.00,2.50,3.00,0.50,2.50,1.37,1.50,1.32,2.70,1,1,1,2.60,0,0
13,1.93,2.15,6.00,2.50,3.00,0.50,2.50,1.38,1.50,1.31,2.70,1.50,2.30,1.43,2.55,0,0
14,1.94,2.20,5.50,2.45,3.00,0.50,2.45,1.39,0.50,2.80,1.30,1.50,2.25,1.44,2.55,0,0
15,1.94,2.20,5.50,2.50,3.00,0.50,2.40,1.39,0.50,2.75,1.31,1.50,2.20,1.46,2.50,0,0
16,1.95,2.20,5.50,2.50,3.00,0.50,2.40,1.40,0.50,2.70,1.32,1.50,2.20,1.47,2.50,0,0
17,1.96,2.20,5.50,2.50,3.00,0.50,2.35,1.41,0.50,2.70,1.33,1.50,2.15,1.49,2.50,0,0
18,1.97,2.20,5.00,2.50,3.00,0.50,2.30,1.42,0.50,2.65,1.34,1.50,2.10,1.50,2.50,0,0
19,1.98,2.20,5.00,2.50,3.05,0.50,2.30,1.43,0.50,2.60,1.34,1.50,2.05,1.52,2.45,0,0
20,1.99,2.25,5.00,2.55,3.05,0.50,2.25,1.44,0.50,2.55,1.36,1.50,2.00,1.54,2.45,0,0
21,2.00,2.25,5.00,2.55,3.05,0.50,2.20,1.45,0.50,2.50,1.36,1.50,2.00,1.56,2.40,0,0
22,2.00,2.25,5.00,6.50,1.51,1.50,2.20,1.46,0.50,2.60,1.34,1,1,1,3.05,1,0
23,2.00,2.25,5.00,6.50,1.50,1.50,2.15,1.47,0.50,2.55,1.35,1,1,1,3.05,1,0
24,2.00,2.25,5.00,6.50,1.49,1.50,2.15,1.49,0.50,2.55,1.36,1,1,1,3.05,1,0
25,2.00,2.25,5.00,6.50,1.49,1.50,2.10,1.50,0.50,2.50,1.37,1,1,1,3.00,1,0
26,2.00,2.25,5.00,7.00,1.48,1.50,2.10,1.51,0.50,2.45,1.38,1,1,1,3.00,1,0
27,2.00,2.25,5.00,7.00,1.48,1.50,2.05,1.52,0.50,2.40,1.39,1,1,1,3.00,1,0
28,2.00,2.25,5.00,7.00,1.47,1.50,2.00,1.53,0.50,2.40,1.40,1,1,1,3.00,1,0
29,2.00,2.25,5.00,7.00,1.47,1.50,2.00,1.55,0.50,2.35,1.41,1,1,1,3.00,1,0
30,2.00,2.25,5.00,7.50,1.47,1.50,1.99,1.56,0.50,2.30,1.43,1,1,1,3.00,1,0
31,2.00,2.25,5.00,7.50,1.46,1.50,1.97,1.57,0.50,2.25,1.44,1,1,1,3.00,1,0
32,2.00,2.25,5.00,50.0,1.04,2.50,1.94,1.59,0.50,2.25,1.45,3.50,1.80,1.69,5.00,2,0
33,2.00,2.25,5.00,52.0,1.04,2.50,1.91,1.61,0.50,2.20,1.46,3.50,1.76,1.72,5.50,2,0
34,2.00,2.25,5.00,60.0,1.04,2.50,1.88,1.63,0.50,2.15,1.47,3.50,1.73,1.75,5.50,2,0
35,2.00,2.25,5.00,60.0,1.03,2.50,1.86,1.64,0.50,2.10,1.49,3.50,1.70,1.79,5.50,2,0
36,2.00,2.25,5.00,60.0,1.03,2.50,1.83,1.66,0.50,2.10,1.50,3.50,1.67,1.83,5.50,2,0
37,2.00,2.25,5.00,60.0,1.03,2.50,1.81,1.68,0.50,2.05,1.52,3.50,1.64,1.86,5.50,2,0
38,2.00,2.25,5.00,60.0,1.03,2.50,1.78,1.70,0.50,2.00,1.53,3.50,1.61,1.90,5.50,2,0
39,2.00,2.25,5.00,60.0,1.03,2.50,1.76,1.72,0.50,2.00,1.55,3.50,1.59,1.94,5.50,2,0
40,2.00,2.25,5.00,60.0,1.03,2.50,1.74,1.75,0.50,1.99,1.56,3.50,1.57,1.98,5.50,2,0
41,2.00,2.25,5.00,22.0,1.02,2.50,1.71,1.77,0.50,1.96,1.58,3.50,1.54,2.00,6.00,2,0
42,2.00,2.25,5.00,22.0,1.02,2.50,1.69,1.80,0.50,1.93,1.60,3.50,1.52,2.05,6.00,2,0
43,2.00,2.25,5.00,23.0,1.02,2.50,1.67,1.82,0.50,1.89,1.62,3.50,1.50,2.10,6.00,2,0
44,2.00,2.25,5.00,23.0,1.02,2.50,1.65,1.85,0.50,1.86,1.64,3.50,1.48,2.15,6.00,2,0
45,2.00,2.25,5.00,-,-,3.50,1.63,1.88,0.50,1.83,1.66,4.50,1.46,2.20,-,3,0
46,2.00,2.25,5.00,-,-,3.50,1.61,1.91,0.50,1.80,1.69,4.50,1.44,2.25,-,3,0
47,2.00,2.25,5.00,-,-,3.50,1.59,1.94,0.50,1.78,1.71,4.50,1.42,2.30,-,3,0
48,2.00,2.25,5.00,-,-,3.50,1.57,1.97,0.50,1.75,1.74,4.50,1.40,2.40,-,3,0
49,2.00,2.25,5.00,-,-,3.50,1.55,2.00,0.50,1.72,1.76,4.50,1.38,2.45,-,3,0
50,2.00,2.25,5.00,-,-,3.50,1.54,2.00,0.50,1.69,1.80,4.50,1.36,2.55,-,3,0
51,2.00,2.25,5.00,-,-,3.50,1.52,2.05,0.50,1.67,1.82,4.50,1.34,2.60,-,3,0
52,2.00,2.25,5.00,-,-,3.50,1.50,2.10,0.50,1.64,1.86,4.50,1.33,2.70,-,3,0
53,2.00,2.25,5.00,-,-,3.50,1.48,2.15,0.50,1.62,1.89,4.50,1.31,2.75,-,3,0
54,2.00,2.25,5.00,-,-,3.50,1.47,2.20,0.50,1.60,1.93,3.50,2.70,1.32,-,3,0
55,2.00,2.25,5.00,-,-,3.50,1.45,2.20,0.50,1.58,1.96,3.50,2.65,1.33,-,3,0
56,2.00,2.25,5.00,-,-,3.50,1.44,2.30,0.50,1.55,2.00,3.50,2.60,1.35,-,3,0
57,2.00,2.25,5.00,-,-,3.50,1.42,2.30,0.50,1.53,2.00,3.50,2.50,1.37,-,3,0
58,2.00,2.25,5.00,-,-,3.50,1.41,2.35,0.50,1.51,2.10,3.50,2.45,1.39,-,3,0
59,2.00,2.25,5.00,-,-,3.50,1.39,2.40,0.50,1.49,2.10,3.50,2.40,1.41,-,3,0
60,2.00,2.25,5.00,-,-,3.50,1.38,2.50,0.50,1.47,2.15,3.50,2.30,1.43,-,3,0
61,2.00,2.25,5.00,-,-,3.50,1.36,2.55,0.50,1.46,2.20,3.50,2.25,1.45,-,3,0
62,2.00,2.25,5.00,-,-,3.50,1.35,2.60,0.50,1.44,2.30,3.50,2.20,1.47,-,3,0
63,2.00,2.25,5.00,43.0,1.01,3.50,1.33,2.65,1.50,1.42,2.30,4.50,2.10,1.49,8.00,3,1
64,2.00,2.25,5.00,45.0,1.01,3.50,1.32,2.70,1.50,1.40,2.40,4.50,2.05,1.52,8.00,3,1
65,2.00,2.25,5.00,51.0,1.01,3.50,1.30,2.80,1.50,1.38,2.45,4.50,2.00,1.55,8.00,3,1
66,2.00,2.25,5.00,55.0,1.01,3.50,1.28,2.85,1.50,1.36,2.50,4.50,1.95,1.58,8.00,3,1
67,2.00,2.25,5.00,59.0,1.01,3.50,1.27,2.95,1.50,1.35,2.60,4.50,1.90,1.62,8.50,3,1
68,2.00,2.25,5.00,60.0,1.01,3.50,1.25,3.00,1.50,1.33,2.65,4.50,1.84,1.66,8.50,3,1
69,2.00,2.25,5.00,60.0,1.01,3.50,1.23,3.10,1.50,1.31,2.75,4.50,1.79,1.70,8.50,3,1
70,2.00,2.25,5.00,-,-,3.50,1.22,3.20,1.50,1.29,2.80,4.50,1.73,1.75,-,3,1
71,2.00,2.25,5.00,-,-,3.50,1.20,3.30,1.50,1.27,2.90,4.50,1.69,1.80,-,3,1
72,2.00,2.25,5.00,18.0,1.14,3.50,1.18,3.40,2.50,1.25,3.00,5.50,1.64,1.86,4.45,3,2
73,2.00,2.25,5.00,19.0,1.13,3.50,1.17,3.50,2.50,1.23,3.10,5.50,1.60,1.93,4.55,3,2
74,2.00,2.25,5.00,20.0,1.12,3.50,1.15,3.65,2.50,1.21,3.20,5.50,1.56,2.00,4.65,3,2
75,2.00,2.25,5.00,21.0,1.11,3.50,1.13,3.80,2.50,1.19,3.35,5.50,1.52,2.05,4.75,3,2
76,2.00,2.25,5.00,22.0,1.09,3.50,1.11,4.00,2.50,1.17,3.50,5.50,1.48,2.15,4.90,3,2
77,2.00,2.25,5.00,24.0,1.08,3.50,1.10,4.15,2.50,1.15,3.65,5.50,1.44,2.25,5.00,3,2
78,2.00,2.25,5.00,25.0,1.07,3.50,1.08,4.35,2.50,1.13,3.80,5.50,1.41,2.35,5.00,3,2
79,2.00,2.25,5.00,26.0,1.06,3.50,1.07,4.60,2.50,1.11,4.00,5.50,1.38,2.45,5.00,3,2
80,2.00,2.25,5.00,28.0,1.05,3.50,1.06,4.85,2.50,1.09,4.20,5.50,1.34,2.60,5.50,3,2
81,2.00,2.25,5.00,31.0,1.04,3.50,1.04,5.00,2.50,1.08,4.45,5.50,1.31,2.75,5.50,3,2
82,2.00,2.25,5.00,33.0,1.03,3.50,1.03,5.00,2.50,1.06,4.75,5.50,1.28,2.90,6.00,3,2
83,2.00,2.25,5.00,36.0,1.03,3.50,1.02,6.00,2.50,1.05,5.00,5.50,1.24,3.05,6.00,3,2
84,2.00,2.25,5.00,42.0,1.02,3.50,1.02,6.00,2.50,1.03,5.00,5.50,1.20,3.30,6.50,3,2
85,2.00,2.25,5.00,44.0,1.01,3.50,1.01,7.00,2.50,1.02,6.00,5.50,1.17,3.50,7.00,3,2
86,2.00,2.25,5.00,50.0,1.01,3.50,1.01,7.50,2.50,1.01,6.50,5.50,1.13,3.80,8.00,3,2
87,2.00,2.25,5.00,55.0,1.01,3.50,1.01,8.00,2.50,1.01,7.00,5.50,1.10,4.20,8.50,3,2
88,2.00,2.25,5.00,60.0,1.01,3.50,1.01,9.00,2.50,1.01,8.00,5.50,1.07,4.65,9.00,3,2
89,2.00,2.25,5.00,60.0,1.01,1,1,1,1,1,1,1,1,1,10.0,3,2
