min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,3.35,1.32,20.0,7.00,1.29,2.50,1.75,1.89,0.50,2.50,1.46,3.50,1.76,1.88,5.00,0,0
3,3.35,1.32,20.0,7.00,1.29,2.50,1.75,1.89,0.50,2.50,1.46,3.50,1.76,1.88,5.00,0,0
4,3.35,1.32,20.0,7.00,1.29,2.50,1.75,1.89,0.50,2.50,1.46,3.50,1.76,1.88,5.00,0,0
5,3.25,1.37,18.0,6.00,1.37,2.50,1.53,2.30,0.50,2.40,1.50,3.50,1.55,2.25,4.85,0,0
6,3.25,1.37,18.0,6.00,1.37,2.50,1.52,2.30,0.50,2.35,1.51,3.50,1.52,2.30,4.80,0,0
7,3.25,1.37,17.0,6.00,1.38,2.50,1.50,2.40,0.50,2.30,1.52,3.50,1.50,2.35,4.75,0,0
8,3.10,1.41,16.0,5.00,1.44,1.50,2.50,1.47,0.50,2.40,1.49,1,1,1,4.45,0,0
9,3.10,1.41,16.0,5.00,1.44,1.50,2.45,1.48,0.50,2.40,1.50,1,1,1,4.40,0,0
10,3.10,1.42,16.0,5.00,1.45,1.50,2.40,1.49,0.50,2.35,1.50,1,1,1,4.40,0,0
11,3.10,1.42,15.0,5.00,1.45,1.50,2.35,1.51,0.50,2.35,1.51,1,1,1,4.35,0,0
12,3.10,1.42,15.0,5.00,1.46,1.50,2.30,1.52,0.50,2.30,1.52,1,1,1,4.30,0,0
13,3.10,1.42,14.0,5.00,1.47,1.50,2.30,1.53,0.50,2.30,1.53,1,1,1,4.30,0,0
14,3.10,1.43,14.0,5.00,1.47,1.50,2.25,1.55,0.50,2.25,1.54,1,1,1,4.20,0,0
15,3.10,1.43,14.0,5.00,1.47,1.50,2.20,1.57,0.50,2.25,1.55,1,1,1,4.20,0,0
16,3.10,1.43,13.0,5.00,1.48,1.50,2.15,1.58,0.50,2.20,1.56,1,1,1,4.15,0,0
17,3.10,1.43,13.0,5.00,1.49,1.50,2.10,1.60,0.50,2.20,1.57,1,1,1,4.10,0,0
18,3.15,1.44,13.0,5.00,1.49,1.50,2.10,1.62,0.50,2.15,1.58,1,1,1,4.05,0,0
19,3.15,1.44,12.0,5.00,1.50,1.50,2.05,1.64,0.50,2.10,1.60,1,1,1,4.05,0,0
20,3.15,1.44,12.0,5.00,1.50,1.50,2.00,1.66,0.50,2.10,1.61,1,1,1,4.00,0,0
21,3.15,1.45,12.0,5.00,1.51,1.50,2.00,1.68,0.50,2.10,1.62,1,1,1,3.95,0,0
22,3.15,1.45,11.5,5.00,1.51,1.50,1.96,1.70,0.50,2.05,1.63,1,1,1,3.90,0,0
23,3.20,1.45,11.0,5.00,1.52,1.50,1.93,1.73,0.50,2.00,1.65,1,1,1,3.90,0,0
24,3.20,1.46,10.5,5.00,1.53,1.50,1.89,1.76,0.50,2.00,1.66,1,1,1,3.80,0,0
25,3.20,1.46,10.0,5.00,1.53,1.50,1.86,1.78,0.50,2.00,1.68,1,1,1,3.80,0,0
26,3.20,1.47,10.0,5.00,1.54,1.50,1.83,1.81,0.50,1.97,1.70,1,1,1,3.75,0,0
27,2.70,1.56,12.0,4.00,1.69,1.50,1.80,1.84,0.50,2.45,1.47,1,1,1,3.70,0,0
28,2.45,1.68,11.0,3.45,1.92,1.50,1.62,2.10,0.50,2.65,1.43,1,1,1,3.50,0,0
29,2.40,1.68,11.0,3.40,1.93,1.50,1.63,2.05,0.50,2.70,1.41,1,1,1,3.50,0,0
30,2.40,1.68,11.0,3.40,1.94,1.50,1.61,2.10,0.50,2.65,1.42,1,1,1,3.50,0,0
31,2.45,1.69,10.5,3.40,1.95,1.50,1.59,2.15,0.50,2.60,1.44,1,1,1,3.45,0,0
32,2.55,1.66,10.0,3.60,1.88,1.50,1.60,2.10,0.50,2.45,1.47,1,1,1,3.45,0,0
33,2.55,1.66,9.50,3.60,1.89,1.50,1.58,2.15,0.50,2.40,1.49,1,1,1,3.40,0,0
34,2.55,1.67,9.00,3.60,1.90,1.50,1.56,2.20,0.50,2.40,1.50,1,1,1,3.40,0,0
35,2.55,1.68,9.00,3.60,1.91,1.50,1.55,2.25,0.50,2.35,1.51,1,1,1,3.35,0,0
36,2.60,1.68,8.50,3.60,1.93,1.50,1.53,2.30,0.50,2.30,1.53,1,1,1,3.30,0,0
37,2.60,1.69,8.00,3.60,1.93,1.50,1.51,2.35,0.50,2.25,1.54,1,1,1,3.30,0,0
38,2.60,1.70,8.00,3.60,1.95,1.50,1.49,2.40,0.50,2.25,1.55,1,1,1,3.25,0,0
39,2.60,1.71,7.50,3.60,1.96,1.50,1.47,2.45,0.50,2.20,1.57,1,1,1,3.20,0,0
