min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
7,2.60,1.47,20.0,4.35,1.48,2.50,1.75,1.90,1.50,1.60,2.10,3.50,2.20,1.58,4.95,0,0
8,2.60,1.47,20.0,4.40,1.49,2.50,1.72,1.94,1.50,1.58,2.15,3.50,2.10,1.60,4.90,0,0
9,2.60,1.47,20.0,4.35,1.49,2.50,1.69,1.98,1.50,1.57,2.20,3.50,2.05,1.63,4.85,0,0
10,2.50,1.50,20.0,4.05,1.53,2.50,1.63,2.05,1.50,1.59,2.15,3.50,2.00,1.65,4.70,0,0
11,2.55,1.50,20.0,4.05,1.54,2.50,1.61,2.10,1.50,1.58,2.15,3.50,2.00,1.68,4.70,0,0
12,2.55,1.50,20.0,9.00,1.17,3.50,1.60,2.10,1.50,1.57,2.20,4.50,1.96,1.71,7.00,1,0
13,2.55,1.50,20.0,9.00,1.18,3.50,1.58,2.20,1.50,1.55,2.25,4.50,1.91,1.74,7.00,1,0
14,2.55,1.50,20.0,9.00,1.18,3.50,1.56,2.20,1.50,1.54,2.25,4.50,1.88,1.77,7.00,1,0
15,2.55,1.50,20.0,9.00,1.17,3.50,1.54,2.25,1.50,1.53,2.30,4.50,1.83,1.81,7.00,1,0
16,2.55,1.50,20.0,9.00,1.18,3.50,1.52,2.30,1.50,1.51,2.35,4.50,1.80,1.85,7.00,1,0
17,2.55,1.50,20.0,9.50,1.18,3.50,1.51,2.35,1.50,1.50,2.40,4.50,1.76,1.89,6.50,1,0
18,2.55,1.50,20.0,9.50,1.18,3.50,1.49,2.40,1.50,1.49,2.40,4.50,1.73,1.93,6.50,1,0
19,2.55,1.50,20.0,9.50,1.18,3.50,1.48,2.45,1.50,1.48,2.45,4.50,1.70,1.97,6.50,1,0
20,2.55,1.50,20.0,9.50,1.18,3.50,1.46,2.50,1.50,1.46,2.50,4.50,1.67,2.00,6.50,1,0
21,2.55,1.50,20.0,9.50,1.18,2.50,2.50,1.46,1.50,1.45,2.55,4.50,1.64,2.05,6.50,1,0
22,2.55,1.50,20.0,9.50,1.18,2.50,2.45,1.48,1.50,1.44,2.60,4.50,1.61,2.10,6.50,1,0
23,2.55,1.50,20.0,10.0,1.19,2.50,2.40,1.49,1.50,1.43,2.65,4.50,1.58,2.15,6.50,1,0
24,2.55,1.50,20.0,10.0,1.18,2.50,2.35,1.51,1.50,1.42,2.70,4.50,1.56,2.20,6.50,1,0
25,2.55,1.50,20.0,10.0,1.19,2.50,2.30,1.53,1.50,1.40,2.70,4.50,1.53,2.30,6.50,1,0
26,2.55,1.50,20.0,10.0,1.19,2.50,2.25,1.54,1.50,1.39,2.75,4.50,1.51,2.35,6.00,1,0
27,2.55,1.50,20.0,10.0,1.19,2.50,2.20,1.56,1.50,1.38,2.80,3.50,2.35,1.51,6.00,1,0
28,2.55,1.50,20.0,10.0,1.19,2.50,2.15,1.58,1.50,1.37,2.85,3.50,2.30,1.53,6.00,1,0
29,2.55,1.50,20.0,10.0,1.19,2.50,2.10,1.60,0.50,2.90,1.37,3.50,2.20,1.55,6.00,1,0
30,2.55,1.50,20.0,10.0,1.19,2.50,2.10,1.62,0.50,2.85,1.37,3.50,2.20,1.58,6.00,1,0
31,2.55,1.50,20.0,10.0,1.19,2.50,2.05,1.65,0.50,2.80,1.38,3.50,2.10,1.60,6.00,1,0
32,2.55,1.50,20.0,10.0,1.19,2.50,2.00,1.67,0.50,2.75,1.40,3.50,2.05,1.63,6.00,1,0
33,2.55,1.50,20.0,10.5,1.19,2.50,1.97,1.70,0.50,2.70,1.41,3.50,2.00,1.66,6.00,1,0
34,2.55,1.50,20.0,10.5,1.19,2.50,1.93,1.72,0.50,2.65,1.42,3.50,1.98,1.69,6.00,1,0
35,2.55,1.50,20.0,10.5,1.19,2.50,1.89,1.75,0.50,2.60,1.43,3.50,1.92,1.73,6.00,1,0
36,2.55,1.50,20.0,10.5,1.19,2.50,1.85,1.79,0.50,2.55,1.45,3.50,1.87,1.78,6.00,1,0
