min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.67,2.05,20.0,1.96,2.80,1.50,1.65,1.94,1.50,2.05,1.57,3.50,1.63,1.98,3.95,0,0
2,1.67,2.05,20.0,1.96,2.80,1.50,1.65,1.94,1.50,2.05,1.57,3.50,1.63,1.98,3.95,0,0
3,1.67,2.05,20.0,1.96,2.80,1.50,1.65,1.94,1.50,2.05,1.57,3.50,1.63,1.98,3.95,0,0
4,1.67,2.05,20.0,1.96,2.80,1.50,1.65,1.94,1.50,2.05,1.57,3.50,1.63,1.98,3.95,0,0
5,1.67,2.05,20.0,1.96,2.80,1.50,1.65,1.94,1.50,2.05,1.57,3.50,1.63,1.98,3.95,0,0
6,1.67,2.05,20.0,1.96,2.80,1.50,1.63,1.97,1.50,2.00,1.59,3.50,1.61,2.00,3.90,0,0
7,1.68,2.05,20.0,1.96,2.80,1.50,1.62,2.00,1.50,2.00,1.61,3.50,1.58,2.05,3.90,0,0
8,1.68,2.05,19.0,1.98,2.80,1.50,1.59,2.05,1.50,1.96,1.64,3.50,1.54,2.15,3.85,0,0
9,1.68,2.05,19.0,1.98,2.80,1.50,1.59,2.05,1.50,1.96,1.64,3.50,1.54,2.15,3.85,0,0
10,1.68,2.05,18.0,1.98,2.80,1.50,1.57,2.05,1.50,1.93,1.66,3.50,1.52,2.20,3.80,0,0
11,1.69,2.05,18.0,1.98,2.80,1.50,1.56,2.10,1.50,1.90,1.68,3.50,1.50,2.25,3.80,0,0
12,1.69,2.05,17.0,1.99,2.85,1.50,1.54,2.10,1.50,1.87,1.70,3.50,1.48,2.30,3.80,0,0
13,1.69,2.10,17.0,2.00,2.85,1.50,1.53,2.15,1.50,1.85,1.72,1,1,1,3.75,0,0
14,1.69,2.10,16.0,2.00,2.85,1.50,1.51,2.20,1.50,1.82,1.75,1,1,1,3.70,0,0
15,1.70,2.10,16.0,2.00,2.85,1.50,1.50,2.20,1.50,1.79,1.77,1,1,1,3.70,0,0
16,1.70,2.10,15.0,2.00,2.85,1.50,1.49,2.25,1.50,1.77,1.80,1,1,1,3.70,0,0
17,1.60,2.30,14.0,1.79,3.30,1.50,1.38,2.65,1.50,1.85,1.72,1,1,1,3.70,0,0
18,1.60,2.30,14.0,1.81,3.30,1.50,1.37,2.70,1.50,1.82,1.75,1,1,1,3.70,0,0
19,1.60,2.30,14.0,1.81,3.30,1.50,1.36,2.70,1.50,1.79,1.77,1,1,1,3.65,0,0
20,1.61,2.30,13.0,1.82,3.30,1.50,1.35,2.75,1.50,1.77,1.80,1,1,1,3.60,0,0
21,1.57,2.40,13.0,1.76,3.50,0.50,2.75,1.35,1.50,1.79,1.77,1,1,1,3.65,0,0
22,1.58,2.45,12.0,1.76,3.50,0.50,2.70,1.36,1.50,1.76,1.80,1,1,1,3.60,0,0
23,1.58,2.45,12.0,1.77,3.50,0.50,2.70,1.37,1.50,1.74,1.83,1,1,1,3.60,0,0
24,1.59,2.45,12.0,1.78,3.50,0.50,2.65,1.38,1.50,1.71,1.86,1,1,1,3.55,0,0
25,1.59,2.45,11.5,1.78,3.50,0.50,2.60,1.39,1.50,1.69,1.89,1,1,1,3.50,0,0
26,1.54,2.55,12.0,1.69,3.75,0.50,2.55,1.40,1.50,1.79,1.77,1,1,1,3.65,0,0
27,1.55,2.55,12.0,1.69,3.75,0.50,2.50,1.41,1.50,1.76,1.80,1,1,1,3.60,0,0
28,1.55,2.55,11.5,1.70,3.75,0.50,2.50,1.42,1.50,1.73,1.83,1,1,1,3.55,0,0
29,1.55,2.55,11.0,1.71,3.75,0.50,2.45,1.44,1.50,1.71,1.86,1,1,1,3.55,0,0
30,1.56,2.60,11.0,1.72,3.80,0.50,2.40,1.45,1.50,1.68,1.90,1,1,1,3.50,0,0
31,1.56,2.60,10.5,1.73,3.80,0.50,2.35,1.46,1.50,1.66,1.93,1,1,1,3.50,0,0
32,1.57,2.60,10.0,1.74,3.80,0.50,2.30,1.47,1.50,1.63,1.97,1,1,1,3.45,0,0
33,1.57,2.60,9.50,1.74,3.80,0.50,2.30,1.48,1.50,1.61,2.00,1,1,1,3.40,0,0
34,1.58,2.60,9.50,1.75,3.80,0.50,2.25,1.50,1.50,1.59,2.00,1,1,1,3.40,0,0
35,1.59,2.60,9.00,1.76,3.80,0.50,2.20,1.51,1.50,1.57,2.05,1,1,1,3.35,0,0
36,1.54,2.70,9.50,1.69,4.05,0.50,2.20,1.52,1.50,1.63,1.97,1,1,1,3.45,0,0
37,1.55,2.70,9.00,1.69,4.00,0.50,2.15,1.54,1.50,1.61,2.00,1,1,1,3.40,0,0
38,1.55,2.75,9.00,1.70,4.00,0.50,2.10,1.55,1.50,1.59,2.05,1,1,1,3.35,0,0
39,1.56,2.75,8.50,1.71,4.00,0.50,2.05,1.57,1.50,1.56,2.10,1,1,1,3.30,0,0
40,1.56,2.70,8.50,3.40,1.84,1.50,2.10,1.55,1.50,1.57,2.05,3.50,1.52,2.20,3.45,1,0
