min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.74,1.96,15.0,2.10,2.55,1.50,1.49,2.10,1.50,1.64,1.87,1,1,1,3.55,0,0
2,1.74,1.96,15.0,2.10,2.55,1.50,1.49,2.10,1.50,1.64,1.87,1,1,1,3.55,0,0
3,1.74,1.96,15.0,2.10,2.55,1.50,1.49,2.10,1.50,1.64,1.87,1,1,1,3.55,0,0
4,1.74,1.96,15.0,2.10,2.55,1.50,1.49,2.10,1.50,1.64,1.87,1,1,1,3.55,0,0
5,1.74,1.96,15.0,2.10,2.55,1.50,1.49,2.10,1.50,1.64,1.87,1,1,1,3.55,0,0
6,1.74,1.96,14.0,2.10,2.60,1.50,1.48,2.15,1.50,1.62,1.89,1,1,1,3.50,0,0
7,1.75,1.96,14.0,2.10,2.60,1.50,1.47,2.20,1.50,1.60,1.92,1,1,1,3.50,0,0
8,1.77,1.99,12.0,2.15,2.60,1.50,1.41,2.35,1.50,1.52,2.05,1,1,1,3.40,0,0
9,1.77,1.99,12.0,2.15,2.60,1.50,1.40,2.40,1.50,1.50,2.10,1,1,1,3.35,0,0
10,1.78,2.00,11.5,2.20,2.60,1.50,1.39,2.40,1.50,1.49,2.10,1,1,1,3.35,0,0
11,1.78,2.00,11.0,2.20,2.60,1.50,1.38,2.45,1.50,1.48,2.15,1,1,1,3.30,0,0
12,1.79,2.00,11.0,2.20,2.60,1.50,1.37,2.50,1.50,1.47,2.20,1,1,1,3.30,0,0
13,1.79,2.00,10.5,2.20,2.60,1.50,1.36,2.55,1.50,1.45,2.20,1,1,1,3.30,0,0
14,1.80,2.00,10.5,2.20,2.65,1.50,1.35,2.60,1.50,1.44,2.25,1,1,1,3.25,0,0
15,1.80,2.00,10.0,2.20,2.65,1.50,1.34,2.60,1.50,1.43,2.30,1,1,1,3.25,0,0
16,1.81,2.00,10.0,2.20,2.65,1.50,1.33,2.65,1.50,1.42,2.30,1,1,1,3.20,0,0
17,1.81,2.00,9.50,2.25,2.65,1.50,1.32,2.70,1.50,1.41,2.35,1,1,1,3.20,0,0
18,1.82,2.00,9.50,2.25,2.65,1.50,1.31,2.75,1.50,1.40,2.40,1,1,1,3.20,0,0
19,1.82,2.00,9.00,4.90,1.45,1.50,2.80,1.30,1.50,1.39,2.45,3.50,1.54,2.00,3.90,1,0
20,1.82,2.00,9.00,4.95,1.45,1.50,2.75,1.31,1.50,1.37,2.50,3.50,1.52,2.05,3.90,1,0
21,1.82,2.00,9.00,5.00,1.45,1.50,2.70,1.32,1.50,1.36,2.50,3.50,1.50,2.10,3.90,1,0
22,1.82,2.00,9.00,5.00,1.44,1.50,2.65,1.33,1.50,1.35,2.55,3.50,1.49,2.15,3.90,1,0
23,1.82,2.00,9.00,5.00,1.44,1.50,2.60,1.34,1.50,1.34,2.60,3.50,1.46,2.20,3.85,1,0
24,1.82,2.00,9.00,5.00,1.44,1.50,2.60,1.35,1.50,1.33,2.65,3.50,1.45,2.25,3.85,1,0
25,1.82,2.00,9.00,5.00,1.43,1.50,2.55,1.36,1.50,1.32,2.70,3.50,1.43,2.30,3.85,1,0
26,1.82,2.00,9.00,5.00,1.43,1.50,2.50,1.37,1.50,1.31,2.75,3.50,1.41,2.35,3.85,1,0
27,1.82,2.00,9.00,5.00,1.43,1.50,2.45,1.38,0.50,2.75,1.31,3.50,1.40,2.40,3.80,1,0
28,1.82,2.00,9.00,5.00,1.43,1.50,2.40,1.39,0.50,2.70,1.32,1,1,1,3.80,1,0
29,1.82,2.00,9.00,5.00,1.42,1.50,2.40,1.40,0.50,2.70,1.33,1,1,1,3.80,1,0
30,1.82,2.00,9.00,5.50,1.42,1.50,2.35,1.41,0.50,2.60,1.34,1,1,1,3.80,1,0
