min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.74,1.91,17.0,2.10,2.50,1.50,1.59,1.94,1.50,1.73,1.76,3.50,1.45,2.20,3.65,0,0
2,1.74,1.91,17.0,1.33,5.00,1.50,1.60,1.92,2.50,1.89,1.62,4.50,1.53,2.05,4.85,0,1
3,1.74,1.91,17.0,1.33,5.00,1.50,1.60,1.92,2.50,1.89,1.62,4.50,1.53,2.05,4.85,0,1
4,1.74,1.91,17.0,1.33,5.00,1.50,1.60,1.92,2.50,1.89,1.62,4.50,1.53,2.05,4.85,0,1
5,1.74,1.91,17.0,1.33,5.00,1.50,1.60,1.92,2.50,1.89,1.62,4.50,1.53,2.05,4.85,0,1
6,1.74,1.91,17.0,1.33,5.00,1.50,1.59,1.94,2.50,1.86,1.64,4.50,1.51,2.10,4.80,0,1
7,1.74,1.91,17.0,1.33,5.00,1.50,1.57,1.97,2.50,1.84,1.66,4.50,1.49,2.10,4.80,0,1
8,1.74,1.91,17.0,1.33,5.00,1.50,1.56,2.00,2.50,1.81,1.68,4.50,1.47,2.20,4.80,0,1
9,1.74,1.91,17.0,1.33,5.00,1.50,1.54,2.00,2.50,1.78,1.70,4.50,1.45,2.20,4.75,0,1
10,1.74,1.91,17.0,1.33,5.00,1.50,1.53,2.05,2.50,1.76,1.72,3.50,2.25,1.44,4.75,0,1
11,1.74,1.91,17.0,1.30,6.00,1.50,1.41,2.35,2.50,1.64,1.86,3.50,1.97,1.58,4.75,0,1
12,1.74,1.91,17.0,1.29,6.00,1.50,1.40,2.40,2.50,1.62,1.89,3.50,1.92,1.60,4.75,0,1
13,1.74,1.91,17.0,1.30,6.00,1.50,1.39,2.40,2.50,1.60,1.92,3.50,1.89,1.62,4.70,0,1
14,1.74,1.91,17.0,1.30,6.00,1.50,1.38,2.45,2.50,1.59,1.94,3.50,1.85,1.65,4.70,0,1
15,1.74,1.91,17.0,1.29,6.00,1.50,1.37,2.50,2.50,1.57,1.98,3.50,1.82,1.68,4.70,0,1
16,1.74,1.91,17.0,1.29,6.00,1.50,1.36,2.55,2.50,1.55,2.00,3.50,1.79,1.70,4.65,0,1
