min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.46,2.90,14.0,1.52,5.00,0.50,2.60,1.44,1.50,2.35,1.51,1,1,1,3.95,0,0
2,1.46,2.90,14.0,1.52,5.00,0.50,2.60,1.44,1.50,2.35,1.51,1,1,1,3.95,0,0
3,1.46,2.90,14.0,1.52,5.00,0.50,2.60,1.44,1.50,2.35,1.51,1,1,1,3.95,0,0
4,1.46,2.90,14.0,1.52,5.00,0.50,2.60,1.44,1.50,2.35,1.51,1,1,1,3.95,0,0
5,1.46,2.90,14.0,1.52,5.00,0.50,2.60,1.44,1.50,2.35,1.51,1,1,1,3.95,0,0
6,1.47,2.95,14.0,1.52,5.00,0.50,2.55,1.45,1.50,2.30,1.53,1,1,1,3.90,0,0
7,1.48,2.90,13.0,1.55,4.95,0.50,2.50,1.46,1.50,2.20,1.57,1,1,1,3.85,0,0
8,1.48,2.90,13.0,1.56,4.95,0.50,2.50,1.47,1.50,2.15,1.58,1,1,1,3.80,0,0
9,1.48,2.90,13.0,1.56,4.90,0.50,2.45,1.48,1.50,2.10,1.60,1,1,1,3.80,0,0
10,1.49,2.90,12.0,1.57,4.90,0.50,2.40,1.49,1.50,2.10,1.62,1,1,1,3.75,0,0
11,1.49,2.90,12.0,1.14,14.0,0.50,2.40,1.50,2.50,2.05,1.63,3.50,1.94,1.72,6.00,0,1
12,1.49,2.90,12.0,1.19,12.0,0.50,2.55,1.45,2.50,1.91,1.74,3.50,1.89,1.76,5.50,0,1
13,1.49,2.90,12.0,1.19,12.0,0.50,2.50,1.46,2.50,1.89,1.76,3.50,1.86,1.79,5.50,0,1
14,1.49,2.90,12.0,1.19,12.0,0.50,2.50,1.47,2.50,1.86,1.79,3.50,1.82,1.82,5.50,0,1
15,1.49,2.90,12.0,1.19,12.0,0.50,2.45,1.48,2.50,1.83,1.81,3.50,1.79,1.85,5.50,0,1
16,1.49,2.90,12.0,1.19,12.0,0.50,2.40,1.49,2.50,1.81,1.84,3.50,1.76,1.88,5.00,0,1
17,1.49,2.90,12.0,1.19,12.0,0.50,2.40,1.50,2.50,1.78,1.86,3.50,1.73,1.92,5.00,0,1
18,1.49,2.90,12.0,1.19,12.0,0.50,2.35,1.51,2.50,1.76,1.89,3.50,1.70,1.96,5.00,0,1
19,1.49,2.90,12.0,1.19,13.0,0.50,2.35,1.51,2.50,1.74,1.92,3.50,1.68,1.99,5.00,0,1
20,1.49,2.90,12.0,1.19,13.0,0.50,2.30,1.53,2.50,1.71,1.95,3.50,1.66,2.00,5.00,0,1
21,1.49,2.90,12.0,1.19,13.0,0.50,2.30,1.54,2.50,1.69,1.98,3.50,1.63,2.05,5.00,0,1
22,1.49,2.90,12.0,1.19,13.0,0.50,2.25,1.55,2.50,1.67,2.00,3.50,1.61,2.10,5.00,0,1
23,1.49,2.90,12.0,1.19,13.0,0.50,2.20,1.56,2.50,1.65,2.05,3.50,1.58,2.15,5.00,0,1
24,1.49,2.90,12.0,1.19,13.0,0.50,2.20,1.57,2.50,1.63,2.05,3.50,1.56,2.20,5.00,0,1
25,1.49,2.90,12.0,1.19,13.0,0.50,2.15,1.59,2.50,1.61,2.10,3.50,1.54,2.25,5.00,0,1
26,1.49,2.90,12.0,1.19,13.0,0.50,2.10,1.60,2.50,1.59,2.15,3.50,1.52,2.30,5.00,0,1
27,1.49,2.90,12.0,1.19,13.0,0.50,2.10,1.61,2.50,1.57,2.20,3.50,1.51,2.35,5.00,0,1
28,1.49,2.90,12.0,1.19,13.0,0.50,2.05,1.63,2.50,1.56,2.20,3.50,1.49,2.40,5.00,0,1
29,1.49,2.90,12.0,1.19,14.0,0.50,2.05,1.64,2.50,1.54,2.25,3.50,1.47,2.50,5.00,0,1
30,1.49,2.90,12.0,1.19,14.0,0.50,2.00,1.65,2.50,1.52,2.30,1,1,1,5.00,0,1
31,1.49,2.90,12.0,1.19,14.0,0.50,2.00,1.67,2.50,1.51,2.35,1,1,1,5.00,0,1
32,1.49,2.90,12.0,1.19,14.0,0.50,1.98,1.69,2.50,1.49,2.40,1,1,1,5.00,0,1
33,1.49,2.90,12.0,1.19,14.0,0.50,1.95,1.71,2.50,1.48,2.45,1,1,1,5.00,0,1
34,1.49,2.90,12.0,1.19,14.0,0.50,1.93,1.73,2.50,1.46,2.50,1,1,1,5.00,0,1
35,1.49,2.90,12.0,1.19,14.0,0.50,1.90,1.75,2.50,1.45,2.55,1,1,1,5.00,0,1
36,1.49,2.90,12.0,1.91,4.30,1.50,1.87,1.77,2.50,1.43,2.60,3.50,2.20,1.57,2.95,1,1
37,1.49,2.90,12.0,1.92,4.30,1.50,1.85,1.79,2.50,1.42,2.65,3.50,2.15,1.59,2.90,1,1
38,1.49,2.90,12.0,1.93,4.30,1.50,1.83,1.81,2.50,1.40,2.70,3.50,2.10,1.62,2.90,1,1
