min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.70,2.05,17.0,2.00,2.80,1.50,1.48,2.30,1.50,1.74,1.83,1,1,1,3.85,0,0
2,1.70,2.05,17.0,2.00,2.80,1.50,1.48,2.30,1.50,1.74,1.83,1,1,1,3.85,0,0
3,1.70,2.05,17.0,2.00,2.80,1.50,1.48,2.30,1.50,1.74,1.83,1,1,1,3.85,0,0
4,1.70,2.05,17.0,2.00,2.80,1.50,1.48,2.30,1.50,1.74,1.83,1,1,1,3.85,0,0
5,1.70,2.05,17.0,2.00,2.80,1.50,1.48,2.30,1.50,1.74,1.83,1,1,1,3.85,0,0
6,1.70,2.05,16.0,2.00,2.80,1.50,1.47,2.30,1.50,1.72,1.85,1,1,1,3.80,0,0
7,1.76,2.05,13.0,2.10,2.70,1.50,1.43,2.45,1.50,1.57,2.05,1,1,1,3.65,0,0
8,1.77,2.05,13.0,2.10,2.70,1.50,1.41,2.50,1.50,1.56,2.10,1,1,1,3.60,0,0
9,1.77,2.05,13.0,1.39,5.00,1.50,1.53,2.15,2.50,1.61,2.00,3.50,2.05,1.57,4.85,0,1
10,1.77,2.05,13.0,1.39,5.00,1.50,1.52,2.20,2.50,1.60,2.00,3.50,2.00,1.59,4.85,0,1
11,1.77,2.05,13.0,1.38,5.00,1.50,1.50,2.20,2.50,1.58,2.05,3.50,2.00,1.62,4.80,0,1
12,1.77,2.05,13.0,1.39,5.00,1.50,1.49,2.25,2.50,1.57,2.10,3.50,1.97,1.64,4.80,0,1
13,1.77,2.05,13.0,1.39,5.00,1.50,1.48,2.30,2.50,1.55,2.10,3.50,1.93,1.66,4.80,0,1
14,1.77,2.05,13.0,1.39,5.00,1.50,1.47,2.30,2.50,1.53,2.15,3.50,1.89,1.69,4.80,0,1
15,1.77,2.05,13.0,1.38,5.00,1.50,1.45,2.40,2.50,1.52,2.20,3.50,1.85,1.72,4.75,0,1
16,1.77,2.05,13.0,1.38,5.00,1.50,1.44,2.40,2.50,1.51,2.20,3.50,1.82,1.74,4.75,0,1
17,1.77,2.05,13.0,1.38,5.00,1.50,1.43,2.45,2.50,1.49,2.25,3.50,1.79,1.77,4.70,0,1
18,1.77,2.05,13.0,1.38,5.00,1.50,1.42,2.50,2.50,1.48,2.30,3.50,1.76,1.81,4.70,0,1
19,1.77,2.05,13.0,1.38,5.00,1.50,1.41,2.50,2.50,1.47,2.30,3.50,1.73,1.84,4.70,0,1
20,1.77,2.05,13.0,1.38,5.50,1.50,1.40,2.55,2.50,1.46,2.35,3.50,1.70,1.87,4.65,0,1
21,1.77,2.05,13.0,1.38,5.50,1.50,1.39,2.60,2.50,1.44,2.40,3.50,1.67,1.91,4.65,0,1
22,1.77,2.05,13.0,1.38,5.50,1.50,1.38,2.65,2.50,1.43,2.45,3.50,1.65,1.95,4.65,0,1
23,1.77,2.05,13.0,1.38,5.50,1.50,1.37,2.70,2.50,1.42,2.50,3.50,1.62,1.99,4.60,0,1
24,1.77,2.05,13.0,1.37,5.50,1.50,1.36,2.75,2.50,1.41,2.55,3.50,1.60,2.00,4.60,0,1
25,1.77,2.05,13.0,1.37,5.50,1.50,1.34,2.80,2.50,1.40,2.60,3.50,1.58,2.05,4.60,0,1
26,1.77,2.05,13.0,1.37,5.50,0.50,2.85,1.33,2.50,1.38,2.60,3.50,1.55,2.10,4.60,0,1
27,1.77,2.05,13.0,1.37,6.00,0.50,2.80,1.34,2.50,1.37,2.65,3.50,1.54,2.15,4.60,0,1
28,1.77,2.05,13.0,1.37,6.00,0.50,2.75,1.35,2.50,1.36,2.70,3.50,1.52,2.20,4.55,0,1
29,1.77,2.05,13.0,1.37,6.00,0.50,2.70,1.36,2.50,1.35,2.75,3.50,1.50,2.25,4.55,0,1
30,1.77,2.05,13.0,1.36,6.00,0.50,2.65,1.37,2.50,1.34,2.80,3.50,1.48,2.30,4.55,0,1
31,1.77,2.05,13.0,1.36,6.00,0.50,2.60,1.38,1.50,2.80,1.34,3.50,1.46,2.35,4.55,0,1
