min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,2.40,7.00,2.30,3.40,0.50,2.60,1.43,1.50,1.48,2.45,1,1,1,2.80,0,0
2,1.86,2.40,7.00,2.30,3.40,0.50,2.60,1.43,1.50,1.48,2.45,1,1,1,2.80,0,0
3,1.86,2.40,7.00,2.30,3.40,0.50,2.60,1.43,1.50,1.48,2.45,1,1,1,2.80,0,0
4,1.86,2.40,7.00,2.30,3.40,0.50,2.60,1.43,1.50,1.48,2.45,1,1,1,2.80,0,0
5,1.86,2.40,7.00,2.30,3.40,0.50,2.60,1.43,1.50,1.48,2.45,1,1,1,2.80,0,0
6,1.87,2.40,7.00,2.30,3.40,0.50,2.60,1.44,1.50,1.47,2.50,1,1,1,2.75,0,0
7,1.87,2.40,7.00,5.00,1.67,1.50,2.55,1.45,1.50,1.46,2.50,3.50,1.50,2.40,3.15,1,0
8,1.87,2.40,7.00,5.00,1.66,1.50,2.50,1.45,1.50,1.45,2.55,3.50,1.48,2.40,3.15,1,0
9,1.87,2.40,7.00,5.00,1.66,1.50,2.50,1.46,1.50,1.44,2.60,3.50,1.47,2.50,3.10,1,0
10,1.87,2.40,7.00,5.50,1.66,1.50,2.45,1.47,1.50,1.43,2.60,3.50,1.46,2.50,3.10,1,0
11,1.87,2.40,7.00,5.50,1.66,1.50,2.45,1.48,1.50,1.42,2.65,3.50,1.44,2.55,3.10,1,0
12,1.87,2.40,7.00,5.50,1.65,1.50,2.40,1.49,1.50,1.41,2.70,1,1,1,3.10,1,0
13,1.87,2.40,7.00,5.50,1.65,1.50,2.40,1.50,1.50,1.40,2.70,1,1,1,3.10,1,0
14,1.87,2.40,7.00,5.50,1.65,1.50,2.35,1.51,1.50,1.39,2.75,1,1,1,3.10,1,0
15,1.87,2.40,7.00,6.00,1.64,1.50,2.30,1.52,1.50,1.38,2.80,1,1,1,3.10,1,0
16,1.87,2.40,7.00,6.00,1.64,1.50,2.30,1.53,1.50,1.37,2.85,1,1,1,3.10,1,0
17,1.87,2.40,7.00,6.00,1.63,1.50,2.25,1.54,1.50,1.37,2.90,1,1,1,3.10,1,0
18,1.87,2.40,7.00,6.00,1.63,1.50,2.25,1.55,0.50,2.90,1.37,1,1,1,3.10,1,0
19,1.87,2.40,7.00,6.00,1.62,1.50,2.20,1.56,0.50,2.85,1.38,1,1,1,3.10,1,0
20,1.87,2.40,7.00,6.00,1.62,1.50,2.20,1.57,0.50,2.80,1.39,1,1,1,3.10,1,0
21,1.87,2.40,7.00,6.50,1.61,1.50,2.15,1.59,0.50,2.75,1.40,1,1,1,3.10,1,0
22,1.87,2.40,7.00,6.50,1.61,1.50,2.10,1.60,0.50,2.70,1.41,1,1,1,3.10,1,0
23,1.87,2.40,7.00,6.50,1.60,1.50,2.10,1.61,0.50,2.65,1.42,1,1,1,3.05,1,0
24,1.87,2.40,7.00,7.00,1.60,1.50,2.10,1.62,0.50,2.65,1.43,1,1,1,3.10,1,0
25,1.87,2.40,7.00,7.00,1.59,1.50,2.05,1.64,0.50,2.60,1.44,1,1,1,3.05,1,0
26,1.87,2.40,7.00,7.00,1.59,1.50,2.00,1.65,0.50,2.55,1.45,1,1,1,3.05,1,0
27,1.87,2.40,7.00,7.00,1.58,1.50,2.00,1.67,0.50,2.50,1.46,1,1,1,3.05,1,0
28,1.87,2.40,7.00,7.00,1.58,1.50,1.99,1.68,0.50,2.50,1.47,1,1,1,3.05,1,0
29,1.87,2.40,7.00,7.00,1.57,1.50,1.96,1.70,0.50,2.45,1.48,1,1,1,3.05,1,0
30,1.87,2.40,7.00,6.00,1.69,1.50,1.94,1.72,0.50,2.75,1.40,1,1,1,2.95,1,0
31,1.87,2.40,7.00,6.00,1.68,1.50,1.91,1.74,0.50,2.70,1.41,1,1,1,2.95,1,0
32,1.87,2.40,7.00,6.00,1.67,1.50,1.89,1.76,0.50,2.65,1.42,1,1,1,2.95,1,0
33,1.87,2.40,7.00,6.00,1.66,1.50,1.87,1.78,0.50,2.60,1.43,1,1,1,2.95,1,0
34,1.87,2.40,7.00,6.50,1.65,1.50,1.84,1.80,0.50,2.55,1.45,1,1,1,2.95,1,0
35,1.87,2.40,7.00,6.50,1.64,1.50,1.82,1.82,0.50,2.50,1.46,1,1,1,2.95,1,0
36,1.87,2.40,7.00,6.50,1.63,1.50,1.80,1.84,0.50,2.50,1.47,1,1,1,2.95,1,0
37,1.87,2.40,7.00,7.00,1.63,1.50,1.78,1.87,0.50,2.40,1.49,1,1,1,2.95,1,0
38,1.87,2.40,7.00,7.00,1.62,1.50,1.75,1.89,0.50,2.40,1.50,1,1,1,2.95,1,0
39,1.87,2.40,7.00,7.00,1.61,1.50,1.73,1.92,0.50,2.35,1.51,1,1,1,2.90,1,0
40,1.87,2.40,7.00,7.50,1.61,1.50,1.71,1.95,0.50,2.30,1.53,1,1,1,2.95,1,0
41,1.87,2.40,7.00,7.50,1.60,1.50,1.69,1.98,0.50,2.25,1.54,1,1,1,2.90,1,0
42,1.87,2.40,7.00,7.50,1.59,1.50,1.68,2.00,0.50,2.20,1.56,1,1,1,2.90,1,0
43,1.87,2.40,7.00,8.00,1.58,1.50,1.66,2.00,0.50,2.20,1.57,1,1,1,2.95,1,0
44,1.87,2.40,7.00,8.00,1.57,1.50,1.64,2.05,0.50,2.15,1.59,1,1,1,2.95,1,0
45,1.87,2.40,7.00,8.50,1.57,1.50,1.62,2.10,0.50,2.10,1.60,1,1,1,2.95,1,0
46,1.87,2.40,7.00,8.50,1.56,1.50,1.60,2.10,0.50,2.10,1.62,1,1,1,2.95,1,0
47,1.87,2.40,7.00,9.00,1.55,1.50,1.59,2.15,0.50,2.05,1.64,1,1,1,2.95,1,0
48,1.87,2.40,7.00,9.00,1.54,1.50,1.57,2.20,0.50,2.00,1.67,1,1,1,2.95,1,0
49,1.87,2.40,7.00,9.50,1.53,1.50,1.55,2.25,0.50,1.98,1.69,1,1,1,2.95,1,0
50,1.87,2.40,7.00,10.0,1.52,1.50,1.54,2.25,0.50,1.94,1.72,1,1,1,2.95,1,0
51,1.87,2.40,7.00,10.0,1.52,1.50,1.52,2.30,0.50,1.91,1.74,1,1,1,2.95,1,0
52,1.87,2.40,7.00,10.5,1.51,1.50,1.51,2.35,0.50,1.87,1.77,1,1,1,2.95,1,0
53,1.87,2.40,7.00,11.0,1.50,1.50,1.49,2.40,0.50,1.84,1.80,1,1,1,2.95,1,0
54,1.87,2.40,7.00,11.0,1.49,1.50,1.48,2.45,0.50,1.81,1.84,1,1,1,2.95,1,0
55,1.87,2.40,7.00,11.5,1.48,1.50,1.46,2.50,0.50,1.78,1.87,1.50,2.85,1.37,3.00,1,0
56,1.87,2.40,7.00,12.0,1.47,1.50,1.45,2.55,0.50,1.74,1.91,1.50,2.80,1.39,3.00,1,0
57,1.87,2.40,7.00,12.0,1.46,1.50,1.44,2.60,0.50,1.71,1.95,1.50,2.70,1.41,3.00,1,0
58,1.87,2.40,7.00,13.0,1.46,1.50,1.42,2.65,0.50,1.69,1.99,1.50,2.65,1.42,3.00,1,0
59,1.87,2.40,7.00,14.0,1.45,1.50,1.41,2.70,0.50,1.66,2.00,1.50,2.60,1.44,3.00,1,0
60,1.87,2.40,7.00,14.0,1.44,1.50,1.40,2.75,0.50,1.63,2.05,1.50,2.50,1.46,3.05,1,0
61,1.87,2.40,7.00,15.0,1.43,1.50,1.38,2.80,0.50,1.61,2.10,1.50,2.40,1.48,3.05,1,0
62,1.87,2.40,7.00,15.0,1.42,1.50,1.37,2.90,0.50,1.58,2.15,1.50,2.35,1.51,3.10,1,0
63,1.87,2.40,7.00,16.0,1.41,1.50,1.35,2.95,0.50,1.56,2.20,1.50,2.30,1.53,3.10,1,0
64,1.87,2.40,7.00,17.0,1.40,1.50,1.34,3.05,0.50,1.54,2.25,1.50,2.20,1.56,3.10,1,0
65,1.87,2.40,7.00,18.0,1.39,1.50,1.32,3.10,0.50,1.51,2.35,1.50,2.15,1.59,3.15,1,0
