min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,2.60,1.62,10.5,3.90,1.81,1.50,1.76,1.88,0.50,2.60,1.44,1,1,1,3.40,0,0
5,2.60,1.62,10.5,3.90,1.81,1.50,1.76,1.88,0.50,2.60,1.44,1,1,1,3.40,0,0
6,2.60,1.62,10.0,3.90,1.82,1.50,1.74,1.91,0.50,2.55,1.45,1,1,1,3.35,0,0
7,2.60,1.62,10.0,3.90,1.82,1.50,1.72,1.93,0.50,2.55,1.45,1,1,1,3.35,0,0
8,2.60,1.63,10.0,3.90,1.83,1.50,1.70,1.96,0.50,2.50,1.46,1,1,1,3.30,0,0
9,2.60,1.63,9.50,3.90,1.83,1.50,1.68,1.99,0.50,2.50,1.47,1,1,1,3.30,0,0
10,2.65,1.63,9.50,3.90,1.84,1.50,1.67,2.00,0.50,2.45,1.48,1,1,1,3.30,0,0
11,2.65,1.64,9.00,3.90,1.85,1.50,1.65,2.05,0.50,2.40,1.49,1,1,1,3.25,0,0
12,2.65,1.64,9.00,1.88,3.70,1.50,1.63,2.05,1.50,2.40,1.50,3.50,1.62,2.10,3.40,0,1
13,2.65,1.64,9.00,1.86,3.70,1.50,1.61,2.10,1.50,2.35,1.51,3.50,1.59,2.15,3.35,0,1
14,2.65,1.64,9.00,1.86,3.75,1.50,1.60,2.10,1.50,2.30,1.52,3.50,1.58,2.20,3.35,0,1
15,2.65,1.64,9.00,1.85,3.80,1.50,1.58,2.15,1.50,2.30,1.53,3.50,1.56,2.20,3.35,0,1
16,2.65,1.64,9.00,1.83,3.85,1.50,1.57,2.20,1.50,2.30,1.54,3.50,1.54,2.25,3.35,0,1
17,2.65,1.64,9.00,1.83,3.90,1.50,1.55,2.25,1.50,2.25,1.55,3.50,1.52,2.30,3.35,0,1
