min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.34,2.75,20.0,1.33,5.00,1.50,1.39,2.45,2.50,1.71,1.78,3.50,1.94,1.59,5.00,0,0
2,1.34,2.75,20.0,1.33,5.00,1.50,1.39,2.45,2.50,1.71,1.78,3.50,1.94,1.59,5.00,0,0
3,1.34,2.75,20.0,1.33,5.00,1.50,1.39,2.45,2.50,1.71,1.78,3.50,1.94,1.59,5.00,0,0
4,1.34,2.75,20.0,1.33,5.00,1.50,1.39,2.45,2.50,1.71,1.78,3.50,1.94,1.59,5.00,0,0
5,1.34,2.75,20.0,1.33,5.00,1.50,1.39,2.45,2.50,1.71,1.78,3.50,1.94,1.59,5.00,0,0
6,1.34,2.75,20.0,1.33,5.00,1.50,1.38,2.45,2.50,1.68,1.81,3.50,1.90,1.61,4.95,0,0
7,1.35,2.75,20.0,1.34,5.00,1.50,1.37,2.50,2.50,1.66,1.84,3.50,1.86,1.64,4.90,0,0
8,1.35,2.75,20.0,1.34,5.00,1.50,1.36,2.55,2.50,1.63,1.88,3.50,1.82,1.67,4.85,0,0
9,1.35,2.80,20.0,1.35,5.00,1.50,1.35,2.60,2.50,1.61,1.91,3.50,1.79,1.70,4.80,0,0
10,1.35,2.75,20.0,1.34,5.00,1.50,1.39,2.40,2.50,1.68,1.81,3.50,1.92,1.61,4.90,0,0
11,1.35,2.75,20.0,1.34,5.00,1.50,1.38,2.45,2.50,1.65,1.85,3.50,1.87,1.64,4.85,0,0
12,1.35,2.75,20.0,1.36,5.00,1.50,1.37,2.50,2.50,1.63,1.88,3.50,1.83,1.66,4.80,0,0
13,1.35,2.75,20.0,1.36,5.00,1.50,1.36,2.55,2.50,1.60,1.92,3.50,1.79,1.70,4.75,0,0
14,1.36,2.75,20.0,1.36,5.00,1.50,1.35,2.60,2.50,1.58,1.95,3.50,1.76,1.73,4.70,0,0
15,1.36,2.75,20.0,1.37,4.95,1.50,1.34,2.60,2.50,1.56,1.99,3.50,1.72,1.76,4.70,0,0
16,1.45,2.45,20.0,1.51,3.80,1.50,1.42,2.30,2.50,1.41,2.35,3.50,1.62,1.89,4.20,0,0
17,1.45,2.35,20.0,1.51,3.60,1.50,1.50,2.10,2.50,1.47,2.20,3.50,1.82,1.67,4.50,0,0
18,1.45,2.35,20.0,1.52,3.60,1.50,1.49,2.10,2.50,1.45,2.20,3.50,1.78,1.71,4.50,0,0
19,1.46,2.35,20.0,1.52,3.60,1.50,1.47,2.15,2.50,1.43,2.30,3.50,1.74,1.75,4.45,0,0
