min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.83,2.10,11.5,2.25,2.90,1.50,1.47,2.50,1.50,1.63,2.05,2.50,1.87,1.77,3.30,0,0
2,1.83,2.10,11.5,2.25,2.90,1.50,1.47,2.50,1.50,1.63,2.05,2.50,1.87,1.77,3.30,0,0
3,1.83,2.10,11.5,2.25,2.90,1.50,1.47,2.50,1.50,1.63,2.05,2.50,1.87,1.77,3.30,0,0
4,1.84,2.10,11.5,2.25,2.90,1.50,1.46,2.50,1.50,1.61,2.10,2.50,1.84,1.80,3.30,0,0
5,1.84,2.15,11.0,2.25,2.90,1.50,1.45,2.55,1.50,1.59,2.15,2.50,1.80,1.84,3.30,0,0
6,1.85,2.15,11.0,2.30,2.90,1.50,1.44,2.60,1.50,1.58,2.15,2.50,1.78,1.87,3.30,0,0
7,1.85,2.15,10.5,2.30,2.90,1.50,1.43,2.65,1.50,1.57,2.20,2.50,1.75,1.90,3.25,0,0
8,1.86,2.15,10.5,2.30,2.95,1.50,1.42,2.65,1.50,1.55,2.25,2.50,1.72,1.93,3.25,0,0
9,1.86,2.15,10.0,2.30,2.95,1.50,1.41,2.70,1.50,1.54,2.30,2.50,1.69,1.98,3.20,0,0
10,1.86,2.15,10.0,1.40,7.00,1.50,1.40,2.75,2.50,1.53,2.30,3.50,1.71,1.96,4.20,0,1
11,1.86,2.15,10.0,1.40,7.00,1.50,1.42,2.70,2.50,1.55,2.25,3.50,1.75,1.90,4.20,0,1
12,1.86,2.15,10.0,1.40,7.00,1.50,1.40,2.70,2.50,1.53,2.30,3.50,1.72,1.93,4.20,0,1
13,1.86,2.15,10.0,1.40,7.00,1.50,1.40,2.75,2.50,1.52,2.30,3.50,1.69,1.98,4.20,0,1
14,1.86,2.15,10.0,1.40,7.00,1.50,1.39,2.80,2.50,1.51,2.35,3.50,1.67,2.00,4.20,0,1
15,1.86,2.15,10.0,1.40,7.00,1.50,1.37,2.85,2.50,1.49,2.40,3.50,1.65,2.05,4.15,0,1
16,1.86,2.15,10.0,1.40,7.00,1.50,1.37,2.90,2.50,1.48,2.45,3.50,1.62,2.10,4.15,0,1
17,1.86,2.15,10.0,1.40,7.00,1.50,1.35,2.95,2.50,1.46,2.50,3.50,1.60,2.10,4.15,0,1
18,1.86,2.15,10.0,1.40,7.50,1.50,1.35,3.00,2.50,1.45,2.55,3.50,1.58,2.15,4.15,0,1
19,1.86,2.15,10.0,1.40,7.50,1.50,1.34,3.05,2.50,1.44,2.60,3.50,1.56,2.20,4.10,0,1
20,1.86,2.15,10.0,1.40,7.50,1.50,1.32,3.10,2.50,1.43,2.65,3.50,1.54,2.30,4.10,0,1
21,1.86,2.15,10.0,1.39,8.00,1.50,1.31,3.15,2.50,1.41,2.70,3.50,1.51,2.35,4.10,0,1
22,1.86,2.15,10.0,1.39,8.00,1.50,1.30,3.20,2.50,1.40,2.75,3.50,1.49,2.40,4.10,0,1
23,1.86,2.15,10.0,1.39,7.50,1.50,1.31,3.15,2.50,1.41,2.70,3.50,1.52,2.30,4.10,0,1
24,1.86,2.15,10.0,1.39,8.00,1.50,1.30,3.20,2.50,1.40,2.75,3.50,1.50,2.40,4.10,0,1
25,1.86,2.15,10.0,1.39,8.00,1.50,1.29,3.30,2.50,1.39,2.80,3.50,1.48,2.45,4.10,0,1
