min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.70,1.50,12.0,4.30,1.60,1.50,1.98,1.63,0.50,2.55,1.41,1,1,1,3.60,0,0
2,2.70,1.50,12.0,4.30,1.60,1.50,1.98,1.63,0.50,2.55,1.41,1,1,1,3.60,0,0
3,2.70,1.50,12.0,4.30,1.60,1.50,1.98,1.63,0.50,2.55,1.41,1,1,1,3.60,0,0
4,2.70,1.50,12.0,4.30,1.60,1.50,1.98,1.63,0.50,2.55,1.41,1,1,1,3.60,0,0
5,2.70,1.50,12.0,4.30,1.60,1.50,1.98,1.63,0.50,2.55,1.41,1,1,1,3.60,0,0
6,2.70,1.51,12.0,4.10,1.62,1.50,1.85,1.72,0.50,2.45,1.44,1,1,1,3.60,0,0
7,2.70,1.51,11.5,4.10,1.62,1.50,1.83,1.73,0.50,2.40,1.45,1,1,1,3.60,0,0
8,2.70,1.51,11.5,4.10,1.63,1.50,1.81,1.76,0.50,2.40,1.45,1,1,1,3.60,0,0
9,2.70,1.52,11.0,4.10,1.64,1.50,1.78,1.78,0.50,2.35,1.46,1,1,1,3.55,0,0
10,2.70,1.52,11.0,4.15,1.64,1.50,1.76,1.81,0.50,2.30,1.47,1,1,1,3.55,0,0
11,2.70,1.52,10.5,4.15,1.65,1.50,1.74,1.83,0.50,2.30,1.48,1,1,1,3.50,0,0
12,2.70,1.53,10.0,4.10,1.66,1.50,1.72,1.85,0.50,2.25,1.49,1,1,1,3.50,0,0
13,2.70,1.53,10.0,4.15,1.67,1.50,1.70,1.88,0.50,2.25,1.50,1,1,1,3.45,0,0
14,2.70,1.53,10.0,4.10,1.67,1.50,1.68,1.91,0.50,2.20,1.51,1,1,1,3.45,0,0
15,2.70,1.57,9.00,3.95,1.73,1.50,1.58,2.05,0.50,2.15,1.53,1,1,1,3.30,0,0
16,2.70,1.58,8.50,3.95,1.74,1.50,1.57,2.10,0.50,2.15,1.54,1,1,1,3.30,0,0
17,2.70,1.58,8.00,3.95,1.76,1.50,1.55,2.10,0.50,2.10,1.55,1,1,1,3.25,0,0
18,2.70,1.59,8.00,4.00,1.76,1.50,1.53,2.15,0.50,2.10,1.56,1,1,1,3.25,0,0
19,2.70,1.59,8.00,3.95,1.77,1.50,1.52,2.20,0.50,2.05,1.57,1,1,1,3.20,0,0
20,2.75,1.60,7.50,3.95,1.78,1.50,1.50,2.20,0.50,2.05,1.58,1,1,1,3.20,0,0
21,2.75,1.60,7.50,3.95,1.79,1.50,1.49,2.25,0.50,2.00,1.60,1,1,1,3.15,0,0
22,2.75,1.61,7.00,4.00,1.80,1.50,1.48,2.30,0.50,2.00,1.61,1,1,1,3.15,0,0
23,2.75,1.61,7.00,4.00,1.81,1.50,1.46,2.35,0.50,1.99,1.63,1.50,2.40,1.44,3.10,0,0
24,2.80,1.62,6.50,4.00,1.83,1.50,1.45,2.40,0.50,1.96,1.64,1.50,2.35,1.46,3.10,0,0
25,2.80,1.63,6.50,4.00,1.83,1.50,1.44,2.40,0.50,1.94,1.66,1.50,2.30,1.47,3.05,0,0
26,2.80,1.63,6.00,4.00,1.83,1.50,1.43,2.45,0.50,1.91,1.67,1.50,2.25,1.49,3.00,0,0
27,2.80,1.64,6.00,4.00,1.85,1.50,1.41,2.50,0.50,1.89,1.69,1.50,2.20,1.51,3.00,0,0
28,2.80,1.65,6.00,4.00,1.86,1.50,1.40,2.55,0.50,1.87,1.71,1.50,2.15,1.53,3.00,0,0
29,2.85,1.66,6.00,4.00,1.87,1.50,1.39,2.60,0.50,1.85,1.72,1.50,2.10,1.54,2.95,0,0
30,2.85,1.66,5.50,4.00,1.89,1.50,1.38,2.65,0.50,1.82,1.74,1.50,2.10,1.56,2.90,0,0
31,2.85,1.67,5.50,4.00,1.89,1.50,1.36,2.70,0.50,1.80,1.76,1.50,2.05,1.59,2.90,0,0
32,2.90,1.68,5.00,4.00,1.91,1.50,1.35,2.75,0.50,1.78,1.78,1.50,2.00,1.61,2.90,0,0
33,2.90,1.69,5.00,4.00,1.92,1.50,1.34,2.80,0.50,1.76,1.81,1.50,1.98,1.63,2.85,0,0
34,2.85,1.73,5.00,3.95,1.99,0.50,2.75,1.36,0.50,1.75,1.81,1.50,1.91,1.68,2.80,0,0
35,2.85,1.75,4.95,3.95,2.00,0.50,2.70,1.37,0.50,1.73,1.84,1.50,1.87,1.71,2.75,0,0
36,2.90,1.76,4.80,3.95,2.00,0.50,2.60,1.38,0.50,1.71,1.86,1.50,1.82,1.74,2.70,0,0
37,2.90,1.77,4.60,3.95,2.00,0.50,2.60,1.40,0.50,1.69,1.89,1.50,1.79,1.78,2.70,0,0
38,2.80,1.85,4.50,3.70,2.10,0.50,2.45,1.43,0.50,1.73,1.84,1.50,1.75,1.82,2.65,0,0
39,2.80,1.86,4.35,3.70,2.15,0.50,2.40,1.45,0.50,1.71,1.87,1.50,1.72,1.86,2.60,0,0
40,2.80,1.88,4.25,3.75,2.15,0.50,2.35,1.46,0.50,1.69,1.89,1.50,1.69,1.89,2.60,0,0
41,2.85,1.89,4.15,3.75,2.20,0.50,2.30,1.47,0.50,1.67,1.92,1.50,1.66,1.94,2.55,0,0
42,2.85,1.91,4.00,3.80,2.20,0.50,2.25,1.49,0.50,1.65,1.95,1.50,1.63,1.98,2.50,0,0
43,2.90,1.92,3.95,3.80,2.20,0.50,2.25,1.50,0.50,1.63,1.97,1.50,1.61,2.00,2.50,0,0
44,3.20,1.81,3.80,4.35,2.00,0.50,2.35,1.47,0.50,1.53,2.15,1.50,1.58,2.05,2.50,0,0
45,3.20,1.83,3.70,4.35,2.05,0.50,2.30,1.48,0.50,1.52,2.20,1.50,1.55,2.10,2.45,0,0
46,3.25,1.85,3.60,4.35,2.05,0.50,2.25,1.50,0.50,1.50,2.20,1.50,1.53,2.15,2.45,0,0
47,3.25,1.87,3.55,4.40,2.10,0.50,2.20,1.51,0.50,1.49,2.25,1.50,1.51,2.20,2.40,0,0
48,3.30,1.89,3.45,4.40,2.10,0.50,2.15,1.53,0.50,1.48,2.30,1.50,1.49,2.30,2.35,0,0
49,3.30,1.91,3.35,4.45,2.15,0.50,2.10,1.55,0.50,1.46,2.35,1.50,1.46,2.35,2.35,0,0
50,3.35,1.93,3.25,4.45,2.20,0.50,2.05,1.57,0.50,1.45,2.40,1.50,1.44,2.40,2.30,0,0
51,3.40,1.96,3.20,4.50,2.20,0.50,2.00,1.59,0.50,1.44,2.45,1.50,1.42,2.50,2.25,0,0
52,3.40,1.98,3.10,4.55,2.20,0.50,2.00,1.61,0.50,1.42,2.50,1.50,1.40,2.55,2.25,0,0
53,3.45,2.00,3.05,4.55,2.25,0.50,1.97,1.64,0.50,1.41,2.50,1.50,1.39,2.60,2.20,0,0
54,3.50,2.00,2.95,4.60,2.30,0.50,1.92,1.66,0.50,1.40,2.60,1.50,1.37,2.70,2.15,0,0
55,3.55,2.05,2.90,4.65,2.30,0.50,1.88,1.69,0.50,1.39,2.60,1.50,1.35,2.80,2.10,0,0
56,3.60,2.05,2.80,4.65,2.35,0.50,1.85,1.72,0.50,1.37,2.65,0.50,2.80,1.34,2.10,0,0
57,3.60,2.10,2.70,4.70,2.35,0.50,1.81,1.75,0.50,1.36,2.70,0.50,2.70,1.36,2.05,0,0
58,3.65,2.15,2.65,4.75,2.40,0.50,1.78,1.79,0.50,1.35,2.80,0.50,2.65,1.38,2.00,0,0
59,3.70,2.15,2.60,4.80,2.45,0.50,1.74,1.82,0.50,1.33,2.85,0.50,2.60,1.40,2.00,0,0
60,3.80,2.20,2.50,4.90,2.50,0.50,1.71,1.87,0.50,1.32,2.90,0.50,2.50,1.42,1.97,0,0
61,3.85,2.25,2.45,4.95,2.50,0.50,1.68,1.91,0.50,1.31,2.95,0.50,2.45,1.44,1.94,0,0
62,3.90,2.30,2.35,5.00,2.55,0.50,1.65,1.95,0.50,1.29,3.00,0.50,2.35,1.46,1.90,0,0
63,3.95,2.35,2.30,5.00,2.60,0.50,1.62,2.00,0.50,1.28,3.10,0.50,2.30,1.48,1.86,0,0
64,4.05,2.40,2.20,5.00,2.65,0.50,1.59,2.00,0.50,1.26,3.20,0.50,2.20,1.51,1.83,0,0
65,4.10,2.45,2.15,5.00,2.70,0.50,1.56,2.10,0.50,1.25,3.25,0.50,2.15,1.54,1.79,0,0
66,4.20,2.50,2.10,5.00,2.75,0.50,1.53,2.15,0.50,1.23,3.35,0.50,2.10,1.56,1.76,0,0
67,4.30,2.55,2.00,5.00,2.80,0.50,1.51,2.20,0.50,1.22,3.40,0.50,2.00,1.60,1.72,0,0
68,4.40,2.60,1.97,5.00,2.85,0.50,1.49,2.30,0.50,1.21,3.50,0.50,1.97,1.63,1.69,0,0
69,4.50,2.70,1.91,5.50,2.90,0.50,1.46,2.35,0.50,1.19,3.65,0.50,1.91,1.68,1.66,0,0
70,4.60,2.75,1.85,5.50,3.00,0.50,1.44,2.40,0.50,1.17,3.75,0.50,1.85,1.72,1.63,0,0
71,4.75,2.80,1.79,5.50,3.05,0.50,1.42,2.50,0.50,1.16,3.90,0.50,1.79,1.77,1.60,0,0
72,4.90,2.90,1.74,5.50,3.10,0.50,1.39,2.60,0.50,1.15,4.00,0.50,1.74,1.83,1.57,0,0
73,5.00,2.95,1.69,6.00,3.20,0.50,1.37,2.65,0.50,1.13,4.15,0.50,1.69,1.89,1.54,0,0
74,5.00,3.05,1.65,6.00,3.30,0.50,1.35,2.75,0.50,1.12,4.30,0.50,1.65,1.95,1.51,0,0
75,5.00,3.15,1.60,6.00,3.40,0.50,1.33,2.85,0.50,1.11,4.50,0.50,1.60,2.00,1.48,0,0
76,5.50,3.25,1.55,6.50,3.55,0.50,1.30,3.00,0.50,1.09,4.70,0.50,1.55,2.10,1.46,0,0
77,5.50,3.40,1.51,6.50,3.65,0.50,1.28,3.10,0.50,1.08,4.95,0.50,1.51,2.20,1.43,0,0
78,6.00,3.50,1.48,7.00,3.80,0.50,1.25,3.25,0.50,1.07,5.00,0.50,1.48,2.30,1.40,0,0
79,6.00,3.70,1.44,7.00,3.95,0.50,1.23,3.40,0.50,1.06,5.00,0.50,1.44,2.40,1.37,0,0
80,6.50,3.85,1.40,7.50,4.10,0.50,1.20,3.60,0.50,1.05,5.50,0.50,1.40,2.55,1.34,0,0
81,7.00,4.05,1.37,8.00,4.35,0.50,1.17,3.75,0.50,1.04,6.00,0.50,1.37,2.70,1.31,0,0
82,7.50,4.30,1.33,8.50,4.60,0.50,1.15,4.00,0.50,1.04,6.50,0.50,1.33,2.85,1.28,0,0
83,8.00,4.60,1.29,9.00,4.80,0.50,1.12,4.30,0.50,1.03,7.00,0.50,1.29,3.00,1.25,0,0
84,8.50,4.90,1.26,9.50,5.00,0.50,1.10,4.60,0.50,1.03,7.50,0.50,1.26,3.20,1.22,0,0
85,9.00,5.00,1.22,10.0,5.50,0.50,1.08,5.00,0.50,1.03,8.00,0.50,1.22,3.45,1.18,0,0
86,10.0,5.50,1.18,10.5,6.00,0.50,1.06,5.00,0.50,1.02,9.00,0.50,1.18,3.75,1.15,0,0
87,11.0,6.00,1.14,11.5,6.50,0.50,1.05,6.00,0.50,1.02,10.0,0.50,1.14,4.10,1.12,0,0
88,12.0,7.00,1.10,13.0,7.50,0.50,1.03,6.50,1,1,1,0.50,1.10,4.55,1.09,0,0
89,12.0,8.00,1.07,14.0,8.00,1,1,1,1,1,1,1,1,1,1.06,0,0
90,12.0,9.00,1.05,14.0,8.00,1,1,1,1,1,1,1,1,1,1.06,0,0
91,12.0,9.00,1.05,14.0,8.00,1,1,1,1,1,1,1,1,1,1.06,0,0
92,12.0,9.00,1.05,14.0,8.00,1,1,1,1,1,1,1,1,1,1.06,0,0
