min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.45,1.56,20.0,3.65,1.67,1.50,2.35,1.51,1.50,1.49,2.40,3.50,1.61,2.10,4.20,0,0
2,2.45,1.56,20.0,3.65,1.67,1.50,2.35,1.51,1.50,1.49,2.40,3.50,1.61,2.10,4.20,0,0
3,2.45,1.56,20.0,3.65,1.67,1.50,2.35,1.51,1.50,1.49,2.40,3.50,1.61,2.10,4.20,0,0
4,2.45,1.56,20.0,3.65,1.67,1.50,2.35,1.51,1.50,1.49,2.40,3.50,1.61,2.10,4.20,0,0
5,2.45,1.56,20.0,3.65,1.67,1.50,2.35,1.51,1.50,1.49,2.40,3.50,1.61,2.10,4.20,0,0
6,2.45,1.56,20.0,3.70,1.68,1.50,2.30,1.52,1.50,1.48,2.45,3.50,1.60,2.15,4.15,0,0
7,2.45,1.56,19.0,3.70,1.70,1.50,2.30,1.53,1.50,1.47,2.50,3.50,1.58,2.20,4.10,0,0
8,2.45,1.56,19.0,3.65,1.70,1.50,2.25,1.55,1.50,1.46,2.50,3.50,1.55,2.25,4.10,0,0
9,2.45,1.57,18.0,3.65,1.70,1.50,2.20,1.56,1.50,1.45,2.55,3.50,1.54,2.30,4.10,0,0
10,2.45,1.57,18.0,3.65,1.71,1.50,2.15,1.58,1.50,1.44,2.60,3.50,1.52,2.30,4.05,0,0
11,2.45,1.57,17.0,3.65,1.71,1.50,2.10,1.60,1.50,1.43,2.65,1,1,1,4.00,0,0
12,2.45,1.57,17.0,3.65,1.72,1.50,2.10,1.61,1.50,1.42,2.65,1,1,1,4.00,0,0
13,2.45,1.58,16.0,3.65,1.72,1.50,2.05,1.63,1.50,1.41,2.70,1,1,1,3.95,0,0
14,2.45,1.58,16.0,3.65,1.73,1.50,2.00,1.65,1.50,1.40,2.75,1,1,1,3.90,0,0
15,2.50,1.58,15.0,3.65,1.74,1.50,2.00,1.67,1.50,1.39,2.80,1,1,1,3.90,0,0
16,2.50,1.58,15.0,3.65,1.74,1.50,1.98,1.69,1.50,1.38,2.80,1,1,1,3.85,0,0
17,2.50,1.59,15.0,3.65,1.75,1.50,1.95,1.71,1.50,1.37,2.85,1,1,1,3.85,0,0
18,2.50,1.59,14.0,3.65,1.76,1.50,1.92,1.74,0.50,2.90,1.37,1,1,1,3.80,0,0
19,2.50,1.59,14.0,3.65,1.76,1.50,1.89,1.76,0.50,2.85,1.37,1,1,1,3.80,0,0
20,2.50,1.60,13.0,3.65,1.77,1.50,1.86,1.79,0.50,2.80,1.38,1,1,1,3.75,0,0
21,2.70,1.51,15.0,4.20,1.61,1.50,2.10,1.62,0.50,2.70,1.41,1,1,1,4.00,0,0
22,2.70,1.52,14.0,4.25,1.62,1.50,2.05,1.64,0.50,2.65,1.42,1,1,1,3.95,0,0
23,2.70,1.52,14.0,4.20,1.62,1.50,2.00,1.66,0.50,2.60,1.44,1,1,1,3.90,0,0
24,2.70,1.52,13.0,4.20,1.63,1.50,1.99,1.68,0.50,2.55,1.45,1,1,1,3.90,0,0
25,2.75,1.53,13.0,4.20,1.63,1.50,1.96,1.71,0.50,2.50,1.46,1,1,1,3.85,0,0
26,2.75,1.53,13.0,4.20,1.64,1.50,1.92,1.74,0.50,2.50,1.47,1,1,1,3.80,0,0
27,2.75,1.53,12.0,4.20,1.65,1.50,1.89,1.76,0.50,2.45,1.48,1,1,1,3.80,0,0
28,2.75,1.54,12.0,4.20,1.65,1.50,1.85,1.79,0.50,2.40,1.49,1,1,1,3.75,0,0
29,2.75,1.54,11.5,4.20,1.66,1.50,1.82,1.82,0.50,2.40,1.50,1,1,1,3.70,0,0
30,2.80,1.54,11.0,4.20,1.67,1.50,1.79,1.85,0.50,2.35,1.51,1,1,1,3.70,0,0
31,2.80,1.55,11.0,4.20,1.68,1.50,1.76,1.88,0.50,2.30,1.53,1,1,1,3.65,0,0
32,2.80,1.55,10.5,4.20,1.69,1.50,1.74,1.92,0.50,2.30,1.54,1,1,1,3.60,0,0
33,2.80,1.56,10.0,4.20,1.69,1.50,1.71,1.95,0.50,2.25,1.55,1,1,1,3.60,0,0
34,2.80,1.56,10.0,4.20,1.70,1.50,1.68,1.99,0.50,2.20,1.56,1,1,1,3.55,0,0
35,2.80,1.57,9.50,4.20,1.71,1.50,1.66,2.00,0.50,2.15,1.58,1,1,1,3.50,0,0
36,2.85,1.58,9.00,4.20,1.72,1.50,1.63,2.05,0.50,2.10,1.60,1,1,1,3.45,0,0
37,2.85,1.58,8.50,4.20,1.73,1.50,1.61,2.10,0.50,2.10,1.61,1,1,1,3.40,0,0
38,2.85,1.59,8.50,4.20,1.74,1.50,1.58,2.15,0.50,2.05,1.63,1,1,1,3.40,0,0
39,2.90,1.60,8.00,4.20,1.76,1.50,1.56,2.20,0.50,2.05,1.64,1,1,1,3.35,0,0
40,2.90,1.60,8.00,4.20,1.77,1.50,1.54,2.25,0.50,2.00,1.66,1,1,1,3.30,0,0
41,2.90,1.61,7.50,4.20,1.78,1.50,1.53,2.30,0.50,1.99,1.68,1.50,2.50,1.46,3.30,0,0
42,2.90,1.62,7.00,4.20,1.78,1.50,1.51,2.35,0.50,1.96,1.71,1.50,2.45,1.48,3.25,0,0
43,2.90,1.63,7.00,4.20,1.81,1.50,1.49,2.40,0.50,1.93,1.73,1.50,2.40,1.50,3.20,0,0
44,2.95,1.63,6.50,4.25,1.82,1.50,1.47,2.50,0.50,1.90,1.75,1.50,2.30,1.52,3.15,0,0
45,2.95,1.64,6.50,4.20,1.83,1.50,1.45,2.55,0.50,1.87,1.77,1.50,2.25,1.54,3.15,0,0
46,3.80,1.48,6.00,6.00,1.55,1.50,1.56,2.20,0.50,1.56,2.20,1.50,2.20,1.57,3.35,0,0
47,3.80,1.49,6.00,6.00,1.57,1.50,1.53,2.30,0.50,1.55,2.25,1.50,2.15,1.59,3.30,0,0
48,3.80,1.50,5.50,6.00,1.58,1.50,1.51,2.35,0.50,1.53,2.30,1.50,2.05,1.63,3.25,0,0
49,3.85,1.51,5.00,6.00,1.60,1.50,1.49,2.40,0.50,1.52,2.30,1.50,2.00,1.66,3.20,0,0
50,3.90,1.52,5.00,6.00,1.61,1.50,1.47,2.50,0.50,1.51,2.35,1.50,1.97,1.69,3.15,0,0
51,3.90,1.53,5.00,6.00,1.62,1.50,1.45,2.55,0.50,1.49,2.40,1.50,1.92,1.73,3.10,0,0
52,3.95,1.54,4.90,6.00,1.63,1.50,1.43,2.60,0.50,1.48,2.45,1.50,1.87,1.78,3.05,0,0
53,3.95,1.55,4.75,6.00,1.65,1.50,1.41,2.70,0.50,1.46,2.50,1.50,1.82,1.82,3.00,0,0
54,4.00,1.56,4.60,6.00,1.67,1.50,1.39,2.80,0.50,1.45,2.55,1.50,1.78,1.87,2.95,0,0
55,4.05,1.58,4.40,6.00,1.69,1.50,1.37,2.85,0.50,1.44,2.60,1.50,1.74,1.92,2.90,0,0
56,4.10,1.59,4.25,6.00,1.70,0.50,2.85,1.37,0.50,1.42,2.65,1.50,1.69,1.98,2.85,0,0
57,4.10,1.61,4.10,21.0,1.08,1.50,2.80,1.39,0.50,1.46,2.50,1,1,1,7.00,1,0
58,4.10,1.61,4.10,21.0,1.08,1.50,2.70,1.41,0.50,1.45,2.55,1,1,1,7.00,1,0
59,4.10,1.61,4.10,22.0,1.08,1.50,2.65,1.43,0.50,1.43,2.60,1,1,1,7.00,1,0
60,4.10,1.61,4.10,22.0,1.08,1.50,2.55,1.45,0.50,1.42,2.65,1,1,1,7.00,1,0
61,4.10,1.61,4.10,23.0,1.08,1.50,2.50,1.47,0.50,1.40,2.70,1,1,1,7.00,1,0
62,4.10,1.61,4.10,23.0,1.08,1.50,2.40,1.49,0.50,1.39,2.80,1,1,1,7.00,1,0
63,4.10,1.61,4.10,23.0,1.08,1.50,2.35,1.51,0.50,1.37,2.85,1,1,1,7.00,1,0
64,4.10,1.61,4.10,24.0,1.08,1.50,2.25,1.54,0.50,1.36,2.90,1,1,1,7.00,1,0
65,4.10,1.61,4.10,25.0,1.07,1.50,2.20,1.57,0.50,1.34,3.00,1,1,1,7.00,1,0
66,4.10,1.61,4.10,26.0,1.07,1.50,2.10,1.60,0.50,1.33,3.10,1,1,1,7.00,1,0
67,4.10,1.61,4.10,26.0,1.07,1.50,2.05,1.63,0.50,1.31,3.15,1,1,1,7.00,1,0
68,4.10,1.61,4.10,27.0,1.07,1.50,2.00,1.67,0.50,1.29,3.25,1.50,2.80,1.38,7.00,1,0
69,4.10,1.61,4.10,28.0,1.07,1.50,1.95,1.71,0.50,1.28,3.35,1.50,2.70,1.41,7.00,1,0
70,4.10,1.61,4.10,29.0,1.06,1.50,1.89,1.76,0.50,1.26,3.45,1.50,2.60,1.44,7.00,1,0
71,4.10,1.61,4.10,30.0,1.06,1.50,1.83,1.81,0.50,1.24,3.55,1.50,2.50,1.46,7.00,1,0
72,4.10,1.61,4.10,30.0,1.06,1.50,1.78,1.87,0.50,1.22,3.65,1.50,2.40,1.50,7.00,1,0
73,4.10,1.61,4.10,32.0,1.06,1.50,1.72,1.93,0.50,1.21,3.80,1.50,2.30,1.53,7.50,1,0
74,4.10,1.61,4.10,33.0,1.06,1.50,1.68,2.00,0.50,1.19,3.95,1.50,2.20,1.57,7.50,1,0
75,4.10,1.61,4.10,34.0,1.06,1.50,1.63,2.05,0.50,1.17,4.10,1.50,2.10,1.62,7.50,1,0
76,4.10,1.61,4.10,35.0,1.05,1.50,1.58,2.15,0.50,1.16,4.30,1.50,2.00,1.67,7.50,1,0
77,4.10,1.61,4.10,38.0,1.05,1.50,1.54,2.25,0.50,1.14,4.50,1.50,1.93,1.73,8.00,1,0
78,4.10,1.61,4.10,40.0,1.05,1.50,1.51,2.35,0.50,1.12,4.70,1.50,1.84,1.80,8.00,1,0
79,4.10,1.61,4.10,42.0,1.05,1.50,1.47,2.50,0.50,1.11,4.95,1.50,1.77,1.88,8.00,1,0
80,4.10,1.61,4.10,45.0,1.05,1.50,1.43,2.60,0.50,1.10,5.00,1.50,1.69,1.98,8.50,1,0
81,4.10,1.61,4.10,8.00,3.10,1.50,1.40,2.75,1.50,1.08,5.50,1,1,1,1.53,1,1
82,4.10,1.61,4.10,8.50,3.30,1.50,1.36,2.90,1.50,1.07,6.00,1,1,1,1.49,1,1
83,4.10,1.61,4.10,9.00,3.45,1.50,1.33,3.10,1.50,1.06,6.00,1,1,1,1.45,1,1
84,4.10,1.61,4.10,9.00,3.65,1.50,1.29,3.30,1.50,1.05,7.00,1,1,1,1.41,1,1
85,4.10,1.61,4.10,10.5,4.10,1.50,1.21,3.75,1.50,1.04,8.00,1,1,1,1.33,1,1
86,4.10,1.61,4.10,11.0,4.45,1.50,1.18,4.05,1.50,1.04,9.00,1,1,1,1.29,1,1
87,4.10,1.61,4.10,12.0,4.85,1.50,1.14,4.50,1.50,1.04,10.0,1,1,1,1.24,1,1
88,4.10,1.61,4.10,13.0,5.00,1.50,1.11,5.00,1,1,1,1,1,1,1.20,1,1
89,4.10,1.61,4.10,14.0,6.00,1,1,1,1,1,1,1,1,1,1.15,1,1
90,4.10,1.61,4.10,14.0,6.00,1,1,1,1,1,1,1,1,1,1.15,1,1
91,4.10,1.61,4.10,14.0,6.00,1,1,1,1,1,1,1,1,1,1.15,1,1
92,4.10,1.61,4.10,14.0,6.00,1,1,1,1,1,1,1,1,1,1.15,2,1
93,4.10,1.61,4.10,14.0,6.00,1,1,1,1,1,1,1,1,1,1.15,2,1
94,4.10,1.61,4.10,14.0,6.00,1,1,1,1,1,1,1,1,1,1.15,3,1
