min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.25,1.52,18.0,3.45,1.65,2.50,1.41,2.35,1.50,1.56,1.99,3.50,1.70,1.79,3.80,0,0
2,2.25,1.52,18.0,3.45,1.65,2.50,1.41,2.35,1.50,1.56,1.99,3.50,1.70,1.79,3.80,0,0
3,2.25,1.52,18.0,3.45,1.65,2.50,1.41,2.35,1.50,1.56,1.99,3.50,1.70,1.79,3.80,0,0
4,2.25,1.52,18.0,3.45,1.65,2.50,1.41,2.35,1.50,1.56,1.99,3.50,1.70,1.79,3.80,0,0
5,2.25,1.52,18.0,3.45,1.65,2.50,1.41,2.35,1.50,1.56,1.99,3.50,1.70,1.79,3.80,0,0
6,2.25,1.52,18.0,3.40,1.65,2.50,1.40,2.40,1.50,1.55,2.00,3.50,1.67,1.82,3.75,0,0
7,2.25,1.53,18.0,3.45,1.66,1.50,2.40,1.39,1.50,1.53,2.00,3.50,1.65,1.86,3.75,0,0
8,2.25,1.53,17.0,3.45,1.67,1.50,2.35,1.41,1.50,1.52,2.05,3.50,1.62,1.90,3.70,0,0
9,2.25,1.53,17.0,3.45,1.67,1.50,2.30,1.42,1.50,1.50,2.10,3.50,1.59,1.94,3.70,0,0
10,2.25,1.53,17.0,3.45,1.68,1.50,2.30,1.43,1.50,1.49,2.10,3.50,1.57,1.98,3.70,0,0
11,2.30,1.53,16.0,3.45,1.68,1.50,2.25,1.45,1.50,1.48,2.15,3.50,1.54,2.00,3.65,0,0
12,2.30,1.53,16.0,3.45,1.69,1.50,2.20,1.46,1.50,1.47,2.20,3.50,1.52,2.05,3.60,0,0
13,2.30,1.54,16.0,3.45,1.70,1.50,2.20,1.47,1.50,1.45,2.20,3.50,1.50,2.10,3.60,0,0
14,2.30,1.54,15.0,3.40,1.70,1.50,2.10,1.49,1.50,1.44,2.25,3.50,1.48,2.15,3.60,0,0
15,2.30,1.54,15.0,3.45,1.71,1.50,2.10,1.50,1.50,1.43,2.30,3.50,1.46,2.20,3.55,0,0
16,2.30,1.54,14.0,3.45,1.72,1.50,2.05,1.52,1.50,1.42,2.30,3.50,1.44,2.25,3.55,0,0
17,2.30,1.55,14.0,3.45,1.72,1.50,2.00,1.54,1.50,1.41,2.35,3.50,1.42,2.30,3.50,0,0
18,2.30,1.55,14.0,3.45,1.73,1.50,2.00,1.55,1.50,1.40,2.40,1,1,1,3.50,0,0
19,2.30,1.55,13.0,3.45,1.74,1.50,1.97,1.57,1.50,1.39,2.45,1,1,1,3.45,0,0
20,2.30,1.55,13.0,3.45,1.74,1.50,1.94,1.59,1.50,1.37,2.50,1,1,1,3.45,0,0
21,2.30,1.56,13.0,3.45,1.75,1.50,1.91,1.61,1.50,1.36,2.50,1,1,1,3.40,0,0
22,2.30,1.56,13.0,3.50,1.75,1.50,1.88,1.63,1.50,1.35,2.55,1,1,1,3.40,0,0
23,2.30,1.56,12.0,3.45,1.76,1.50,1.84,1.66,1.50,1.34,2.60,1,1,1,3.35,0,0
24,2.70,1.45,12.0,4.50,1.55,1.50,2.00,1.55,0.50,2.45,1.38,1,1,1,3.50,0,0
25,2.70,1.45,11.5,4.45,1.55,1.50,1.98,1.57,0.50,2.40,1.39,1,1,1,3.50,0,0
26,2.70,1.45,11.5,4.45,1.55,1.50,1.95,1.59,0.50,2.40,1.40,1,1,1,3.45,0,0
27,2.70,1.46,11.0,4.45,1.56,1.50,1.91,1.61,0.50,2.35,1.41,1,1,1,3.40,0,0
28,2.70,1.46,11.0,4.40,1.56,1.50,1.88,1.63,0.50,2.30,1.42,1,1,1,3.40,0,0
29,2.70,1.47,10.5,4.40,1.57,1.50,1.84,1.66,0.50,2.30,1.43,1,1,1,3.40,0,0
30,2.70,1.47,10.0,4.40,1.58,1.50,1.81,1.68,0.50,2.25,1.44,1,1,1,3.35,0,0
31,2.75,1.47,10.0,4.45,1.59,1.50,1.78,1.71,0.50,2.20,1.46,1,1,1,3.30,0,0
32,2.75,1.48,9.50,4.45,1.59,1.50,1.75,1.74,0.50,2.20,1.47,1,1,1,3.30,0,0
33,2.90,1.48,7.50,4.70,1.60,1.50,1.61,1.91,0.50,1.94,1.59,1,1,1,3.15,0,0
34,2.90,1.49,7.50,4.70,1.61,1.50,1.59,1.95,0.50,1.92,1.60,1,1,1,3.10,0,0
35,2.90,1.49,7.00,4.70,1.62,1.50,1.56,1.99,0.50,1.89,1.62,1,1,1,3.10,0,0
36,2.95,1.50,7.00,4.70,1.63,1.50,1.54,2.00,0.50,1.86,1.64,1,1,1,3.05,0,0
37,2.95,1.51,6.50,4.70,1.63,1.50,1.52,2.05,0.50,1.83,1.66,1,1,1,3.00,0,0
38,2.95,1.51,6.50,4.70,1.65,1.50,1.50,2.10,0.50,1.81,1.68,1.50,2.35,1.42,3.00,0,0
39,3.00,1.52,6.00,4.70,1.66,1.50,1.48,2.15,0.50,1.78,1.70,1.50,2.30,1.43,2.95,0,0
40,3.00,1.53,6.00,4.70,1.68,1.50,1.46,2.20,0.50,1.76,1.72,1.50,2.20,1.45,2.90,0,0
41,3.00,1.53,6.00,4.70,1.68,1.50,1.45,2.25,0.50,1.73,1.75,1.50,2.15,1.47,2.90,0,0
42,3.00,1.54,5.50,4.70,1.70,1.50,1.42,2.30,0.50,1.71,1.77,1.50,2.10,1.50,2.85,0,0
43,3.05,1.55,5.50,4.70,1.71,1.50,1.41,2.35,0.50,1.69,1.80,1.50,2.05,1.52,2.80,0,0
44,3.05,1.56,5.00,4.70,1.73,1.50,1.39,2.40,0.50,1.67,1.82,1.50,2.00,1.55,2.80,0,0
45,3.10,1.57,5.00,4.75,1.74,1.50,1.38,2.45,0.50,1.65,1.85,1.50,1.98,1.57,2.75,0,0
46,3.10,1.58,5.00,4.75,1.75,1.50,1.36,2.55,0.50,1.63,1.88,1.50,1.92,1.60,2.70,0,0
47,3.10,1.59,4.90,4.75,1.77,1.50,1.34,2.60,0.50,1.61,1.91,1.50,1.88,1.63,2.70,0,0
48,3.15,1.60,4.70,4.80,1.78,1.50,1.33,2.65,0.50,1.59,1.94,1.50,1.83,1.67,2.65,0,0
49,3.15,1.61,4.60,4.80,1.81,1.50,1.31,2.75,0.50,1.57,1.98,1.50,1.78,1.70,2.60,0,0
50,3.20,1.63,4.40,4.80,1.82,0.50,2.75,1.31,0.50,1.55,2.00,1.50,1.74,1.74,2.60,0,0
51,3.20,1.64,4.30,4.80,1.84,0.50,2.70,1.32,0.50,1.53,2.05,1.50,1.70,1.79,2.55,0,0
52,3.20,1.64,4.30,19.0,1.09,1.50,2.60,1.34,0.50,1.51,2.05,1,1,1,5.00,1,0
