min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.10,1.83,11.5,2.90,2.25,1.50,1.62,2.10,1.50,1.46,2.50,1,1,1,3.30,0,0
2,2.10,1.83,11.5,2.90,2.25,1.50,1.62,2.10,1.50,1.46,2.50,1,1,1,3.30,0,0
3,2.10,1.83,11.5,2.90,2.25,1.50,1.62,2.10,1.50,1.46,2.50,1,1,1,3.30,0,0
4,2.10,1.83,11.5,2.90,2.25,1.50,1.62,2.10,1.50,1.46,2.50,1,1,1,3.30,0,0
5,2.10,1.83,11.5,2.90,2.25,1.50,1.62,2.10,1.50,1.46,2.50,1,1,1,3.30,0,0
6,2.05,1.91,11.5,2.75,2.40,1.50,1.57,2.20,1.50,1.49,2.40,1,1,1,3.30,0,0
7,2.05,1.91,11.0,2.75,2.40,1.50,1.56,2.20,1.50,1.48,2.45,1,1,1,3.30,0,0
8,2.05,1.91,11.0,2.75,2.40,1.50,1.54,2.25,1.50,1.47,2.50,1,1,1,3.25,0,0
9,2.05,1.92,10.5,2.75,2.40,1.50,1.53,2.30,1.50,1.46,2.50,1,1,1,3.25,0,0
10,2.05,1.92,10.5,2.75,2.40,1.50,1.52,2.30,1.50,1.45,2.55,1,1,1,3.20,0,0
11,2.05,1.93,10.0,2.75,2.40,1.50,1.51,2.35,1.50,1.44,2.60,1,1,1,3.20,0,0
12,2.10,1.93,10.0,2.75,2.45,1.50,1.50,2.40,1.50,1.43,2.60,1,1,1,3.20,0,0
13,2.10,1.94,9.50,2.75,2.45,1.50,1.48,2.45,1.50,1.42,2.65,1,1,1,3.15,0,0
14,1.56,2.80,10.0,1.70,4.40,0.50,2.40,1.50,1.50,1.80,1.84,1,1,1,3.40,0,0
15,1.57,2.80,10.0,1.71,4.40,0.50,2.35,1.51,1.50,1.78,1.87,1,1,1,3.40,0,0
16,1.57,2.80,9.50,1.72,4.40,0.50,2.30,1.52,1.50,1.76,1.89,1,1,1,3.35,0,0
17,1.57,2.80,9.50,1.73,4.40,0.50,2.30,1.53,1.50,1.73,1.92,1,1,1,3.35,0,0
18,1.58,2.80,9.00,1.73,4.40,0.50,2.25,1.54,1.50,1.71,1.95,1,1,1,3.30,0,0
19,1.58,2.80,9.00,1.74,4.40,0.50,2.25,1.55,1.50,1.69,1.98,1,1,1,3.30,0,0
20,1.59,2.85,8.50,1.75,4.40,0.50,2.20,1.56,1.50,1.67,2.00,1,1,1,3.30,0,0
21,1.59,2.85,8.50,1.76,4.40,0.50,2.20,1.58,1.50,1.65,2.00,1,1,1,3.25,0,0
22,1.60,2.85,8.00,1.77,4.35,0.50,2.15,1.59,1.50,1.63,2.05,1,1,1,3.20,0,0
23,1.60,2.85,8.00,1.78,4.40,0.50,2.10,1.60,1.50,1.61,2.10,1,1,1,3.20,0,0
24,1.61,2.90,7.50,1.78,4.40,0.50,2.10,1.62,1.50,1.59,2.15,1,1,1,3.15,0,0
25,1.61,2.90,7.50,1.80,4.40,0.50,2.05,1.63,1.50,1.57,2.20,1,1,1,3.15,0,0
26,1.62,2.90,7.00,1.80,4.40,0.50,2.05,1.64,1.50,1.56,2.20,1,1,1,3.10,0,0
27,1.62,2.90,7.00,1.81,4.40,0.50,2.00,1.66,1.50,1.54,2.25,1,1,1,3.10,0,0
28,1.63,2.90,7.00,1.83,4.40,0.50,2.00,1.68,1.50,1.53,2.30,1.50,2.45,1.48,3.05,0,0
29,1.64,2.90,6.50,1.83,4.40,0.50,1.98,1.69,1.50,1.51,2.35,1.50,2.40,1.49,3.05,0,0
30,1.65,2.95,6.50,1.85,4.40,0.50,1.95,1.71,1.50,1.50,2.40,1.50,2.35,1.51,3.00,0,0
31,1.65,2.95,6.00,1.86,4.40,0.50,1.93,1.73,1.50,1.48,2.45,1.50,2.30,1.53,3.00,0,0
32,1.62,3.10,6.00,1.80,4.75,0.50,1.83,1.81,1.50,1.49,2.40,1.50,2.25,1.55,3.00,0,0
33,1.63,3.10,6.00,1.81,4.75,0.50,1.81,1.83,1.50,1.48,2.45,1.50,2.20,1.57,2.95,0,0
34,1.63,3.10,5.50,1.82,4.75,0.50,1.79,1.85,1.50,1.46,2.50,1.50,2.15,1.59,2.95,0,0
35,1.64,3.15,5.50,1.83,4.80,0.50,1.77,1.88,1.50,1.45,2.55,1.50,2.10,1.61,2.90,0,0
36,1.65,3.15,5.00,1.84,4.80,0.50,1.75,1.90,1.50,1.43,2.60,1.50,2.05,1.64,2.90,0,0
37,1.66,3.20,5.00,1.86,4.80,0.50,1.73,1.93,1.50,1.42,2.65,1.50,2.00,1.66,2.85,0,0
38,1.67,3.20,5.00,1.87,4.80,0.50,1.71,1.95,1.50,1.40,2.70,1.50,1.98,1.69,2.80,0,0
39,1.68,3.20,5.00,1.88,4.85,0.50,1.69,1.98,1.50,1.39,2.80,1.50,1.94,1.72,2.80,0,0
40,1.69,3.20,4.90,1.90,4.85,0.50,1.67,2.00,1.50,1.38,2.85,1.50,1.90,1.75,2.75,0,0
41,1.70,3.25,4.80,1.92,4.90,0.50,1.66,2.00,0.50,2.90,1.36,1.50,1.86,1.78,2.75,0,0
42,1.71,3.25,4.65,1.94,4.90,0.50,1.64,2.05,0.50,2.85,1.37,1.50,1.82,1.82,2.70,0,0
43,1.72,3.30,4.55,1.95,4.90,0.50,1.62,2.10,0.50,2.80,1.38,1.50,1.79,1.85,2.70,0,0
44,1.74,3.30,4.40,1.96,4.90,0.50,1.60,2.10,0.50,2.75,1.40,1.50,1.75,1.89,2.65,0,0
45,1.75,3.35,4.25,1.15,17.0,0.50,1.61,2.10,1.50,2.70,1.40,1,1,1,5.50,0,1
46,1.75,3.35,4.25,1.15,18.0,0.50,1.60,2.10,1.50,2.65,1.42,1,1,1,5.50,0,1
47,1.75,3.35,4.25,1.14,18.0,0.50,1.58,2.15,1.50,2.60,1.43,1,1,1,5.50,0,1
48,1.75,3.35,4.25,1.14,18.0,0.50,1.56,2.20,1.50,2.55,1.45,1,1,1,5.50,0,1
49,1.75,3.35,4.25,1.03,60.0,0.50,1.64,2.05,2.50,2.65,1.42,3.50,1.78,1.86,15.0,0,2
50,1.75,3.35,4.25,1.03,60.0,0.50,1.62,2.10,2.50,2.60,1.44,3.50,1.74,1.91,15.0,0,2
51,1.75,3.35,4.25,1.03,60.0,0.50,1.60,2.10,2.50,2.50,1.45,3.50,1.70,1.97,15.0,0,2
52,1.75,3.35,4.25,1.03,60.0,0.50,1.58,2.15,2.50,2.50,1.47,3.50,1.66,2.00,15.0,0,2
53,1.75,3.35,4.25,1.03,60.0,0.50,1.56,2.20,2.50,2.40,1.49,3.50,1.63,2.05,16.0,0,2
54,1.75,3.35,4.25,-,-,0.50,1.54,2.25,2.50,2.35,1.51,3.50,1.60,2.15,-,0,2
