min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.18,4.50,17.0,1.12,12.0,0.50,1.73,1.83,2.50,1.76,1.81,3.50,1.53,2.15,6.00,0,0
2,1.18,4.50,17.0,1.12,12.0,0.50,1.73,1.83,2.50,1.76,1.81,3.50,1.53,2.15,6.00,0,0
3,1.18,4.50,17.0,1.12,12.0,0.50,1.73,1.83,2.50,1.76,1.81,3.50,1.53,2.15,6.00,0,0
4,1.18,4.50,17.0,1.12,12.0,0.50,1.73,1.83,2.50,1.76,1.81,3.50,1.53,2.15,6.00,0,0
5,1.18,4.50,17.0,1.12,12.0,0.50,1.73,1.83,2.50,1.76,1.81,3.50,1.53,2.15,6.00,0,0
6,1.18,4.50,17.0,1.13,12.0,0.50,1.72,1.85,2.50,1.73,1.83,3.50,1.51,2.20,5.50,0,0
7,1.18,4.50,16.0,1.14,12.0,0.50,1.71,1.86,2.50,1.71,1.86,3.50,1.49,2.25,5.50,0,0
8,1.18,4.50,16.0,1.14,12.0,0.50,1.70,1.88,2.50,1.68,1.90,3.50,1.48,2.30,5.50,0,0
9,1.19,4.50,16.0,1.15,12.0,0.50,1.68,1.90,2.50,1.66,1.93,1,1,1,5.50,0,0
10,1.19,4.50,15.0,1.16,12.0,0.50,1.67,1.91,2.50,1.63,1.97,1,1,1,5.50,0,0
11,1.19,4.50,15.0,1.15,12.0,0.50,1.66,1.93,2.50,1.61,2.00,1,1,1,5.00,0,0
12,1.19,4.50,14.0,1.16,12.0,0.50,1.65,1.95,2.50,1.60,2.00,1,1,1,5.00,0,0
13,1.20,4.55,14.0,1.17,11.5,0.50,1.63,1.97,2.50,1.57,2.05,1,1,1,5.00,0,0
14,1.20,4.55,14.0,1.17,11.5,0.50,1.63,1.99,2.50,1.55,2.10,1,1,1,5.00,0,0
15,1.20,4.55,13.0,1.18,11.5,0.50,1.61,2.00,2.50,1.53,2.15,1,1,1,5.00,0,0
16,1.20,4.55,13.0,1.18,11.5,0.50,1.60,2.00,2.50,1.52,2.20,1,1,1,5.00,0,0
17,1.21,4.60,13.0,1.19,11.0,0.50,1.59,2.00,2.50,1.50,2.20,1,1,1,5.00,0,0
18,1.21,4.60,12.0,1.20,11.0,0.50,1.58,2.05,2.50,1.49,2.30,1,1,1,5.00,0,0
19,1.21,4.60,12.0,1.20,11.0,0.50,1.57,2.10,2.50,1.47,2.35,1,1,1,4.95,0,0
20,1.22,4.60,12.0,1.20,11.0,0.50,1.56,2.10,2.50,1.45,2.40,1,1,1,4.85,0,0
21,1.22,4.60,11.5,1.21,11.0,0.50,1.55,2.10,2.50,1.44,2.40,1,1,1,4.80,0,0
22,1.22,4.60,11.5,1.22,11.0,0.50,1.54,2.15,1.50,2.50,1.42,1,1,1,4.75,0,0
23,1.23,4.65,11.0,1.22,11.0,0.50,1.53,2.15,1.50,2.40,1.44,1,1,1,4.65,0,0
24,1.23,4.65,10.5,1.23,11.0,0.50,1.52,2.20,1.50,2.40,1.45,1,1,1,4.60,0,0
25,1.24,4.65,10.5,1.24,11.0,0.50,1.50,2.20,1.50,2.30,1.47,1,1,1,4.55,0,0
26,1.24,4.70,10.0,1.24,10.5,0.50,1.50,2.25,1.50,2.25,1.49,1,1,1,4.45,0,0
27,1.24,4.70,9.50,1.26,10.5,0.50,1.49,2.25,1.50,2.20,1.51,1,1,1,4.40,0,0
28,1.25,4.70,9.50,1.26,10.5,0.50,1.48,2.30,1.50,2.20,1.52,1,1,1,4.30,0,0
29,1.25,4.70,9.00,1.27,10.5,0.50,1.47,2.30,1.50,2.10,1.54,1,1,1,4.25,0,0
30,1.26,4.75,9.00,1.28,10.0,0.50,1.46,2.35,1.50,2.10,1.56,1,1,1,4.20,0,0
31,1.26,4.75,8.50,1.28,10.0,0.50,1.45,2.40,1.50,2.05,1.58,1,1,1,4.15,0,0
32,1.16,5.00,10.5,1.16,11.5,0.50,1.39,2.40,1.50,2.30,1.42,1,1,1,4.95,0,0
33,1.17,5.00,10.0,1.17,11.5,0.50,1.38,2.45,1.50,2.30,1.43,1,1,1,4.85,0,0
34,1.17,5.00,9.50,1.17,11.5,0.50,1.37,2.50,1.50,2.20,1.45,1,1,1,4.80,0,0
35,1.18,5.00,9.50,1.18,11.5,0.50,1.37,2.50,1.50,2.20,1.47,1,1,1,4.70,0,0
36,1.18,5.00,9.00,1.19,11.0,0.50,1.36,2.55,1.50,2.10,1.49,1,1,1,4.55,0,0
37,1.19,5.00,8.50,1.20,11.0,0.50,1.35,2.60,1.50,2.05,1.52,1,1,1,4.50,0,0
38,1.15,5.50,9.00,1.16,13.0,0.50,1.30,2.80,1.50,2.15,1.47,1,1,1,4.80,0,0
39,1.16,5.50,8.50,1.16,13.0,0.50,1.29,2.80,1.50,2.10,1.50,1,1,1,4.65,0,0
40,1.17,5.50,8.00,1.17,12.0,0.50,1.28,2.85,1.50,2.05,1.52,1,1,1,4.55,0,0
41,1.17,5.50,8.00,1.18,12.0,0.50,1.27,2.90,1.50,2.00,1.55,1,1,1,4.45,0,0
42,1.18,5.50,7.50,1.19,12.0,0.50,1.26,2.95,1.50,1.97,1.57,1,1,1,4.40,0,0
