min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.30,3.40,18.0,1.28,7.00,0.50,2.20,1.51,2.50,1.57,2.05,3.50,1.53,2.15,4.90,0,0
2,1.30,3.40,18.0,1.28,7.00,0.50,2.20,1.51,2.50,1.57,2.05,3.50,1.53,2.15,4.90,0,0
3,1.30,3.40,18.0,1.28,7.00,0.50,2.20,1.51,2.50,1.57,2.05,3.50,1.53,2.15,4.90,0,0
4,1.30,3.40,18.0,1.28,7.00,0.50,2.20,1.51,2.50,1.57,2.05,3.50,1.53,2.15,4.90,0,0
5,1.30,3.40,18.0,1.28,7.00,0.50,2.20,1.51,2.50,1.57,2.05,3.50,1.53,2.15,4.90,0,0
6,1.30,3.40,17.0,1.29,7.00,0.50,2.20,1.52,2.50,1.55,2.10,3.50,1.51,2.20,4.85,0,0
7,1.41,2.95,15.0,1.45,5.00,0.50,2.40,1.45,1.50,2.30,1.47,1,1,1,4.10,0,0
8,1.41,2.95,14.0,1.46,5.00,0.50,2.40,1.45,1.50,2.25,1.49,1,1,1,4.05,0,0
9,1.41,2.95,14.0,1.47,5.00,0.50,2.35,1.46,1.50,2.20,1.50,1,1,1,4.05,0,0
10,1.41,2.95,14.0,1.47,5.00,0.50,2.30,1.47,1.50,2.20,1.52,1,1,1,4.00,0,0
11,1.42,2.95,13.0,1.47,5.00,0.50,2.30,1.48,1.50,2.15,1.53,1,1,1,3.95,0,0
12,1.42,2.95,13.0,1.48,5.00,0.50,2.25,1.49,1.50,2.10,1.55,1,1,1,3.95,0,0
13,1.42,2.95,13.0,1.48,5.00,0.50,2.25,1.50,1.50,2.10,1.56,1,1,1,3.90,0,0
14,1.42,3.00,12.0,1.49,5.00,0.50,2.20,1.51,1.50,2.05,1.58,1,1,1,3.85,0,0
15,1.43,3.00,12.0,1.49,5.00,0.50,2.20,1.52,1.50,2.00,1.60,1,1,1,3.80,0,0
16,1.43,3.00,12.0,1.50,5.00,0.50,2.15,1.53,1.50,2.00,1.62,1,1,1,3.80,0,0
17,1.43,3.00,11.5,1.50,5.00,0.50,2.10,1.54,1.50,1.97,1.64,1,1,1,3.75,0,0
18,1.44,3.00,11.0,1.51,5.00,0.50,2.10,1.55,1.50,1.94,1.66,1,1,1,3.75,0,0
19,1.44,3.00,11.0,1.51,5.00,0.50,2.10,1.56,1.50,1.90,1.68,1,1,1,3.70,0,0
20,1.44,3.00,10.5,1.52,5.00,0.50,2.05,1.58,1.50,1.87,1.70,1,1,1,3.70,0,0
21,1.45,3.00,10.0,1.52,5.00,0.50,2.05,1.59,1.50,1.84,1.73,1,1,1,3.65,0,0
22,1.45,3.05,10.0,1.53,5.00,0.50,2.00,1.60,1.50,1.81,1.75,1,1,1,3.60,0,0
23,1.45,3.05,9.50,1.54,5.00,0.50,2.00,1.61,1.50,1.78,1.78,1,1,1,3.55,0,0
24,1.46,3.05,9.50,1.54,5.00,0.50,1.98,1.63,1.50,1.76,1.81,1,1,1,3.55,0,0
25,1.46,3.05,9.00,1.55,5.00,0.50,1.95,1.65,1.50,1.73,1.84,1,1,1,3.50,0,0
26,1.47,3.05,9.00,1.56,5.00,0.50,1.93,1.66,1.50,1.70,1.87,1,1,1,3.50,0,0
27,1.47,3.10,8.50,1.56,4.95,0.50,1.91,1.68,1.50,1.68,1.90,1,1,1,3.45,0,0
28,1.48,3.10,8.00,1.57,5.00,0.50,1.88,1.69,1.50,1.66,1.93,1,1,1,3.40,0,0
29,1.48,3.10,8.00,1.58,5.00,0.50,1.86,1.71,1.50,1.63,1.97,1,1,1,3.40,0,0
30,1.48,3.10,8.00,1.09,16.0,0.50,1.84,1.73,2.50,1.61,2.00,3.50,1.46,2.35,6.00,0,1
31,1.48,3.10,8.00,1.09,16.0,0.50,1.82,1.75,2.50,1.59,2.00,3.50,1.45,2.40,6.00,0,1
