min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,2.15,1.59,16.0,1,1,1.50,2.10,1.49,1.50,1.55,2.00,3.50,1.55,2.00,1,0,0
7,2.15,1.59,16.0,3.10,1.82,1.50,2.10,1.50,1.50,1.53,2.00,3.50,1.53,2.05,3.55,0,0
8,2.15,1.59,16.0,3.10,1.83,1.50,2.05,1.52,1.50,1.52,2.05,3.50,1.51,2.10,3.55,0,0
9,2.15,1.60,15.0,1.74,3.35,1.50,1.91,1.61,2.50,1.43,2.30,3.50,2.20,1.46,3.55,0,1
10,2.15,1.60,15.0,1.73,3.40,1.50,1.88,1.63,2.50,1.42,2.30,3.50,2.20,1.47,3.55,0,1
11,2.15,1.60,15.0,1.73,3.40,1.50,1.85,1.65,2.50,1.41,2.35,3.50,2.10,1.49,3.55,0,1
12,2.15,1.60,15.0,1.72,3.40,1.50,1.83,1.67,2.50,1.40,2.40,3.50,2.10,1.51,3.50,0,1
13,2.15,1.60,15.0,1.71,3.45,1.50,1.80,1.69,2.50,1.39,2.40,3.50,2.05,1.53,3.50,0,1
14,2.15,1.60,15.0,1.71,3.50,1.50,1.78,1.71,2.50,1.38,2.45,3.50,2.00,1.55,3.50,0,1
15,2.15,1.60,15.0,1.70,3.50,1.50,1.75,1.73,2.50,1.37,2.50,3.50,1.98,1.57,3.50,0,1
16,2.15,1.60,15.0,1.70,3.55,1.50,1.73,1.76,2.50,1.36,2.55,3.50,1.94,1.59,3.50,0,1
17,2.15,1.60,15.0,1.69,3.60,1.50,1.71,1.78,2.50,1.35,2.60,3.50,1.90,1.61,3.50,0,1
18,2.15,1.60,15.0,1.69,3.65,1.50,1.68,1.81,2.50,1.34,2.60,3.50,1.86,1.64,3.45,0,1
19,2.15,1.60,15.0,1.68,3.70,1.50,1.66,1.83,2.50,1.33,2.65,3.50,1.83,1.67,3.45,0,1
20,2.15,1.60,15.0,3.20,1.92,2.50,1.64,1.86,2.50,1.32,2.70,4.50,1.78,1.71,3.20,1,1
21,2.15,1.60,15.0,3.20,1.92,2.50,1.62,1.89,2.50,1.31,2.75,4.50,1.74,1.74,3.20,1,1
22,2.15,1.60,15.0,3.20,1.94,2.50,1.60,1.93,1.50,2.75,1.31,4.50,1.71,1.77,3.15,1,1
23,2.15,1.60,15.0,3.25,1.94,2.50,1.58,1.96,1.50,2.70,1.31,4.50,1.68,1.81,3.15,1,1
24,2.15,1.60,15.0,3.25,1.95,2.50,1.56,1.99,1.50,2.70,1.32,4.50,1.65,1.85,3.10,1,1
25,2.15,1.60,15.0,3.25,1.96,2.50,1.54,2.00,1.50,2.65,1.33,4.50,1.63,1.89,3.10,1,1
26,2.15,1.60,15.0,3.25,1.96,2.50,1.53,2.05,1.50,2.60,1.34,4.50,1.60,1.93,3.10,1,1
27,2.15,1.60,15.0,3.25,1.98,2.50,1.51,2.10,1.50,2.55,1.36,4.50,1.57,1.98,3.05,1,1
28,2.15,1.60,15.0,3.25,1.99,2.50,1.49,2.10,1.50,2.50,1.37,4.50,1.54,2.00,3.05,1,1
29,2.15,1.60,15.0,3.25,1.99,2.50,1.48,2.15,1.50,2.45,1.38,4.50,1.52,2.05,3.00,1,1
30,2.15,1.60,15.0,3.25,2.00,2.50,1.46,2.20,1.50,2.45,1.39,4.50,1.50,2.10,3.00,1,1
31,2.15,1.60,15.0,2.90,2.15,2.50,1.45,2.25,1.50,2.75,1.31,4.50,1.57,1.98,3.00,1,1
32,2.15,1.60,15.0,2.90,2.20,2.50,1.43,2.30,1.50,2.70,1.31,4.50,1.54,2.00,3.00,1,1
33,2.15,1.60,15.0,2.90,2.20,2.50,1.41,2.35,1.50,2.70,1.32,4.50,1.52,2.05,2.95,1,1
34,2.15,1.60,15.0,2.90,2.20,2.50,1.40,2.40,1.50,2.65,1.34,4.50,1.49,2.10,2.95,1,1
35,2.15,1.60,15.0,2.90,2.20,2.50,1.39,2.45,1.50,2.60,1.35,4.50,1.47,2.20,2.90,1,1
36,2.15,1.60,15.0,2.95,2.25,2.50,1.37,2.50,1.50,2.55,1.36,4.50,1.45,2.25,2.90,1,1
