min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.57,2.30,12.0,1.77,3.45,1.50,1.34,2.60,1.50,1.82,1.67,1,1,1,3.35,0,0
2,1.57,2.30,12.0,1.77,3.45,1.50,1.34,2.60,1.50,1.82,1.67,1,1,1,3.35,0,0
3,1.57,2.30,12.0,1.77,3.45,1.50,1.34,2.60,1.50,1.82,1.67,1,1,1,3.35,0,0
4,1.57,2.30,12.0,1.77,3.45,1.50,1.34,2.60,1.50,1.82,1.67,1,1,1,3.35,0,0
5,1.57,2.30,12.0,1.77,3.45,1.50,1.34,2.60,1.50,1.82,1.67,1,1,1,3.35,0,0
6,1.57,2.30,12.0,1.78,3.45,1.50,1.33,2.65,1.50,1.80,1.69,1,1,1,3.35,0,0
7,1.57,2.30,12.0,1.79,3.45,1.50,1.32,2.70,1.50,1.78,1.71,1,1,1,3.30,0,0
8,1.58,2.35,11.5,1.79,3.45,1.50,1.31,2.70,1.50,1.75,1.73,1,1,1,3.30,0,0
9,1.58,2.35,11.0,1.80,3.45,1.50,1.31,2.75,1.50,1.73,1.75,1,1,1,3.30,0,0
10,1.58,2.35,11.0,1.81,3.45,0.50,2.75,1.31,1.50,1.71,1.78,1,1,1,3.25,0,0
11,1.59,2.35,11.0,1.82,3.45,0.50,2.70,1.31,1.50,1.69,1.80,1,1,1,3.25,0,0
12,1.59,2.35,10.5,1.83,3.45,0.50,2.70,1.32,1.50,1.67,1.82,1,1,1,3.20,0,0
13,1.59,2.35,10.0,1.83,3.45,0.50,2.65,1.33,1.50,1.65,1.85,1,1,1,3.20,0,0
14,1.60,2.35,10.0,1.84,3.45,0.50,2.60,1.34,1.50,1.63,1.88,1,1,1,3.20,0,0
15,1.60,2.35,10.0,1.84,3.45,0.50,2.60,1.35,1.50,1.61,1.90,1,1,1,3.15,0,0
16,1.45,2.80,10.0,1.55,4.30,0.50,2.10,1.50,1.50,1.73,1.76,1,1,1,3.55,0,0
17,1.46,2.80,10.0,1.56,4.30,0.50,2.10,1.51,1.50,1.71,1.78,1,1,1,3.50,0,0
18,1.46,2.80,9.50,1.57,4.30,0.50,2.05,1.52,1.50,1.68,1.81,1,1,1,3.50,0,0
19,1.46,2.80,9.50,1.58,4.35,0.50,2.05,1.53,1.50,1.66,1.83,1,1,1,3.45,0,0
20,1.47,2.80,9.00,1.58,4.30,0.50,2.00,1.54,1.50,1.64,1.86,1,1,1,3.40,0,0
21,1.47,2.80,9.00,1.58,4.30,0.50,2.00,1.55,1.50,1.62,1.89,1,1,1,3.40,0,0
22,1.48,2.80,8.50,1.59,4.30,0.50,1.98,1.57,1.50,1.60,1.93,1,1,1,3.35,0,0
23,1.48,2.80,8.50,1.60,4.30,0.50,1.96,1.58,1.50,1.58,1.96,1,1,1,3.35,0,0
24,1.49,2.85,8.00,1.61,4.30,0.50,1.94,1.59,1.50,1.56,1.99,1,1,1,3.30,0,0
25,1.49,2.85,8.00,1.61,4.30,0.50,1.91,1.61,1.50,1.54,2.00,1,1,1,3.30,0,0
26,1.50,2.85,7.50,1.62,4.30,0.50,1.88,1.63,1.50,1.53,2.05,1,1,1,3.25,0,0
27,1.50,2.85,7.50,1.63,4.30,0.50,1.86,1.64,1.50,1.51,2.10,1,1,1,3.20,0,0
28,1.51,2.90,7.00,1.64,4.30,0.50,1.84,1.66,1.50,1.49,2.10,1,1,1,3.20,0,0
29,1.51,2.90,7.00,1.65,4.30,0.50,1.82,1.68,1.50,1.48,2.15,1.50,2.40,1.41,3.15,0,0
30,1.52,2.90,6.50,1.65,4.30,0.50,1.80,1.69,1.50,1.46,2.20,1.50,2.30,1.42,3.10,0,0
31,1.53,2.90,6.50,1.66,4.30,0.50,1.78,1.71,1.50,1.45,2.25,1.50,2.25,1.44,3.10,0,0
32,1.53,2.90,6.00,1.68,4.30,0.50,1.75,1.73,1.50,1.43,2.30,1.50,2.20,1.46,3.05,0,0
33,1.54,2.95,6.00,1.69,4.30,0.50,1.73,1.75,1.50,1.41,2.35,1.50,2.15,1.48,3.05,0,0
34,1.55,2.95,6.00,1.70,4.30,0.50,1.71,1.77,1.50,1.40,2.40,1.50,2.10,1.50,3.00,0,0
