min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,1.52,2.40,19.0,1.62,3.70,1.50,1.48,2.30,1.50,2.45,1.44,3.50,1.63,1.98,4.00,0,0
3,1.52,2.40,19.0,1.62,3.70,1.50,1.48,2.30,1.50,2.45,1.44,3.50,1.63,1.98,4.00,0,0
4,1.52,2.40,19.0,1.62,3.70,1.50,1.48,2.30,1.50,2.45,1.44,3.50,1.63,1.98,4.00,0,0
5,1.52,2.40,19.0,1.62,3.70,1.50,1.48,2.30,1.50,2.45,1.44,3.50,1.63,1.98,4.00,0,0
6,1.52,2.40,19.0,1.63,3.75,1.50,1.47,2.30,1.50,2.40,1.45,3.50,1.61,2.00,4.00,0,0
7,1.52,2.40,18.0,1.64,3.70,1.50,1.46,2.35,1.50,2.35,1.46,3.50,1.58,2.05,3.95,0,0
8,1.52,2.40,18.0,1.64,3.70,1.50,1.45,2.40,1.50,2.30,1.47,3.50,1.56,2.10,3.90,0,0
9,1.53,2.40,17.0,2.85,2.00,2.50,1.44,2.40,1.50,2.25,1.49,4.50,1.54,2.10,3.80,1,0
10,1.53,2.40,17.0,3.70,1.62,2.50,1.60,2.00,1.50,1.93,1.66,4.50,1.53,2.15,4.00,1,0
11,1.53,2.40,17.0,3.75,1.61,2.50,1.59,2.05,1.50,1.90,1.68,4.50,1.51,2.20,4.00,1,0
12,1.53,2.40,17.0,3.75,1.61,2.50,1.57,2.05,1.50,1.87,1.70,4.50,1.49,2.25,4.00,1,0
13,1.53,2.40,17.0,3.95,1.58,2.50,1.56,2.10,1.50,1.79,1.78,3.50,2.30,1.48,4.00,1,0
14,1.53,2.40,17.0,3.95,1.58,2.50,1.54,2.10,1.50,1.76,1.80,3.50,2.20,1.50,4.00,1,0
15,1.53,2.40,17.0,4.05,1.57,2.50,1.53,2.15,1.50,1.74,1.83,3.50,2.20,1.52,4.00,1,0
16,1.53,2.40,17.0,4.10,1.57,2.50,1.51,2.20,1.50,1.72,1.85,3.50,2.15,1.54,3.95,1,0
17,1.53,2.40,17.0,4.10,1.57,2.50,1.50,2.20,1.50,1.70,1.88,3.50,2.10,1.56,3.95,1,0
18,1.53,2.40,17.0,4.15,1.56,2.50,1.49,2.25,1.50,1.68,1.91,3.50,2.05,1.58,3.95,1,0
19,1.53,2.40,17.0,4.15,1.56,2.50,1.48,2.30,1.50,1.66,1.94,3.50,2.00,1.60,3.95,1,0
20,1.53,2.40,17.0,4.20,1.56,2.50,1.46,2.35,1.50,1.63,1.97,3.50,1.98,1.63,3.90,1,0
21,1.53,2.40,17.0,4.25,1.56,2.50,1.45,2.40,1.50,1.62,2.00,3.50,1.94,1.66,3.90,1,0
22,1.53,2.40,17.0,4.30,1.55,2.50,1.44,2.40,1.50,1.60,2.00,3.50,1.89,1.69,3.90,1,0
