min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.76,2.35,9.00,2.10,3.35,0.50,2.80,1.39,1.50,1.58,2.15,1,1,1,3.10,0,0
2,1.76,2.35,9.00,2.10,3.35,0.50,2.80,1.39,1.50,1.58,2.15,1,1,1,3.10,0,0
3,1.76,2.35,9.00,2.10,3.35,0.50,2.80,1.39,1.50,1.58,2.15,1,1,1,3.10,0,0
4,1.76,2.35,9.00,2.10,3.35,0.50,2.80,1.39,1.50,1.58,2.15,1,1,1,3.10,0,0
5,1.76,2.35,9.00,2.10,3.35,0.50,2.80,1.39,1.50,1.58,2.15,1,1,1,3.10,0,0
6,1.77,2.35,9.00,4.40,1.71,1.50,2.75,1.40,1.50,1.57,2.20,3.50,1.66,2.00,3.45,1,0
7,1.77,2.35,9.00,3.80,1.84,1.50,2.70,1.40,1.50,1.69,1.98,3.50,1.76,1.88,3.40,1,0
8,1.77,2.35,9.00,3.90,1.83,1.50,2.70,1.41,1.50,1.67,2.00,3.50,1.73,1.92,3.40,1,0
9,1.77,2.35,9.00,3.90,1.82,1.50,2.65,1.42,1.50,1.65,2.00,3.50,1.70,1.96,3.35,1,0
10,1.77,2.35,9.00,3.95,1.81,1.50,2.60,1.43,1.50,1.64,2.05,3.50,1.68,2.00,3.35,1,0
11,1.77,2.35,9.00,3.80,1.86,1.50,2.60,1.44,1.50,1.67,2.00,3.50,1.69,1.98,3.35,1,0
12,1.77,2.35,9.00,3.80,1.85,1.50,2.55,1.45,1.50,1.65,2.00,3.50,1.67,2.00,3.30,1,0
13,1.77,2.35,9.00,3.90,1.84,1.50,2.50,1.46,1.50,1.63,2.05,3.50,1.65,2.05,3.30,1,0
14,1.77,2.35,9.00,3.90,1.83,1.50,2.50,1.47,1.50,1.61,2.10,3.50,1.62,2.10,3.30,1,0
15,1.77,2.35,9.00,3.95,1.82,1.50,2.45,1.48,1.50,1.60,2.10,3.50,1.60,2.10,3.30,1,0
16,1.77,2.35,9.00,11.0,1.24,2.50,2.40,1.49,1.50,1.58,2.15,4.50,1.59,2.15,4.95,2,0
17,1.77,2.35,9.00,11.0,1.25,2.50,2.50,1.46,1.50,1.60,2.10,4.50,1.63,2.05,4.95,2,0
18,1.77,2.35,9.00,10.5,1.25,2.50,2.60,1.44,1.50,1.63,2.05,4.50,1.67,2.00,4.95,2,0
19,1.77,2.35,9.00,11.0,1.25,2.50,2.55,1.45,1.50,1.61,2.10,4.50,1.64,2.05,5.00,2,0
20,1.77,2.35,9.00,11.0,1.24,2.50,2.50,1.46,1.50,1.59,2.15,4.50,1.62,2.10,5.00,2,0
21,1.77,2.35,9.00,11.5,1.23,2.50,2.50,1.47,1.50,1.58,2.20,4.50,1.60,2.10,5.00,2,0
22,1.77,2.35,9.00,11.5,1.23,2.50,2.45,1.48,1.50,1.56,2.20,4.50,1.58,2.20,5.00,2,0
23,1.77,2.35,9.00,12.0,1.22,2.50,2.40,1.49,1.50,1.54,2.25,4.50,1.55,2.20,5.00,2,0
24,1.77,2.35,9.00,12.0,1.22,2.50,2.40,1.50,1.50,1.53,2.30,4.50,1.53,2.30,5.00,2,0
25,1.77,2.35,9.00,12.0,1.22,2.50,2.35,1.51,1.50,1.51,2.35,4.50,1.52,2.35,5.00,2,0
26,1.77,2.35,9.00,13.0,1.21,2.50,2.30,1.52,1.50,1.50,2.40,4.50,1.50,2.40,5.00,2,0
27,1.77,2.35,9.00,13.0,1.20,2.50,2.30,1.53,1.50,1.49,2.40,4.50,1.48,2.45,5.00,2,0
28,1.77,2.35,9.00,14.0,1.20,2.50,2.25,1.55,1.50,1.47,2.50,4.50,1.46,2.50,5.00,2,0
29,1.77,2.35,9.00,14.0,1.19,2.50,2.20,1.56,1.50,1.46,2.50,3.50,2.55,1.45,5.00,2,0
30,1.77,2.35,9.00,14.0,1.19,2.50,2.20,1.57,1.50,1.45,2.55,3.50,2.50,1.47,5.00,2,0
31,1.77,2.35,9.00,15.0,1.18,2.50,2.15,1.59,1.50,1.43,2.60,3.50,2.45,1.48,5.00,2,0
32,1.77,2.35,9.00,15.0,1.18,2.50,2.10,1.60,1.50,1.42,2.65,3.50,2.40,1.50,5.00,2,0
33,1.77,2.35,9.00,15.0,1.17,2.50,2.10,1.62,1.50,1.41,2.70,3.50,2.30,1.52,5.00,2,0
34,1.77,2.35,9.00,16.0,1.17,2.50,2.05,1.63,1.50,1.39,2.75,3.50,2.30,1.54,5.00,2,0
35,1.77,2.35,9.00,16.0,1.16,2.50,2.05,1.65,1.50,1.38,2.80,3.50,2.20,1.55,5.00,2,0
36,1.77,2.35,9.00,17.0,1.15,2.50,2.00,1.67,1.50,1.37,2.90,3.50,2.15,1.58,5.00,2,0
37,1.77,2.35,9.00,17.0,1.15,2.50,1.99,1.68,0.50,2.85,1.37,3.50,2.10,1.60,5.50,2,0
38,1.77,2.35,9.00,18.0,1.15,2.50,1.96,1.71,0.50,2.80,1.38,3.50,2.05,1.62,5.50,2,0
39,1.77,2.35,9.00,18.0,1.14,2.50,1.93,1.73,0.50,2.75,1.39,3.50,2.00,1.65,5.50,2,0
40,1.77,2.35,9.00,19.0,1.13,2.50,1.90,1.75,0.50,2.70,1.41,3.50,2.00,1.68,5.50,2,0
41,1.77,2.35,9.00,19.0,1.13,2.50,1.87,1.77,0.50,2.65,1.42,3.50,1.95,1.71,5.50,2,0
42,1.77,2.35,9.00,20.0,1.12,2.50,1.85,1.79,0.50,2.60,1.44,3.50,1.90,1.75,5.50,2,0
43,1.77,2.35,9.00,21.0,1.11,2.50,1.82,1.82,0.50,2.55,1.45,3.50,1.86,1.78,5.50,2,0
44,1.77,2.35,9.00,22.0,1.11,2.50,1.80,1.84,0.50,2.50,1.46,3.50,1.82,1.82,6.00,2,0
45,1.77,2.35,9.00,22.0,1.10,2.50,1.77,1.87,0.50,2.45,1.48,3.50,1.78,1.87,6.00,2,0
46,1.77,2.35,9.00,23.0,1.10,2.50,1.75,1.90,0.50,2.40,1.49,3.50,1.74,1.91,6.00,2,0
47,1.77,2.35,9.00,24.0,1.10,2.50,1.72,1.93,0.50,2.35,1.51,3.50,1.71,1.96,6.00,2,0
48,1.77,2.35,9.00,26.0,1.09,2.50,1.70,1.97,0.50,2.30,1.53,3.50,1.67,2.00,6.00,2,0
49,1.77,2.35,9.00,27.0,1.09,2.50,1.68,2.00,0.50,2.25,1.54,3.50,1.64,2.05,6.00,2,0
50,1.77,2.35,9.00,28.0,1.08,2.50,1.66,2.00,0.50,2.20,1.56,3.50,1.61,2.10,6.00,2,0
51,1.77,2.35,9.00,29.0,1.08,2.50,1.64,2.05,0.50,2.15,1.58,3.50,1.58,2.15,6.50,2,0
52,1.77,2.35,9.00,33.0,1.08,2.50,1.62,2.10,0.50,2.10,1.60,3.50,1.56,2.20,6.50,2,0
53,1.77,2.35,9.00,34.0,1.07,2.50,1.59,2.15,0.50,2.10,1.62,3.50,1.53,2.30,6.50,2,0
54,1.77,2.35,9.00,37.0,1.07,2.50,1.58,2.20,0.50,2.05,1.65,3.50,1.51,2.35,6.50,2,0
55,1.77,2.35,9.00,40.0,1.06,2.50,1.56,2.20,0.50,2.00,1.68,3.50,1.48,2.45,7.00,2,0
56,1.77,2.35,9.00,42.0,1.06,2.50,1.54,2.25,0.50,1.96,1.70,3.50,1.46,2.50,7.00,2,0
57,1.77,2.35,9.00,48.0,1.06,2.50,1.52,2.30,0.50,1.92,1.73,3.50,1.44,2.60,7.00,2,0
58,1.77,2.35,9.00,52.0,1.05,2.50,1.51,2.35,0.50,1.88,1.76,3.50,1.41,2.70,7.00,2,0
