min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.29,3.25,20.0,1.19,8.00,1.50,1.37,2.70,2.50,2.25,1.50,4.50,1.53,2.15,5.50,0,0
2,1.29,3.25,20.0,1.19,8.00,1.50,1.37,2.70,2.50,2.25,1.50,4.50,1.53,2.15,5.50,0,0
3,1.29,3.25,20.0,1.19,8.00,1.50,1.37,2.70,2.50,2.25,1.50,4.50,1.53,2.15,5.50,0,0
4,1.29,3.25,20.0,1.19,8.00,1.50,1.37,2.70,2.50,2.25,1.50,4.50,1.53,2.15,5.50,0,0
5,1.29,3.25,20.0,1.19,8.00,1.50,1.37,2.70,2.50,2.25,1.50,4.50,1.53,2.15,5.50,0,0
6,1.29,3.25,20.0,1.21,8.00,1.50,1.36,2.70,2.50,2.20,1.51,4.50,1.51,2.20,5.50,0,0
7,1.29,3.25,20.0,1.22,8.00,1.50,1.35,2.75,2.50,2.15,1.53,3.50,2.20,1.51,5.50,0,0
8,1.33,3.05,20.0,1.28,6.50,1.50,1.41,2.50,2.50,2.00,1.61,3.50,2.15,1.53,5.00,0,0
9,1.34,3.05,20.0,1.28,6.50,1.50,1.40,2.55,2.50,1.99,1.63,3.50,2.10,1.55,5.00,0,0
10,1.34,3.05,20.0,1.29,6.50,1.50,1.39,2.60,2.50,1.94,1.65,3.50,2.05,1.57,5.00,0,0
11,1.34,3.05,20.0,1.29,6.50,1.50,1.38,2.65,2.50,1.91,1.67,3.50,2.00,1.60,5.00,0,0
12,1.34,3.05,20.0,1.30,6.50,1.50,1.37,2.70,2.50,1.88,1.70,3.50,1.99,1.62,5.00,0,0
13,1.34,3.05,20.0,1.30,6.00,1.50,1.36,2.70,2.50,1.84,1.73,3.50,1.95,1.65,5.00,0,0
14,1.34,3.05,20.0,1.31,6.50,1.50,1.35,2.75,2.50,1.81,1.76,3.50,1.91,1.68,4.95,0,0
15,1.34,3.05,20.0,1.31,6.00,1.50,1.34,2.80,2.50,1.78,1.79,3.50,1.87,1.71,4.90,0,0
16,1.34,3.05,20.0,1.32,6.00,0.50,2.85,1.33,2.50,1.75,1.82,3.50,1.82,1.74,4.80,0,0
17,1.34,3.05,20.0,1.33,6.00,0.50,2.80,1.34,2.50,1.72,1.85,3.50,1.79,1.78,4.80,0,0
18,1.35,3.05,20.0,1.33,6.00,0.50,2.75,1.35,2.50,1.69,1.89,3.50,1.75,1.81,4.75,0,0
19,1.24,3.50,19.0,1.18,8.50,0.50,2.20,1.45,2.50,1.77,1.72,3.50,1.67,1.82,5.00,0,0
