min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.72,2.10,18.0,2.00,2.95,1.50,1.73,1.93,1.50,2.20,1.57,3.50,1.67,2.00,3.75,0,0
2,1.66,2.20,19.0,1.88,3.20,1.50,1.68,2.00,1.50,2.35,1.51,3.50,1.71,1.96,3.85,0,0
3,1.66,2.20,19.0,1.88,3.20,1.50,1.68,2.00,1.50,2.35,1.51,3.50,1.71,1.96,3.85,0,0
4,1.66,2.20,19.0,1.88,3.20,1.50,1.68,2.00,1.50,2.35,1.51,3.50,1.71,1.96,3.85,0,0
5,1.66,2.20,19.0,1.88,3.20,1.50,1.68,2.00,1.50,2.35,1.51,3.50,1.71,1.96,3.85,0,0
6,1.66,2.20,19.0,1.89,3.20,1.50,1.66,2.00,1.50,2.30,1.52,3.50,1.68,1.99,3.80,0,0
7,1.66,2.20,18.0,1.91,3.20,1.50,1.64,2.05,1.50,2.30,1.53,3.50,1.66,2.00,3.80,0,0
8,1.66,2.20,18.0,1.90,3.20,1.50,1.63,2.05,1.50,2.25,1.55,3.50,1.63,2.05,3.75,0,0
9,1.67,2.20,17.0,1.91,3.25,1.50,1.61,2.10,1.50,2.20,1.56,3.50,1.61,2.10,3.75,0,0
10,1.67,2.25,17.0,1.92,3.20,1.50,1.59,2.15,1.50,2.15,1.58,3.50,1.58,2.15,3.75,0,0
11,1.67,2.25,17.0,1.93,3.25,1.50,1.58,2.15,1.50,2.10,1.60,3.50,1.56,2.20,3.70,0,0
12,1.67,2.25,16.0,1.92,3.25,1.50,1.57,2.20,1.50,2.10,1.61,3.50,1.54,2.25,3.70,0,0
13,1.67,2.25,16.0,1.94,3.20,1.50,1.55,2.25,1.50,2.05,1.63,3.50,1.52,2.30,3.65,0,0
14,1.68,2.25,16.0,1.94,3.20,1.50,1.54,2.25,1.50,2.00,1.65,3.50,1.51,2.35,3.65,0,0
15,1.68,2.25,15.0,1.95,3.25,1.50,1.53,2.30,1.50,2.00,1.67,1,1,1,3.60,0,0
16,1.68,2.25,15.0,1.95,3.25,1.50,1.51,2.35,1.50,1.98,1.69,1,1,1,3.60,0,0
17,1.69,2.25,14.0,1.95,3.25,1.50,1.50,2.40,1.50,1.95,1.71,1,1,1,3.60,0,0
18,1.69,2.25,14.0,1.96,3.25,1.50,1.49,2.40,1.50,1.92,1.74,1,1,1,3.55,0,0
19,1.69,2.25,14.0,1.97,3.25,1.50,1.48,2.45,1.50,1.89,1.76,1,1,1,3.55,0,0
20,1.70,2.30,13.0,1.98,3.25,1.50,1.46,2.50,1.50,1.86,1.79,1,1,1,3.50,0,0
21,1.70,2.30,13.0,1.99,3.25,1.50,1.45,2.55,1.50,1.83,1.81,1,1,1,3.50,0,0
22,1.70,2.30,13.0,1.99,3.25,1.50,1.44,2.60,1.50,1.80,1.84,1,1,1,3.45,0,0
23,1.71,2.30,12.0,2.00,3.30,1.50,1.43,2.65,1.50,1.78,1.87,1,1,1,3.45,0,0
24,1.71,2.30,12.0,2.00,3.30,1.50,1.42,2.70,1.50,1.75,1.90,1,1,1,3.40,0,0
25,1.72,2.30,12.0,2.00,3.30,1.50,1.40,2.70,1.50,1.72,1.93,1,1,1,3.40,0,0
26,1.72,2.30,11.5,2.00,3.30,1.50,1.39,2.75,1.50,1.70,1.97,1,1,1,3.35,0,0
27,1.73,2.30,11.0,2.00,3.30,1.50,1.38,2.80,1.50,1.68,2.00,1,1,1,3.35,0,0
28,1.73,2.30,11.0,2.05,3.30,1.50,1.37,2.85,1.50,1.65,2.00,1,1,1,3.30,0,0
29,1.74,2.35,10.5,2.05,3.30,0.50,2.90,1.37,1.50,1.63,2.05,1,1,1,3.30,0,0
30,1.53,2.90,10.0,1.64,4.70,0.50,2.25,1.54,1.50,1.84,1.80,1,1,1,3.50,0,0
31,1.54,2.90,10.0,1.65,4.70,0.50,2.25,1.55,1.50,1.81,1.83,1,1,1,3.45,0,0
32,1.54,2.90,9.50,1.66,4.70,0.50,2.20,1.56,1.50,1.78,1.86,1,1,1,3.40,0,0
33,1.54,2.90,9.00,1.67,4.70,0.50,2.15,1.58,1.50,1.75,1.89,1,1,1,3.40,0,0
34,1.55,2.95,9.00,1.68,4.70,0.50,2.15,1.59,1.50,1.72,1.93,1,1,1,3.35,0,0
