min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.84,2.10,9.00,2.25,2.90,1.50,1.35,2.75,1.50,1.47,2.30,1,1,1,3.05,0,0
2,1.84,2.10,9.00,1.36,7.00,1.50,1.35,2.75,2.50,1.47,2.30,3.50,1.63,1.98,4.00,0,1
3,1.84,2.10,9.00,1.36,7.00,1.50,1.35,2.75,2.50,1.47,2.30,3.50,1.63,1.98,4.00,0,1
4,1.84,2.10,9.00,1.36,7.00,1.50,1.35,2.75,2.50,1.47,2.30,3.50,1.63,1.98,4.00,0,1
5,1.84,2.10,9.00,1.36,7.00,1.50,1.35,2.75,2.50,1.47,2.30,3.50,1.63,1.98,4.00,0,1
6,1.84,2.10,9.00,1.37,7.00,1.50,1.34,2.80,2.50,1.46,2.35,3.50,1.61,2.00,4.00,0,1
7,1.84,2.10,9.00,1.37,7.00,1.50,1.34,2.80,2.50,1.45,2.40,3.50,1.59,2.00,4.00,0,1
8,1.84,2.10,9.00,1.43,6.50,0.50,2.80,1.34,2.50,1.34,2.80,3.50,1.49,2.25,3.75,0,1
9,1.84,2.10,9.00,1.42,6.50,0.50,2.80,1.35,2.50,1.34,2.80,3.50,1.47,2.30,3.75,0,1
10,1.84,2.10,9.00,1.42,6.50,0.50,2.75,1.35,1.50,2.80,1.34,3.50,1.46,2.35,3.75,0,1
11,1.84,2.10,9.00,1.42,6.50,0.50,2.70,1.36,1.50,2.80,1.34,3.50,1.45,2.40,3.75,0,1
12,1.84,2.10,9.00,1.42,7.00,0.50,2.70,1.37,1.50,2.75,1.35,3.50,1.43,2.45,3.75,0,1
13,1.84,2.10,9.00,1.42,7.00,0.50,2.65,1.38,1.50,2.70,1.36,1,1,1,3.75,0,1
14,1.84,2.10,9.00,1.41,7.00,0.50,2.60,1.39,1.50,2.70,1.37,1,1,1,3.75,0,1
15,1.84,2.10,9.00,1.41,7.00,0.50,2.55,1.40,1.50,2.65,1.38,1,1,1,3.70,0,1
16,1.84,2.10,9.00,1.40,7.00,0.50,2.50,1.41,1.50,2.60,1.39,1,1,1,3.70,0,1
17,1.84,2.10,9.00,1.40,7.00,0.50,2.50,1.42,1.50,2.55,1.40,1,1,1,3.70,0,1
18,1.84,2.10,9.00,1.40,7.50,0.50,2.45,1.43,1.50,2.50,1.41,1,1,1,3.70,0,1
19,1.84,2.10,9.00,1.40,7.50,0.50,2.45,1.44,1.50,2.50,1.42,1,1,1,3.70,0,1
20,1.84,2.10,9.00,1.39,7.50,0.50,2.40,1.45,1.50,2.45,1.43,1,1,1,3.70,0,1
21,1.84,2.10,9.00,1.39,7.50,0.50,2.35,1.46,1.50,2.40,1.44,1,1,1,3.70,0,1
22,1.84,2.10,9.00,1.39,7.50,0.50,2.35,1.47,1.50,2.40,1.45,1,1,1,3.70,0,1
23,1.84,2.10,9.00,1.39,8.00,0.50,2.30,1.48,1.50,2.35,1.46,1,1,1,3.65,0,1
24,1.84,2.10,9.00,1.39,8.00,0.50,2.25,1.49,1.50,2.30,1.47,1,1,1,3.65,0,1
25,1.84,2.10,9.00,1.38,8.00,0.50,2.25,1.50,1.50,2.30,1.48,1,1,1,3.65,0,1
26,1.84,2.10,9.00,1.38,8.00,0.50,2.20,1.51,1.50,2.25,1.49,1,1,1,3.65,0,1
27,1.84,2.10,9.00,1.44,7.50,0.50,2.15,1.53,1.50,1.91,1.68,1,1,1,3.40,0,1
28,1.84,2.10,9.00,1.44,7.50,0.50,2.15,1.54,1.50,1.88,1.69,1,1,1,3.40,0,1
29,1.84,2.10,9.00,1.44,7.50,0.50,2.10,1.55,1.50,1.86,1.71,1,1,1,3.40,0,1
30,1.84,2.10,9.00,1.43,8.00,0.50,2.10,1.56,1.50,1.84,1.73,1,1,1,3.40,0,1
31,1.84,2.10,9.00,1.43,8.00,0.50,2.05,1.58,1.50,1.82,1.75,1,1,1,3.40,0,1
32,1.84,2.10,9.00,1.42,8.00,0.50,2.00,1.59,1.50,1.79,1.77,1,1,1,3.40,0,1
33,1.84,2.10,9.00,1.45,7.00,0.50,2.30,1.47,1.50,2.05,1.58,1,1,1,3.45,0,1
34,1.84,2.10,9.00,1.45,7.00,0.50,2.30,1.48,1.50,2.00,1.60,1,1,1,3.45,0,1
35,1.84,2.10,9.00,1.44,7.00,0.50,2.25,1.50,1.50,2.00,1.61,1,1,1,3.45,0,1
36,1.84,2.10,9.00,1.44,7.50,0.50,2.20,1.51,1.50,1.98,1.63,1,1,1,3.40,0,1
37,1.84,2.10,9.00,1.44,7.50,0.50,2.15,1.53,1.50,1.95,1.65,1,1,1,3.40,0,1
38,1.84,2.10,9.00,1.43,7.50,0.50,2.15,1.54,1.50,1.91,1.67,1,1,1,3.40,0,1
39,1.84,2.10,9.00,1.43,8.00,0.50,2.10,1.56,1.50,1.89,1.69,1,1,1,3.40,0,1
40,1.84,2.10,9.00,1.42,8.00,0.50,2.05,1.57,1.50,1.86,1.71,1,1,1,3.40,0,1
41,1.84,2.10,9.00,1.42,8.00,0.50,2.05,1.59,1.50,1.83,1.73,1,1,1,3.40,0,1
42,1.84,2.10,9.00,1.41,8.50,0.50,2.00,1.61,1.50,1.81,1.76,1,1,1,3.40,0,1
43,1.84,2.10,9.00,1.41,8.50,0.50,1.99,1.62,1.50,1.79,1.78,1,1,1,3.40,0,1
44,1.84,2.10,9.00,1.40,9.00,0.50,1.96,1.64,1.50,1.76,1.81,1,1,1,3.40,0,1
45,1.84,2.10,9.00,2.80,3.05,1.50,1.92,1.66,1.50,2.00,1.60,3.50,1.64,1.95,2.35,1,1
46,1.84,2.10,9.00,2.80,3.05,1.50,1.89,1.69,1.50,1.99,1.62,3.50,1.62,2.00,2.35,1,1
47,1.84,2.10,9.00,2.85,3.05,1.50,1.86,1.71,1.50,1.95,1.65,3.50,1.58,2.05,2.30,1,1
