min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.62,2.35,12.0,1.85,3.45,1.50,1.36,2.70,1.50,1.81,1.76,1,1,1,3.40,0,0
2,1.20,5.00,10.5,1.19,13.0,0.50,1.48,2.30,2.50,1.45,2.40,1,1,1,4.65,0,0
3,1.25,4.80,9.00,1.26,11.5,0.50,1.48,2.30,1.50,2.20,1.51,1,1,1,4.15,0,0
4,1.25,4.80,9.00,1.26,11.5,0.50,1.48,2.30,1.50,2.20,1.51,1,1,1,4.15,0,0
5,1.25,4.80,9.00,1.26,11.5,0.50,1.48,2.30,1.50,2.20,1.51,1,1,1,4.15,0,0
6,1.25,4.80,9.00,1.27,11.5,0.50,1.47,2.30,1.50,2.20,1.52,1,1,1,4.10,0,0
7,1.26,4.80,8.50,1.27,11.0,0.50,1.46,2.35,1.50,2.15,1.54,1,1,1,4.05,0,0
8,1.26,4.80,8.50,1.28,11.0,0.50,1.46,2.35,1.50,2.10,1.55,1,1,1,4.00,0,0
9,1.27,4.85,8.00,1.28,11.0,0.50,1.45,2.40,1.50,2.05,1.57,1,1,1,3.95,0,0
10,1.27,4.85,8.00,1.29,11.0,0.50,1.44,2.40,1.50,2.05,1.58,1,1,1,3.95,0,0
11,1.22,5.00,9.00,1.22,13.0,0.50,1.44,2.45,1.50,2.30,1.48,1,1,1,4.35,0,0
12,1.23,5.00,9.00,1.23,13.0,0.50,1.43,2.45,1.50,2.25,1.49,1,1,1,4.30,0,0
13,1.23,5.00,9.00,1.02,60.0,0.50,1.42,2.50,2.50,2.20,1.50,3.50,1.59,2.00,10.0,0,1
14,1.23,5.00,9.00,1.02,60.0,0.50,1.41,2.50,2.50,2.20,1.52,3.50,1.56,2.10,10.0,0,1
15,1.23,5.00,9.00,1.02,60.0,0.50,1.41,2.50,2.50,2.15,1.54,3.50,1.55,2.10,10.0,0,1
16,1.23,5.00,9.00,1.02,60.0,0.50,1.40,2.55,2.50,2.10,1.55,3.50,1.53,2.15,10.0,0,1
17,1.23,5.00,9.00,1.02,60.0,0.50,1.40,2.60,2.50,2.05,1.57,3.50,1.51,2.20,10.0,0,1
18,1.23,5.00,9.00,1.02,60.0,0.50,1.39,2.60,2.50,2.05,1.59,3.50,1.49,2.25,10.0,0,1
19,1.23,5.00,9.00,1.02,60.0,0.50,1.38,2.60,2.50,2.00,1.61,3.50,1.48,2.30,10.0,0,1
20,1.23,5.00,9.00,1.02,60.0,0.50,1.38,2.65,2.50,1.99,1.63,3.50,1.46,2.35,10.0,0,1
21,1.23,5.00,9.00,1.02,60.0,0.50,1.37,2.70,2.50,1.95,1.65,3.50,1.44,2.40,10.0,0,1
22,1.23,5.00,9.00,1.02,60.0,0.50,1.36,2.70,2.50,1.92,1.67,3.50,1.43,2.45,10.0,0,1
23,1.23,5.00,9.00,1.02,60.0,0.50,1.36,2.75,2.50,1.88,1.69,1,1,1,9.50,0,1
24,1.23,5.00,9.00,1.02,60.0,0.50,1.35,2.75,2.50,1.85,1.72,1,1,1,9.50,0,1
25,1.23,5.00,9.00,1.02,60.0,0.50,1.34,2.80,2.50,1.82,1.75,1,1,1,9.50,0,1
26,1.23,5.00,9.00,1.02,60.0,0.50,1.33,2.85,2.50,1.79,1.77,1,1,1,9.50,0,1
27,1.23,5.00,9.00,1.02,60.0,0.50,1.33,2.85,2.50,1.76,1.80,1,1,1,9.50,0,1
28,1.23,5.00,9.00,1.03,33.0,0.50,1.61,2.00,2.50,2.00,1.60,3.50,1.59,2.05,8.00,0,1
29,1.23,5.00,9.00,1.04,27.0,0.50,1.72,1.85,2.50,2.05,1.57,3.50,1.67,1.92,7.50,0,1
30,1.23,5.00,9.00,1.04,27.0,0.50,1.70,1.88,2.50,2.00,1.59,3.50,1.63,1.97,7.50,0,1
31,1.23,5.00,9.00,1.04,28.0,0.50,1.68,1.90,2.50,2.00,1.61,3.50,1.61,2.00,7.50,0,1
32,1.23,5.00,9.00,1.04,28.0,0.50,1.67,1.92,2.50,1.97,1.64,3.50,1.58,2.05,7.50,0,1
33,1.23,5.00,9.00,1.04,29.0,0.50,1.65,1.94,2.50,1.93,1.66,3.50,1.56,2.10,7.50,0,1
34,1.23,5.00,9.00,1.04,29.0,0.50,1.64,1.97,2.50,1.89,1.69,3.50,1.53,2.15,7.00,0,1
35,1.23,5.00,9.00,1.04,29.0,0.50,1.62,1.99,2.50,1.85,1.72,3.50,1.51,2.20,7.00,0,1
36,1.23,5.00,9.00,1.04,29.0,0.50,1.60,2.00,2.50,1.81,1.75,3.50,1.48,2.30,7.00,0,1
37,1.23,5.00,9.00,1.04,29.0,0.50,1.59,2.00,2.50,1.78,1.79,3.50,1.46,2.35,7.00,0,1
38,1.23,5.00,9.00,1.04,29.0,0.50,1.57,2.05,2.50,1.75,1.82,3.50,1.44,2.40,7.00,0,1
39,1.23,5.00,9.00,1.04,30.0,0.50,1.56,2.10,2.50,1.71,1.86,3.50,1.42,2.50,7.00,0,1
40,1.23,5.00,9.00,1.04,29.0,0.50,1.54,2.10,2.50,1.68,1.90,1,1,1,7.00,0,1
41,1.23,5.00,9.00,-,-,0.50,1.53,2.15,3.50,1.66,1.94,3.50,2.40,1.45,-,0,2
42,1.23,5.00,9.00,-,-,0.50,1.52,2.20,3.50,1.63,1.99,3.50,2.30,1.47,-,0,2
43,1.23,5.00,9.00,-,-,0.50,1.51,2.20,3.50,1.60,2.00,3.50,2.25,1.49,-,0,2
44,1.23,5.00,9.00,-,-,0.50,1.49,2.25,3.50,1.58,2.05,3.50,2.20,1.51,-,0,2
45,1.23,5.00,9.00,-,-,0.50,1.48,2.30,3.50,1.55,2.10,3.50,2.15,1.54,-,0,2
46,1.23,5.00,9.00,-,-,0.50,1.47,2.30,3.50,1.53,2.15,3.50,2.10,1.57,-,0,2
47,1.23,5.00,9.00,-,-,0.50,1.46,2.35,3.50,1.50,2.20,3.50,2.00,1.59,-,0,2
48,1.23,5.00,9.00,-,-,0.50,1.44,2.40,3.50,1.48,2.30,3.50,1.98,1.63,-,0,2
49,1.23,5.00,9.00,-,-,0.50,1.43,2.45,3.50,1.46,2.35,3.50,1.93,1.66,-,0,2
50,1.23,5.00,9.00,-,-,0.50,1.42,2.50,3.50,1.44,2.40,3.50,1.88,1.70,-,0,2
51,1.23,5.00,9.00,-,-,0.50,1.40,2.55,3.50,1.42,2.50,3.50,1.83,1.74,-,0,2
52,1.23,5.00,9.00,-,-,0.50,1.39,2.60,3.50,1.40,2.55,3.50,1.78,1.78,-,0,2
53,1.23,5.00,9.00,-,-,0.50,1.38,2.60,3.50,1.38,2.60,3.50,1.74,1.83,-,0,2
54,1.23,5.00,9.00,-,-,0.50,1.37,2.70,3.50,1.37,2.70,3.50,1.70,1.87,-,0,2
55,1.23,5.00,9.00,-,-,0.50,1.36,2.70,3.50,1.35,2.80,3.50,1.66,1.93,-,0,2
56,1.23,5.00,9.00,-,-,0.50,1.35,2.80,2.50,2.80,1.34,3.50,1.63,1.98,-,0,2
57,1.23,5.00,9.00,-,-,0.50,1.33,2.85,2.50,2.75,1.35,3.50,1.59,2.00,-,0,2
58,1.23,5.00,9.00,-,-,0.50,1.32,2.90,2.50,2.65,1.37,3.50,1.56,2.10,-,0,2
59,1.23,5.00,9.00,-,-,0.50,1.31,2.95,2.50,2.60,1.39,3.50,1.52,2.20,-,0,2
60,1.23,5.00,9.00,-,-,0.50,1.29,3.00,2.50,2.50,1.41,3.50,1.49,2.25,-,0,2
61,1.23,5.00,9.00,-,-,0.50,1.28,3.10,2.50,2.45,1.44,3.50,1.46,2.35,-,0,2
62,1.23,5.00,9.00,-,-,0.50,1.27,3.15,2.50,2.35,1.46,3.50,1.43,2.45,-,0,2
63,1.23,5.00,9.00,-,-,0.50,1.25,3.25,2.50,2.30,1.48,3.50,1.41,2.55,-,0,2
64,1.23,5.00,9.00,-,-,0.50,1.24,3.30,2.50,2.20,1.50,3.50,1.38,2.65,-,0,2
65,1.23,5.00,9.00,-,-,0.50,1.23,3.40,2.50,2.15,1.53,3.50,1.35,2.75,-,0,2
66,1.23,5.00,9.00,-,-,0.50,1.21,3.50,2.50,2.10,1.56,1,1,1,-,0,2
67,1.23,5.00,9.00,-,-,0.50,1.20,3.60,2.50,2.00,1.60,1,1,1,-,0,2
68,1.23,5.00,9.00,-,-,0.50,1.18,3.70,2.50,1.98,1.63,1,1,1,-,0,2
69,1.23,5.00,9.00,-,-,0.50,1.17,3.80,2.50,1.91,1.67,1,1,1,-,0,2
70,1.23,5.00,9.00,-,-,0.50,1.15,3.90,2.50,1.85,1.72,1,1,1,-,0,2
71,1.23,5.00,9.00,-,-,0.50,1.14,4.05,2.50,1.80,1.77,1,1,1,-,0,2
72,1.23,5.00,9.00,-,-,0.50,1.13,4.20,2.50,1.74,1.82,1,1,1,-,0,2
73,1.23,5.00,9.00,1.03,60.0,1.50,1.12,4.35,2.50,1.69,1.89,3.50,2.10,1.54,7.00,1,2
74,1.23,5.00,9.00,1.03,42.0,1.50,1.10,4.55,2.50,1.64,1.96,3.50,2.05,1.58,7.00,1,2
75,1.23,5.00,9.00,1.03,43.0,1.50,1.09,4.70,2.50,1.60,2.00,3.50,1.98,1.63,7.00,1,2
76,1.23,5.00,9.00,1.03,46.0,1.50,1.08,4.95,2.50,1.55,2.10,3.50,1.89,1.69,7.00,1,2
77,1.23,5.00,9.00,1.03,47.0,1.50,1.07,5.00,2.50,1.51,2.20,3.50,1.81,1.76,7.00,1,2
78,1.23,5.00,9.00,1.02,56.0,1.50,1.06,5.00,2.50,1.58,2.05,3.50,1.89,1.69,10.0,1,2
79,1.23,5.00,9.00,1.02,58.0,1.50,1.05,5.50,2.50,1.53,2.15,3.50,1.80,1.76,10.0,1,2
80,1.23,5.00,9.00,1.02,60.0,1.50,1.04,6.00,2.50,1.49,2.25,3.50,1.72,1.85,10.0,1,2
