min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.33,3.65,14.0,1.32,8.50,0.50,2.15,1.59,2.50,1.60,2.10,3.50,1.49,2.40,4.45,0,0
2,1.33,3.65,14.0,1.32,8.50,0.50,2.15,1.59,2.50,1.60,2.10,3.50,1.49,2.40,4.45,0,0
3,1.33,3.65,14.0,1.32,8.50,0.50,2.15,1.59,2.50,1.60,2.10,3.50,1.49,2.40,4.45,0,0
4,1.33,3.65,14.0,1.32,8.50,0.50,2.15,1.59,2.50,1.60,2.10,3.50,1.49,2.40,4.45,0,0
5,1.33,3.65,14.0,1.05,29.0,0.50,2.15,1.59,3.50,1.60,2.10,4.50,1.51,2.35,8.00,0,1
6,1.33,3.65,14.0,1.06,30.0,0.50,2.10,1.60,3.50,1.58,2.15,4.50,1.50,2.40,8.00,0,1
7,1.33,3.65,14.0,1.06,30.0,0.50,2.10,1.61,3.50,1.56,2.20,3.50,2.35,1.51,8.00,0,1
8,1.33,3.65,14.0,1.06,30.0,0.50,2.10,1.62,3.50,1.55,2.25,3.50,2.30,1.53,8.00,0,1
9,1.33,3.65,14.0,1.06,30.0,0.50,2.05,1.63,3.50,1.53,2.30,3.50,2.25,1.55,8.00,0,1
10,1.33,3.65,14.0,1.05,20.0,0.50,2.05,1.65,3.50,1.51,2.35,3.50,2.25,1.54,10.0,0,1
11,1.33,3.65,14.0,1.06,16.0,0.50,2.35,1.51,3.50,1.50,2.40,4.50,1.50,2.35,9.00,0,1
12,1.33,3.65,14.0,1.07,16.0,0.50,2.30,1.52,3.50,1.48,2.45,3.50,2.35,1.51,9.00,0,1
13,1.33,3.65,14.0,1.07,17.0,0.50,2.30,1.53,3.50,1.47,2.50,3.50,2.30,1.53,9.00,0,1
14,1.33,3.65,14.0,1.07,16.0,0.50,2.25,1.54,3.50,1.46,2.50,3.50,2.25,1.55,9.00,0,1
15,1.33,3.65,14.0,1.07,16.0,0.50,2.25,1.55,2.50,2.50,1.46,3.50,2.20,1.57,8.50,0,1
