min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.15,5.00,20.0,1.03,30.0,0.50,1.68,1.99,3.50,1.93,1.72,4.50,1.64,2.05,20.0,0,1
2,1.15,5.00,20.0,1.03,30.0,0.50,1.68,1.99,3.50,1.93,1.72,4.50,1.64,2.05,20.0,0,1
3,1.15,5.00,20.0,1.03,30.0,0.50,1.68,1.99,3.50,1.93,1.72,4.50,1.64,2.05,20.0,0,1
4,1.15,5.00,20.0,1.03,30.0,0.50,1.68,1.99,3.50,1.93,1.72,4.50,1.64,2.05,20.0,0,1
5,1.15,5.00,20.0,1.03,30.0,0.50,1.68,1.99,3.50,1.93,1.72,4.50,1.64,2.05,20.0,0,1
6,1.15,5.00,20.0,1.03,30.0,0.50,1.68,2.00,3.50,1.89,1.75,4.50,1.62,2.10,20.0,0,1
7,1.15,5.00,20.0,1.03,30.0,0.50,1.66,2.00,3.50,1.87,1.78,4.50,1.60,2.10,19.0,0,1
8,1.15,5.00,20.0,1.03,30.0,0.50,1.65,2.00,3.50,1.83,1.81,4.50,1.57,2.20,19.0,0,1
9,1.15,5.00,20.0,1.03,30.0,0.50,1.75,1.89,3.50,1.73,1.93,4.50,1.53,2.30,14.0,0,1
10,1.15,5.00,20.0,1.03,30.0,0.50,1.74,1.91,3.50,1.70,1.97,4.50,1.51,2.35,14.0,0,1
11,1.15,5.00,20.0,1.04,30.0,0.50,1.73,1.93,3.50,1.68,2.00,3.50,2.40,1.50,14.0,0,1
12,1.15,5.00,20.0,-,-,0.50,1.71,1.95,3.50,3.15,1.31,4.50,2.30,1.52,-,0,2
13,1.15,5.00,20.0,-,-,0.50,1.70,1.97,3.50,3.10,1.32,4.50,2.30,1.54,-,0,2
14,1.15,5.00,20.0,-,-,0.50,1.69,1.99,3.50,3.00,1.34,4.50,2.20,1.56,-,0,2
15,1.15,5.00,20.0,-,-,0.50,1.68,2.00,3.50,2.95,1.35,4.50,2.15,1.58,-,0,2
16,1.15,5.00,20.0,-,-,0.50,1.66,2.00,3.50,2.90,1.36,4.50,2.10,1.60,-,0,2
17,1.15,5.00,20.0,-,-,0.50,1.65,2.00,3.50,2.85,1.37,4.50,2.10,1.62,-,0,2
