min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.81,2.25,8.00,2.20,3.00,0.50,2.60,1.39,1.50,1.42,2.50,1,1,1,3.05,0,0
2,1.81,2.25,8.00,2.20,3.00,0.50,2.60,1.39,1.50,1.42,2.50,1,1,1,3.05,0,0
3,1.81,2.25,8.00,2.20,3.00,0.50,2.60,1.39,1.50,1.42,2.50,1,1,1,3.05,0,0
4,1.81,2.25,8.00,2.20,3.00,0.50,2.60,1.39,1.50,1.42,2.50,1,1,1,3.05,0,0
5,1.81,2.25,8.00,2.20,3.00,0.50,2.60,1.39,1.50,1.42,2.50,1,1,1,3.05,0,0
6,1.82,2.25,8.00,2.20,3.00,0.50,2.55,1.40,1.50,1.41,2.50,1,1,1,3.05,0,0
7,1.83,2.25,7.50,2.20,3.05,0.50,2.50,1.41,1.50,1.41,2.55,1,1,1,3.00,0,0
8,1.83,2.25,7.50,2.20,3.05,0.50,2.50,1.42,1.50,1.40,2.60,1,1,1,3.00,0,0
9,1.84,2.25,7.00,1.32,8.00,0.50,2.45,1.43,2.50,1.39,2.60,3.50,1.45,2.40,4.25,0,1
10,1.84,2.25,7.00,1.32,8.00,0.50,2.45,1.43,2.50,1.38,2.65,3.50,1.44,2.40,4.25,0,1
11,1.84,2.25,7.00,1.31,8.00,0.50,2.40,1.44,2.50,1.37,2.70,3.50,1.42,2.50,4.20,0,1
12,1.84,2.25,7.00,1.31,8.00,0.50,2.40,1.45,2.50,1.36,2.70,1,1,1,4.20,0,1
13,1.84,2.25,7.00,1.31,8.50,0.50,2.35,1.46,2.50,1.35,2.75,1,1,1,4.20,0,1
14,1.84,2.25,7.00,1.31,8.50,0.50,2.30,1.47,2.50,1.34,2.80,1,1,1,4.20,0,1
15,1.84,2.25,7.00,1.31,9.00,0.50,2.30,1.48,1.50,2.80,1.34,1,1,1,4.20,0,1
16,1.84,2.25,7.00,1.31,9.00,0.50,2.25,1.49,1.50,2.80,1.34,1,1,1,4.20,0,1
17,1.84,2.25,7.00,1.03,29.0,0.50,2.25,1.50,2.50,2.75,1.35,3.50,2.25,1.49,9.00,0,2
18,1.84,2.25,7.00,1.03,29.0,0.50,2.20,1.51,2.50,2.70,1.36,3.50,2.20,1.51,9.50,0,2
19,1.84,2.25,7.00,1.03,29.0,0.50,2.20,1.52,2.50,2.70,1.37,3.50,2.20,1.52,9.50,0,2
20,1.84,2.25,7.00,1.03,31.0,0.50,2.15,1.53,2.50,2.65,1.38,3.50,2.15,1.54,9.50,0,2
21,1.84,2.25,7.00,-,-,0.50,2.10,1.54,3.50,2.60,1.39,4.50,2.10,1.56,-,0,3
22,1.84,2.25,7.00,-,-,0.50,2.10,1.56,3.50,2.55,1.40,4.50,2.05,1.58,-,0,3
23,1.84,2.25,7.00,-,-,0.50,2.05,1.57,3.50,2.50,1.41,4.50,2.00,1.60,-,0,3
