min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.77,2.20,9.00,2.15,3.10,0.50,2.85,1.33,1.50,1.53,2.15,1,1,1,3.05,0,0
2,1.77,2.20,9.00,2.15,3.10,0.50,2.85,1.33,1.50,1.53,2.15,1,1,1,3.05,0,0
3,1.77,2.20,9.00,2.15,3.10,0.50,2.85,1.33,1.50,1.53,2.15,1,1,1,3.05,0,0
4,1.77,2.20,9.00,1.33,8.00,0.50,2.85,1.33,2.50,1.53,2.15,3.50,1.66,1.93,4.10,0,1
5,1.77,2.20,9.00,1.33,8.00,0.50,2.85,1.33,2.50,1.53,2.15,3.50,1.66,1.93,4.10,0,1
6,1.77,2.20,9.00,1.33,8.00,0.50,2.80,1.34,2.50,1.51,2.20,3.50,1.64,1.97,4.10,0,1
7,1.77,2.20,9.00,1.33,8.00,0.50,2.75,1.35,2.50,1.50,2.20,3.50,1.62,2.00,4.10,0,1
8,1.77,2.20,9.00,1.33,8.00,0.50,2.75,1.36,2.50,1.49,2.25,3.50,1.60,2.00,4.10,0,1
9,1.77,2.20,9.00,1.33,8.50,0.50,2.70,1.36,2.50,1.48,2.30,3.50,1.58,2.05,4.10,0,1
10,1.77,2.20,9.00,1.34,8.50,0.50,2.65,1.37,2.50,1.47,2.30,3.50,1.56,2.10,4.10,0,1
11,1.77,2.20,9.00,1.33,8.50,0.50,2.60,1.38,2.50,1.45,2.40,3.50,1.54,2.15,4.05,0,1
12,1.77,2.20,9.00,1.33,8.50,0.50,2.60,1.39,2.50,1.44,2.40,3.50,1.52,2.20,4.05,0,1
13,1.77,2.20,9.00,1.33,8.50,0.50,2.55,1.40,2.50,1.43,2.45,3.50,1.50,2.20,4.05,0,1
14,1.77,2.20,9.00,1.33,9.00,0.50,2.50,1.41,2.50,1.42,2.50,3.50,1.49,2.25,4.05,0,1
15,1.77,2.20,9.00,1.32,9.00,0.50,2.50,1.42,2.50,1.41,2.50,3.50,1.47,2.30,4.00,0,1
16,1.77,2.20,9.00,1.32,9.00,0.50,2.45,1.43,2.50,1.40,2.55,3.50,1.45,2.40,4.00,0,1
17,1.77,2.20,9.00,1.32,9.00,0.50,2.40,1.44,2.50,1.39,2.60,3.50,1.44,2.40,4.00,0,1
18,1.77,2.20,9.00,1.32,9.00,0.50,2.40,1.45,2.50,1.38,2.65,3.50,1.42,2.50,4.00,0,1
19,1.77,2.20,9.00,1.32,9.00,0.50,2.35,1.46,2.50,1.37,2.70,1,1,1,4.00,0,1
20,1.77,2.20,9.00,1.32,9.00,0.50,2.35,1.47,2.50,1.36,2.70,1,1,1,4.00,0,1
21,1.77,2.20,9.00,1.32,9.50,0.50,2.30,1.48,2.50,1.35,2.75,1,1,1,4.00,0,1
22,1.77,2.20,9.00,1.32,9.50,0.50,2.25,1.49,2.50,1.34,2.80,1,1,1,4.00,0,1
23,1.77,2.20,9.00,1.31,10.0,0.50,2.25,1.50,1.50,2.80,1.34,1,1,1,4.00,0,1
24,1.77,2.20,9.00,1.31,10.0,0.50,2.20,1.51,1.50,2.80,1.34,1,1,1,3.95,0,1
25,1.77,2.20,9.00,1.03,43.0,0.50,2.20,1.52,2.50,2.75,1.35,3.50,2.20,1.51,8.00,0,2
26,1.77,2.20,9.00,1.03,47.0,0.50,2.15,1.53,2.50,2.70,1.36,3.50,2.15,1.53,8.00,0,2
27,1.77,2.20,9.00,1.03,47.0,0.50,2.10,1.55,2.50,2.65,1.37,3.50,2.10,1.55,8.00,0,2
28,1,1,1,1.03,56.0,0.50,2.10,1.56,2.50,2.60,1.39,3.50,2.10,1.57,8.50,0,2
29,1.77,2.20,9.00,1.03,57.0,0.50,2.05,1.57,2.50,2.60,1.40,3.50,2.00,1.59,8.50,0,2
30,1,1,1,1.03,57.0,0.50,2.05,1.59,2.50,2.50,1.41,3.50,2.00,1.61,8.50,0,2
31,1.77,2.20,9.00,1.03,60.0,0.50,2.00,1.60,2.50,2.50,1.42,3.50,1.97,1.63,8.50,0,2
32,1.77,2.20,9.00,1.03,60.0,0.50,2.00,1.61,2.50,2.45,1.43,3.50,1.93,1.66,8.50,0,2
33,1.77,2.20,9.00,1.03,60.0,0.50,1.98,1.63,2.50,2.40,1.44,3.50,1.89,1.69,8.50,0,2
34,1.77,2.20,9.00,1.03,60.0,0.50,1.95,1.65,2.50,2.35,1.46,3.50,1.86,1.71,8.50,0,2
35,1.77,2.20,9.00,1.03,60.0,0.50,1.92,1.67,2.50,2.30,1.47,3.50,1.82,1.75,9.00,0,2
36,1,1,1,1.02,60.0,0.50,1.89,1.69,2.50,2.30,1.48,3.50,1.78,1.78,9.00,0,2
37,1.77,2.20,9.00,1.02,60.0,0.50,1.86,1.71,2.50,2.25,1.50,3.50,1.75,1.82,9.00,0,2
38,1.77,2.20,9.00,1.02,60.0,0.50,1.84,1.73,2.50,2.20,1.51,3.50,1.72,1.86,9.00,0,2
39,1.77,2.20,9.00,1.02,60.0,0.50,1.81,1.75,2.50,2.20,1.52,3.50,1.69,1.89,9.00,0,2
40,1.77,2.20,9.00,1.02,60.0,0.50,1.79,1.77,2.50,2.15,1.54,3.50,1.66,1.94,9.00,0,2
41,1.77,2.20,9.00,1.02,60.0,0.50,1.76,1.80,2.50,2.10,1.56,3.50,1.63,1.98,9.00,0,2
42,1,1,1,1.02,60.0,0.50,1.74,1.82,2.50,2.05,1.57,3.50,1.60,2.00,9.00,0,2
43,1.77,2.20,9.00,1.02,60.0,0.50,1.72,1.85,2.50,2.05,1.59,3.50,1.58,2.05,9.50,0,2
44,1.77,2.20,9.00,1.02,35.0,0.50,1.70,1.88,2.50,2.00,1.61,3.50,1.56,2.10,9.50,0,2
45,1.77,2.20,9.00,1.02,36.0,0.50,1.68,1.91,2.50,1.99,1.63,3.50,1.53,2.15,9.50,0,2
46,1,1,1,1.02,38.0,0.50,1.66,1.94,2.50,1.95,1.65,3.50,1.51,2.20,10.0,0,2
47,1.77,2.20,9.00,1.02,38.0,0.50,1.64,1.97,2.50,1.91,1.67,3.50,1.49,2.25,10.0,0,2
48,1.77,2.20,9.00,1.02,39.0,0.50,1.61,2.00,2.50,1.88,1.70,3.50,1.47,2.35,10.0,0,2
49,1.77,2.20,9.00,1.02,40.0,0.50,1.60,2.00,2.50,1.85,1.72,3.50,1.45,2.40,10.0,0,2
50,1,1,1,1.02,40.0,0.50,1.58,2.05,2.50,1.82,1.75,3.50,1.43,2.45,10.0,0,2
51,1.77,2.20,9.00,1.02,41.0,0.50,1.56,2.10,2.50,1.79,1.77,3.50,1.41,2.50,10.0,0,2
52,1.77,2.20,9.00,1.02,45.0,0.50,1.54,2.15,2.50,1.76,1.81,3.50,1.39,2.60,10.5,0,2
53,1.77,2.20,9.00,1.02,46.0,0.50,1.52,2.20,2.50,1.73,1.84,3.50,1.37,2.70,10.5,0,2
54,1.77,2.20,9.00,1.02,46.0,0.50,1.51,2.20,2.50,1.70,1.88,3.50,1.35,2.75,10.5,0,2
55,1.77,2.20,9.00,1.02,47.0,0.50,1.49,2.25,2.50,1.67,1.91,1,1,1,11.0,0,2
56,1,1,1,1.02,49.0,0.50,1.47,2.30,2.50,1.65,1.95,1,1,1,11.0,0,2
57,1.77,2.20,9.00,1.02,51.0,0.50,1.46,2.35,2.50,1.63,1.99,1,1,1,11.0,0,2
58,1.77,2.20,9.00,1.02,53.0,0.50,1.44,2.40,2.50,1.60,2.00,1,1,1,11.0,0,2
59,1.77,2.20,9.00,1.02,52.0,0.50,1.43,2.45,2.50,1.58,2.05,1,1,1,11.5,0,2
60,1,1,1,1.02,60.0,0.50,1.41,2.50,2.50,1.55,2.10,1,1,1,11.5,0,2
61,1.77,2.20,9.00,1.02,60.0,0.50,1.40,2.60,2.50,1.53,2.15,1,1,1,12.0,0,2
62,1.77,2.20,9.00,-,-,0.50,1.38,2.60,2.50,1.51,2.20,1,1,1,-,0,2
63,1.77,2.20,9.00,-,-,0.50,1.37,2.70,2.50,1.49,2.25,1,1,1,-,0,2
64,1.77,2.20,9.00,-,-,0.50,1.35,2.75,2.50,1.47,2.30,1,1,1,-,0,2
65,1.77,2.20,9.00,-,-,0.50,1.33,2.85,2.50,1.45,2.40,1,1,1,-,0,2
66,1.77,2.20,9.00,-,-,0.50,1.32,2.90,2.50,1.43,2.45,1,1,1,-,0,2
67,1.77,2.20,9.00,-,-,0.50,1.33,2.85,2.50,1.40,2.55,1,1,1,-,0,2
68,1.77,2.20,9.00,-,-,0.50,1.31,2.95,2.50,1.38,2.60,1,1,1,-,0,2
69,1.77,2.20,9.00,-,-,0.50,1.29,3.05,2.50,1.37,2.70,1,1,1,-,0,2
70,1,1,1,-,-,0.50,1.27,3.15,2.50,1.35,2.80,1,1,1,-,0,2
71,1.77,2.20,9.00,-,-,0.50,1.25,3.20,2.50,1.33,2.85,1,1,1,-,0,2
72,1,1,1,-,-,0.50,1.24,3.30,2.50,1.31,2.95,1,1,1,-,0,2
73,1.77,2.20,9.00,-,-,0.50,1.22,3.45,2.50,1.29,3.05,1,1,1,-,0,2
74,1.77,2.20,9.00,-,-,0.50,1.20,3.55,2.50,1.27,3.15,1,1,1,-,0,2
75,1.77,2.20,9.00,-,-,0.50,1.18,3.70,2.50,1.25,3.30,1,1,1,-,0,2
76,1,1,1,-,-,0.50,1.16,3.90,2.50,1.22,3.40,1,1,1,-,0,2
77,1.77,2.20,9.00,-,-,0.50,1.14,4.05,2.50,1.20,3.55,1,1,1,-,0,2
78,1.77,2.20,9.00,-,-,0.50,1.13,4.25,2.50,1.18,3.70,1,1,1,-,0,2
79,1.77,2.20,9.00,-,-,0.50,1.11,4.45,2.50,1.16,3.90,1,1,1,-,0,2
80,1.77,2.20,9.00,-,-,0.50,1.09,4.70,2.50,1.14,4.10,1,1,1,-,0,2
81,1.77,2.20,9.00,-,-,0.50,1.08,5.00,2.50,1.12,4.35,1,1,1,-,0,2
82,1.77,2.20,9.00,-,-,0.50,1.07,5.00,2.50,1.10,4.65,1,1,1,-,0,2
83,1,1,1,-,-,0.50,1.05,5.50,2.50,1.08,5.00,1,1,1,-,0,2
84,1.77,2.20,9.00,-,-,0.50,1.04,6.00,2.50,1.06,5.00,1,1,1,-,0,2
85,1.77,2.20,9.00,-,-,0.50,1.04,6.50,2.50,1.05,5.50,1,1,1,-,0,2
86,1.77,2.20,9.00,-,-,0.50,1.03,7.00,2.50,1.04,6.00,1,1,1,-,0,2
87,1,1,1,-,-,0.50,1.03,8.00,2.50,1.03,7.00,1,1,1,-,0,2
88,1.77,2.20,9.00,-,-,0.50,1.02,9.00,2.50,1.03,8.00,1,1,1,-,0,2
89,1.77,2.20,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
90,1.77,2.20,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
92,1.77,2.20,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
