min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.45,2.60,0.50,3.25,1.25,1.50,1.47,2.35,0.50,10.0,1.02,3.15,0,0
2,1.93,1.99,10.0,5.00,1.47,2.50,1.44,2.40,1.50,1.47,2.35,3.50,1.73,1.84,3.80,1,0
3,1.93,1.99,10.0,5.00,1.47,2.50,1.44,2.40,1.50,1.47,2.35,3.50,1.73,1.84,3.80,1,0
4,1.93,1.99,10.0,4.45,1.57,2.50,1.44,2.40,1.50,1.60,2.00,3.50,1.88,1.70,3.70,1,0
5,1.93,1.99,10.0,4.45,1.57,2.50,1.44,2.40,1.50,1.60,2.00,3.50,1.88,1.70,3.70,1,0
6,1.93,1.99,10.0,4.45,1.56,2.50,1.43,2.45,1.50,1.58,2.05,3.50,1.85,1.72,3.70,1,0
7,1.93,1.99,10.0,4.50,1.56,2.50,1.42,2.50,1.50,1.57,2.10,3.50,1.82,1.75,3.70,1,0
8,1.93,1.99,10.0,4.60,1.56,2.50,1.41,2.50,1.50,1.55,2.10,3.50,1.79,1.78,3.70,1,0
9,1.93,1.99,10.0,4.60,1.56,2.50,1.40,2.55,1.50,1.54,2.15,3.50,1.76,1.81,3.70,1,0
10,1.93,1.99,10.0,4.70,1.55,2.50,1.39,2.60,1.50,1.53,2.15,3.50,1.73,1.84,3.65,1,0
11,1.93,1.99,10.0,4.70,1.55,2.50,1.38,2.65,1.50,1.51,2.20,3.50,1.71,1.87,3.65,1,0
12,1.93,1.99,10.0,4.75,1.55,2.50,1.37,2.70,1.50,1.50,2.25,3.50,1.68,1.90,3.65,1,0
13,1.93,1.99,10.0,4.80,1.54,2.50,1.36,2.70,1.50,1.49,2.30,3.50,1.65,1.94,3.65,1,0
14,1.93,1.99,10.0,4.80,1.54,2.50,1.35,2.75,1.50,1.47,2.30,3.50,1.63,1.98,3.60,1,0
15,1.93,1.99,10.0,5.00,1.54,2.50,1.34,2.80,1.50,1.46,2.35,3.50,1.61,2.00,3.60,1,0
16,1.93,1.99,10.0,5.00,1.54,2.50,1.33,2.85,1.50,1.45,2.40,3.50,1.59,2.00,3.60,1,0
17,1.93,1.99,10.0,5.00,1.53,1.50,2.80,1.34,1.50,1.44,2.40,3.50,1.57,2.05,3.60,1,0
18,1.93,1.99,10.0,5.00,1.53,1.50,2.75,1.35,1.50,1.43,2.45,3.50,1.55,2.10,3.60,1,0
19,1.93,1.99,10.0,5.00,1.53,1.50,2.70,1.36,1.50,1.42,2.50,3.50,1.53,2.15,3.60,1,0
20,1.93,1.99,10.0,5.00,1.53,1.50,2.70,1.37,1.50,1.40,2.55,3.50,1.51,2.20,3.60,1,0
21,1.93,1.99,10.0,5.00,1.52,1.50,2.65,1.38,1.50,1.39,2.60,3.50,1.50,2.25,3.60,1,0
22,1.93,1.99,10.0,5.00,1.52,1.50,2.60,1.39,1.50,1.38,2.60,3.50,1.48,2.30,3.55,1,0
23,1.93,1.99,10.0,5.00,1.51,1.50,2.55,1.40,1.50,1.37,2.70,3.50,1.46,2.35,3.55,1,0
24,1.93,1.99,10.0,5.00,1.51,1.50,2.50,1.41,1.50,1.36,2.70,3.50,1.44,2.40,3.55,1,0
25,1.93,1.99,10.0,5.50,1.50,1.50,2.50,1.42,1.50,1.35,2.75,3.50,1.42,2.50,3.55,1,0
26,1.93,1.99,10.0,5.50,1.51,1.50,2.45,1.43,1.50,1.34,2.80,1,1,1,3.55,1,0
27,1.93,1.99,10.0,5.50,1.50,1.50,2.40,1.44,0.50,2.80,1.34,1,1,1,3.50,1,0
28,1.93,1.99,10.0,5.50,1.50,1.50,2.40,1.45,0.50,2.80,1.35,1,1,1,3.50,1,0
29,1.93,1.99,10.0,5.50,1.49,1.50,2.35,1.46,0.50,2.75,1.36,1,1,1,3.50,1,0
30,1.93,1.99,10.0,6.00,1.49,1.50,2.30,1.47,0.50,2.70,1.37,1,1,1,3.50,1,0
31,1.93,1.99,10.0,6.00,1.49,1.50,2.25,1.49,0.50,2.65,1.38,1,1,1,3.50,1,0
32,1.93,1.99,10.0,6.00,1.48,1.50,2.25,1.50,0.50,2.60,1.39,1,1,1,3.50,1,0
33,1.93,1.99,10.0,6.00,1.48,1.50,2.20,1.51,0.50,2.55,1.40,1,1,1,3.50,1,0
34,1.93,1.99,10.0,6.00,1.47,1.50,2.15,1.53,0.50,2.50,1.41,1,1,1,3.50,1,0
35,1.93,1.99,10.0,6.50,1.47,1.50,2.15,1.54,0.50,2.45,1.43,1,1,1,3.50,1,0
36,1.93,1.99,10.0,6.50,1.46,1.50,2.10,1.56,0.50,2.40,1.44,1,1,1,3.45,1,0
37,1.93,1.99,10.0,6.50,1.46,1.50,2.05,1.57,0.50,2.40,1.45,1,1,1,3.45,1,0
38,1.93,1.99,10.0,6.50,1.45,1.50,2.05,1.59,0.50,2.35,1.47,1,1,1,3.45,1,0
39,1.93,1.99,10.0,7.00,1.45,1.50,2.00,1.60,0.50,2.30,1.48,1,1,1,3.45,1,0
40,1.93,1.99,10.0,7.00,1.44,1.50,2.00,1.62,0.50,2.25,1.49,1,1,1,3.45,1,0
41,1.93,1.99,10.0,7.00,1.44,1.50,1.96,1.64,0.50,2.20,1.51,1,1,1,3.45,1,0
