min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.60,2.70,1.50,1.45,2.50,1.50,1.47,2.50,0.50,9.00,1.04,3.05,0,0
2,1,1,1,2.60,2.70,1.50,1.45,2.50,1.50,1.47,2.50,0.50,9.00,1.04,3.05,0,0
3,2.00,2.00,9.50,2.65,2.65,1.50,1.47,2.50,1.50,1.47,2.50,1,1,1,3.10,0,0
4,2.00,2.00,9.50,2.65,2.65,1.50,1.47,2.50,1.50,1.47,2.50,1,1,1,3.10,0,0
5,2.00,2.00,9.50,2.65,2.65,1.50,1.47,2.50,1.50,1.47,2.50,1,1,1,3.10,0,0
6,2.00,2.00,9.00,2.65,2.65,1.50,1.46,2.50,1.50,1.46,2.50,1,1,1,3.05,0,0
7,2.00,2.00,9.00,2.65,2.65,1.50,1.45,2.55,1.50,1.45,2.55,1,1,1,3.05,0,0
8,2.00,2.00,9.00,2.70,2.70,1.50,1.44,2.60,1.50,1.44,2.60,1,1,1,3.00,0,0
9,2.00,2.00,8.50,2.70,2.70,1.50,1.43,2.60,1.50,1.43,2.60,1,1,1,3.00,0,0
10,2.00,2.00,8.50,2.70,2.70,1.50,1.42,2.65,1.50,1.42,2.65,1,1,1,3.00,0,0
11,2.05,2.05,8.00,2.70,2.70,1.50,1.41,2.70,1.50,1.41,2.70,1,1,1,3.00,0,0
12,2.05,2.05,8.00,6.50,1.48,2.50,1.40,2.75,1.50,1.40,2.75,3.50,1.57,2.20,3.70,1,0
13,2.05,2.05,8.00,6.50,1.48,2.50,1.39,2.80,1.50,1.39,2.80,3.50,1.55,2.20,3.70,1,0
14,2.05,2.05,8.00,6.50,1.48,2.50,1.38,2.80,1.50,1.38,2.80,3.50,1.54,2.25,3.70,1,0
15,2.05,2.05,8.00,6.50,1.48,2.50,1.37,2.85,1.50,1.37,2.85,3.50,1.52,2.30,3.70,1,0
