min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.20,1.73,13.0,3.15,2.00,1.50,1.88,1.76,1.50,1.51,2.35,1,1,1,3.45,0,0
2,2.20,1.73,13.0,3.15,2.00,1.50,1.88,1.76,1.50,1.51,2.35,1,1,1,3.45,0,0
3,2.20,1.73,13.0,3.15,2.00,1.50,1.88,1.76,1.50,1.51,2.35,1,1,1,3.45,0,0
4,2.20,1.73,13.0,3.15,2.00,1.50,1.88,1.76,1.50,1.51,2.35,1,1,1,3.45,0,0
5,2.20,1.73,13.0,3.15,2.00,1.50,1.88,1.76,1.50,1.51,2.35,1,1,1,3.45,0,0
6,2.20,1.73,13.0,3.20,2.05,1.50,1.86,1.79,1.50,1.50,2.40,1,1,1,3.40,0,0
7,2.20,1.73,13.0,3.20,2.05,1.50,1.83,1.81,1.50,1.49,2.40,1,1,1,3.40,0,0
8,2.25,1.74,13.0,3.20,2.05,1.50,1.81,1.83,1.50,1.48,2.45,1,1,1,3.40,0,0
9,2.25,1.74,12.0,3.20,2.05,1.50,1.79,1.86,1.50,1.47,2.50,1,1,1,3.35,0,0
10,2.25,1.74,12.0,3.20,2.05,1.50,1.76,1.88,1.50,1.46,2.50,1,1,1,3.35,0,0
11,2.25,1.73,12.0,3.20,2.00,1.50,1.82,1.82,1.50,1.47,2.45,1,1,1,3.40,0,0
12,2.25,1.73,12.0,3.20,2.00,1.50,1.79,1.85,1.50,1.46,2.50,1,1,1,3.35,0,0
13,2.25,1.73,12.0,3.20,2.05,1.50,1.78,1.87,1.50,1.45,2.55,1,1,1,3.35,0,0
14,2.25,1.74,12.0,3.20,2.05,1.50,1.75,1.90,1.50,1.44,2.60,1,1,1,3.30,0,0
15,2.25,1.74,11.5,3.25,2.05,1.50,1.73,1.93,1.50,1.43,2.60,1,1,1,3.30,0,0
16,2.30,1.75,11.0,3.25,2.05,1.50,1.71,1.95,1.50,1.42,2.65,1,1,1,3.30,0,0
17,2.30,1.75,11.0,3.25,2.10,1.50,1.69,1.99,1.50,1.41,2.70,1,1,1,3.25,0,0
18,2.30,1.75,11.0,3.25,2.10,1.50,1.67,2.00,1.50,1.40,2.75,1,1,1,3.25,0,0
19,2.30,1.76,10.5,3.25,2.10,1.50,1.65,2.00,1.50,1.39,2.80,1,1,1,3.25,0,0
20,2.30,1.76,10.0,3.25,2.10,1.50,1.63,2.05,1.50,1.38,2.80,1,1,1,3.20,0,0
21,2.30,1.77,10.0,3.25,2.10,1.50,1.61,2.10,1.50,1.37,2.85,1,1,1,3.20,0,0
22,2.30,1.77,10.0,3.25,2.10,1.50,1.59,2.15,0.50,2.90,1.37,1,1,1,3.20,0,0
23,2.30,1.78,9.50,3.30,2.15,1.50,1.58,2.20,0.50,2.85,1.37,1,1,1,3.15,0,0
24,2.30,1.78,9.00,3.30,2.15,1.50,1.56,2.20,0.50,2.80,1.38,1,1,1,3.10,0,0
25,2.35,1.79,9.00,3.30,2.15,1.50,1.54,2.25,0.50,2.75,1.39,1,1,1,3.10,0,0
26,2.35,1.79,9.00,1.66,4.60,1.50,1.53,2.30,1.50,2.70,1.40,3.50,1.61,2.10,3.50,0,1
27,2.35,1.79,9.00,1.53,5.00,1.50,1.54,2.25,2.50,1.49,2.40,3.50,1.83,1.81,3.80,0,1
28,2.35,1.79,9.00,1.53,5.00,1.50,1.53,2.30,2.50,1.47,2.50,3.50,1.79,1.85,3.80,0,1
29,2.35,1.79,9.00,1.53,5.00,1.50,1.51,2.35,2.50,1.46,2.50,3.50,1.76,1.89,3.75,0,1
30,2.35,1.79,9.00,1.53,5.00,1.50,1.50,2.40,2.50,1.45,2.55,3.50,1.72,1.93,3.75,0,1
31,1,1,1,1.52,5.50,1.50,1.48,2.45,2.50,1.43,2.60,3.50,1.69,1.98,3.75,0,1
32,2.35,1.79,9.00,1.52,5.50,1.50,1.47,2.50,2.50,1.42,2.65,3.50,1.66,2.00,3.70,0,1
33,1,1,1,1.52,5.50,1.50,1.45,2.55,2.50,1.41,2.70,3.50,1.63,2.05,3.70,0,1
34,2.35,1.79,9.00,1.52,5.50,1.50,1.44,2.60,2.50,1.39,2.75,3.50,1.61,2.10,3.70,0,1
35,1,1,1,1.51,6.00,1.50,1.43,2.65,2.50,1.38,2.80,3.50,1.58,2.15,3.70,0,1
