min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.45,2.95,15.0,1.50,5.00,0.50,2.60,1.44,1.50,2.45,1.48,1,1,1,4.05,0,0
2,1.45,2.95,15.0,1.50,5.00,0.50,2.60,1.44,1.50,2.45,1.48,1,1,1,4.05,0,0
3,1.45,2.95,15.0,1.50,5.00,0.50,2.60,1.44,1.50,2.45,1.48,1,1,1,4.05,0,0
4,1.45,2.95,15.0,1.50,5.00,0.50,2.60,1.44,1.50,2.45,1.48,1,1,1,4.05,0,0
5,1.45,2.95,15.0,1.50,5.00,0.50,2.60,1.44,1.50,2.45,1.48,1,1,1,4.05,0,0
6,1.45,2.95,15.0,1.12,15.0,0.50,2.55,1.45,2.50,2.40,1.49,3.50,2.25,1.54,6.50,0,1
7,1.45,2.95,15.0,1.12,15.0,0.50,2.55,1.45,2.50,2.35,1.51,3.50,2.20,1.56,6.50,0,1
8,1.45,2.95,15.0,1.12,15.0,0.50,2.50,1.46,2.50,2.30,1.52,3.50,2.15,1.58,6.50,0,1
9,1.45,2.95,15.0,1.13,15.0,0.50,2.50,1.47,2.50,2.30,1.53,3.50,2.10,1.60,6.50,0,1
10,1.45,2.95,15.0,1.12,15.0,0.50,2.45,1.48,2.50,2.25,1.55,3.50,2.10,1.62,6.50,0,1
11,1.45,2.95,15.0,1.13,15.0,0.50,2.40,1.49,2.50,2.20,1.56,3.50,2.05,1.64,6.50,0,1
12,1.45,2.95,15.0,1.17,13.0,0.50,2.55,1.45,2.50,2.00,1.65,3.50,1.99,1.68,5.50,0,1
13,1.45,2.95,15.0,1.24,10.0,0.50,2.90,1.37,2.50,1.95,1.71,3.50,2.05,1.64,5.00,0,1
14,1.45,2.95,15.0,1.24,10.0,0.50,2.85,1.37,2.50,1.92,1.74,3.50,2.00,1.67,5.00,0,1
15,1.45,2.95,15.0,1.24,10.0,0.50,2.80,1.38,2.50,1.89,1.76,3.50,1.98,1.69,5.00,0,1
16,1.45,2.95,15.0,1.24,10.0,0.50,2.80,1.39,2.50,1.86,1.78,3.50,1.95,1.71,5.00,0,1
17,1.45,2.95,15.0,1.24,10.5,0.50,2.75,1.40,2.50,1.83,1.81,3.50,1.91,1.74,5.00,0,1
18,1,1,1,1.24,10.5,0.50,2.70,1.41,2.50,1.81,1.84,3.50,1.87,1.78,5.00,0,1
19,1.45,2.95,15.0,1.24,10.5,0.50,2.65,1.42,2.50,1.78,1.86,3.50,1.83,1.81,5.00,0,1
20,1.45,2.95,15.0,1.24,10.5,0.50,2.65,1.43,2.50,1.76,1.89,3.50,1.80,1.84,5.00,0,1
