min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,1.69,2.20,12.0,2.00,3.10,1.50,1.38,2.60,1.50,1.67,1.91,1,1,1,3.35,0,0
5,1.69,2.20,12.0,2.00,3.10,1.50,1.38,2.60,1.50,1.67,1.91,1,1,1,3.35,0,0
6,1.69,2.20,11.5,2.00,3.10,1.50,1.37,2.65,1.50,1.66,1.94,1,1,1,3.35,0,0
7,1.70,2.20,11.5,2.00,3.10,1.50,1.37,2.70,1.50,1.64,1.97,1,1,1,3.30,0,0
8,1.70,2.25,11.0,2.00,3.10,1.50,1.36,2.70,1.50,1.62,2.00,1,1,1,3.30,0,0
9,1.71,2.25,11.0,2.00,3.15,1.50,1.35,2.75,1.50,1.60,2.00,1,1,1,3.30,0,0
10,1.71,2.25,10.5,2.00,3.15,1.50,1.34,2.80,1.50,1.59,2.05,1,1,1,3.30,0,0
11,1.71,2.25,10.5,2.00,3.15,0.50,2.80,1.34,1.50,1.57,2.05,1,1,1,3.25,0,0
12,1.72,2.25,10.0,4.10,1.64,1.50,2.80,1.34,1.50,1.56,2.10,3.50,1.69,1.89,3.60,1,0
13,1.72,2.25,10.0,4.20,1.63,1.50,2.75,1.35,1.50,1.54,2.10,3.50,1.67,1.92,3.60,1,0
14,1.72,2.25,10.0,4.20,1.62,1.50,2.70,1.36,1.50,1.53,2.15,3.50,1.64,1.96,3.60,1,0
15,1.72,2.25,10.0,4.25,1.62,1.50,2.70,1.37,1.50,1.51,2.20,3.50,1.62,2.00,3.60,1,0
16,1.72,2.25,10.0,4.30,1.62,1.50,2.65,1.38,1.50,1.50,2.20,3.50,1.60,2.00,3.60,1,0
17,1.72,2.25,10.0,4.35,1.61,1.50,2.60,1.39,1.50,1.49,2.25,3.50,1.57,2.05,3.55,1,0
18,1.72,2.25,10.0,4.35,1.61,1.50,2.60,1.40,1.50,1.48,2.30,3.50,1.56,2.10,3.55,1,0
19,1.72,2.25,10.0,4.50,1.60,1.50,2.55,1.40,1.50,1.46,2.35,3.50,1.53,2.15,3.55,1,0
20,1.72,2.25,10.0,4.50,1.60,1.50,2.50,1.41,1.50,1.45,2.40,3.50,1.52,2.20,3.55,1,0
21,1.72,2.25,10.0,4.60,1.59,1.50,2.50,1.42,1.50,1.44,2.40,3.50,1.50,2.25,3.50,1,0
22,1.72,2.25,10.0,4.60,1.58,1.50,2.45,1.44,1.50,1.43,2.45,3.50,1.48,2.30,3.50,1,0
23,1.72,2.25,10.0,4.70,1.58,1.50,2.40,1.45,1.50,1.41,2.50,3.50,1.46,2.35,3.50,1,0
24,1.72,2.25,10.0,4.75,1.57,1.50,2.35,1.46,1.50,1.40,2.55,3.50,1.44,2.40,3.50,1,0
25,1.72,2.25,10.0,4.80,1.58,1.50,2.30,1.47,1.50,1.39,2.60,3.50,1.43,2.45,3.50,1,0
26,1.72,2.25,10.0,4.85,1.57,1.50,2.30,1.48,1.50,1.38,2.65,1,1,1,3.50,1,0
27,1.72,2.25,10.0,4.95,1.57,1.50,2.25,1.49,1.50,1.37,2.70,1,1,1,3.50,1,0
28,1.72,2.25,10.0,5.00,1.56,1.50,2.20,1.50,1.50,1.36,2.75,1,1,1,3.45,1,0
29,1.72,2.25,10.0,5.00,1.55,1.50,2.20,1.51,1.50,1.34,2.80,1,1,1,3.45,1,0
30,1.72,2.25,10.0,5.00,1.55,1.50,2.15,1.53,0.50,2.85,1.33,1,1,1,3.45,1,0
31,1.72,2.25,10.0,5.00,1.55,1.50,2.15,1.54,0.50,2.80,1.34,1,1,1,3.45,1,0
32,1.72,2.25,10.0,5.00,1.54,1.50,2.10,1.55,0.50,2.75,1.35,1,1,1,3.45,1,0
33,1.72,2.25,10.0,5.00,1.54,1.50,2.10,1.57,0.50,2.70,1.36,1,1,1,3.45,1,0
34,1.72,2.25,10.0,5.00,1.54,1.50,2.05,1.58,0.50,2.65,1.37,1,1,1,3.40,1,0
35,1.72,2.25,10.0,5.50,1.53,1.50,2.00,1.60,0.50,2.60,1.39,1,1,1,3.40,1,0
36,1.72,2.25,10.0,5.50,1.52,1.50,2.00,1.61,0.50,2.55,1.40,1,1,1,3.40,1,0
37,1.72,2.25,10.0,5.50,1.51,1.50,1.98,1.63,0.50,2.50,1.41,1,1,1,3.40,1,0
38,1.72,2.25,10.0,6.00,1.51,1.50,1.94,1.65,0.50,2.45,1.43,1,1,1,3.40,1,0
39,1.72,2.25,10.0,6.00,1.50,1.50,1.91,1.67,0.50,2.40,1.44,1,1,1,3.40,1,0
40,1.72,2.25,10.0,6.00,1.50,1.50,1.88,1.69,0.50,2.40,1.45,1,1,1,3.40,1,0
41,1.72,2.25,10.0,6.00,1.49,1.50,1.86,1.71,0.50,2.30,1.47,1,1,1,3.40,1,0
42,1.72,2.25,10.0,6.00,1.48,1.50,1.83,1.73,0.50,2.30,1.48,1,1,1,3.40,1,0
43,1.72,2.25,10.0,6.50,1.48,1.50,1.81,1.76,0.50,2.25,1.50,1,1,1,3.40,1,0
44,1.72,2.25,10.0,6.50,1.47,1.50,1.78,1.78,0.50,2.20,1.51,1,1,1,3.40,1,0
45,1.72,2.25,10.0,6.50,1.46,1.50,1.76,1.81,0.50,2.15,1.53,1,1,1,3.40,1,0
46,1.72,2.25,10.0,7.00,1.46,1.50,1.73,1.84,0.50,2.10,1.54,1,1,1,3.40,1,0
47,1.72,2.25,10.0,7.00,1.46,1.50,1.71,1.87,0.50,2.10,1.56,1,1,1,3.40,1,0
48,1.72,2.25,10.0,7.00,1.45,1.50,1.68,1.90,0.50,2.05,1.58,1,1,1,3.40,1,0
49,1.72,2.25,10.0,7.50,1.44,1.50,1.66,1.93,0.50,2.00,1.60,1,1,1,3.40,1,0
50,1.72,2.25,10.0,7.50,1.44,1.50,1.64,1.97,0.50,1.99,1.62,1,1,1,3.40,1,0
51,1.72,2.25,10.0,8.00,1.43,1.50,1.62,2.00,0.50,1.95,1.65,1,1,1,3.40,1,0
52,1.72,2.25,10.0,8.00,1.42,1.50,1.60,2.00,0.50,1.91,1.67,1,1,1,3.40,1,0
53,1.72,2.25,10.0,3.10,3.00,1.50,1.73,1.84,1.50,1.70,1.88,3.50,1.44,2.40,2.20,1,1
54,1.72,2.25,10.0,3.30,2.70,1.50,1.88,1.70,1.50,1.67,1.91,3.50,1.48,2.30,2.25,1,1
55,1.72,2.25,10.0,3.35,2.75,1.50,1.84,1.73,1.50,1.65,1.95,3.50,1.46,2.35,2.20,1,1
56,1.72,2.25,10.0,3.40,2.75,1.50,1.81,1.76,1.50,1.62,1.99,3.50,1.43,2.45,2.20,1,1
57,1.72,2.25,10.0,3.40,2.80,1.50,1.77,1.79,1.50,1.60,2.00,3.50,1.41,2.50,2.15,1,1
58,1.72,2.25,10.0,3.45,2.80,1.50,1.74,1.83,1.50,1.57,2.05,3.50,1.39,2.60,2.10,1,1
59,1.72,2.25,10.0,3.45,2.85,1.50,1.70,1.87,1.50,1.55,2.10,3.50,1.37,2.70,2.05,1,1
60,1.72,2.25,10.0,3.50,2.90,1.50,1.67,1.91,1.50,1.53,2.15,3.50,1.34,2.80,2.00,1,1
61,1.72,2.25,10.0,3.55,2.95,1.50,1.65,1.95,1.50,1.51,2.20,1,1,1,2.00,1,1
62,1.72,2.25,10.0,3.60,2.95,1.50,1.62,2.00,1.50,1.49,2.25,1,1,1,1.98,1,1
63,1.72,2.25,10.0,3.60,3.00,1.50,1.59,2.00,1.50,1.47,2.30,1,1,1,1.94,1,1
64,1.72,2.25,10.0,3.65,3.05,1.50,1.56,2.10,1.50,1.45,2.40,1,1,1,1.91,1,1
65,1.72,2.25,10.0,3.70,3.10,1.50,1.54,2.15,1.50,1.43,2.45,1,1,1,1.87,1,1
66,1.72,2.25,10.0,1.29,13.0,1.50,1.51,2.20,2.50,1.41,2.50,3.50,2.40,1.45,3.70,1,2
67,1.72,2.25,10.0,1.29,13.0,1.50,1.49,2.25,2.50,1.40,2.60,3.50,2.30,1.47,3.70,1,2
68,1.72,2.25,10.0,1.28,14.0,1.50,1.47,2.35,2.50,1.38,2.65,3.50,2.20,1.50,3.75,1,2
69,1.72,2.25,10.0,1.26,15.0,1.50,1.44,2.40,2.50,1.36,2.70,3.50,2.15,1.53,3.80,1,2
70,1.72,2.25,10.0,1.26,15.0,1.50,1.42,2.50,2.50,1.34,2.80,3.50,2.10,1.57,3.85,1,2
71,1.72,2.25,10.0,1.25,16.0,1.50,1.40,2.55,2.50,1.32,2.90,3.50,2.00,1.60,3.90,1,2
72,1,1,1,1.24,17.0,1.50,1.38,2.65,2.50,1.30,3.00,3.50,1.95,1.65,3.90,1,2
73,1.72,2.25,10.0,1.22,18.0,1.50,1.36,2.70,2.50,1.28,3.10,3.50,1.88,1.70,3.95,1,2
74,1.72,2.25,10.0,1.21,19.0,1.50,1.34,2.80,2.50,1.26,3.20,3.50,1.81,1.75,4.05,1,2
75,1.72,2.25,10.0,1.20,20.0,1.50,1.31,2.95,2.50,1.24,3.30,3.50,1.75,1.82,4.10,1,2
76,1.72,2.25,10.0,1.18,21.0,1.50,1.28,3.05,2.50,1.21,3.45,3.50,1.69,1.89,4.20,1,2
77,1.72,2.25,10.0,1.17,23.0,1.50,1.26,3.20,2.50,1.19,3.60,3.50,1.63,1.98,4.30,1,2
78,1.72,2.25,10.0,1.15,26.0,1.50,1.24,3.30,2.50,1.17,3.75,3.50,1.58,2.05,4.40,1,2
79,1.72,2.25,10.0,1.14,27.0,1.50,1.21,3.50,2.50,1.15,3.95,3.50,1.54,2.15,4.50,1,2
80,1.72,2.25,10.0,1.12,29.0,1.50,1.19,3.65,2.50,1.13,4.20,3.50,1.49,2.25,4.70,1,2
81,1.72,2.25,10.0,1.11,33.0,1.50,1.16,3.85,2.50,1.11,4.40,3.50,1.45,2.40,4.85,1,2
