min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.60,1.60,9.00,3.80,1.80,1.50,1.61,2.00,0.50,2.35,1.46,1,1,1,3.20,0,0
2,2.60,1.60,9.00,3.80,1.80,1.50,1.61,2.00,0.50,2.35,1.46,1,1,1,3.20,0,0
3,2.50,1.69,7.50,3.40,1.96,1.50,1.44,2.40,0.50,2.20,1.51,1,1,1,3.15,0,0
4,2.40,1.76,7.00,3.20,2.05,1.50,1.37,2.70,0.50,2.20,1.51,1.50,2.40,1.44,3.15,0,0
5,2.40,1.76,7.00,3.20,2.05,1.50,1.37,2.70,0.50,2.20,1.51,1.50,2.40,1.44,3.15,0,0
6,2.40,1.77,7.00,3.20,2.05,1.50,1.36,2.70,0.50,2.20,1.52,1.50,2.40,1.45,3.10,0,0
7,2.40,1.78,7.00,3.20,2.10,1.50,1.35,2.75,0.50,2.15,1.53,1.50,2.35,1.46,3.10,0,0
8,2.40,1.78,6.50,3.20,2.10,1.50,1.34,2.80,0.50,2.15,1.54,1.50,2.30,1.48,3.10,0,0
9,2.40,1.79,6.50,3.20,2.10,1.50,1.34,2.80,0.50,2.10,1.55,1.50,2.25,1.49,3.05,0,0
10,2.40,1.80,6.50,3.25,2.10,0.50,2.80,1.34,0.50,2.10,1.56,1.50,2.25,1.50,3.05,0,0
11,2.45,1.80,6.00,3.25,2.10,0.50,2.80,1.34,0.50,2.05,1.57,1.50,2.20,1.51,3.05,0,0
12,2.45,1.81,6.00,3.25,2.10,0.50,2.75,1.35,0.50,2.05,1.58,1.50,2.15,1.53,3.00,0,0
13,2.45,1.82,6.00,3.25,2.10,0.50,2.70,1.36,0.50,2.00,1.59,1.50,2.10,1.55,3.00,0,0
14,2.45,1.83,6.00,3.25,2.15,0.50,2.70,1.37,0.50,2.00,1.60,1.50,2.10,1.56,2.95,0,0
15,2.50,1.83,5.50,9.50,1.24,1.50,2.65,1.38,0.50,2.00,1.61,1,1,1,5.00,1,0
16,2.50,1.83,5.50,6.50,1.36,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,4.20,1,0
17,2.50,1.83,5.50,7.00,1.36,1.50,2.25,1.50,0.50,2.25,1.50,1,1,1,4.20,1,0
18,2.50,1.83,5.50,7.00,1.35,1.50,2.20,1.51,0.50,2.20,1.51,1,1,1,4.20,1,0
19,2.50,1.83,5.50,7.00,1.35,1.50,2.20,1.52,0.50,2.20,1.52,1,1,1,4.20,1,0
20,2.50,1.83,5.50,7.00,1.35,1.50,2.15,1.53,0.50,2.15,1.53,1,1,1,4.20,1,0
21,2.50,1.83,5.50,7.00,1.35,1.50,2.10,1.54,0.50,2.10,1.54,1,1,1,4.20,1,0
22,2.50,1.83,5.50,7.00,1.34,1.50,2.10,1.56,0.50,2.10,1.56,1,1,1,4.20,1,0
23,2.50,1.83,5.50,7.50,1.35,1.50,2.05,1.57,0.50,2.05,1.57,1,1,1,4.20,1,0
24,2.50,1.83,5.50,7.50,1.34,1.50,2.05,1.58,0.50,2.05,1.58,1,1,1,4.20,1,0
25,2.50,1.83,5.50,7.50,1.34,1.50,2.00,1.60,0.50,2.00,1.60,1,1,1,4.20,1,0
26,2.50,1.83,5.50,7.50,1.34,1.50,2.00,1.61,0.50,2.00,1.61,1,1,1,4.20,1,0
27,2.50,1.83,5.50,8.00,1.33,1.50,1.99,1.62,0.50,1.99,1.62,1,1,1,4.20,1,0
28,2.50,1.83,5.50,22.0,1.02,2.50,1.96,1.64,0.50,1.96,1.64,3.50,1.66,1.94,12.0,2,0
29,2.50,1.83,5.50,22.0,1.02,2.50,1.94,1.66,0.50,1.94,1.66,3.50,1.63,1.97,12.0,2,0
30,2.50,1.83,5.50,22.0,1.02,2.50,1.91,1.67,0.50,1.91,1.67,3.50,1.61,2.00,12.0,2,0
31,1,1,1,23.0,1.02,2.50,1.89,1.69,0.50,1.89,1.69,3.50,1.59,2.00,12.0,2,0
32,2.50,1.83,5.50,23.0,1.02,2.50,1.86,1.71,0.50,1.86,1.71,3.50,1.57,2.05,12.0,2,0
33,2.50,1.83,5.50,23.0,1.02,2.50,1.84,1.73,0.50,1.84,1.73,3.50,1.55,2.10,13.0,2,0
34,2.50,1.83,5.50,24.0,1.02,2.50,1.82,1.75,0.50,1.82,1.75,3.50,1.53,2.15,13.0,2,0
35,2.50,1.83,5.50,24.0,1.02,2.50,1.80,1.77,0.50,1.80,1.77,3.50,1.51,2.20,13.0,2,0
36,2.50,1.83,5.50,24.0,1.02,2.50,1.77,1.79,0.50,1.77,1.79,3.50,1.49,2.25,13.0,2,0
37,2.50,1.83,5.50,-,-,3.50,1.75,1.82,0.50,1.75,1.82,4.50,1.47,2.30,-,3,0
38,2.50,1.83,5.50,-,-,3.50,1.91,1.67,0.50,1.79,1.77,4.50,1.56,2.10,-,3,0
39,2.50,1.83,5.50,-,-,3.50,1.89,1.69,0.50,1.76,1.80,4.50,1.54,2.15,-,3,0
40,2.50,1.83,5.50,-,-,3.50,1.86,1.71,0.50,1.74,1.82,4.50,1.52,2.20,-,3,0
41,2.50,1.83,5.50,-,-,3.50,1.83,1.73,0.50,1.72,1.85,4.50,1.50,2.25,-,3,0
42,2.50,1.83,5.50,-,-,3.50,1.81,1.76,0.50,1.70,1.88,4.50,1.48,2.30,-,3,0
43,2.50,1.83,5.50,-,-,3.50,1.79,1.78,0.50,1.68,1.90,4.50,1.46,2.35,-,3,0
44,2.50,1.83,5.50,-,-,3.50,1.76,1.81,0.50,1.66,1.93,4.50,1.44,2.40,-,3,0
45,2.50,1.83,5.50,-,-,3.50,1.88,1.70,0.50,1.56,2.10,4.50,1.44,2.40,-,3,0
46,2.50,1.83,5.50,-,-,3.50,1.85,1.72,0.50,1.54,2.15,4.50,1.42,2.50,-,3,0
47,2.50,1.83,5.50,-,-,3.50,1.82,1.75,0.50,1.53,2.15,4.50,1.40,2.55,-,3,0
48,2.50,1.83,5.50,-,-,3.50,1.79,1.78,0.50,1.51,2.20,4.50,1.38,2.60,-,3,0
49,2.50,1.83,5.50,-,-,3.50,1.76,1.81,0.50,1.50,2.25,4.50,1.37,2.70,-,3,0
50,2.50,1.83,5.50,-,-,3.50,1.73,1.84,0.50,1.48,2.30,4.50,1.35,2.80,-,3,0
51,2.50,1.83,5.50,-,-,3.50,1.71,1.87,0.50,1.47,2.35,3.50,2.80,1.34,-,3,0
52,2.50,1.83,5.50,-,-,3.50,1.68,1.90,0.50,1.45,2.40,3.50,2.75,1.35,-,3,0
53,2.50,1.83,5.50,-,-,3.50,1.66,1.94,0.50,1.44,2.40,3.50,2.70,1.37,-,3,0
54,2.50,1.83,5.50,-,-,3.50,1.63,1.97,0.50,1.43,2.45,3.50,2.60,1.38,-,3,0
55,2.50,1.83,5.50,-,-,3.50,1.61,2.00,0.50,1.41,2.50,3.50,2.55,1.40,-,3,0
56,2.50,1.83,5.50,-,-,3.50,1.59,2.05,0.50,1.40,2.55,3.50,2.50,1.42,-,3,0
57,2.50,1.83,5.50,-,-,3.50,1.57,2.10,0.50,1.39,2.60,3.50,2.40,1.44,-,3,0
58,2.50,1.83,5.50,-,-,3.50,1.54,2.10,0.50,1.37,2.65,3.50,2.35,1.46,-,3,0
59,2.50,1.83,5.50,-,-,3.50,1.53,2.15,0.50,1.36,2.70,3.50,2.30,1.48,-,3,0
60,2.50,1.83,5.50,-,-,3.50,1.50,2.20,0.50,1.34,2.80,3.50,2.25,1.50,-,3,0
61,2.50,1.83,5.50,-,-,3.50,1.49,2.25,0.50,1.33,2.85,3.50,2.20,1.52,-,3,0
62,2.50,1.83,5.50,-,-,3.50,1.47,2.30,0.50,1.32,2.90,3.50,2.10,1.55,-,3,0
63,2.50,1.83,5.50,-,-,3.50,1.45,2.40,0.50,1.30,3.00,3.50,2.05,1.57,-,3,0
64,2.50,1.83,5.50,-,-,3.50,1.40,2.60,0.50,1.24,3.30,3.50,1.89,1.69,-,3,0
65,2.50,1.83,5.50,-,-,3.50,1.38,2.65,0.50,1.23,3.40,3.50,1.84,1.73,-,3,0
66,2.50,1.83,5.50,-,-,3.50,1.36,2.70,0.50,1.21,3.50,3.50,1.79,1.77,-,3,0
67,2.50,1.83,5.50,-,-,3.50,1.35,2.80,1.50,1.20,3.60,4.50,1.75,1.82,-,3,1
68,2.50,1.83,5.50,-,-,3.50,1.35,2.75,1.50,1.23,3.40,4.50,1.79,1.77,-,3,1
69,2.50,1.83,5.50,-,-,3.50,1.35,2.75,1.50,1.24,3.30,4.50,1.81,1.75,-,3,1
70,2.50,1.83,5.50,-,-,3.50,1.33,2.85,1.50,1.23,3.40,4.50,1.76,1.81,-,3,1
71,2.50,1.83,5.50,-,-,3.50,1.31,2.95,1.50,1.21,3.50,4.50,1.71,1.86,-,3,1
72,2.50,1.83,5.50,-,-,3.50,1.29,3.05,1.50,1.19,3.60,4.50,1.66,1.93,-,3,1
73,2.50,1.83,5.50,-,-,3.50,1.27,3.15,1.50,1.18,3.75,4.50,1.62,1.99,-,3,1
74,2.50,1.83,5.50,-,-,3.50,1.25,3.25,1.50,1.16,3.90,4.50,1.58,2.05,-,3,1
75,2.50,1.83,5.50,-,-,3.50,1.23,3.35,1.50,1.14,4.05,4.50,1.54,2.10,-,3,1
76,2.50,1.83,5.50,-,-,3.50,1.21,3.50,1.50,1.11,4.50,4.50,1.48,2.30,-,3,1
77,2.50,1.83,5.50,-,-,3.50,1.19,3.65,1.50,1.09,4.75,4.50,1.45,2.40,-,3,1
78,2.50,1.83,5.50,-,-,3.50,1.16,3.85,1.50,1.08,5.00,4.50,1.42,2.50,-,3,1
79,2.50,1.83,5.50,-,-,3.50,1.14,4.00,1.50,1.07,5.00,4.50,1.38,2.60,-,3,1
80,2.50,1.83,5.50,-,-,3.50,1.12,4.25,1.50,1.06,5.50,4.50,1.35,2.75,-,3,1
81,2.50,1.83,5.50,-,-,3.50,1.11,4.50,1.50,1.05,5.50,4.50,1.32,2.90,-,3,1
82,2.50,1.83,5.50,-,-,3.50,1.09,4.80,1.50,1.04,6.00,4.50,1.29,3.05,-,3,1
83,2.50,1.83,5.50,-,-,3.50,1.07,5.00,1.50,1.03,6.50,4.50,1.25,3.25,-,3,1
84,2.50,1.83,5.50,-,-,3.50,1.06,5.50,1.50,1.03,7.00,4.50,1.21,3.50,-,3,1
85,2.50,1.83,5.50,-,-,3.50,1.05,6.00,1.50,1.03,8.00,4.50,1.18,3.70,-,3,1
86,2.50,1.83,5.50,-,-,3.50,1.04,6.50,1.50,1.02,8.50,4.50,1.14,4.05,-,3,1
87,2.50,1.83,5.50,-,-,3.50,1.03,7.00,1.50,1.02,9.50,4.50,1.11,4.45,-,3,1
88,2.50,1.83,5.50,-,-,3.50,1.03,8.00,1,1,1,4.50,1.08,5.00,-,3,1
89,2.50,1.83,5.50,-,-,1,1,1,1,1,1,1,1,1,-,3,2
90,2.50,1.83,5.50,-,-,1,1,1,1,1,1,1,1,1,-,3,2
91,2.50,1.83,5.50,-,-,1,1,1,1,1,1,1,1,1,-,3,2
92,2.50,1.83,5.50,-,-,1,1,1,1,1,1,1,1,1,-,3,2
93,2.50,1.83,5.50,-,-,1,1,1,1,1,1,1,1,1,-,3,2
