min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.71,20.0,2.70,2.00,1.50,2.00,1.61,1.50,1.69,1.88,3.50,1.63,1.99,3.90,0,0
2,2.00,1.71,20.0,2.70,2.00,1.50,2.00,1.61,1.50,1.69,1.88,3.50,1.63,1.99,3.90,0,0
3,2.05,1.70,17.0,2.80,2.00,1.50,1.87,1.71,1.50,1.55,2.10,3.50,1.48,2.30,3.75,0,0
4,2.05,1.70,17.0,2.80,2.00,1.50,1.87,1.71,1.50,1.55,2.10,3.50,1.48,2.30,3.75,0,0
5,2.00,1.72,17.0,2.75,2.05,1.50,1.81,1.76,1.50,1.55,2.10,1,1,1,3.70,0,0
6,2.00,1.73,16.0,2.75,2.05,1.50,1.78,1.78,1.50,1.54,2.15,1,1,1,3.70,0,0
7,2.05,1.73,16.0,2.75,2.05,1.50,1.76,1.80,1.50,1.53,2.15,1,1,1,3.70,0,0
8,2.05,1.73,15.0,2.75,2.05,1.50,1.74,1.83,1.50,1.51,2.20,1,1,1,3.65,0,0
9,2.05,1.73,15.0,2.75,2.05,1.50,1.72,1.85,1.50,1.50,2.25,1,1,1,3.65,0,0
10,2.05,1.74,15.0,2.75,2.10,1.50,1.70,1.88,1.50,1.49,2.25,1,1,1,3.60,0,0
11,2.05,1.74,14.0,2.75,2.10,1.50,1.68,1.91,1.50,1.48,2.30,1,1,1,3.60,0,0
12,2.05,1.74,14.0,2.80,2.10,1.50,1.66,1.93,1.50,1.46,2.35,1,1,1,3.60,0,0
18,2.10,1.77,12.0,1.63,3.80,1.50,1.68,1.91,2.50,1.40,2.55,3.50,1.94,1.65,3.95,0,1
19,2.10,1.77,12.0,1.62,3.80,1.50,1.66,1.94,2.50,1.39,2.60,3.50,1.90,1.68,3.90,0,1
20,2.10,1.77,12.0,1.57,4.05,1.50,1.63,1.97,2.50,1.43,2.45,3.50,1.94,1.65,4.00,0,1
21,2.10,1.77,12.0,1.56,4.05,1.50,1.62,2.00,2.50,1.42,2.50,3.50,1.91,1.68,4.00,0,1
22,2.10,1.77,12.0,1.56,4.10,1.50,1.60,2.00,2.50,1.41,2.50,3.50,1.86,1.71,4.00,0,1
23,2.10,1.77,12.0,1.56,4.15,1.50,1.58,2.05,2.50,1.40,2.60,3.50,1.83,1.74,4.00,0,1
24,2.10,1.77,12.0,1.56,4.20,1.50,1.56,2.10,2.50,1.39,2.60,3.50,1.79,1.78,3.95,0,1
25,2.10,1.77,12.0,1.55,4.25,1.50,1.54,2.10,2.50,1.37,2.65,3.50,1.75,1.81,3.95,0,1
26,2.10,1.77,12.0,1.55,4.30,1.50,1.53,2.15,2.50,1.36,2.70,3.50,1.72,1.84,3.95,0,1
27,2.10,1.77,12.0,1.55,4.35,1.50,1.51,2.20,2.50,1.35,2.75,3.50,1.70,1.88,3.95,0,1
28,2.10,1.77,12.0,1.54,4.40,1.50,1.49,2.25,2.50,1.34,2.80,3.50,1.66,1.93,3.90,0,1
29,2.10,1.77,12.0,1.54,4.45,1.50,1.48,2.30,1.50,2.80,1.34,3.50,1.64,1.97,3.90,0,1
30,2.10,1.77,12.0,1.54,4.55,1.50,1.46,2.35,1.50,2.80,1.34,3.50,1.61,2.00,3.90,0,1
31,2.10,1.77,12.0,1.53,4.60,1.50,1.45,2.40,1.50,2.75,1.35,3.50,1.58,2.05,3.90,0,1
32,2.10,1.77,12.0,1.53,4.65,1.50,1.44,2.45,1.50,2.70,1.37,3.50,1.56,2.10,3.90,0,1
33,2.10,1.77,12.0,2.90,2.20,2.50,1.45,2.40,1.50,2.75,1.35,4.50,1.58,2.05,3.25,1,1
34,2.10,1.77,12.0,2.90,2.20,2.50,1.43,2.45,1.50,2.70,1.37,4.50,1.55,2.10,3.20,1,1
35,2.10,1.77,12.0,2.90,2.20,2.50,1.42,2.50,1.50,2.65,1.38,4.50,1.53,2.15,3.20,1,1
36,2.10,1.77,12.0,2.90,2.20,2.50,1.40,2.55,1.50,2.60,1.39,4.50,1.50,2.20,3.15,1,1
37,2.10,1.77,12.0,2.20,2.80,2.50,1.34,2.80,2.50,1.47,2.30,4.50,1.64,1.96,3.30,1,1
38,2.10,1.77,12.0,2.20,2.80,1.50,2.80,1.34,2.50,1.46,2.35,4.50,1.61,2.00,3.30,1,1
39,2.10,1.77,12.0,2.15,2.60,2.50,1.39,2.40,2.50,1.50,2.10,4.50,1.77,1.71,3.35,1,1
40,2.10,1.77,12.0,2.15,2.65,2.50,1.38,2.50,2.50,1.49,2.15,4.50,1.73,1.75,3.35,1,1
41,2.10,1.77,12.0,2.20,2.65,2.50,1.36,2.55,2.50,1.46,2.20,4.50,1.69,1.80,3.30,1,1
42,2.10,1.77,12.0,2.20,2.65,2.50,1.35,2.60,2.50,1.45,2.25,4.50,1.65,1.85,3.30,1,1
43,2.10,1.77,12.0,2.20,2.65,2.50,1.33,2.65,2.50,1.43,2.30,4.50,1.62,1.90,3.25,1,1
44,2.10,1.77,12.0,2.20,2.70,2.50,1.32,2.70,2.50,1.41,2.35,4.50,1.58,1.95,3.20,1,1
45,2.10,1.77,12.0,2.20,2.70,2.50,1.31,2.75,2.50,1.40,2.40,4.50,1.55,2.00,3.20,1,1
48,2.10,1.77,12.0,2.30,2.75,1.50,2.45,1.38,2.50,1.31,2.75,4.50,1.40,2.40,3.00,1,1
49,2.10,1.77,12.0,2.30,2.80,1.50,2.40,1.40,1.50,2.75,1.31,3.50,2.40,1.40,2.95,1,1
50,2.10,1.77,12.0,2.30,2.80,1.50,2.35,1.41,1.50,2.70,1.32,3.50,2.30,1.43,2.90,1,1
51,2.10,1.77,12.0,2.30,2.85,1.50,2.30,1.43,1.50,2.70,1.32,3.50,2.30,1.44,2.90,1,1
52,2.10,1.77,12.0,2.30,2.85,1.50,2.25,1.45,1.50,2.60,1.34,3.50,2.20,1.46,2.90,1,1
53,2.10,1.77,12.0,2.35,2.95,1.50,2.05,1.53,1.50,2.35,1.41,3.50,1.93,1.59,2.70,1,1
54,2.10,1.77,12.0,2.25,3.25,1.50,1.82,1.68,1.50,2.30,1.43,3.50,1.76,1.73,2.60,1,1
55,2.10,1.77,12.0,2.25,3.25,1.50,1.78,1.71,1.50,2.25,1.45,3.50,1.71,1.78,2.60,1,1
56,2.10,1.77,12.0,2.30,3.30,1.50,1.75,1.73,1.50,2.20,1.46,3.50,1.67,1.83,2.55,1,1
57,2.10,1.77,12.0,2.30,3.30,1.50,1.72,1.77,1.50,2.15,1.48,3.50,1.63,1.88,2.50,1,1
58,2.10,1.77,12.0,2.30,3.30,1.50,1.68,1.81,1.50,2.10,1.51,3.50,1.59,1.95,2.45,1,1
59,2.10,1.77,12.0,2.35,3.35,1.50,1.65,1.85,1.50,2.05,1.53,3.50,1.55,2.00,2.40,1,1
60,2.10,1.77,12.0,2.40,3.40,1.50,1.63,1.88,1.50,2.00,1.55,3.50,1.52,2.05,2.40,1,1
61,2.10,1.77,12.0,2.40,3.40,1.50,1.60,1.93,1.50,1.96,1.58,3.50,1.49,2.15,2.35,1,1
62,2.10,1.77,12.0,2.45,3.45,1.50,1.57,1.97,1.50,1.91,1.61,3.50,1.46,2.20,2.30,1,1
63,2.10,1.77,12.0,2.45,3.45,1.50,1.55,2.00,1.50,1.86,1.64,3.50,1.43,2.30,2.25,1,1
64,2.10,1.77,12.0,2.50,3.50,1.50,1.52,2.05,1.50,1.81,1.68,3.50,1.40,2.40,2.20,1,1
65,2.10,1.77,12.0,2.55,3.50,1.50,1.49,2.10,1.50,1.76,1.72,3.50,1.37,2.50,2.15,1,1
66,2.10,1.77,12.0,2.55,3.60,1.50,1.47,2.15,1.50,1.72,1.76,3.50,1.34,2.60,2.10,1,1
67,2.10,1.77,12.0,2.60,3.60,1.50,1.45,2.25,1.50,1.68,1.81,3.50,1.31,2.75,2.05,1,1
68,2.10,1.77,12.0,2.65,3.65,1.50,1.43,2.30,1.50,1.64,1.86,1,1,1,2.00,1,1
69,2.10,1.77,12.0,2.70,3.70,1.50,1.40,2.40,1.50,1.60,1.92,1,1,1,1.98,1,1
70,2.10,1.77,12.0,2.75,3.80,1.50,1.38,2.45,1.50,1.57,1.98,1,1,1,1.94,1,1
71,2.10,1.77,12.0,2.80,3.85,1.50,1.36,2.50,1.50,1.54,2.00,1,1,1,1.89,1,1
72,2.10,1.77,12.0,2.90,3.90,1.50,1.34,2.60,1.50,1.50,2.10,1,1,1,1.84,1,1
73,2.10,1.77,12.0,2.95,3.95,1.50,1.32,2.70,1.50,1.47,2.15,1,1,1,1.79,1,1
74,2.10,1.77,12.0,3.00,4.05,1.50,1.30,2.80,1.50,1.45,2.25,1,1,1,1.75,1,1
75,2.10,1.77,12.0,-,-,1.50,1.28,2.90,3.50,1.41,2.35,4.50,2.00,1.54,-,1,3
76,2.10,1.77,12.0,-,-,1.50,1.25,3.00,3.50,1.38,2.45,4.50,1.93,1.59,-,1,3
