min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.70,1.45,15.0,4.50,1.52,1.50,2.30,1.48,0.50,2.75,1.36,1,1,1,3.95,0,0
2,2.70,1.45,15.0,4.50,1.52,1.50,2.30,1.48,0.50,2.75,1.36,1,1,1,3.95,0,0
3,2.70,1.45,15.0,4.50,1.52,1.50,2.30,1.48,0.50,2.75,1.36,1,1,1,3.95,0,0
4,2.70,1.45,15.0,4.50,1.52,1.50,2.30,1.48,0.50,2.75,1.36,1,1,1,3.95,0,0
5,2.70,1.45,15.0,4.50,1.52,1.50,2.30,1.48,0.50,2.75,1.36,1,1,1,3.95,0,0
6,2.70,1.45,15.0,4.55,1.53,1.50,2.25,1.49,0.50,2.70,1.37,1,1,1,3.95,0,0
7,2.70,1.46,15.0,4.50,1.54,1.50,2.20,1.50,0.50,2.65,1.37,1,1,1,3.90,0,0
8,2.75,1.46,14.0,4.50,1.54,1.50,2.20,1.52,0.50,2.60,1.38,1,1,1,3.90,0,0
9,2.75,1.46,14.0,4.45,1.54,1.50,2.15,1.53,0.50,2.60,1.39,1,1,1,3.85,0,0
10,2.75,1.46,14.0,4.50,1.55,1.50,2.10,1.55,0.50,2.55,1.40,1,1,1,3.80,0,0
11,2.75,1.47,13.0,4.50,1.56,1.50,2.10,1.56,0.50,2.50,1.41,1,1,1,3.80,0,0
12,2.75,1.47,13.0,4.45,1.55,1.50,2.05,1.58,0.50,2.50,1.42,1,1,1,3.75,0,0
13,2.75,1.47,13.0,4.45,1.56,1.50,2.00,1.60,0.50,2.45,1.43,1,1,1,3.75,0,0
14,2.75,1.47,12.0,4.45,1.57,1.50,2.00,1.62,0.50,2.45,1.44,1,1,1,3.70,0,0
15,2.75,1.48,12.0,4.45,1.57,1.50,1.97,1.64,0.50,2.40,1.45,1,1,1,3.70,0,0
16,2.80,1.48,12.0,4.40,1.57,1.50,1.94,1.66,0.50,2.40,1.45,1,1,1,3.65,0,0
17,2.80,1.48,11.5,4.45,1.58,1.50,1.91,1.68,0.50,2.35,1.46,1,1,1,3.60,0,0
