min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.41,2.60,20.0,1.45,4.40,0.50,3.00,1.25,2.50,1.46,2.20,3.50,1.62,1.89,4.25,0,0
4,1.41,2.60,20.0,1.45,4.40,0.50,3.00,1.25,2.50,1.46,2.20,3.50,1.62,1.89,4.25,0,0
5,1.41,2.60,20.0,1.45,4.40,0.50,3.00,1.25,2.50,1.46,2.20,3.50,1.62,1.89,4.25,0,0
6,1.41,2.60,19.0,1.45,4.35,1.50,1.36,2.55,2.50,1.45,2.25,3.50,1.60,1.93,4.20,0,0
7,1.41,2.60,19.0,1.46,4.30,1.50,1.35,2.60,2.50,1.43,2.30,3.50,1.57,1.97,4.20,0,0
8,1.41,2.60,18.0,1.46,4.30,1.50,1.34,2.60,2.50,1.41,2.35,3.50,1.55,2.00,4.15,0,0
9,1.41,2.60,18.0,1.46,4.30,1.50,1.33,2.65,2.50,1.40,2.40,3.50,1.53,2.00,4.10,0,0
10,1.42,2.60,17.0,1.47,4.35,1.50,1.32,2.70,2.50,1.39,2.40,3.50,1.51,2.10,4.10,0,0
11,1.42,2.60,17.0,1.48,4.35,1.50,1.31,2.70,1.50,2.40,1.40,3.50,1.50,2.10,4.10,0,0
12,1.42,2.60,17.0,1.48,4.30,1.50,1.31,2.75,1.50,2.30,1.42,3.50,1.47,2.15,4.00,0,0
13,1.42,2.60,16.0,1.49,4.30,0.50,2.75,1.31,1.50,2.30,1.43,3.50,1.46,2.20,4.00,0,0
14,1.42,2.60,16.0,1.49,4.30,0.50,2.70,1.32,1.50,2.25,1.45,3.50,1.44,2.25,4.00,0,0
15,1.42,2.60,15.0,1.50,4.30,0.50,2.70,1.32,1.50,2.20,1.46,1,1,1,3.95,0,0
16,1.43,2.65,15.0,1.51,4.30,0.50,2.65,1.33,1.50,2.15,1.47,1,1,1,3.90,0,0
17,1.43,2.65,15.0,1.51,4.25,0.50,2.60,1.34,1.50,2.10,1.49,1,1,1,3.90,0,0
18,1.43,2.65,14.0,1.51,4.25,0.50,2.55,1.35,1.50,2.10,1.50,1,1,1,3.85,0,0
19,1.43,2.65,14.0,1.52,4.30,0.50,2.50,1.36,1.50,2.05,1.52,1,1,1,3.80,0,0
20,1.44,2.65,13.0,1.53,4.25,0.50,2.50,1.37,1.50,2.00,1.54,1,1,1,3.80,0,0
21,1.44,2.65,13.0,1.53,4.25,0.50,2.45,1.38,1.50,2.00,1.56,1,1,1,3.75,0,0
22,1.44,2.65,13.0,1.53,4.25,0.50,2.40,1.39,1.50,1.96,1.58,1,1,1,3.70,0,0
23,1.45,2.70,12.0,1.54,4.25,0.50,2.40,1.40,1.50,1.93,1.60,1,1,1,3.70,0,0
24,1.45,2.70,12.0,1.54,4.25,0.50,2.35,1.41,1.50,1.89,1.62,1,1,1,3.65,0,0
25,1.45,2.70,11.5,1.55,4.20,0.50,2.30,1.42,1.50,1.86,1.64,1,1,1,3.60,0,0
26,1.46,2.70,11.5,1.56,4.20,0.50,2.30,1.43,1.50,1.82,1.67,1,1,1,3.60,0,0
27,1.46,2.70,11.0,1.56,4.25,0.50,2.25,1.45,1.50,1.79,1.70,1,1,1,3.55,0,0
28,1.46,2.70,10.5,1.57,4.20,0.50,2.20,1.46,1.50,1.76,1.72,1,1,1,3.50,0,0
29,1.47,2.70,10.0,1.57,4.25,0.50,2.20,1.47,1.50,1.73,1.75,1,1,1,3.50,0,0
30,1.47,2.70,10.0,1.59,4.20,0.50,2.15,1.48,1.50,1.71,1.78,1,1,1,3.45,0,0
31,1.48,2.75,9.50,1.59,4.20,0.50,2.10,1.49,1.50,1.68,1.81,1,1,1,3.40,0,0
32,1.48,2.75,9.50,1.10,12.0,0.50,2.10,1.51,2.50,1.66,1.84,3.50,1.57,1.97,5.50,0,1
33,1.48,2.75,9.50,1.10,12.0,0.50,2.05,1.52,2.50,1.63,1.88,3.50,1.54,2.00,5.50,0,1
34,1.48,2.75,9.50,1.10,12.0,0.50,2.00,1.53,2.50,1.60,1.92,3.50,1.52,2.05,5.50,0,1
35,1.48,2.75,9.50,1.10,12.0,0.50,2.00,1.55,2.50,1.58,1.95,3.50,1.50,2.10,5.50,0,1
36,1.48,2.75,9.50,1.10,13.0,0.50,1.99,1.56,2.50,1.56,2.00,3.50,1.47,2.15,5.50,0,1
37,1.48,2.75,9.50,1.10,13.0,0.50,1.96,1.58,2.50,1.54,2.00,3.50,1.45,2.20,5.50,0,1
38,1.48,2.75,9.50,1.10,13.0,0.50,1.93,1.60,2.50,1.52,2.05,3.50,1.43,2.30,5.50,0,1
39,1.48,2.75,9.50,1.10,13.0,0.50,1.90,1.62,2.50,1.49,2.10,3.50,1.41,2.35,5.50,0,1
40,1.48,2.75,9.50,1.10,13.0,0.50,1.87,1.64,2.50,1.48,2.15,1,1,1,5.50,0,1
41,1.48,2.75,9.50,1.69,4.20,1.50,1.84,1.66,2.50,1.46,2.20,3.50,2.35,1.42,3.10,1,1
42,1.48,2.75,9.50,1.71,4.20,1.50,1.81,1.68,2.50,1.44,2.25,3.50,2.30,1.44,3.05,1,1
43,1.48,2.75,9.50,1.71,4.20,1.50,1.79,1.70,2.50,1.42,2.30,3.50,2.20,1.46,3.00,1,1
44,1.48,2.75,9.50,1.73,4.20,1.50,1.76,1.72,2.50,1.40,2.40,3.50,2.15,1.48,2.95,1,1
45,1.48,2.75,9.50,1.82,3.90,1.50,1.80,1.69,2.50,1.36,2.55,3.50,2.10,1.51,2.90,1,1
46,1.48,2.75,9.50,1.84,3.95,1.50,1.77,1.71,2.50,1.34,2.60,3.50,2.00,1.53,2.85,1,1
47,1.48,2.75,9.50,1.85,3.95,1.50,1.75,1.74,2.50,1.33,2.65,3.50,1.99,1.56,2.80,1,1
49,1.48,2.75,9.50,1.89,4.00,1.50,1.69,1.80,1.50,2.75,1.31,3.50,1.89,1.62,2.75,1,1
50,1.48,2.75,9.50,1.91,4.00,1.50,1.67,1.83,1.50,2.70,1.32,3.50,1.84,1.66,2.70,1,1
51,1.48,2.75,9.50,1.93,4.00,1.50,1.64,1.86,1.50,2.60,1.34,3.50,1.79,1.70,2.70,1,1
52,1.48,2.75,9.50,1.94,4.00,1.50,1.62,1.89,1.50,2.55,1.36,3.50,1.74,1.75,2.65,1,1
53,1.48,2.75,9.50,1.97,4.05,1.50,1.60,1.93,1.50,2.50,1.37,3.50,1.70,1.79,2.60,1,1
54,1.48,2.75,9.50,1.99,4.05,1.50,1.58,1.96,1.50,2.40,1.39,3.50,1.65,1.84,2.55,1,1
55,1.48,2.75,9.50,2.00,4.05,1.50,1.56,2.00,1.50,2.35,1.41,3.50,1.62,1.90,2.50,1,1
56,1.48,2.75,9.50,2.00,4.10,1.50,1.54,2.00,1.50,2.30,1.43,3.50,1.58,1.96,2.50,1,1
57,1.48,2.75,9.50,2.05,4.10,1.50,1.51,2.05,1.50,2.25,1.45,3.50,1.54,2.00,2.40,1,1
58,1.48,2.75,9.50,2.05,4.10,1.50,1.49,2.10,1.50,2.20,1.47,3.50,1.51,2.10,2.40,1,1
59,1.48,2.75,9.50,2.10,4.15,1.50,1.48,2.15,1.50,2.10,1.49,3.50,1.48,2.15,2.35,1,1
60,1.48,2.75,9.50,5.50,1.50,2.50,1.46,2.20,1.50,2.05,1.51,4.50,1.46,2.20,3.15,2,1
61,1.48,2.75,9.50,6.00,1.49,2.50,1.44,2.25,1.50,2.00,1.54,4.50,1.43,2.30,3.15,2,1
62,1.48,2.75,9.50,6.00,1.48,2.50,1.42,2.30,1.50,1.99,1.56,4.50,1.40,2.40,3.15,2,1
63,1.48,2.75,9.50,6.50,1.47,2.50,1.40,2.40,1.50,1.94,1.59,4.50,1.38,2.50,3.20,2,1
64,1.48,2.75,9.50,6.50,1.45,2.50,1.39,2.45,1.50,1.88,1.63,4.50,1.35,2.60,3.20,2,1
65,1.48,2.75,9.50,7.00,1.44,2.50,1.37,2.50,1.50,1.83,1.67,4.50,1.32,2.70,3.20,2,1
66,1.48,2.75,9.50,7.00,1.43,2.50,1.35,2.55,1.50,1.78,1.71,3.50,2.75,1.31,3.20,2,1
67,1.48,2.75,9.50,7.50,1.41,2.50,1.34,2.65,1.50,1.73,1.75,3.50,2.65,1.33,3.20,2,1
68,1.48,2.75,9.50,8.00,1.40,2.50,1.32,2.70,1.50,1.69,1.80,3.50,2.55,1.36,3.25,2,1
69,1.48,2.75,9.50,8.50,1.39,2.50,1.30,2.80,1.50,1.65,1.85,3.50,2.45,1.38,3.30,2,1
70,1.48,2.75,9.50,9.00,1.37,2.50,1.28,2.90,1.50,1.61,1.91,3.50,2.35,1.41,3.30,2,1
71,1.48,2.75,9.50,9.00,1.36,2.50,1.26,2.95,1.50,1.58,1.96,3.50,2.25,1.44,3.30,2,1
72,1.48,2.75,9.50,10.0,1.35,2.50,1.24,3.05,1.50,1.54,2.00,3.50,2.15,1.47,3.35,2,1
73,1.48,2.75,9.50,10.5,1.33,2.50,1.22,3.15,1.50,1.50,2.10,3.50,2.10,1.51,3.40,2,1
74,1.48,2.75,9.50,11.0,1.31,2.50,1.21,3.25,1.50,1.47,2.15,3.50,2.00,1.55,3.45,2,1
75,1.48,2.75,9.50,11.5,1.30,2.50,1.18,3.40,1.50,1.44,2.25,3.50,1.93,1.59,3.50,2,1
76,1.48,2.75,9.50,12.0,1.28,2.50,1.16,3.55,1.50,1.41,2.35,3.50,1.85,1.65,3.55,2,1
77,1.48,2.75,9.50,13.0,1.26,2.50,1.14,3.70,1.50,1.38,2.45,3.50,1.77,1.72,3.60,2,1
78,1.48,2.75,9.50,14.0,1.24,2.50,1.12,3.90,1.50,1.35,2.55,3.50,1.70,1.79,3.70,2,1
79,1.48,2.75,9.50,15.0,1.22,2.50,1.11,4.05,1.50,1.32,2.70,3.50,1.64,1.87,3.80,2,1
80,1.48,2.75,9.50,16.0,1.20,2.50,1.09,4.30,1.50,1.29,2.80,3.50,1.58,1.97,3.90,2,1
81,1.48,2.75,9.50,18.0,1.18,2.50,1.07,4.55,1.50,1.26,3.00,3.50,1.52,2.05,4.00,2,1
82,1.48,2.75,9.50,19.0,1.16,2.50,1.06,4.85,1.50,1.23,3.15,3.50,1.47,2.20,4.15,2,1
83,1.48,2.75,9.50,21.0,1.13,2.50,1.04,5.00,1.50,1.20,3.30,3.50,1.42,2.30,4.30,2,1
84,1.48,2.75,9.50,23.0,1.11,2.50,1.03,5.50,1.50,1.16,3.55,3.50,1.37,2.50,4.55,2,1
85,1.48,2.75,9.50,26.0,1.09,2.50,1.02,6.00,1.50,1.13,3.85,3.50,1.32,2.70,4.80,2,1
86,1.48,2.75,9.50,29.0,1.07,2.50,1.01,6.50,1.50,1.10,4.20,3.50,1.28,2.90,5.00,2,1
87,1.48,2.75,9.50,35.0,1.05,2.50,1.01,7.00,1.50,1.07,4.60,3.50,1.23,3.15,5.00,2,1
88,1.48,2.75,9.50,40.0,1.03,2.50,1.01,8.00,1.50,1.04,5.00,3.50,1.17,3.45,6.00,2,1
89,1.48,2.75,9.50,53.0,1.02,1,1,1,1,1,1,1,1,1,6.50,2,1
90,1.48,2.75,9.50,53.0,1.02,1,1,1,1,1,1,1,1,1,6.50,2,2
91,1.48,2.75,9.50,53.0,1.02,1,1,1,1,1,1,1,1,1,6.50,2,2
92,1.48,2.75,9.50,53.0,1.02,1,1,1,1,1,1,1,1,1,6.50,2,2
93,1.48,2.75,9.50,53.0,1.02,1,1,1,1,1,1,1,1,1,6.50,2,2
