min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,2.80,1.50,13.0,4.65,1.59,1.50,2.20,1.57,0.50,2.65,1.42,1,1,1,3.80,0,0
6,2.80,1.50,13.0,4.70,1.60,1.50,2.15,1.59,0.50,2.60,1.43,1,1,1,3.75,0,0
7,2.80,1.51,13.0,4.70,1.60,1.50,2.10,1.60,0.50,2.60,1.44,1,1,1,3.70,0,0
8,2.80,1.51,12.0,4.70,1.60,1.50,2.10,1.62,0.50,2.55,1.45,1,1,1,3.70,0,0
9,2.80,1.51,12.0,4.65,1.61,1.50,2.05,1.64,0.50,2.50,1.46,1,1,1,3.70,0,0
10,2.85,1.51,12.0,4.65,1.61,1.50,2.00,1.65,0.50,2.50,1.46,1,1,1,3.65,0,0
11,2.85,1.52,12.0,4.65,1.62,1.50,2.00,1.67,0.50,2.45,1.47,1,1,1,3.60,0,0
12,2.85,1.52,11.5,4.65,1.62,1.50,1.98,1.69,0.50,2.45,1.48,1,1,1,3.60,0,0
13,2.85,1.52,11.0,4.65,1.63,1.50,1.95,1.71,0.50,2.40,1.49,1,1,1,3.60,0,0
14,2.85,1.53,11.0,4.65,1.64,1.50,1.92,1.74,0.50,2.40,1.50,1,1,1,3.55,0,0
15,2.85,1.53,10.5,4.65,1.64,1.50,1.89,1.76,0.50,2.35,1.51,1,1,1,3.50,0,0
16,2.90,1.53,10.5,4.65,1.65,1.50,1.86,1.78,0.50,2.30,1.52,1,1,1,3.50,0,0
17,2.90,1.54,10.0,4.65,1.65,1.50,1.83,1.81,0.50,2.30,1.53,1,1,1,3.45,0,0
18,2.90,1.54,10.0,4.60,1.66,1.50,1.81,1.84,0.50,2.25,1.54,1,1,1,3.45,0,0
19,2.90,1.54,9.50,4.60,1.67,1.50,1.78,1.86,0.50,2.25,1.55,1,1,1,3.40,0,0
20,2.90,1.55,9.50,4.65,1.68,1.50,1.76,1.89,0.50,2.20,1.56,1,1,1,3.40,0,0
21,2.90,1.55,9.00,4.65,1.69,1.50,1.74,1.92,0.50,2.20,1.58,1,1,1,3.40,0,0
22,2.90,1.56,9.00,4.60,1.69,1.50,1.71,1.95,0.50,2.15,1.59,1,1,1,3.35,0,0
23,2.95,1.53,10.0,4.55,1.64,1.50,1.73,1.93,0.50,2.10,1.60,1,1,1,3.60,0,0
24,2.95,1.53,9.50,4.50,1.65,1.50,1.70,1.96,0.50,2.10,1.62,1,1,1,3.55,0,0
25,2.95,1.54,9.00,4.50,1.66,1.50,1.68,1.99,0.50,2.05,1.63,1,1,1,3.55,0,0
26,2.95,1.54,9.00,4.50,1.67,1.50,1.66,2.00,0.50,2.05,1.64,1,1,1,3.50,0,0
27,2.95,1.55,9.00,4.50,1.67,1.50,1.64,2.05,0.50,2.00,1.66,1,1,1,3.50,0,0
28,3.00,1.55,8.50,4.55,1.68,1.50,1.62,2.10,0.50,2.00,1.68,1,1,1,3.45,0,0
29,3.00,1.56,8.00,4.50,1.69,1.50,1.60,2.10,0.50,1.98,1.69,1,1,1,3.40,0,0
30,3.00,1.56,8.00,4.50,1.70,1.50,1.58,2.15,0.50,1.95,1.71,1,1,1,3.40,0,0
31,3.00,1.57,7.50,4.50,1.71,1.50,1.56,2.20,0.50,1.93,1.73,1,1,1,3.35,0,0
32,3.00,1.58,7.00,4.50,1.72,1.50,1.54,2.25,0.50,1.90,1.75,1.50,2.50,1.47,3.30,0,0
33,3.05,1.58,7.00,4.50,1.72,1.50,1.53,2.30,0.50,1.88,1.76,1.50,2.45,1.48,3.30,0,0
34,3.05,1.59,7.00,4.50,1.73,1.50,1.51,2.35,0.50,1.86,1.79,1.50,2.40,1.50,3.25,0,0
35,3.05,1.60,6.50,4.50,1.75,1.50,1.49,2.40,0.50,1.84,1.81,1.50,2.30,1.52,3.20,0,0
36,3.10,1.61,6.50,4.50,1.76,1.50,1.48,2.45,0.50,1.81,1.83,1.50,2.25,1.54,3.20,0,0
37,3.10,1.61,6.00,4.50,1.77,1.50,1.46,2.50,0.50,1.79,1.86,1.50,2.20,1.56,3.15,0,0
38,3.10,1.62,6.00,4.55,1.79,1.50,1.45,2.55,0.50,1.76,1.88,1.50,2.15,1.58,3.10,0,0
39,3.10,1.63,5.50,4.55,1.80,1.50,1.43,2.60,0.50,1.74,1.91,1.50,2.10,1.61,3.10,0,0
40,3.15,1.64,5.50,4.55,1.82,1.50,1.42,2.65,0.50,1.72,1.93,1.50,2.05,1.63,3.05,0,0
41,3.15,1.65,5.00,4.60,1.83,1.50,1.40,2.70,0.50,1.70,1.96,1.50,2.00,1.66,3.00,0,0
42,3.20,1.66,5.00,4.60,1.84,1.50,1.39,2.80,0.50,1.68,1.99,1.50,1.98,1.69,2.95,0,0
43,3.20,1.67,5.00,4.60,1.85,1.50,1.37,2.85,0.50,1.67,2.00,1.50,1.94,1.72,2.95,0,0
44,3.20,1.68,5.00,4.60,1.87,0.50,2.90,1.37,0.50,1.65,2.00,1.50,1.90,1.75,2.90,0,0
45,4.80,1.53,4.15,7.50,1.61,1.50,1.38,2.80,0.50,1.34,3.00,1.50,1.67,2.00,2.90,0,0
46,4.80,1.54,4.00,7.50,1.62,1.50,1.37,2.90,0.50,1.33,3.10,1.50,1.64,2.05,2.85,0,0
47,4.85,1.55,3.90,7.50,1.63,0.50,2.85,1.37,0.50,1.32,3.10,1.50,1.61,2.10,2.80,0,0
48,4.90,1.56,3.80,7.50,1.65,0.50,2.80,1.39,0.50,1.31,3.20,1.50,1.58,2.15,2.80,0,0
49,4.95,1.58,3.70,8.00,1.67,0.50,2.70,1.40,0.50,1.30,3.20,1.50,1.56,2.20,2.75,0,0
50,5.00,1.59,3.60,7.50,1.68,0.50,2.65,1.42,0.50,1.29,3.30,1.50,1.53,2.30,2.70,0,0
51,5.00,1.61,3.50,7.50,1.70,0.50,2.60,1.44,0.50,1.28,3.30,1.50,1.51,2.35,2.65,0,0
52,5.00,1.62,3.40,8.00,1.72,0.50,2.55,1.45,0.50,1.27,3.40,1.50,1.48,2.45,2.60,0,0
53,5.00,1.64,3.30,8.00,1.74,0.50,2.50,1.47,0.50,1.26,3.45,1.50,1.46,2.50,2.55,0,0
54,5.00,1.66,3.20,8.00,1.76,0.50,2.40,1.49,0.50,1.25,3.50,1.50,1.44,2.60,2.50,0,0
55,5.00,1.68,3.10,8.00,1.79,0.50,2.35,1.51,0.50,1.24,3.60,1.50,1.42,2.65,2.45,0,0
