min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.55,1.53,19.0,4.10,1.60,2.50,1.53,2.30,1.50,1.54,2.25,3.50,1.78,1.87,4.10,0,0
2,2.50,1.55,19.0,3.90,1.66,2.50,1.48,2.45,1.50,1.54,2.25,3.50,1.71,1.96,4.00,0,0
3,2.50,1.55,19.0,3.90,1.66,2.50,1.48,2.45,1.50,1.54,2.25,3.50,1.71,1.96,4.00,0,0
4,2.30,1.61,20.0,3.45,1.76,2.50,1.48,2.45,1.50,1.68,2.00,3.50,1.82,1.82,4.00,0,0
5,2.30,1.61,20.0,3.45,1.76,2.50,1.48,2.45,1.50,1.68,2.00,3.50,1.82,1.82,4.00,0,0
6,2.25,1.51,19.0,3.60,1.61,2.50,1.55,2.00,1.50,1.69,1.80,3.50,1.96,1.58,3.80,0,0
7,2.20,1.54,19.0,3.35,1.68,2.50,1.50,2.10,1.50,1.72,1.76,3.50,1.92,1.60,3.75,0,0
8,2.65,1.59,7.00,3.85,1.79,1.50,1.45,2.25,0.50,2.00,1.56,1,1,1,3.00,0,0
9,2.65,1.59,7.00,3.85,1.80,1.50,1.43,2.30,0.50,1.98,1.57,1.50,2.40,1.41,3.00,0,0
10,2.65,1.60,6.50,3.85,1.81,1.50,1.42,2.30,0.50,1.96,1.58,1.50,2.35,1.42,3.00,0,0
11,2.70,1.60,6.50,3.85,1.82,1.50,1.41,2.35,0.50,1.94,1.59,1.50,2.30,1.43,2.95,0,0
12,2.70,1.61,6.00,3.85,1.83,1.50,1.40,2.40,0.50,1.92,1.60,1.50,2.25,1.44,2.95,0,0
13,2.70,1.61,6.00,3.85,1.83,1.50,1.39,2.40,0.50,1.90,1.61,1.50,2.20,1.46,2.90,0,0
14,2.70,1.62,6.00,3.85,1.84,1.50,1.38,2.45,0.50,1.88,1.63,1.50,2.20,1.47,2.90,0,0
