min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.42,3.65,8.50,1.48,6.50,0.50,1.74,1.92,1.50,1.86,1.79,1,1,1,3.60,0,0
2,1.42,3.65,8.50,1.48,6.50,0.50,1.74,1.92,1.50,1.86,1.79,1,1,1,3.60,0,0
3,1.52,3.05,9.00,1.64,4.95,0.50,2.00,1.65,1.50,1.73,1.93,1,1,1,3.40,0,0
4,1.48,3.15,10.0,1.56,5.00,0.50,2.00,1.65,1.50,1.84,1.80,1,1,1,3.60,0,0
5,1.48,3.15,10.0,1.56,5.00,0.50,2.00,1.65,1.50,1.84,1.80,1,1,1,3.60,0,0
6,1.49,3.15,9.50,1.57,5.00,0.50,2.00,1.66,1.50,1.82,1.82,1,1,1,3.60,0,0
7,1.49,3.15,9.50,1.57,5.00,0.50,2.00,1.67,1.50,1.80,1.84,1,1,1,3.55,0,0
8,1.49,3.15,9.00,1.58,5.00,0.50,1.99,1.69,1.50,1.78,1.87,1,1,1,3.55,0,0
9,1.50,3.15,9.00,1.59,5.00,0.50,1.97,1.70,1.50,1.75,1.89,1,1,1,3.50,0,0
10,1.58,2.85,8.50,1.74,4.35,0.50,2.15,1.59,1.50,1.64,2.05,1,1,1,3.35,0,0
11,1.59,2.85,8.50,1.74,4.35,0.50,2.10,1.60,1.50,1.62,2.10,1,1,1,3.30,0,0
12,1.60,2.90,8.00,1.76,4.30,0.50,2.05,1.63,1.50,1.59,2.15,1,1,1,3.30,0,0
13,1.60,2.90,8.00,1.76,4.30,0.50,2.05,1.63,1.50,1.59,2.15,1,1,1,3.30,0,0
14,1.60,2.90,8.00,1.77,4.35,0.50,2.05,1.64,1.50,1.58,2.20,1,1,1,3.25,0,0
15,1.61,2.90,7.50,1.77,4.30,0.50,2.00,1.65,1.50,1.56,2.20,1,1,1,3.20,0,0
