min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,2.00,15.0,2.35,2.60,1.50,1.68,2.00,1.50,1.78,1.86,3.50,1.48,2.40,3.55,0,0
2,1.86,2.00,15.0,2.35,2.60,1.50,1.68,2.00,1.50,1.78,1.86,3.50,1.48,2.40,3.55,0,0
3,1.86,2.00,15.0,2.35,2.60,1.50,1.68,2.00,1.50,1.78,1.86,3.50,1.48,2.40,3.55,0,0
4,1.86,2.00,15.0,2.35,2.60,1.50,1.68,2.00,1.50,1.78,1.86,3.50,1.48,2.40,3.55,0,0
5,1.86,2.00,15.0,2.35,2.60,1.50,1.68,2.00,1.50,1.78,1.86,3.50,1.48,2.40,3.55,0,0
6,1.87,2.00,15.0,2.35,2.65,1.50,1.66,2.00,1.50,1.76,1.88,1,1,1,3.55,0,0
7,1.87,2.00,15.0,2.35,2.65,1.50,1.64,2.05,1.50,1.75,1.90,1,1,1,3.50,0,0
8,1.87,2.00,14.0,2.35,2.65,1.50,1.63,2.05,1.50,1.72,1.93,1,1,1,3.50,0,0
9,1.88,2.00,14.0,2.35,2.65,1.50,1.61,2.10,1.50,1.70,1.96,1,1,1,3.50,0,0
10,1.88,2.00,14.0,2.35,2.65,1.50,1.59,2.15,1.50,1.68,1.99,1,1,1,3.45,0,0
11,1.88,2.00,13.0,2.35,2.65,1.50,1.58,2.15,1.50,1.67,2.00,1,1,1,3.45,0,0
12,1.89,2.00,13.0,2.40,2.65,1.50,1.57,2.20,1.50,1.65,2.00,1,1,1,3.40,0,0
13,1.89,2.00,13.0,2.40,2.70,1.50,1.55,2.25,1.50,1.63,2.05,1,1,1,3.40,0,0
14,1.90,2.00,12.0,2.40,2.65,1.50,1.54,2.25,1.50,1.61,2.10,1,1,1,3.40,0,0
15,1.90,2.00,12.0,2.40,2.70,1.50,1.53,2.30,1.50,1.60,2.10,1,1,1,3.35,0,0
16,1.91,2.00,12.0,2.40,2.70,1.50,1.51,2.35,1.50,1.58,2.15,1,1,1,3.35,0,0
17,1.91,2.00,11.5,2.40,2.70,1.50,1.50,2.40,1.50,1.57,2.20,1,1,1,3.30,0,0
18,1.92,2.00,11.0,2.40,2.70,1.50,1.49,2.40,1.50,1.55,2.25,1,1,1,3.30,0,0
19,1.92,2.05,11.0,2.40,2.70,1.50,1.48,2.45,1.50,1.54,2.25,1,1,1,3.30,0,0
20,1.93,2.05,11.0,2.45,2.70,1.50,1.46,2.50,1.50,1.53,2.30,1,1,1,3.25,0,0
21,1.93,2.05,10.5,2.45,2.70,1.50,1.45,2.55,1.50,1.51,2.35,1,1,1,3.25,0,0
22,1.94,2.05,10.0,2.45,2.70,1.50,1.44,2.60,1.50,1.50,2.40,1,1,1,3.20,0,0
23,1.95,2.05,10.0,5.00,1.52,2.50,1.43,2.65,1.50,1.48,2.45,3.50,1.70,1.97,3.85,1,0
24,1.95,2.05,10.0,5.00,1.52,2.50,1.42,2.70,1.50,1.47,2.50,3.50,1.67,2.00,3.85,1,0
25,1.95,2.05,10.0,5.00,1.51,2.50,1.40,2.70,1.50,1.46,2.50,3.50,1.64,2.05,3.85,1,0
26,1.95,2.05,10.0,5.50,1.51,2.50,1.39,2.75,1.50,1.45,2.55,3.50,1.62,2.10,3.85,1,0
27,1.95,2.05,10.0,5.50,1.51,2.50,1.38,2.80,1.50,1.43,2.60,3.50,1.60,2.10,3.85,1,0
28,1.95,2.05,10.0,5.50,1.51,2.50,1.37,2.85,1.50,1.42,2.65,3.50,1.58,2.20,3.80,1,0
29,1.95,2.05,10.0,5.50,1.50,1.50,2.90,1.37,1.50,1.41,2.70,3.50,1.56,2.20,3.80,1,0
30,1.95,2.05,10.0,5.50,1.50,1.50,2.85,1.37,1.50,1.40,2.75,3.50,1.54,2.30,3.80,1,0
31,1.95,2.05,10.0,6.00,1.50,1.50,2.80,1.38,1.50,1.39,2.80,3.50,1.52,2.30,3.80,1,0
32,1.95,2.05,10.0,6.00,1.50,1.50,2.75,1.40,1.50,1.37,2.85,3.50,1.50,2.40,3.80,1,0
33,1.95,2.05,10.0,6.00,1.49,1.50,2.70,1.41,0.50,2.90,1.37,3.50,1.48,2.45,3.80,1,0
34,1.95,2.05,10.0,6.00,1.49,1.50,2.65,1.42,0.50,2.85,1.37,3.50,1.46,2.50,3.75,1,0
35,1.95,2.05,10.0,6.00,1.49,1.50,2.60,1.43,0.50,2.80,1.38,1,1,1,3.75,1,0
36,1.95,2.05,10.0,5.50,1.53,1.50,2.65,1.42,1.50,1.39,2.80,3.50,1.49,2.40,3.70,1,0
37,1.95,2.05,10.0,5.50,1.53,1.50,2.60,1.44,1.50,1.38,2.85,3.50,1.47,2.50,3.70,1,0
38,1.95,2.05,10.0,5.50,1.52,1.50,2.55,1.45,0.50,2.90,1.36,1,1,1,3.70,1,0
39,1.95,2.05,10.0,6.00,1.52,1.50,2.50,1.46,0.50,2.85,1.37,1,1,1,3.65,1,0
40,1.95,2.05,10.0,6.00,1.51,1.50,2.45,1.47,0.50,2.80,1.39,1,1,1,3.65,1,0
41,1.95,2.05,10.0,6.00,1.51,1.50,2.40,1.49,0.50,2.75,1.40,1,1,1,3.65,1,0
42,1.95,2.05,10.0,6.00,1.51,1.50,2.35,1.50,0.50,2.70,1.41,1,1,1,3.65,1,0
43,1.95,2.05,10.0,6.00,1.50,1.50,2.30,1.52,0.50,2.65,1.43,1,1,1,3.65,1,0
44,1.95,2.05,10.0,6.50,1.49,1.50,2.30,1.53,0.50,2.60,1.44,1,1,1,3.60,1,0
45,1.95,2.05,10.0,6.50,1.49,1.50,2.25,1.55,0.50,2.50,1.45,1,1,1,3.60,1,0
46,1.95,2.05,10.0,6.50,1.48,1.50,2.20,1.56,0.50,2.50,1.47,1,1,1,3.60,1,0
47,1.95,2.05,10.0,7.00,1.48,1.50,2.15,1.58,0.50,2.40,1.49,1,1,1,3.60,1,0
48,1.95,2.05,10.0,7.00,1.47,1.50,2.10,1.60,0.50,2.35,1.50,1,1,1,3.60,1,0
49,1.95,2.05,10.0,7.00,1.47,1.50,2.10,1.62,0.50,2.30,1.52,1,1,1,3.60,1,0
50,1.95,2.05,10.0,7.50,1.46,1.50,2.05,1.65,0.50,2.25,1.54,1,1,1,3.60,1,0
51,1.95,2.05,10.0,7.50,1.45,1.50,2.00,1.67,0.50,2.20,1.56,1,1,1,3.60,1,0
52,1.95,2.05,10.0,8.00,1.45,1.50,1.98,1.69,0.50,2.20,1.58,1,1,1,3.60,1,0
53,1.95,2.05,10.0,8.00,1.44,1.50,1.93,1.72,0.50,2.10,1.60,1,1,1,3.60,1,0
54,1.95,2.05,10.0,8.00,1.44,1.50,1.90,1.75,0.50,2.10,1.62,1,1,1,3.60,1,0
