min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.45,2.70,17.0,1.51,4.45,0.50,2.85,1.33,1.50,2.40,1.45,3.50,1.51,2.20,4.15,0,0
2,1.45,2.70,17.0,1.51,4.45,0.50,2.85,1.33,1.50,2.40,1.45,3.50,1.51,2.20,4.15,0,0
3,1.45,2.70,17.0,1.51,4.45,0.50,2.85,1.33,1.50,2.40,1.45,3.50,1.51,2.20,4.15,0,0
4,1.45,2.70,17.0,1.51,4.45,0.50,2.85,1.33,1.50,2.40,1.45,3.50,1.51,2.20,4.15,0,0
5,1.54,2.40,16.0,1.68,3.60,1.50,1.40,2.60,1.50,2.05,1.57,1,1,1,3.85,0,0
6,1.51,2.50,16.0,1.62,3.80,1.50,1.36,2.75,1.50,2.10,1.55,1,1,1,3.95,0,0
7,1.50,2.50,17.0,1.62,3.80,1.50,1.35,2.75,1.50,2.10,1.56,1,1,1,4.00,0,0
8,1.51,2.50,16.0,1.62,3.80,1.50,1.34,2.80,1.50,2.05,1.58,1,1,1,4.00,0,0
9,1.51,2.50,16.0,1.63,3.80,0.50,2.80,1.34,1.50,2.00,1.60,1,1,1,3.95,0,0
10,1.51,2.50,15.0,1.63,3.80,0.50,2.80,1.34,1.50,2.00,1.61,1,1,1,3.95,0,0
11,1.51,2.50,15.0,3.25,1.77,2.50,1.37,2.65,1.50,1.85,1.72,3.50,2.05,1.58,3.90,1,0
12,1.51,2.50,15.0,3.25,1.76,2.50,1.36,2.70,1.50,1.82,1.74,3.50,2.00,1.60,3.90,1,0
13,1.51,2.50,15.0,3.50,1.74,1.50,2.45,1.43,1.50,1.61,2.00,3.50,1.64,1.96,3.70,1,0
14,1.51,2.50,15.0,5.00,1.42,2.50,1.41,2.50,1.50,1.41,2.50,3.50,1.66,1.94,4.30,1,0
15,1.51,2.50,15.0,3.40,1.72,2.50,1.36,2.70,1.50,1.76,1.81,3.50,1.96,1.64,3.90,1,0
16,1.51,2.50,15.0,3.45,1.72,2.50,1.35,2.75,1.50,1.74,1.83,3.50,1.93,1.66,3.90,1,0
17,1.51,2.50,15.0,3.60,1.65,2.50,1.37,2.65,1.50,1.69,1.89,3.50,1.91,1.67,3.95,1,0
18,1.51,2.50,15.0,3.65,1.65,2.50,1.36,2.70,1.50,1.67,1.92,3.50,1.88,1.70,3.95,1,0
19,1.51,2.50,15.0,3.70,1.65,2.50,1.36,2.75,1.50,1.65,1.95,3.50,1.85,1.72,3.95,1,0
20,1.51,2.50,15.0,3.75,1.64,2.50,1.34,2.80,1.50,1.63,1.99,3.50,1.81,1.76,3.90,1,0
21,1.51,2.50,15.0,3.80,1.63,2.50,1.34,2.80,1.50,1.61,2.00,3.50,1.78,1.78,3.90,1,0
22,1.51,2.50,15.0,3.80,1.62,1.50,2.80,1.34,1.50,1.59,2.00,3.50,1.75,1.81,4.00,1,0
23,1.51,2.50,15.0,3.80,1.62,1.50,2.75,1.35,1.50,1.57,2.05,3.50,1.72,1.85,3.95,1,0
24,1.51,2.50,15.0,3.85,1.61,1.50,2.70,1.36,1.50,1.55,2.10,3.50,1.69,1.89,3.95,1,0
25,1.51,2.50,15.0,3.90,1.61,1.50,2.70,1.37,1.50,1.54,2.15,3.50,1.66,1.93,3.95,1,0
26,1.51,2.50,15.0,3.90,1.61,1.50,2.70,1.36,1.50,1.54,2.10,3.50,1.68,1.90,3.95,1,0
27,1.51,2.50,15.0,3.95,1.60,1.50,2.70,1.37,1.50,1.53,2.15,3.50,1.65,1.94,3.95,1,0
28,1.51,2.50,15.0,4.00,1.60,1.50,2.65,1.38,1.50,1.51,2.20,3.50,1.62,1.99,3.90,1,0
29,1.51,2.50,15.0,4.05,1.59,1.50,2.60,1.39,1.50,1.50,2.25,3.50,1.60,2.00,3.90,1,0
30,1.51,2.50,15.0,4.15,1.58,1.50,2.50,1.42,1.50,1.46,2.35,3.50,1.54,2.15,3.85,1,0
31,1.51,2.50,15.0,4.20,1.57,1.50,2.45,1.43,1.50,1.45,2.40,3.50,1.52,2.20,3.85,1,0
32,1.51,2.50,15.0,4.25,1.57,1.50,2.40,1.44,1.50,1.44,2.45,3.50,1.50,2.25,3.85,1,0
