min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.45,3.45,8.50,1.51,6.00,0.50,1.85,1.79,1.50,1.87,1.77,1,1,1,3.50,0,0
2,1.45,3.45,8.50,1.51,6.00,0.50,1.85,1.79,1.50,1.87,1.77,1,1,1,3.50,0,0
3,1.45,3.45,8.50,1.51,6.00,0.50,1.85,1.79,1.50,1.87,1.77,1,1,1,3.50,0,0
4,1.45,3.45,8.50,1.51,6.00,0.50,1.85,1.79,1.50,1.87,1.77,1,1,1,3.50,0,0
5,1.45,3.45,8.50,1.51,6.00,0.50,1.85,1.79,1.50,1.87,1.77,1,1,1,3.50,0,0
6,1.45,3.45,8.50,1.52,6.00,0.50,1.84,1.81,1.50,1.84,1.80,1,1,1,3.45,0,0
7,1.46,3.45,8.00,1.52,6.00,0.50,1.82,1.82,1.50,1.82,1.82,1,1,1,3.45,0,0
8,1.48,3.30,8.00,1.57,5.50,0.50,1.88,1.76,1.50,1.78,1.87,1,1,1,3.40,0,0
9,1.49,3.35,8.00,1.57,5.50,0.50,1.87,1.78,1.50,1.75,1.89,1,1,1,3.35,0,0
10,1.49,3.35,8.00,1.58,5.50,0.50,1.85,1.79,1.50,1.74,1.92,1,1,1,3.35,0,0
11,1.49,3.35,7.50,1.59,5.50,0.50,1.83,1.81,1.50,1.71,1.95,1,1,1,3.30,0,0
12,1.50,3.35,7.50,1.59,5.50,0.50,1.82,1.82,1.50,1.69,1.98,1,1,1,3.30,0,0
13,1.50,3.40,7.00,1.60,5.50,0.50,1.80,1.84,1.50,1.68,2.00,1,1,1,3.25,0,0
14,1.51,3.40,7.00,1.61,5.50,0.50,1.78,1.86,1.50,1.66,2.00,1,1,1,3.25,0,0
15,1.51,3.40,7.00,1.61,5.50,0.50,1.77,1.88,1.50,1.64,2.05,1.50,2.50,1.47,3.20,0,0
16,1.51,3.40,7.00,3.20,2.20,1.50,1.75,1.90,1.50,1.62,2.10,1,1,1,3.05,1,0
17,1.51,3.40,7.00,2.60,2.65,1.50,1.67,2.00,1.50,1.83,1.81,3.50,1.52,2.35,3.10,1,0
18,1.51,3.40,7.00,2.65,2.60,1.50,1.65,2.00,1.50,1.81,1.84,3.50,1.50,2.40,3.05,1,0
19,1.51,3.40,7.00,2.70,2.60,1.50,1.64,2.05,1.50,1.78,1.86,3.50,1.48,2.45,3.05,1,0
20,1.51,3.40,7.00,1.54,6.50,1.50,1.69,1.98,2.50,1.71,1.95,4.50,1.46,2.50,3.30,1,1
21,1.51,3.40,7.00,1.54,6.50,1.50,1.68,2.00,2.50,1.69,1.98,3.50,2.50,1.46,3.30,1,1
22,1.51,3.40,7.00,1.55,6.50,1.50,1.67,2.00,2.50,1.67,2.00,3.50,2.50,1.47,3.25,1,1
23,1.51,3.40,7.00,1.56,6.50,1.50,1.65,2.00,2.50,1.65,2.05,3.50,2.40,1.49,3.20,1,1
24,1.51,3.40,7.00,1.56,6.50,1.50,1.64,2.05,2.50,1.63,2.05,3.50,2.40,1.50,3.20,1,1
25,1.51,3.40,7.00,1.57,6.50,1.50,1.63,2.05,2.50,1.61,2.10,3.50,2.30,1.52,3.20,1,1
26,1.51,3.40,7.00,1.58,6.50,1.50,1.62,2.10,2.50,1.59,2.15,3.50,2.30,1.54,3.15,1,1
27,1.51,3.40,7.00,1.59,6.50,1.50,1.60,2.10,2.50,1.57,2.20,3.50,2.20,1.55,3.10,1,1
28,1.51,3.40,7.00,1.60,6.50,1.50,1.59,2.15,2.50,1.56,2.20,3.50,2.20,1.57,3.10,1,1
29,1.51,3.40,7.00,1.61,6.50,1.50,1.58,2.20,2.50,1.54,2.25,3.50,2.15,1.59,3.05,1,1
30,1.51,3.40,7.00,1.08,28.0,1.50,1.57,2.20,3.50,1.52,2.30,4.50,2.10,1.61,6.00,1,2
31,1.51,3.40,7.00,1.16,14.0,1.50,1.79,1.86,3.50,1.41,2.70,4.50,2.10,1.62,5.50,1,2
32,1.51,3.40,7.00,1.15,14.0,1.50,1.76,1.88,3.50,1.40,2.75,4.50,2.05,1.64,5.50,1,2
33,1.51,3.40,7.00,1.17,13.0,1.50,1.80,1.84,2.50,2.90,1.37,4.50,2.05,1.64,5.50,1,2
34,1.51,3.40,7.00,1.17,14.0,1.50,1.78,1.87,3.50,1.37,2.85,4.50,2.00,1.66,5.50,1,2
35,1.51,3.40,7.00,1.17,14.0,1.50,1.76,1.89,2.50,2.90,1.37,4.50,1.98,1.69,5.50,1,2
36,1.51,3.40,7.00,1.17,14.0,1.50,1.74,1.92,2.50,2.85,1.38,4.50,1.94,1.72,5.50,1,2
37,1.51,3.40,7.00,1.18,13.0,1.50,1.85,1.79,3.50,1.40,2.75,4.50,2.10,1.60,5.50,1,2
38,1.51,3.40,7.00,1.18,13.0,1.50,1.83,1.81,3.50,1.38,2.80,4.50,2.05,1.63,5.50,1,2
39,1.51,3.40,7.00,1.18,13.0,1.50,1.80,1.84,3.50,1.37,2.85,4.50,2.00,1.65,5.50,1,2
40,1.51,3.40,7.00,1.18,13.0,1.50,1.78,1.87,2.50,2.90,1.37,4.50,1.99,1.68,5.50,1,2
41,1.51,3.40,7.00,1.18,14.0,1.50,1.76,1.89,2.50,2.80,1.38,4.50,1.95,1.71,5.50,1,2
42,1.51,3.40,7.00,1.17,14.0,1.50,1.73,1.92,2.50,2.80,1.39,4.50,1.91,1.74,5.50,1,2
43,1.51,3.40,7.00,1.18,14.0,1.50,1.72,1.94,2.50,2.70,1.40,4.50,1.87,1.78,5.50,1,2
44,1.51,3.40,7.00,1.17,14.0,1.50,1.69,1.98,2.50,2.65,1.42,4.50,1.82,1.82,5.50,1,2
45,1.51,3.40,7.00,1.03,48.0,1.50,1.63,2.05,3.50,2.50,1.45,5.50,1.72,1.94,17.0,1,3
46,1.51,3.40,7.00,1.03,49.0,1.50,1.61,2.10,3.50,2.50,1.47,5.50,1.68,1.99,17.0,1,3
47,1.51,3.40,7.00,1.03,50.0,1.50,1.59,2.15,3.50,2.40,1.49,5.50,1.65,2.00,18.0,1,3
