min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,2.05,2.05,8.00,2.70,2.70,1.50,1.40,2.75,1.50,1.40,2.75,1,1,1,3.00,0,0
5,2.05,2.05,8.00,2.70,2.70,1.50,1.40,2.75,1.50,1.40,2.75,1,1,1,3.00,0,0
6,2.05,2.05,8.00,2.70,2.70,1.50,1.39,2.80,1.50,1.39,2.80,1,1,1,2.95,0,0
7,2.05,2.05,8.00,2.70,2.70,1.50,1.38,2.80,1.50,1.38,2.80,1,1,1,2.95,0,0
8,2.05,2.05,7.50,2.70,2.70,1.50,1.37,2.85,1.50,1.37,2.85,1,1,1,2.95,0,0
9,2.05,2.05,7.50,2.70,2.70,1.50,1.37,2.90,1.50,1.37,2.90,1,1,1,2.90,0,0
10,2.00,2.00,8.50,2.65,2.65,1.50,1.42,2.65,1.50,1.42,2.65,1,1,1,3.00,0,0
11,2.05,2.05,8.50,2.70,2.70,1.50,1.41,2.70,1.50,1.41,2.70,1,1,1,3.00,0,0
12,2.05,2.05,8.00,2.70,2.70,1.50,1.40,2.75,1.50,1.40,2.75,1,1,1,3.00,0,0
13,2.05,2.05,8.00,2.70,2.70,1.50,1.39,2.80,1.50,1.39,2.80,1,1,1,2.95,0,0
14,2.05,2.05,8.00,2.70,2.70,1.50,1.38,2.80,1.50,1.38,2.80,1,1,1,2.95,0,0
15,2.05,2.05,7.50,2.70,2.70,1.50,1.37,2.85,1.50,1.37,2.85,1,1,1,2.95,0,0
16,2.05,2.05,7.50,2.70,2.70,0.50,2.90,1.36,0.50,2.90,1.36,1,1,1,2.90,0,0
17,2.10,2.10,7.00,2.70,2.70,0.50,2.85,1.37,0.50,2.85,1.37,1,1,1,2.90,0,0
18,2.10,2.10,7.00,2.75,2.75,0.50,2.85,1.38,0.50,2.85,1.38,1,1,1,2.90,0,0
19,2.20,1.98,7.00,3.00,2.50,1.50,1.39,2.80,0.50,2.65,1.42,1,1,1,2.90,0,0
20,2.20,1.98,7.00,3.00,2.50,1.50,1.38,2.80,0.50,2.65,1.43,1,1,1,2.90,0,0
21,2.25,1.99,6.50,3.00,2.50,1.50,1.37,2.85,0.50,2.60,1.44,1,1,1,2.85,0,0
22,2.25,2.00,6.50,3.00,2.50,0.50,2.90,1.37,0.50,2.55,1.45,1.50,2.40,1.48,2.85,0,0
23,2.25,2.00,6.50,3.05,2.55,0.50,2.85,1.37,0.50,2.50,1.46,1.50,2.40,1.50,2.80,0,0
24,2.25,2.00,6.00,3.05,2.55,0.50,2.80,1.38,0.50,2.50,1.47,1.50,2.30,1.52,2.80,0,0
25,2.30,2.00,6.00,3.05,2.55,0.50,2.75,1.39,0.50,2.45,1.48,1.50,2.30,1.53,2.80,0,0
26,2.30,2.00,6.00,3.05,2.55,0.50,2.70,1.40,0.50,2.40,1.49,1.50,2.20,1.55,2.75,0,0
27,2.30,2.00,5.50,3.10,2.60,0.50,2.70,1.42,0.50,2.40,1.50,1.50,2.20,1.57,2.70,0,0
28,2.30,2.05,5.50,3.10,2.60,0.50,2.65,1.43,0.50,2.35,1.51,1.50,2.15,1.60,2.70,0,0
29,2.30,2.05,5.50,3.10,2.60,0.50,2.60,1.44,0.50,2.30,1.53,1.50,2.10,1.62,2.70,0,0
30,2.35,2.05,5.00,1.50,7.00,0.50,2.55,1.45,1.50,2.25,1.54,1,1,1,3.45,0,1
31,2.35,2.05,5.00,1.49,7.00,0.50,2.50,1.46,1.50,2.25,1.55,1,1,1,3.45,0,1
32,2.35,2.05,5.00,1.49,7.00,0.50,2.45,1.47,1.50,2.20,1.56,1,1,1,3.45,0,1
33,2.35,2.05,5.00,1.49,7.00,0.50,2.40,1.49,1.50,2.15,1.58,1,1,1,3.45,0,1
34,2.35,2.05,5.00,1.49,7.00,0.50,2.40,1.50,1.50,2.15,1.59,1,1,1,3.45,0,1
35,2.35,2.05,5.00,1.48,7.50,0.50,2.35,1.51,1.50,2.10,1.61,1,1,1,3.45,0,1
36,2.35,2.05,5.00,1.48,8.00,0.50,2.30,1.53,1.50,2.05,1.63,1,1,1,3.45,0,1
37,2.35,2.05,5.00,1.47,8.00,0.50,2.25,1.54,1.50,2.05,1.64,1,1,1,3.45,0,1
38,2.35,2.05,5.00,1.47,8.00,0.50,2.25,1.55,1.50,2.00,1.66,1,1,1,3.45,0,1
