min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.58,2.80,9.50,1.72,4.10,0.50,2.15,1.58,0.50,4.00,1.18,1,1,1,3.50,0,0
2,1.58,2.80,9.50,1.72,4.10,0.50,2.15,1.58,0.50,4.00,1.18,1,1,1,3.50,0,0
3,1.58,2.80,9.50,1.72,4.10,0.50,2.15,1.58,0.50,4.00,1.18,1,1,1,3.50,0,0
4,1.58,2.80,9.50,1.72,4.10,0.50,2.15,1.58,0.50,4.00,1.18,1,1,1,3.50,0,0
5,1.58,2.80,9.50,1.72,4.10,0.50,2.15,1.58,0.50,4.00,1.18,1,1,1,3.50,0,0
6,1.58,2.80,9.00,1.73,4.05,0.50,2.15,1.59,1.50,1.61,2.10,1,1,1,3.50,0,0
7,1.59,2.80,9.00,1.74,4.10,0.50,2.10,1.60,1.50,1.60,2.10,1,1,1,3.45,0,0
8,1.59,2.80,8.50,1.75,4.10,0.50,2.10,1.61,1.50,1.58,2.15,1,1,1,3.45,0,0
9,1.60,2.80,8.50,1.76,4.10,0.50,2.10,1.62,1.50,1.57,2.20,1,1,1,3.40,0,0
10,1.60,2.85,8.00,1.77,4.10,0.50,2.05,1.63,1.50,1.56,2.20,1,1,1,3.40,0,0
11,1.61,2.85,8.00,1.77,4.10,0.50,2.05,1.65,1.50,1.54,2.25,1,1,1,3.40,0,0
12,1.61,2.85,8.00,1.78,4.10,0.50,2.00,1.66,1.50,1.53,2.30,1,1,1,3.35,0,0
13,1.62,2.85,7.50,1.78,4.10,0.50,2.00,1.67,1.50,1.52,2.30,1,1,1,3.30,0,0
14,1.62,2.85,7.50,1.33,7.00,0.50,2.80,1.39,2.50,1.50,2.35,3.50,1.65,2.00,5.00,0,1
15,1,1,1,1.33,7.50,0.50,2.70,1.41,2.50,1.49,2.40,3.50,1.61,2.10,4.95,0,1
16,1.62,2.85,7.50,1.33,7.50,0.50,2.65,1.42,2.50,1.48,2.45,3.50,1.58,2.15,4.95,0,1
17,1.62,2.85,7.50,1.32,7.50,0.50,2.60,1.43,2.50,1.47,2.50,3.50,1.56,2.20,4.95,0,1
18,1.62,2.85,7.50,1.20,12.0,0.50,1.89,1.76,2.50,1.37,2.85,1,1,1,5.50,0,1
19,1.62,2.85,7.50,1.20,12.0,0.50,1.87,1.78,2.50,1.36,2.90,1,1,1,5.50,0,1
20,1.62,2.85,7.50,1.19,12.0,0.50,1.85,1.79,1.50,2.85,1.37,1,1,1,5.50,0,1
21,1.62,2.85,7.50,1.20,12.0,0.50,1.83,1.81,1.50,2.80,1.38,1,1,1,5.50,0,1
22,1.62,2.85,7.50,1.19,12.0,0.50,1.81,1.83,1.50,2.80,1.39,1,1,1,5.50,0,1
23,1.62,2.85,7.50,1.19,12.0,0.50,1.79,1.85,1.50,2.75,1.40,1,1,1,5.00,0,1
24,1.62,2.85,7.50,1.19,13.0,0.50,1.78,1.87,1.50,2.70,1.41,1,1,1,5.00,0,1
25,1.62,2.85,7.50,1.19,13.0,0.50,1.76,1.89,1.50,2.65,1.42,1,1,1,5.00,0,1
26,1.62,2.85,7.50,1.19,13.0,0.50,1.74,1.91,1.50,2.60,1.43,1,1,1,5.00,0,1
27,1.62,2.85,7.50,1.18,13.0,0.50,1.72,1.93,1.50,2.60,1.44,1,1,1,5.00,0,1
28,1.62,2.85,7.50,1.18,13.0,0.50,1.71,1.96,1.50,2.50,1.45,1,1,1,5.00,0,1
29,1.62,2.85,7.50,1.18,13.0,0.50,1.69,1.98,1.50,2.50,1.47,1,1,1,5.00,0,1
30,1.62,2.85,7.50,1.18,13.0,0.50,1.68,2.00,1.50,2.45,1.48,1,1,1,5.00,0,1
31,1.62,2.85,7.50,1.18,14.0,0.50,1.66,2.00,1.50,2.40,1.49,1,1,1,5.00,0,1
32,1.62,2.85,7.50,1.18,14.0,0.50,1.65,2.00,1.50,2.40,1.50,1,1,1,5.00,0,1
33,1.62,2.85,7.50,1.18,14.0,0.50,1.63,2.05,1.50,2.35,1.51,1,1,1,5.00,0,1
34,1.62,2.85,7.50,1.18,14.0,0.50,1.62,2.10,1.50,2.30,1.53,1,1,1,5.00,0,1
35,1.62,2.85,7.50,1.17,14.0,0.50,1.60,2.10,1.50,2.25,1.54,1,1,1,5.00,0,1
36,1.62,2.85,7.50,1.25,10.5,0.50,1.81,1.83,1.50,2.20,1.56,1,1,1,4.95,0,1
37,1.62,2.85,7.50,1.25,10.5,0.50,1.79,1.86,1.50,2.20,1.57,1,1,1,4.95,0,1
38,1.62,2.85,7.50,1.25,11.0,0.50,1.76,1.88,1.50,2.15,1.59,1,1,1,4.95,0,1
39,1.62,2.85,7.50,1.25,11.0,0.50,1.74,1.91,1.50,2.10,1.60,1,1,1,5.00,0,1
40,1.62,2.85,7.50,1.24,11.0,0.50,1.72,1.93,1.50,2.10,1.62,1,1,1,5.00,0,1
41,1.62,2.85,7.50,1.24,11.5,0.50,1.70,1.96,1.50,2.05,1.63,1,1,1,5.00,0,1
42,1.62,2.85,7.50,1.24,11.5,0.50,1.68,1.99,1.50,2.00,1.65,1,1,1,5.00,0,1
43,1.62,2.85,7.50,1.24,11.5,0.50,1.67,2.00,1.50,2.00,1.67,1,1,1,5.00,0,1
44,1.62,2.85,7.50,1.24,12.0,0.50,1.65,2.00,1.50,1.98,1.69,1,1,1,5.00,0,1
45,1.62,2.85,7.50,1.23,12.0,0.50,1.63,2.05,1.50,1.94,1.72,1,1,1,5.00,0,1
46,1.62,2.85,7.50,1.23,12.0,0.50,1.61,2.10,1.50,1.91,1.74,1,1,1,5.00,0,1
47,1.62,2.85,7.50,1.22,12.0,0.50,1.59,2.15,1.50,1.88,1.77,1,1,1,5.00,0,1
48,1.62,2.85,7.50,1.22,12.0,0.50,1.58,2.20,1.50,1.85,1.79,1,1,1,5.00,0,1
49,1.62,2.85,7.50,1.21,13.0,0.50,1.56,2.20,1.50,1.82,1.82,1,1,1,5.00,0,1
50,1.62,2.85,7.50,1.21,13.0,0.50,1.55,2.25,1.50,1.79,1.86,1,1,1,5.00,0,1
51,1.62,2.85,7.50,1.21,13.0,0.50,1.53,2.30,1.50,1.76,1.89,1,1,1,5.00,0,1
52,1.62,2.85,7.50,1.20,13.0,0.50,1.51,2.35,1.50,1.73,1.92,1,1,1,5.00,0,1
53,1.62,2.85,7.50,1.20,14.0,0.50,1.50,2.40,1.50,1.71,1.96,1.50,2.85,1.38,5.00,0,1
54,1.62,2.85,7.50,1.20,14.0,0.50,1.49,2.40,1.50,1.68,1.99,1.50,2.80,1.39,5.00,0,1
55,1.62,2.85,7.50,1.19,14.0,0.50,1.47,2.50,1.50,1.66,2.00,1.50,2.70,1.41,5.00,0,1
56,1.62,2.85,7.50,1.19,14.0,0.50,1.45,2.50,1.50,1.63,2.05,1.50,2.60,1.43,5.00,0,1
57,1.62,2.85,7.50,1.18,15.0,0.50,1.44,2.60,1.50,1.61,2.10,1.50,2.55,1.45,5.00,0,1
58,1.62,2.85,7.50,1.18,15.0,0.50,1.43,2.65,1.50,1.59,2.15,1.50,2.50,1.47,5.00,0,1
59,1.62,2.85,7.50,1.17,16.0,0.50,1.41,2.70,1.50,1.57,2.20,1.50,2.40,1.48,5.00,0,1
60,1.62,2.85,7.50,1.17,16.0,0.50,1.40,2.75,1.50,1.55,2.25,1.50,2.35,1.51,5.00,0,1
61,1.62,2.85,7.50,1.16,16.0,0.50,1.39,2.80,1.50,1.53,2.30,1.50,2.30,1.53,5.00,0,1
62,1.62,2.85,7.50,1.16,17.0,0.50,1.37,2.85,1.50,1.51,2.35,1.50,2.25,1.55,5.00,0,1
63,1.62,2.85,7.50,1.15,17.0,0.50,1.36,2.95,1.50,1.49,2.40,1.50,2.15,1.58,5.00,0,1
64,1.62,2.85,7.50,1.15,18.0,0.50,1.34,3.00,1.50,1.47,2.50,1.50,2.10,1.61,5.00,0,1
65,1.62,2.85,7.50,1.14,18.0,0.50,1.32,3.10,1.50,1.45,2.55,1.50,2.05,1.65,5.50,0,1
66,1.62,2.85,7.50,1.13,19.0,0.50,1.31,3.20,1.50,1.43,2.60,1.50,2.00,1.68,5.50,0,1
67,1.62,2.85,7.50,1.13,20.0,0.50,1.29,3.25,1.50,1.41,2.70,1.50,1.94,1.72,5.50,0,1
68,1.62,2.85,7.50,1.12,20.0,0.50,1.28,3.35,1.50,1.40,2.75,1.50,1.89,1.76,5.50,0,1
69,1.62,2.85,7.50,1.12,21.0,0.50,1.26,3.45,1.50,1.38,2.85,1.50,1.84,1.81,6.00,0,1
70,1.62,2.85,7.50,1.11,21.0,0.50,1.24,3.55,1.50,1.36,2.90,1.50,1.78,1.86,6.00,0,1
71,1.62,2.85,7.50,1.10,22.0,0.50,1.23,3.65,1.50,1.34,3.00,1.50,1.73,1.92,6.00,0,1
72,1.62,2.85,7.50,1.10,23.0,0.50,1.21,3.80,1.50,1.32,3.10,1.50,1.69,1.99,6.00,0,1
73,1.62,2.85,7.50,1.09,24.0,0.50,1.19,3.90,1.50,1.30,3.20,1.50,1.64,2.05,6.00,0,1
74,1.62,2.85,7.50,1.09,24.0,0.50,1.18,4.05,1.50,1.28,3.30,1.50,1.60,2.10,6.50,0,1
75,1.62,2.85,7.50,1.08,25.0,0.50,1.16,4.25,1.50,1.26,3.45,1.50,1.57,2.20,6.50,0,1
76,1.62,2.85,7.50,1.07,27.0,0.50,1.14,4.45,1.50,1.23,3.60,1.50,1.53,2.30,7.00,0,1
77,1.62,2.85,7.50,1.07,28.0,0.50,1.13,4.65,1.50,1.21,3.75,1.50,1.49,2.40,7.00,0,1
78,1.62,2.85,7.50,1.06,29.0,0.50,1.12,4.90,1.50,1.19,3.95,1.50,1.46,2.50,7.00,0,1
79,1.62,2.85,7.50,1.06,29.0,0.50,1.10,5.00,1.50,1.17,4.10,1.50,1.43,2.65,7.50,0,1
80,1.62,2.85,7.50,1.05,30.0,0.50,1.09,5.00,1.50,1.15,4.35,1.50,1.39,2.80,8.00,0,1
81,1.62,2.85,7.50,1.05,33.0,0.50,1.08,5.50,1.50,1.13,4.60,1.50,1.36,2.90,8.50,0,1
82,1.62,2.85,7.50,1.05,34.0,0.50,1.07,6.00,1.50,1.11,4.90,1.50,1.33,3.10,9.00,0,1
83,1.62,2.85,7.50,1.04,35.0,0.50,1.06,6.50,1.50,1.10,5.00,1.50,1.29,3.25,9.50,0,1
84,1.62,2.85,7.50,1.04,36.0,0.50,1.05,7.00,1.50,1.08,5.50,1.50,1.25,3.50,10.0,0,1
85,1.62,2.85,7.50,1.04,40.0,0.50,1.05,7.50,1.50,1.07,6.00,1.50,1.22,3.75,11.0,0,1
86,1.62,2.85,7.50,1.04,41.0,0.50,1.04,8.50,1.50,1.06,6.50,1.50,1.18,4.05,11.5,0,1
87,1.62,2.85,7.50,-,-,0.50,1.04,9.00,2.50,1.05,7.50,1,1,1,-,0,2
88,1.62,2.85,7.50,-,-,0.50,1.04,10.5,2.50,1.04,8.50,1,1,1,-,0,2
89,1.62,2.85,7.50,-,-,1,1,1,1,1,1,1,1,1,-,0,2
90,1.62,2.85,7.50,-,-,1,1,1,1,1,1,1,1,1,-,0,2
91,1.62,2.85,7.50,-,-,1,1,1,1,1,1,1,1,1,-,0,2
92,1.62,2.85,7.50,-,-,1,1,1,1,1,1,1,1,1,-,0,2
