min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.90,1.45,12.0,18.0,1.13,2.50,2.45,1.43,0.50,2.70,1.37,3.50,2.30,1.47,5.00,1,0
2,2.90,1.45,12.0,18.0,1.13,2.50,2.45,1.43,0.50,2.70,1.37,3.50,2.30,1.47,5.00,1,0
3,2.90,1.45,12.0,15.0,1.16,2.50,2.45,1.43,1.50,1.36,2.70,4.50,1.49,2.25,4.85,1,0
4,2.90,1.45,12.0,14.0,1.18,3.50,1.47,2.30,1.50,1.42,2.50,4.50,1.60,2.00,4.80,1,0
5,2.90,1.45,12.0,14.0,1.18,3.50,1.47,2.30,1.50,1.42,2.50,4.50,1.60,2.00,4.80,1,0
6,2.90,1.45,12.0,14.0,1.18,3.50,1.46,2.35,1.50,1.41,2.50,4.50,1.57,2.05,4.80,1,0
7,2.90,1.45,12.0,14.0,1.18,3.50,1.45,2.40,1.50,1.41,2.55,4.50,1.55,2.10,4.80,1,0
8,2.90,1.45,12.0,14.0,1.18,3.50,1.43,2.45,1.50,1.40,2.60,4.50,1.53,2.15,4.75,1,0
9,2.90,1.45,12.0,14.0,1.18,2.50,2.45,1.43,1.50,1.39,2.60,4.50,1.51,2.20,4.75,1,0
10,2.90,1.45,12.0,14.0,1.18,2.50,2.40,1.44,1.50,1.38,2.65,4.50,1.49,2.25,4.75,1,0
11,2.90,1.45,12.0,14.0,1.18,2.50,2.40,1.45,1.50,1.37,2.70,4.50,1.48,2.30,4.70,1,0
12,2.90,1.45,12.0,14.0,1.19,2.50,2.35,1.46,1.50,1.36,2.70,3.50,2.35,1.46,4.70,1,0
13,2.90,1.45,12.0,4.70,1.62,2.50,2.30,1.48,2.50,1.35,2.75,4.50,2.20,1.50,3.30,1,1
14,2.90,1.45,12.0,4.70,1.63,2.50,2.25,1.49,2.50,1.34,2.80,4.50,2.20,1.52,3.30,1,1
15,2.90,1.45,12.0,4.70,1.64,2.50,2.20,1.51,1.50,2.80,1.34,4.50,2.15,1.54,3.30,1,1
