min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.86,2.20,9.00,2.30,3.00,0.50,2.85,1.37,1.50,1.48,2.45,1,1,1,3.15,0,0
5,1.90,2.15,9.00,2.40,2.90,1.50,1.37,2.85,1.50,1.47,2.50,1,1,1,3.15,0,0
6,1.91,2.15,9.00,2.40,2.90,0.50,2.90,1.37,1.50,1.46,2.50,1,1,1,3.15,0,0
7,1.91,2.15,8.50,2.40,2.90,0.50,2.85,1.37,1.50,1.45,2.55,1,1,1,3.10,0,0
8,1.92,2.20,8.50,2.40,2.90,0.50,2.80,1.38,1.50,1.44,2.60,1,1,1,3.10,0,0
9,1.93,2.20,8.00,2.40,2.90,0.50,2.80,1.39,1.50,1.43,2.60,1,1,1,3.10,0,0
10,1.93,2.20,8.00,2.40,2.95,0.50,2.75,1.40,1.50,1.42,2.65,1,1,1,3.10,0,0
11,1.94,2.20,8.00,2.40,2.95,0.50,2.70,1.40,1.50,1.41,2.70,1,1,1,3.05,0,0
12,1.94,2.20,7.50,2.40,2.95,0.50,2.70,1.41,1.50,1.40,2.75,1,1,1,3.05,0,0
13,1.83,2.35,8.00,2.20,3.25,0.50,2.50,1.46,1.50,1.45,2.55,1,1,1,3.05,0,0
14,1.84,2.40,7.50,2.20,3.20,0.50,2.50,1.47,1.50,1.44,2.60,1,1,1,3.05,0,0
15,1.84,2.40,7.50,2.20,3.25,0.50,2.45,1.48,1.50,1.43,2.60,1,1,1,3.00,0,0
16,1.85,2.40,7.00,2.20,3.25,0.50,2.40,1.49,1.50,1.42,2.65,1,1,1,3.00,0,0
17,1.86,2.40,7.00,2.25,3.25,0.50,2.40,1.50,1.50,1.41,2.70,1.50,2.50,1.47,3.00,0,0
18,1.86,2.40,7.00,2.25,3.30,0.50,2.35,1.51,1.50,1.40,2.75,1.50,2.45,1.48,2.95,0,0
19,1.87,2.40,6.50,1.40,7.50,0.50,2.55,1.45,1.50,2.80,1.39,1,1,1,4.00,0,1
20,1.87,2.40,6.50,1.40,7.50,0.50,2.50,1.46,1.50,2.75,1.40,1,1,1,4.00,0,1
21,1.87,2.40,6.50,1.40,7.50,0.50,2.50,1.47,1.50,2.70,1.41,1,1,1,4.00,0,1
22,1.87,2.40,6.50,1.40,8.00,0.50,2.45,1.48,1.50,2.65,1.42,1,1,1,4.00,0,1
23,1.87,2.40,6.50,1.40,8.00,0.50,2.40,1.49,1.50,2.60,1.43,1,1,1,4.00,0,1
24,1.87,2.40,6.50,1.39,8.00,0.50,2.40,1.50,1.50,2.60,1.44,1,1,1,4.00,0,1
25,1.87,2.40,6.50,1.39,8.00,0.50,2.35,1.51,1.50,2.55,1.45,1,1,1,3.95,0,1
26,1.87,2.40,6.50,1.39,8.50,0.50,2.30,1.52,1.50,2.50,1.46,1,1,1,3.95,0,1
27,1.87,2.40,6.50,1.38,8.50,0.50,2.30,1.53,1.50,2.45,1.47,1,1,1,3.95,0,1
28,1.87,2.40,6.50,1.38,8.50,0.50,2.25,1.55,1.50,2.45,1.48,1,1,1,3.95,0,1
29,1.87,2.40,6.50,1.38,8.50,0.50,2.20,1.56,1.50,2.40,1.50,1,1,1,3.95,0,1
30,1.87,2.40,6.50,1.38,9.00,0.50,2.20,1.57,1.50,2.35,1.51,1,1,1,3.95,0,1
31,1.87,2.40,6.50,1.38,9.00,0.50,2.15,1.59,1.50,2.30,1.52,1,1,1,3.95,0,1
32,1.87,2.40,6.50,1.37,9.00,0.50,2.10,1.60,1.50,2.30,1.53,1,1,1,3.90,0,1
33,1.87,2.40,6.50,1.37,9.00,0.50,2.10,1.62,1.50,2.25,1.54,1,1,1,3.90,0,1
34,1.87,2.40,6.50,1.37,9.50,0.50,2.05,1.63,1.50,2.20,1.56,1,1,1,3.90,0,1
35,1.87,2.40,6.50,1.37,9.50,0.50,2.05,1.65,1.50,2.20,1.57,1,1,1,3.90,0,1
36,1.87,2.40,6.50,1.36,9.50,0.50,2.00,1.67,1.50,2.15,1.59,1,1,1,3.90,0,1
37,1.87,2.40,6.50,1.36,10.0,0.50,1.99,1.68,1.50,2.10,1.60,1,1,1,3.90,0,1
38,1.87,2.40,6.50,1.35,10.0,0.50,1.96,1.71,1.50,2.10,1.62,1,1,1,3.90,0,1
39,1.87,2.40,6.50,1.35,10.5,0.50,1.93,1.73,1.50,2.05,1.64,1,1,1,3.90,0,1
40,1.87,2.40,6.50,1.35,10.5,0.50,1.90,1.75,1.50,2.00,1.65,1,1,1,3.90,0,1
41,1.87,2.40,6.50,1.35,10.5,0.50,1.87,1.77,1.50,2.00,1.68,1,1,1,3.90,0,1
42,1.87,2.40,6.50,1.34,11.0,0.50,1.85,1.79,1.50,1.97,1.70,1,1,1,3.90,0,1
43,1.87,2.40,6.50,1.34,11.0,0.50,1.82,1.82,1.50,1.94,1.72,1,1,1,3.90,0,1
44,1.87,2.40,6.50,1.33,11.0,0.50,1.80,1.84,1.50,1.91,1.74,1,1,1,3.90,0,1
