min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.59,2.60,12.0,1.76,4.05,0.50,2.80,1.38,1.50,1.97,1.70,1,1,1,3.45,0,0
2,1.59,2.60,12.0,1.76,4.05,0.50,2.80,1.38,1.50,1.97,1.70,1,1,1,3.45,0,0
3,1.59,2.60,12.0,1.76,4.05,0.50,2.80,1.38,1.50,1.97,1.70,1,1,1,3.45,0,0
4,1.59,2.60,12.0,1.76,4.05,0.50,2.80,1.38,1.50,1.97,1.70,1,1,1,3.45,0,0
5,1.59,2.60,12.0,1.76,4.05,0.50,2.80,1.38,1.50,1.97,1.70,1,1,1,3.45,0,0
6,1.59,2.60,12.0,1.76,4.05,0.50,2.80,1.39,1.50,1.94,1.72,1,1,1,3.45,0,0
7,1.59,2.60,11.5,1.77,4.05,0.50,2.75,1.40,1.50,1.91,1.74,1,1,1,3.40,0,0
8,1.59,2.60,11.5,1.24,11.5,0.50,2.70,1.41,2.50,1.88,1.76,3.50,1.91,1.74,5.00,0,1
9,1.59,2.60,11.5,1.24,11.5,0.50,2.70,1.41,2.50,1.86,1.79,3.50,1.88,1.76,5.00,0,1
10,1.59,2.60,11.5,1.28,10.0,0.50,2.90,1.37,2.50,1.83,1.81,3.50,1.94,1.72,4.80,0,1
11,1.59,2.60,11.5,1.28,10.5,0.50,2.85,1.37,2.50,1.81,1.84,3.50,1.90,1.75,4.75,0,1
12,1.59,2.60,11.5,1.27,10.5,0.50,2.80,1.38,2.50,1.79,1.86,3.50,1.87,1.77,4.75,0,1
13,1.59,2.60,11.5,1.28,10.5,0.50,2.80,1.39,2.50,1.76,1.88,3.50,1.84,1.80,4.70,0,1
14,1,1,1,1.28,10.5,0.50,2.75,1.40,2.50,1.74,1.91,3.50,1.81,1.84,4.70,0,1
15,1.59,2.60,11.5,1.27,10.5,0.50,2.70,1.41,2.50,1.72,1.94,3.50,1.78,1.87,4.70,0,1
16,1.59,2.60,11.5,1.27,10.5,0.50,2.65,1.42,2.50,1.70,1.97,3.50,1.75,1.90,4.70,0,1
17,1.59,2.60,11.5,1.27,11.0,0.50,2.60,1.43,2.50,1.68,2.00,3.50,1.72,1.94,4.70,0,1
18,1.59,2.60,11.5,1.27,11.0,0.50,2.60,1.44,2.50,1.66,2.00,3.50,1.69,1.98,4.65,0,1
19,1.59,2.60,11.5,1.27,11.0,0.50,2.55,1.45,2.50,1.64,2.05,3.50,1.66,2.00,4.65,0,1
