min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.53,2.70,14.0,1.61,4.80,1.50,1.47,2.50,2.50,1.50,2.35,3.50,1.60,2.10,3.55,0,0
2,1.53,2.70,14.0,1.61,4.80,1.50,1.47,2.50,2.50,1.50,2.35,3.50,1.60,2.10,3.55,0,0
3,1.53,2.70,14.0,1.61,4.80,1.50,1.47,2.50,2.50,1.50,2.35,3.50,1.60,2.10,3.55,0,0
4,1.50,2.85,12.0,1.59,4.80,0.50,2.50,1.46,1.50,2.10,1.61,1,1,1,3.70,0,0
5,1.50,2.85,12.0,1.59,4.80,0.50,2.50,1.46,1.50,2.10,1.61,1,1,1,3.70,0,0
6,1.50,2.90,12.0,1.59,4.80,0.50,2.50,1.47,1.50,2.10,1.62,1,1,1,3.65,0,0
7,1.51,2.90,12.0,1.60,4.80,0.50,2.45,1.48,1.50,2.05,1.64,1,1,1,3.65,0,0
8,1.51,2.90,11.5,1.60,4.80,0.50,2.40,1.49,1.50,2.00,1.66,1,1,1,3.60,0,0
9,1.51,2.90,11.5,1.61,4.80,0.50,2.40,1.50,1.50,2.00,1.68,1,1,1,3.60,0,0
10,1.59,2.65,11.0,1.75,4.05,0.50,2.60,1.43,1.50,1.84,1.80,1,1,1,3.45,0,0
11,1.59,2.65,11.0,1.76,4.05,0.50,2.60,1.44,1.50,1.82,1.82,1,1,1,3.45,0,0
12,1.60,2.65,10.5,1.76,4.05,0.50,2.55,1.45,1.50,1.79,1.85,1,1,1,3.40,0,0
13,1.60,2.65,10.5,1.78,4.05,0.50,2.50,1.46,1.50,1.78,1.87,1,1,1,3.40,0,0
14,1.60,2.65,10.0,1.78,4.05,0.50,2.50,1.47,1.50,1.75,1.90,1,1,1,3.35,0,0
15,1.61,2.70,10.0,1.79,4.05,0.50,2.45,1.48,1.50,1.73,1.93,1,1,1,3.35,0,0
16,1.61,2.60,11.0,1.79,3.90,0.50,2.65,1.42,1.50,1.81,1.84,1,1,1,3.40,0,0
17,1.61,2.60,11.0,1.81,3.90,0.50,2.60,1.43,1.50,1.78,1.86,1,1,1,3.40,0,0
18,1.62,2.60,10.5,1.81,3.90,0.50,2.60,1.44,1.50,1.76,1.89,1,1,1,3.40,0,0
19,1.62,2.70,9.00,1.82,4.05,0.50,2.35,1.51,1.50,1.65,2.00,1,1,1,3.25,0,0
20,1.63,2.70,8.50,3.60,1.90,1.50,2.30,1.53,1.50,1.63,2.05,3.50,1.59,2.15,3.35,1,0
21,1.63,2.70,8.50,3.20,2.10,1.50,2.30,1.54,1.50,1.78,1.86,3.50,1.69,1.98,3.30,1,0
22,1.63,2.70,8.50,3.20,2.05,1.50,2.25,1.55,1.50,1.76,1.89,3.50,1.66,2.00,3.30,1,0
23,1.63,2.70,8.50,3.25,2.05,1.50,2.20,1.56,1.50,1.73,1.93,3.50,1.64,2.05,3.30,1,0
24,1.63,2.70,8.50,3.30,2.05,1.50,2.20,1.57,1.50,1.70,1.96,3.50,1.61,2.10,3.30,1,0
25,1.63,2.70,8.50,3.35,2.00,1.50,2.15,1.59,1.50,1.68,1.99,3.50,1.59,2.15,3.30,1,0
26,1.63,2.70,8.50,3.40,2.00,1.50,2.10,1.60,1.50,1.66,2.00,3.50,1.57,2.20,3.30,1,0
27,1.63,2.70,8.50,3.25,2.05,1.50,2.30,1.53,1.50,1.76,1.89,3.50,1.67,2.00,3.35,1,0
28,1.63,2.70,8.50,3.30,2.00,1.50,2.25,1.55,1.50,1.73,1.93,3.50,1.64,2.05,3.30,1,0
29,1.63,2.70,8.50,3.30,2.00,1.50,2.20,1.56,1.50,1.70,1.96,3.50,1.62,2.10,3.30,1,0
30,1.63,2.70,8.50,3.35,2.00,1.50,2.20,1.57,1.50,1.68,2.00,3.50,1.59,2.15,3.30,1,0
31,1.63,2.70,8.50,3.40,2.00,1.50,2.15,1.59,1.50,1.66,2.00,3.50,1.57,2.20,3.30,1,0
32,1.63,2.70,8.50,3.45,2.00,1.50,2.10,1.60,1.50,1.64,2.05,3.50,1.55,2.25,3.25,1,0
33,1.63,2.70,8.50,3.20,2.05,1.50,2.00,1.66,1.50,1.68,2.00,3.50,1.56,2.20,3.35,1,0
34,1.63,2.70,8.50,3.20,2.05,1.50,2.00,1.68,1.50,1.65,2.00,3.50,1.53,2.30,3.35,1,0
35,1.63,2.70,8.50,3.25,2.05,1.50,1.98,1.69,1.50,1.63,2.05,3.50,1.51,2.35,3.30,1,0
