min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.70,1.36,11.5,8.50,1.38,1.50,2.45,1.48,0.50,1.91,1.74,1,1,1,4.05,0,0
2,3.70,1.36,11.5,8.50,1.38,1.50,2.45,1.48,0.50,1.91,1.74,1,1,1,4.05,0,0
3,3.70,1.36,11.5,8.50,1.38,1.50,2.45,1.48,0.50,1.91,1.74,1,1,1,4.05,0,0
4,3.70,1.36,11.5,8.50,1.38,1.50,2.45,1.48,0.50,1.91,1.74,1,1,1,4.05,0,0
5,3.70,1.36,11.5,8.50,1.38,1.50,2.45,1.48,0.50,1.91,1.74,1,1,1,4.05,0,0
6,3.70,1.36,11.0,8.00,1.38,1.50,2.40,1.49,0.50,1.89,1.75,1,1,1,4.00,0,0
7,3.75,1.36,11.0,8.00,1.38,1.50,2.35,1.51,0.50,1.88,1.77,1,1,1,3.95,0,0
8,3.75,1.37,11.0,8.00,1.39,1.50,2.30,1.52,0.50,1.86,1.78,1,1,1,3.90,0,0
9,3.75,1.37,10.5,8.00,1.40,1.50,2.30,1.53,0.50,1.84,1.80,1,1,1,3.90,0,0
10,3.75,1.37,10.0,8.00,1.40,1.50,2.25,1.55,0.50,1.83,1.81,1,1,1,3.85,0,0
11,3.75,1.37,10.0,31.0,1.06,2.50,2.20,1.56,0.50,1.81,1.83,3.50,1.76,1.88,7.00,1,0
12,3.75,1.37,10.0,25.0,1.08,2.50,2.10,1.61,0.50,1.91,1.74,3.50,1.75,1.90,6.50,1,0
13,3.75,1.37,10.0,25.0,1.08,2.50,2.05,1.63,0.50,1.89,1.76,3.50,1.72,1.94,6.50,1,0
14,3.75,1.37,10.0,25.0,1.08,2.50,2.00,1.65,0.50,1.87,1.77,3.50,1.69,1.98,6.50,1,0
15,3.75,1.37,10.0,26.0,1.08,2.50,2.00,1.67,0.50,1.85,1.79,3.50,1.67,2.00,6.50,1,0
16,3.75,1.37,10.0,26.0,1.08,2.50,1.98,1.69,0.50,1.84,1.81,3.50,1.64,2.05,6.50,1,0
17,3.75,1.37,10.0,26.0,1.08,2.50,1.95,1.71,0.50,1.82,1.82,3.50,1.62,2.10,6.50,1,0
18,3.75,1.37,10.0,26.0,1.08,2.50,1.92,1.74,0.50,1.80,1.84,3.50,1.60,2.10,6.50,1,0
