min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.73,2.20,10.0,2.05,3.10,1.50,1.36,2.70,1.50,1.60,2.00,1,1,1,3.20,0,0
2,1.73,2.20,10.0,2.05,3.10,1.50,1.36,2.70,1.50,1.60,2.00,1,1,1,3.20,0,0
3,1.73,2.20,10.0,2.05,3.10,1.50,1.36,2.70,1.50,1.60,2.00,1,1,1,3.20,0,0
4,1.73,2.20,10.0,2.05,3.10,1.50,1.36,2.70,1.50,1.60,2.00,1,1,1,3.20,0,0
5,1.73,2.20,10.0,2.05,3.10,1.50,1.36,2.70,1.50,1.60,2.00,1,1,1,3.20,0,0
6,1.73,2.20,10.0,2.05,3.10,1.50,1.35,2.75,1.50,1.58,2.05,1,1,1,3.15,0,0
7,1.74,2.25,10.0,2.10,3.15,1.50,1.34,2.80,1.50,1.57,2.10,1,1,1,3.15,0,0
8,1.74,2.25,9.50,2.10,3.15,0.50,2.85,1.33,1.50,1.55,2.10,1,1,1,3.15,0,0
9,1.75,2.25,9.50,2.10,3.15,0.50,2.80,1.34,1.50,1.54,2.15,1,1,1,3.10,0,0
10,1.75,2.25,9.00,2.10,3.15,0.50,2.75,1.35,1.50,1.53,2.15,1,1,1,3.10,0,0
11,1.76,2.25,9.00,2.10,3.15,0.50,2.75,1.36,1.50,1.51,2.20,1,1,1,3.10,0,0
12,1.76,2.25,9.00,2.10,3.15,0.50,2.70,1.37,1.50,1.50,2.25,1,1,1,3.05,0,0
13,1.77,2.30,8.50,2.10,3.15,0.50,2.65,1.37,1.50,1.49,2.30,1,1,1,3.05,0,0
14,1.77,2.30,8.00,2.10,3.15,0.50,2.60,1.38,1.50,1.47,2.30,1,1,1,3.00,0,0
15,1.78,2.30,8.00,2.15,3.20,0.50,2.60,1.39,1.50,1.46,2.35,1,1,1,3.00,0,0
16,1.78,2.30,8.00,2.15,3.20,0.50,2.55,1.40,1.50,1.45,2.40,1,1,1,3.00,0,0
17,1.88,2.20,7.00,2.35,3.00,0.50,2.55,1.40,1.50,1.38,2.65,1,1,1,2.90,0,0
18,1.89,2.20,7.00,2.35,3.00,0.50,2.50,1.41,1.50,1.37,2.70,1,1,1,2.90,0,0
19,1.90,2.20,7.00,2.35,3.00,0.50,2.50,1.42,1.50,1.36,2.70,1,1,1,2.85,0,0
20,1.90,2.25,6.50,2.35,3.00,0.50,2.45,1.43,1.50,1.35,2.75,1.50,2.40,1.44,2.85,0,0
21,1.91,2.25,6.50,2.40,3.00,0.50,2.40,1.44,1.50,1.34,2.80,1.50,2.35,1.45,2.80,0,0
22,1.92,2.25,6.00,2.40,3.00,0.50,2.40,1.45,0.50,2.80,1.34,1.50,2.30,1.47,2.80,0,0
23,1.93,2.25,6.00,2.40,3.05,0.50,2.35,1.46,0.50,2.80,1.34,1.50,2.30,1.49,2.80,0,0
24,1.94,2.30,6.00,2.40,3.05,0.50,2.30,1.47,0.50,2.75,1.35,1.50,2.20,1.50,2.75,0,0
25,1.95,2.30,6.00,2.40,3.10,0.50,2.30,1.48,0.50,2.70,1.36,1.50,2.20,1.52,2.75,0,0
26,1.96,2.30,5.50,2.40,3.10,0.50,2.25,1.49,0.50,2.65,1.37,1.50,2.15,1.54,2.70,0,0
27,1.97,2.30,5.50,2.40,3.10,0.50,2.20,1.50,0.50,2.60,1.39,1.50,2.10,1.56,2.70,0,0
28,1.98,2.30,5.00,2.45,3.10,0.50,2.20,1.52,0.50,2.60,1.40,1.50,2.05,1.58,2.70,0,0
29,1.99,2.35,5.00,2.45,3.10,0.50,2.15,1.53,0.50,2.50,1.41,1.50,2.00,1.60,2.65,0,0
30,2.00,2.35,5.00,2.45,3.10,0.50,2.10,1.54,0.50,2.50,1.42,1.50,1.99,1.62,2.60,0,0
31,2.00,2.35,5.00,2.50,3.10,0.50,2.10,1.55,0.50,2.45,1.43,1.50,1.95,1.65,2.60,0,0
32,2.00,2.40,4.95,2.50,3.10,0.50,2.05,1.57,0.50,2.40,1.44,1.50,1.91,1.67,2.60,0,0
33,2.00,2.40,4.85,2.50,3.15,0.50,2.05,1.58,0.50,2.40,1.45,1.50,1.88,1.70,2.55,0,0
34,2.00,2.40,4.70,2.50,3.15,0.50,2.00,1.60,0.50,2.35,1.47,1.50,1.84,1.73,2.55,0,0
35,2.05,2.40,4.60,2.55,3.15,0.50,2.00,1.61,0.50,2.30,1.48,1.50,1.80,1.76,2.50,0,0
36,2.05,2.45,4.45,2.55,3.15,0.50,1.98,1.63,0.50,2.25,1.49,1.50,1.77,1.80,2.50,0,0
37,2.10,2.45,4.35,2.60,3.20,0.50,1.95,1.65,0.50,2.20,1.51,1.50,1.73,1.83,2.45,0,0
38,2.10,2.45,4.20,2.60,3.20,0.50,1.91,1.67,0.50,2.20,1.52,1.50,1.70,1.87,2.45,0,0
39,2.10,2.50,4.10,2.60,3.20,0.50,1.89,1.69,0.50,2.15,1.54,1.50,1.67,1.91,2.40,0,0
40,2.10,2.50,4.00,2.60,3.20,0.50,1.86,1.71,0.50,2.10,1.55,1.50,1.65,1.95,2.40,0,0
41,2.15,2.50,3.90,2.65,3.25,0.50,1.83,1.73,0.50,2.05,1.57,1.50,1.62,2.00,2.35,0,0
42,2.15,2.50,3.90,1.30,11.5,0.50,1.81,1.76,1.50,2.05,1.58,1,1,1,3.85,0,1
43,2.15,2.50,3.90,1.29,12.0,0.50,1.79,1.78,1.50,2.00,1.60,1,1,1,3.85,0,1
44,2.15,2.50,3.90,1.29,12.0,0.50,1.76,1.81,1.50,2.00,1.62,1,1,1,3.85,0,1
45,2.15,2.50,3.90,1.30,10.0,0.50,1.79,1.77,1.50,1.90,1.68,1,1,1,3.95,0,1
46,2.15,2.50,3.90,1.30,10.5,0.50,1.76,1.80,1.50,1.87,1.71,1,1,1,3.95,0,1
