min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.28,4.25,10.0,1.30,9.00,0.50,1.54,2.10,1.50,2.10,1.56,1,1,1,4.30,0,0
2,1.28,4.25,10.0,1.30,9.00,0.50,1.54,2.10,1.50,2.10,1.56,1,1,1,4.30,0,0
3,1.28,4.25,10.0,1.30,9.00,0.50,1.54,2.10,1.50,2.10,1.56,1,1,1,4.30,0,0
4,1.28,4.25,10.0,1.30,9.00,0.50,1.54,2.10,1.50,2.10,1.56,1,1,1,4.30,0,0
5,1.28,4.25,10.0,1.30,9.00,0.50,1.54,2.10,1.50,2.10,1.56,1,1,1,4.30,0,0
6,1.28,4.30,9.50,1.30,9.00,0.50,1.53,2.15,1.50,2.05,1.57,1,1,1,4.25,0,0
7,1.29,4.30,9.00,1.30,8.50,0.50,1.53,2.15,1.50,2.00,1.59,1,1,1,4.20,0,0
8,1.29,4.30,9.00,1.31,8.50,0.50,1.52,2.20,1.50,2.00,1.61,1,1,1,4.15,0,0
9,1.29,4.30,9.00,1.32,8.50,0.50,1.51,2.20,1.50,1.99,1.63,1,1,1,4.10,0,0
10,1.30,4.30,8.50,1.32,8.50,0.50,1.50,2.20,1.50,1.96,1.64,1,1,1,4.05,0,0
11,1.30,4.35,8.50,1.33,8.50,0.50,1.50,2.25,1.50,1.92,1.66,1,1,1,4.00,0,0
12,1.31,4.35,8.00,1.33,8.50,0.50,1.49,2.25,1.50,1.90,1.68,1,1,1,3.95,0,0
13,1.31,4.35,8.00,1.34,8.50,0.50,1.48,2.30,1.50,1.87,1.71,1,1,1,3.90,0,0
14,1.31,4.40,7.50,1.34,8.50,0.50,1.47,2.30,1.50,1.84,1.73,1,1,1,3.90,0,0
15,1.32,4.40,7.50,1.35,8.50,0.50,1.46,2.35,1.50,1.81,1.75,1,1,1,3.85,0,0
16,1.32,4.40,7.00,1.35,8.50,0.50,1.46,2.35,1.50,1.79,1.78,1,1,1,3.80,0,0
17,1.33,4.40,7.00,1.36,8.00,0.50,1.45,2.40,1.50,1.76,1.80,1.50,2.45,1.43,3.75,0,0
18,1.33,4.45,7.00,1.37,8.00,0.50,1.44,2.40,1.50,1.74,1.83,1.50,2.40,1.45,3.70,0,0
19,1.34,4.45,6.50,1.37,8.00,0.50,1.43,2.45,1.50,1.72,1.85,1.50,2.35,1.46,3.65,0,0
20,1.34,4.45,6.50,1.38,8.00,0.50,1.43,2.45,1.50,1.69,1.88,1.50,2.30,1.48,3.60,0,0
21,1.35,4.50,6.50,1.39,8.00,0.50,1.42,2.50,1.50,1.67,1.91,1.50,2.25,1.49,3.60,0,0
22,1.35,4.50,6.00,1.39,8.00,0.50,1.41,2.50,1.50,1.65,1.95,1.50,2.20,1.51,3.55,0,0
23,1.41,4.30,5.00,1.47,7.50,0.50,1.40,2.55,1.50,1.51,2.20,1.50,1.99,1.62,3.25,0,0
24,1.42,4.35,5.00,1.48,7.50,0.50,1.40,2.60,1.50,1.50,2.25,1.50,1.95,1.65,3.20,0,0
25,1.43,4.35,5.00,1.49,7.50,0.50,1.39,2.60,1.50,1.48,2.30,1.50,1.92,1.67,3.15,0,0
26,1.43,4.40,5.00,1.50,7.50,0.50,1.38,2.60,1.50,1.47,2.30,1.50,1.88,1.69,3.10,0,0
27,1.44,4.40,4.90,1.50,7.50,0.50,1.37,2.65,1.50,1.45,2.40,1.50,1.85,1.72,3.10,0,0
28,1.45,4.40,4.75,1.52,7.00,0.50,1.37,2.70,1.50,1.44,2.40,1.50,1.82,1.75,3.05,0,0
29,1.47,4.15,4.80,1.55,6.50,0.50,1.40,2.55,1.50,1.43,2.45,1.50,1.83,1.73,3.00,0,0
30,1.48,4.20,4.70,1.56,6.50,0.50,1.40,2.60,1.50,1.41,2.50,1.50,1.80,1.76,3.00,0,0
31,1.49,4.20,4.60,1.57,6.50,0.50,1.39,2.60,1.50,1.40,2.55,1.50,1.77,1.79,2.95,0,0
32,1.49,4.20,4.45,1.58,6.50,0.50,1.38,2.65,1.50,1.39,2.60,1.50,1.74,1.82,2.90,0,0
33,1.50,4.25,4.35,1.59,6.50,0.50,1.37,2.65,1.50,1.38,2.65,1.50,1.72,1.85,2.90,0,0
34,1.51,4.25,4.30,1.60,6.50,0.50,1.37,2.70,1.50,1.36,2.70,1.50,1.69,1.89,2.85,0,0
35,1.52,4.30,4.15,1.61,6.50,0.50,1.36,2.70,1.50,1.35,2.75,1.50,1.66,1.93,2.80,0,0
36,1.53,4.30,4.05,1.62,6.50,0.50,1.35,2.80,1.50,1.34,2.80,1.50,1.64,1.97,2.80,0,0
37,1.54,4.35,3.95,1.63,7.00,0.50,1.34,2.80,0.50,2.80,1.34,1.50,1.61,2.00,2.75,0,0
38,1.55,4.40,3.90,1.64,7.00,0.50,1.33,2.85,0.50,2.75,1.35,1.50,1.59,2.00,2.70,0,0
39,1.56,4.40,3.80,1.66,7.00,0.50,1.32,2.90,0.50,2.70,1.36,1.50,1.57,2.10,2.70,0,0
40,1.57,4.45,3.70,1.67,7.00,0.50,1.31,2.90,0.50,2.65,1.38,1.50,1.54,2.10,2.65,0,0
41,1.58,4.50,3.60,1.68,7.00,0.50,1.30,3.00,0.50,2.60,1.39,1.50,1.52,2.20,2.60,0,0
42,1.60,4.55,3.50,1.70,7.00,0.50,1.29,3.00,0.50,2.55,1.40,1.50,1.50,2.25,2.60,0,0
43,1.61,4.55,3.45,1.71,7.00,0.50,1.29,3.05,0.50,2.50,1.42,1.50,1.48,2.30,2.55,0,0
44,1.62,4.60,3.35,1.73,7.00,0.50,1.28,3.10,0.50,2.45,1.43,1.50,1.46,2.35,2.50,0,0
45,1.64,4.65,3.30,1.75,7.00,0.50,1.27,3.15,0.50,2.40,1.45,1.50,1.44,2.40,2.45,0,0
46,1.53,5.00,3.50,1.61,8.00,0.50,1.22,3.40,0.50,2.65,1.38,1.50,1.49,2.25,2.65,0,0
47,1.55,5.00,3.40,1.63,8.00,0.50,1.21,3.45,0.50,2.60,1.40,1.50,1.47,2.30,2.60,0,0
48,1.57,5.00,3.30,1.64,8.00,0.50,1.21,3.50,0.50,2.50,1.41,1.50,1.45,2.40,2.55,0,0
49,1.58,5.00,3.20,1.66,8.00,0.50,1.20,3.60,0.50,2.45,1.43,1.50,1.42,2.45,2.50,0,0
50,1.60,5.00,3.10,1.68,8.00,0.50,1.19,3.65,0.50,2.40,1.44,1.50,1.41,2.55,2.45,0,0
