min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.43,3.55,7.00,1.50,6.00,0.50,1.62,2.00,1.50,1.62,1.99,1.50,2.40,1.44,3.40,0,0
2,1.43,3.55,7.00,1.50,6.00,0.50,1.62,2.00,1.50,1.62,1.99,1.50,2.40,1.44,3.40,0,0
3,1.49,3.40,6.00,1.58,5.00,0.50,1.62,2.00,1.50,1.51,2.20,1.50,2.20,1.51,3.20,0,0
4,1.49,3.40,6.00,1.58,5.00,0.50,1.62,2.00,1.50,1.51,2.20,1.50,2.20,1.51,3.20,0,0
5,1.49,3.40,6.00,1.58,5.00,0.50,1.62,2.00,1.50,1.51,2.20,1.50,2.20,1.51,3.20,0,0
6,1.49,3.40,6.00,1.59,5.00,0.50,1.61,2.00,1.50,1.50,2.25,1.50,2.15,1.53,3.15,0,0
7,1.50,3.45,6.00,1.59,5.00,0.50,1.60,2.00,1.50,1.49,2.25,1.50,2.10,1.54,3.10,0,0
8,1.50,3.45,5.50,1.60,5.00,0.50,1.59,2.05,1.50,1.48,2.30,1.50,2.10,1.56,3.10,0,0
9,1.51,3.45,5.50,1.61,5.00,0.50,1.58,2.05,1.50,1.46,2.35,1.50,2.05,1.57,3.10,0,0
10,1.51,3.50,5.50,1.62,5.00,0.50,1.57,2.05,1.50,1.45,2.40,1.50,2.00,1.59,3.05,0,0
11,1.52,3.50,5.00,1.63,5.00,0.50,1.56,2.10,1.50,1.44,2.40,1.50,2.00,1.61,3.05,0,0
12,1.52,3.50,5.00,1.63,5.00,0.50,1.55,2.10,1.50,1.43,2.45,1.50,1.98,1.63,3.00,0,0
13,1.53,3.50,5.00,1.64,5.00,0.50,1.54,2.15,1.50,1.42,2.50,1.50,1.95,1.65,3.00,0,0
14,1.53,3.50,5.00,1.65,5.00,0.50,1.53,2.15,1.50,1.41,2.50,1.50,1.93,1.66,2.95,0,0
15,1.54,3.55,5.00,1.66,5.00,0.50,1.52,2.20,1.50,1.40,2.55,1.50,1.89,1.69,2.90,0,0
16,1.55,3.55,4.95,1.66,5.00,0.50,1.51,2.20,1.50,1.39,2.60,1.50,1.87,1.71,2.90,0,0
17,1.55,3.60,4.85,1.67,5.00,0.50,1.50,2.20,1.50,1.38,2.65,1.50,1.84,1.73,2.90,0,0
18,1.56,3.60,4.75,1.68,5.00,0.50,1.50,2.25,1.50,1.37,2.70,1.50,1.82,1.75,2.85,0,0
19,1.57,3.60,4.65,1.69,5.00,0.50,1.49,2.25,1.50,1.36,2.70,1.50,1.79,1.78,2.85,0,0
20,1.57,3.60,4.55,1.70,5.00,0.50,1.48,2.30,1.50,1.35,2.75,1.50,1.76,1.80,2.80,0,0
21,1.58,3.65,4.45,1.71,5.00,0.50,1.47,2.30,1.50,1.34,2.80,1.50,1.74,1.83,2.80,0,0
22,1.59,3.65,4.35,1.72,5.50,0.50,1.46,2.35,0.50,2.80,1.34,1.50,1.72,1.85,2.75,0,0
23,1.60,3.65,4.25,1.74,5.50,0.50,1.45,2.40,0.50,2.80,1.34,1.50,1.69,1.89,2.75,0,0
24,1.60,3.70,4.20,1.74,5.50,0.50,1.44,2.40,0.50,2.75,1.35,1.50,1.67,1.92,2.70,0,0
25,1.61,3.70,4.10,1.76,5.50,0.50,1.44,2.45,0.50,2.70,1.36,1.50,1.65,1.95,2.70,0,0
26,1.62,3.70,4.00,1.76,5.50,0.50,1.43,2.45,0.50,2.65,1.37,1.50,1.62,1.99,2.65,0,0
