min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.60,1.52,12.0,3.90,1.63,1.50,1.78,1.78,0.50,2.40,1.44,1,1,1,3.75,0,0
2,2.60,1.52,12.0,3.90,1.63,1.50,1.78,1.78,0.50,2.40,1.44,1,1,1,3.75,0,0
3,2.60,1.52,12.0,3.90,1.63,1.50,1.78,1.78,0.50,2.40,1.44,1,1,1,3.75,0,0
4,2.60,1.52,12.0,3.90,1.63,1.50,1.78,1.78,0.50,2.40,1.44,1,1,1,3.75,0,0
5,2.60,1.52,12.0,3.90,1.63,1.50,1.78,1.78,0.50,2.40,1.44,1,1,1,3.75,0,0
6,2.65,1.52,12.0,3.90,1.64,1.50,1.76,1.81,0.50,2.40,1.45,1,1,1,3.70,0,0
7,2.65,1.52,11.5,3.90,1.65,1.50,1.74,1.83,0.50,2.35,1.46,1,1,1,3.70,0,0
8,2.65,1.53,11.0,3.90,1.66,1.50,1.72,1.85,0.50,2.30,1.47,1,1,1,3.65,0,0
9,2.65,1.53,11.0,3.90,1.66,1.50,1.70,1.88,0.50,2.30,1.48,1,1,1,3.65,0,0
10,2.65,1.53,10.5,3.90,1.67,1.50,1.68,1.91,0.50,2.25,1.49,1,1,1,3.60,0,0
11,2.65,1.54,10.5,3.90,1.67,1.50,1.66,1.93,0.50,2.25,1.50,1,1,1,3.60,0,0
12,2.70,1.54,10.0,3.90,1.68,1.50,1.64,1.96,0.50,2.20,1.51,1,1,1,3.55,0,0
13,2.70,1.54,10.0,3.90,1.69,1.50,1.62,1.99,0.50,2.20,1.52,1,1,1,3.50,0,0
14,2.70,1.55,9.50,3.90,1.69,1.50,1.61,2.00,0.50,2.15,1.53,1,1,1,3.50,0,0
15,2.70,1.55,9.00,3.90,1.70,1.50,1.59,2.05,0.50,2.15,1.54,1,1,1,3.45,0,0
16,2.70,1.56,9.00,3.90,1.71,1.50,1.57,2.05,0.50,2.10,1.55,1,1,1,3.45,0,0
17,2.70,1.56,9.00,3.95,1.71,1.50,1.56,2.10,0.50,2.10,1.56,1,1,1,3.40,0,0
18,2.70,1.57,8.50,3.90,1.72,1.50,1.54,2.10,0.50,2.05,1.57,1,1,1,3.40,0,0
19,2.10,1.83,9.50,2.80,2.20,1.50,1.42,2.50,0.50,2.70,1.36,1,1,1,3.30,0,0
20,2.10,1.84,9.00,2.80,2.25,1.50,1.40,2.55,0.50,2.70,1.37,1,1,1,3.30,0,0
