min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.52,3.10,8.50,1.63,5.00,0.50,2.00,1.66,1.50,1.73,1.93,1,1,1,3.35,0,0
2,1.52,3.10,8.50,1.63,5.00,0.50,2.00,1.66,1.50,1.73,1.93,1,1,1,3.35,0,0
3,1.52,3.10,8.50,1.63,5.00,0.50,2.00,1.66,1.50,1.73,1.93,1,1,1,3.35,0,0
4,1.52,3.10,8.50,1.63,5.00,0.50,2.00,1.66,1.50,1.73,1.93,1,1,1,3.35,0,0
5,1.52,3.10,8.50,1.63,5.00,0.50,2.00,1.66,1.50,1.73,1.93,1,1,1,3.35,0,0
6,1.53,3.10,8.00,1.64,5.00,0.50,2.00,1.68,1.50,1.71,1.95,1,1,1,3.35,0,0
7,1.53,3.10,8.00,1.64,5.00,0.50,1.99,1.69,1.50,1.69,1.98,1,1,1,3.30,0,0
8,1.53,3.10,8.00,1.65,5.00,0.50,1.96,1.70,1.50,1.67,2.00,1,1,1,3.30,0,0
9,1.54,3.10,8.00,1.66,5.00,0.50,1.94,1.72,1.50,1.65,2.00,1,1,1,3.30,0,0
10,1.54,3.10,7.50,1.66,5.00,0.50,1.93,1.73,1.50,1.64,2.05,1,1,1,3.25,0,0
11,1.55,3.15,7.50,1.67,5.00,0.50,1.91,1.74,1.50,1.62,2.10,1,1,1,3.20,0,0
12,1.55,3.15,7.00,1.68,5.00,0.50,1.89,1.76,1.50,1.61,2.10,1,1,1,3.20,0,0
13,1.56,3.15,7.00,1.68,5.00,0.50,1.87,1.78,1.50,1.59,2.15,1,1,1,3.20,0,0
14,1.56,3.15,7.00,1.69,5.00,0.50,1.85,1.79,1.50,1.58,2.20,1.50,2.45,1.48,3.15,0,0
15,1.57,3.20,6.50,1.70,5.00,0.50,1.84,1.81,1.50,1.56,2.20,1.50,2.40,1.49,3.10,0,0
16,1.57,3.20,6.50,1.71,5.00,0.50,1.82,1.82,1.50,1.55,2.25,1.50,2.35,1.51,3.10,0,0
17,1.58,3.20,6.00,1.72,5.00,0.50,1.80,1.84,1.50,1.53,2.30,1.50,2.30,1.52,3.10,0,0
18,1.58,3.20,6.00,1.73,5.00,0.50,1.79,1.86,1.50,1.52,2.30,1.50,2.30,1.54,3.05,0,0
19,1.59,3.20,6.00,1.73,5.00,0.50,1.77,1.88,1.50,1.51,2.35,1.50,2.25,1.55,3.05,0,0
20,1.55,3.30,6.50,1.67,5.00,0.50,1.75,1.89,1.50,1.56,2.20,1.50,2.30,1.52,3.10,0,0
21,1.48,3.70,6.00,1.56,6.50,0.50,1.62,2.10,1.50,1.61,2.10,1.50,2.30,1.53,3.25,0,0
22,1.49,3.75,6.00,1.56,6.50,0.50,1.60,2.10,1.50,1.59,2.15,1.50,2.25,1.54,3.20,0,0
23,1.49,3.75,6.00,1.58,6.50,0.50,1.59,2.15,1.50,1.58,2.20,1.50,2.20,1.56,3.15,0,0
24,1.50,3.75,5.50,1.58,6.50,0.50,1.58,2.15,1.50,1.56,2.20,1.50,2.15,1.58,3.15,0,0
25,1.51,3.80,5.50,1.59,6.50,0.50,1.57,2.20,1.50,1.54,2.25,1.50,2.10,1.60,3.10,0,0
26,1.51,3.80,5.50,1.60,6.50,0.50,1.56,2.20,1.50,1.53,2.30,1.50,2.10,1.62,3.10,0,0
27,1.52,3.80,5.00,1.61,6.50,0.50,1.55,2.25,1.50,1.51,2.35,1.50,2.05,1.64,3.05,0,0
28,1.52,3.85,5.00,1.62,6.50,0.50,1.54,2.30,1.50,1.50,2.40,1.50,2.00,1.67,3.00,0,0
29,1.53,3.85,5.00,1.63,6.50,0.50,1.53,2.30,1.50,1.49,2.40,1.50,1.98,1.69,3.00,0,0
30,1.54,3.85,5.00,1.64,6.50,0.50,1.52,2.30,1.50,1.47,2.50,1.50,1.94,1.72,2.95,0,0
31,1.55,3.90,4.95,1.65,6.50,0.50,1.51,2.35,1.50,1.46,2.50,1.50,1.91,1.74,2.90,0,0
32,1.55,3.90,4.80,1.66,6.50,0.50,1.50,2.40,1.50,1.44,2.60,1.50,1.87,1.78,2.90,0,0
33,1.56,3.95,4.70,1.68,6.50,0.50,1.49,2.40,1.50,1.43,2.60,1.50,1.84,1.80,2.85,0,0
34,1.57,3.95,4.60,1.69,6.50,0.50,1.48,2.45,1.50,1.42,2.70,1.50,1.80,1.84,2.85,0,0
35,1.57,3.70,4.95,1.70,6.00,0.50,1.54,2.30,1.50,1.44,2.60,1.50,1.90,1.75,2.90,0,0
36,1.58,3.75,4.80,1.71,6.00,0.50,1.53,2.30,1.50,1.42,2.65,1.50,1.86,1.78,2.85,0,0
37,1.59,3.80,4.70,1.72,6.00,0.50,1.51,2.35,1.50,1.41,2.70,1.50,1.83,1.81,2.80,0,0
38,1.60,3.80,4.55,1.73,6.00,0.50,1.50,2.35,1.50,1.40,2.75,1.50,1.80,1.85,2.80,0,0
39,1.61,3.80,4.45,1.75,6.00,0.50,1.49,2.40,1.50,1.38,2.80,1.50,1.76,1.88,2.75,0,0
40,1.62,3.85,4.30,1.76,6.00,0.50,1.48,2.45,1.50,1.37,2.85,1.50,1.73,1.92,2.75,0,0
41,1.63,3.85,4.20,1.77,6.00,0.50,1.47,2.50,0.50,2.90,1.37,1.50,1.70,1.97,2.70,0,0
42,1.64,3.90,4.10,1.79,6.00,0.50,1.46,2.50,0.50,2.80,1.38,1.50,1.67,2.00,2.65,0,0
43,1.65,3.90,4.00,1.81,6.00,0.50,1.45,2.55,0.50,2.75,1.39,1.50,1.65,2.00,2.65,0,0
44,1.67,3.95,3.90,1.82,6.00,0.50,1.44,2.60,0.50,2.70,1.41,1.50,1.62,2.10,2.60,0,0
45,1.68,4.00,3.80,1.85,6.00,0.50,1.43,2.65,0.50,2.65,1.42,1.50,1.59,2.15,2.55,0,0
46,1.70,4.00,3.70,1.86,6.00,0.50,1.42,2.65,0.50,2.60,1.44,1.50,1.57,2.20,2.50,0,0
47,1.71,4.05,3.60,1.88,6.00,0.50,1.41,2.70,0.50,2.55,1.45,1.50,1.54,2.25,2.50,0,0
48,1.73,4.10,3.50,1.90,6.00,0.50,1.40,2.75,0.50,2.50,1.47,1.50,1.52,2.35,2.45,0,0
49,1.75,4.15,3.40,1.92,6.00,0.50,1.39,2.80,0.50,2.40,1.49,1.50,1.50,2.40,2.40,0,0
50,1.77,4.20,3.30,1.95,6.00,0.50,1.37,2.85,0.50,2.35,1.50,1.50,1.47,2.45,2.35,0,0
51,1.79,4.20,3.25,1.97,6.00,0.50,1.36,2.90,0.50,2.30,1.52,1.50,1.45,2.55,2.35,0,0
52,1.81,4.25,3.15,2.00,6.00,0.50,1.35,2.95,0.50,2.25,1.54,1.50,1.43,2.60,2.30,0,0
53,1.84,4.30,3.10,2.00,6.00,0.50,1.34,3.00,0.50,2.20,1.56,1.50,1.41,2.70,2.25,0,0
54,1.89,4.70,2.80,2.05,7.00,0.50,1.28,3.30,0.50,2.10,1.62,0.50,2.80,1.38,2.15,0,0
55,1.92,4.80,2.75,2.10,7.00,0.50,1.27,3.40,0.50,2.05,1.64,0.50,2.75,1.40,2.10,0,0
56,1.94,4.85,2.70,2.10,7.00,0.50,1.26,3.45,0.50,2.00,1.67,0.50,2.70,1.42,2.05,0,0
57,2.00,5.00,2.45,2.15,7.50,0.50,1.21,3.80,0.50,1.91,1.74,0.50,2.45,1.47,1.99,0,0
58,2.10,4.40,2.60,2.30,6.00,0.50,1.29,3.25,0.50,1.87,1.77,0.50,2.60,1.44,2.00,0,0
59,2.10,4.45,2.50,2.35,6.00,0.50,1.28,3.30,0.50,1.84,1.81,0.50,2.50,1.46,1.97,0,0
60,2.15,4.55,2.45,2.40,6.00,0.50,1.27,3.40,0.50,1.80,1.84,0.50,2.45,1.48,1.93,0,0
61,2.20,4.60,2.35,2.45,6.00,0.50,1.26,3.45,0.50,1.76,1.89,0.50,2.35,1.51,1.90,0,0
62,2.25,4.70,2.30,2.50,6.00,0.50,1.25,3.50,0.50,1.73,1.93,0.50,2.30,1.53,1.86,0,0
63,2.30,4.80,2.20,2.50,6.50,0.50,1.23,3.60,0.50,1.69,1.98,0.50,2.20,1.55,1.83,0,0
64,2.35,4.90,2.15,2.60,6.50,0.50,1.22,3.70,0.50,1.66,2.00,0.50,2.15,1.58,1.80,0,0
65,2.40,5.00,2.10,2.60,6.50,0.50,1.21,3.80,0.50,1.63,2.05,0.50,2.10,1.62,1.76,0,0
66,2.45,5.00,2.00,2.70,7.00,0.50,1.19,3.90,0.50,1.60,2.10,0.50,2.00,1.65,1.73,0,0
67,2.50,5.00,1.99,2.75,7.00,0.50,1.18,4.05,0.50,1.57,2.20,0.50,1.99,1.69,1.70,0,0
68,2.60,5.00,1.93,2.80,7.00,0.50,1.17,4.15,0.50,1.55,2.25,0.50,1.93,1.73,1.67,0,0
69,2.75,5.00,1.82,3.00,7.00,0.50,1.16,4.30,0.50,1.49,2.40,0.50,1.82,1.82,1.61,0,0
70,2.80,5.50,1.77,3.05,7.00,0.50,1.14,4.45,0.50,1.46,2.50,0.50,1.77,1.88,1.58,0,0
