min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.45,2.85,13.0,1.52,5.00,0.50,2.55,1.40,1.50,2.30,1.48,1,1,1,3.70,0,0
2,1.45,2.85,13.0,1.52,5.00,0.50,2.55,1.40,1.50,2.30,1.48,1,1,1,3.70,0,0
3,1.45,2.85,13.0,1.52,5.00,0.50,2.55,1.40,1.50,2.30,1.48,1,1,1,3.70,0,0
4,1.45,2.85,13.0,1.52,5.00,0.50,2.55,1.40,1.50,2.30,1.48,1,1,1,3.70,0,0
5,1.45,2.85,13.0,1.52,5.00,0.50,2.55,1.40,1.50,2.30,1.48,1,1,1,3.70,0,0
6,1.45,2.85,13.0,1.52,5.00,0.50,2.55,1.41,1.50,2.25,1.50,1,1,1,3.65,0,0
7,1.45,2.85,12.0,1.53,5.00,0.50,2.50,1.41,1.50,2.20,1.51,1,1,1,3.60,0,0
8,1.45,2.85,12.0,1.53,5.00,0.50,2.50,1.42,1.50,2.15,1.53,1,1,1,3.60,0,0
9,1.46,2.85,12.0,1.54,5.00,0.50,2.45,1.43,1.50,2.10,1.54,1,1,1,3.55,0,0
10,1.46,2.85,11.5,1.12,15.0,0.50,2.40,1.44,2.50,2.10,1.56,3.50,1.98,1.63,5.50,0,1
11,1.46,2.85,11.5,1.15,13.0,0.50,2.50,1.41,2.50,2.00,1.60,3.50,1.97,1.64,5.00,0,1
12,1.46,2.85,11.5,1.15,13.0,0.50,2.50,1.42,2.50,2.00,1.62,3.50,1.93,1.66,5.00,0,1
13,1.46,2.85,11.5,1.15,13.0,0.50,2.45,1.43,2.50,1.97,1.64,3.50,1.89,1.69,5.00,0,1
14,1.46,2.85,11.5,1.15,13.0,0.50,2.45,1.44,2.50,1.94,1.66,3.50,1.86,1.71,5.00,0,1
15,1.46,2.85,11.5,1.02,60.0,0.50,2.50,1.41,3.50,1.97,1.64,4.50,1.93,1.66,10.0,0,2
16,1.46,2.85,11.5,1.02,60.0,0.50,2.50,1.42,3.50,1.94,1.66,4.50,1.89,1.69,10.0,0,2
17,1.46,2.85,11.5,1.02,60.0,0.50,2.45,1.43,3.50,1.91,1.68,4.50,1.85,1.72,10.0,0,2
18,1.46,2.85,11.5,1.02,60.0,0.50,2.40,1.44,3.50,1.88,1.70,4.50,1.82,1.75,10.0,0,2
19,1.46,2.85,11.5,1.02,60.0,0.50,2.40,1.45,3.50,1.85,1.72,4.50,1.79,1.78,10.0,0,2
20,1.46,2.85,11.5,1.02,60.0,0.50,2.35,1.46,3.50,1.82,1.75,4.50,1.75,1.81,10.0,0,2
21,1.46,2.85,11.5,1.02,60.0,0.50,2.30,1.47,3.50,1.79,1.77,4.50,1.72,1.85,10.0,0,2
22,1.46,2.85,11.5,1.02,60.0,0.50,2.30,1.48,3.50,1.76,1.80,4.50,1.69,1.89,10.0,0,2
23,1.46,2.85,11.5,1.02,60.0,0.50,2.25,1.49,3.50,1.74,1.83,4.50,1.66,1.92,10.0,0,2
24,1.46,2.85,11.5,1.02,60.0,0.50,2.20,1.50,3.50,1.71,1.86,4.50,1.63,1.97,10.0,0,2
25,1.46,2.85,11.5,1.02,60.0,0.50,2.20,1.51,3.50,1.69,1.89,4.50,1.61,2.00,10.0,0,2
26,1.46,2.85,11.5,1.02,60.0,0.50,2.15,1.53,3.50,1.66,1.92,4.50,1.58,2.05,10.0,0,2
27,1.46,2.85,11.5,1.02,60.0,0.50,2.15,1.54,3.50,1.64,1.96,4.50,1.56,2.10,10.0,0,2
28,1.46,2.85,11.5,1.02,60.0,0.50,2.10,1.55,3.50,1.62,2.00,4.50,1.54,2.15,10.0,0,2
29,1.46,2.85,11.5,1.02,60.0,0.50,2.10,1.56,3.50,1.60,2.00,4.50,1.52,2.20,10.0,0,2
30,1.46,2.85,11.5,1.02,60.0,0.50,2.05,1.58,3.50,1.58,2.05,4.50,1.50,2.25,10.5,0,2
31,1.46,2.85,11.5,1.02,60.0,0.50,2.00,1.59,3.50,1.56,2.10,4.50,1.48,2.30,10.5,0,2
32,1.46,2.85,11.5,1.02,34.0,0.50,2.00,1.61,3.50,1.54,2.10,4.50,1.46,2.35,10.5,0,2
33,1.46,2.85,11.5,1.02,34.0,0.50,1.99,1.62,3.50,1.52,2.20,4.50,1.44,2.40,10.5,0,2
34,1.46,2.85,11.5,1.02,35.0,0.50,1.96,1.64,3.50,1.50,2.20,3.50,2.50,1.42,10.5,0,2
35,1.46,2.85,11.5,1.02,35.0,0.50,1.93,1.66,3.50,1.49,2.25,3.50,2.45,1.43,10.5,0,2
36,1.46,2.85,11.5,1.02,35.0,0.50,1.90,1.68,3.50,1.47,2.30,3.50,2.40,1.45,10.5,0,2
37,1.46,2.85,11.5,1.02,37.0,0.50,1.88,1.70,3.50,1.45,2.40,3.50,2.30,1.47,10.5,0,2
38,1.46,2.85,11.5,1.02,37.0,0.50,1.85,1.72,3.50,1.44,2.40,3.50,2.25,1.49,10.5,0,2
39,1.46,2.85,11.5,1.02,38.0,0.50,1.82,1.74,3.50,1.42,2.50,3.50,2.20,1.51,11.0,0,2
40,1.46,2.85,11.5,1.02,39.0,0.50,1.80,1.76,3.50,1.41,2.55,3.50,2.15,1.53,11.0,0,2
41,1.46,2.85,11.5,1.02,39.0,0.50,1.77,1.79,3.50,1.39,2.60,3.50,2.10,1.56,11.0,0,2
42,1.46,2.85,11.5,1.02,39.0,0.50,1.75,1.81,3.50,1.38,2.65,3.50,2.05,1.58,11.0,0,2
43,1.46,2.85,11.5,1.16,17.0,1.50,1.73,1.84,3.50,1.36,2.70,4.50,1.99,1.62,4.80,1,2
44,1.46,2.85,11.5,1.15,17.0,1.50,1.71,1.87,3.50,1.35,2.75,4.50,1.94,1.65,4.80,1,2
45,1.46,2.85,11.5,1.16,18.0,1.50,1.69,1.89,3.50,1.34,2.80,4.50,1.90,1.68,4.75,1,2
46,1.46,2.85,11.5,1.16,18.0,1.50,1.66,1.92,2.50,2.80,1.34,4.50,1.85,1.72,4.75,1,2
47,1.46,2.85,11.5,1.16,19.0,1.50,1.65,1.95,2.50,2.75,1.36,4.50,1.82,1.75,4.75,1,2
48,1.46,2.85,11.5,1.15,19.0,1.50,1.62,1.99,2.50,2.65,1.37,4.50,1.76,1.80,4.75,1,2
49,1.46,2.85,11.5,1.15,19.0,1.50,1.60,2.00,2.50,2.60,1.39,4.50,1.72,1.85,4.75,1,2
50,1.46,2.85,11.5,1.15,19.0,1.50,1.58,2.05,2.50,2.55,1.41,4.50,1.68,1.90,4.70,1,2
51,1.46,2.85,11.5,1.15,19.0,1.50,1.56,2.10,2.50,2.50,1.42,4.50,1.64,1.96,4.70,1,2
52,1.46,2.85,11.5,1.14,20.0,1.50,1.55,2.10,2.50,2.40,1.44,4.50,1.61,2.00,4.70,1,2
53,1.46,2.85,11.5,1.14,21.0,1.50,1.53,2.15,2.50,2.35,1.46,4.50,1.58,2.05,4.70,1,2
54,1.46,2.85,11.5,1.14,21.0,1.50,1.51,2.20,2.50,2.30,1.48,4.50,1.55,2.10,4.70,1,2
55,1.46,2.85,11.5,1.14,22.0,1.50,1.50,2.25,2.50,2.25,1.50,4.50,1.52,2.20,4.70,1,2
56,1.46,2.85,11.5,1.14,22.0,1.50,1.48,2.30,2.50,2.20,1.52,4.50,1.49,2.25,4.70,1,2
57,1.46,2.85,11.5,1.13,23.0,1.50,1.46,2.35,2.50,2.15,1.54,4.50,1.47,2.30,4.70,1,2
58,1.46,2.85,11.5,1.14,23.0,1.50,1.45,2.40,2.50,2.10,1.56,4.50,1.44,2.40,4.70,1,2
59,1.46,2.85,11.5,1.13,24.0,1.50,1.43,2.45,2.50,2.05,1.58,4.50,1.42,2.50,4.70,1,2
60,1.46,2.85,11.5,1.13,24.0,1.50,1.42,2.50,2.50,2.00,1.61,4.50,1.40,2.60,4.75,1,2
61,1.46,2.85,11.5,1.13,26.0,1.50,1.40,2.55,2.50,1.96,1.64,4.50,1.37,2.65,4.75,1,2
62,1.46,2.85,11.5,1.12,26.0,1.50,1.39,2.60,2.50,1.91,1.67,4.50,1.35,2.80,4.75,1,2
63,1.46,2.85,11.5,-,-,1.50,1.44,2.45,3.50,1.98,1.63,5.50,1.41,2.50,-,1,3
64,1.46,2.85,11.5,-,-,1.50,1.42,2.50,3.50,1.92,1.66,5.50,1.38,2.65,-,1,3
65,1.46,2.85,11.5,-,-,1.50,1.40,2.55,3.50,1.87,1.70,5.50,1.35,2.75,-,1,3
66,1.46,2.85,11.5,-,-,1.50,1.38,2.60,3.50,1.82,1.75,4.50,2.80,1.34,-,1,3
67,1.46,2.85,11.5,-,-,1.50,1.37,2.70,3.50,1.77,1.79,4.50,2.70,1.36,-,1,3
68,1.46,2.85,11.5,-,-,1.50,1.35,2.75,1,1,1,6.50,1.27,3.10,-,1,4
69,1.46,2.85,11.5,-,-,1.50,1.33,2.85,1,1,1,6.50,1.25,3.25,-,1,4
70,1.46,2.85,11.5,-,-,1.50,1.31,2.95,1,1,1,6.50,1.22,3.40,-,1,4
