min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.22,3.90,20.0,1.16,9.50,0.50,2.00,1.61,2.50,1.76,1.81,3.50,1.63,1.99,6.00,0,0
2,1.22,3.90,20.0,1.16,9.50,0.50,2.00,1.61,2.50,1.76,1.81,3.50,1.63,1.99,6.00,0,0
3,1.22,3.90,20.0,1.02,24.0,0.50,2.00,1.61,3.50,1.76,1.81,4.50,1.63,1.99,12.0,0,1
4,1.22,3.90,20.0,1.02,24.0,0.50,2.00,1.61,3.50,1.76,1.81,4.50,1.63,1.99,12.0,0,1
5,1.22,3.90,20.0,1.02,24.0,0.50,2.00,1.61,3.50,1.76,1.81,4.50,1.63,1.99,12.0,0,1
6,1.22,3.90,20.0,1.02,24.0,0.50,1.99,1.63,3.50,1.73,1.83,4.50,1.60,2.00,12.0,0,1
7,1.22,3.90,20.0,1.02,24.0,0.50,1.97,1.64,3.50,1.71,1.86,4.50,1.58,2.05,12.0,0,1
8,1.22,3.90,20.0,1.02,24.0,0.50,1.94,1.65,3.50,1.68,1.90,4.50,1.56,2.10,12.0,0,1
9,1.22,3.90,20.0,1.02,24.0,0.50,1.92,1.66,3.50,1.66,1.93,4.50,1.54,2.15,12.0,0,1
10,1.22,3.90,20.0,1.02,24.0,0.50,1.90,1.68,3.50,1.63,1.97,4.50,1.51,2.20,12.0,0,1
11,1.22,3.90,20.0,1.02,24.0,0.50,1.88,1.69,3.50,1.61,2.00,4.50,1.50,2.25,12.0,0,1
12,1.22,3.90,20.0,1.02,24.0,0.50,1.87,1.71,3.50,1.60,2.00,4.50,1.48,2.30,12.0,0,1
13,1.22,3.90,20.0,1.02,24.0,0.50,1.85,1.72,3.50,1.57,2.05,3.50,2.30,1.48,12.0,0,1
14,1.22,3.90,20.0,1.02,24.0,0.50,1.83,1.73,3.50,1.55,2.10,3.50,2.25,1.49,12.0,0,1
15,1.22,3.90,20.0,1.02,24.0,0.50,1.81,1.75,3.50,1.53,2.15,3.50,2.20,1.51,11.5,0,1
16,1.22,3.90,20.0,1.02,24.0,0.50,1.80,1.77,3.50,1.52,2.20,3.50,2.15,1.54,11.5,0,1
17,1.22,3.90,20.0,1.02,24.0,0.50,1.78,1.78,3.50,1.50,2.20,3.50,2.10,1.55,11.5,0,1
18,1.22,3.90,20.0,1.02,24.0,0.50,1.76,1.80,3.50,1.49,2.30,3.50,2.05,1.57,11.5,0,1
19,1.22,3.90,20.0,1.02,22.0,0.50,1.83,1.74,3.50,1.47,2.35,3.50,2.05,1.57,11.0,0,1
20,1.22,3.90,20.0,1.02,22.0,0.50,1.81,1.76,3.50,1.45,2.40,3.50,2.00,1.60,10.5,0,1
21,1.22,3.90,20.0,1.03,22.0,0.50,1.79,1.77,3.50,1.44,2.40,3.50,2.00,1.62,10.5,0,1
22,1.22,3.90,20.0,1.03,22.0,0.50,1.77,1.79,2.50,2.50,1.42,3.50,1.95,1.64,10.5,0,1
23,1.22,3.90,20.0,1.03,22.0,0.50,1.76,1.81,2.50,2.40,1.44,3.50,1.91,1.67,10.5,0,1
24,1.22,3.90,20.0,1.03,22.0,0.50,1.74,1.83,2.50,2.40,1.45,3.50,1.87,1.70,10.5,0,1
25,1.22,3.90,20.0,1.03,22.0,0.50,1.72,1.85,2.50,2.30,1.47,3.50,1.83,1.74,10.5,0,1
26,1.22,3.90,20.0,1.03,30.0,0.50,1.58,2.05,2.50,2.15,1.54,3.50,1.65,1.95,9.50,0,1
27,1.22,3.90,20.0,1.03,29.0,0.50,1.57,2.05,2.50,2.10,1.55,3.50,1.62,1.99,9.50,0,1
28,1.22,3.90,20.0,1.03,30.0,0.50,1.56,2.10,2.50,2.05,1.57,3.50,1.60,2.00,9.50,0,1
29,1.22,3.90,20.0,1.03,29.0,0.50,1.54,2.10,2.50,2.00,1.60,3.50,1.57,2.05,9.50,0,1
30,1.22,3.90,20.0,1.03,30.0,0.50,1.53,2.15,2.50,2.00,1.62,3.50,1.55,2.10,9.50,0,1
31,1.22,3.90,20.0,1.03,29.0,0.50,1.55,2.10,2.50,1.99,1.62,3.50,1.55,2.10,9.00,0,1
32,1.22,3.90,20.0,1.03,29.0,0.50,1.54,2.15,2.50,1.95,1.65,3.50,1.53,2.15,9.00,0,1
33,1.22,3.90,20.0,1.03,29.0,0.50,1.53,2.15,2.50,1.91,1.68,3.50,1.50,2.20,9.00,0,1
34,1.22,3.90,20.0,1.03,23.0,0.50,1.58,2.05,2.50,1.94,1.66,3.50,1.55,2.10,9.50,0,1
35,1.22,3.90,20.0,1.03,23.0,0.50,1.57,2.05,2.50,1.90,1.68,3.50,1.52,2.20,9.50,0,1
36,1.22,3.90,20.0,1.03,23.0,0.50,1.55,2.10,2.50,1.85,1.72,3.50,1.50,2.25,9.50,0,1
37,1.22,3.90,20.0,1.03,24.0,0.50,1.54,2.10,2.50,1.82,1.75,3.50,1.48,2.30,9.50,0,1
38,1.22,3.90,20.0,1.03,24.0,0.50,1.53,2.15,2.50,1.78,1.78,3.50,1.46,2.35,9.50,0,1
39,1.22,3.90,20.0,1.03,24.0,0.50,1.52,2.20,2.50,1.75,1.82,3.50,1.43,2.45,9.00,0,1
40,1.22,3.90,20.0,1.03,24.0,0.50,1.50,2.20,2.50,1.72,1.85,1,1,1,9.00,0,1
41,1.22,3.90,20.0,1.03,24.0,0.50,1.49,2.25,2.50,1.68,1.90,1,1,1,9.00,0,1
42,1.22,3.90,20.0,1.03,24.0,0.50,1.48,2.30,2.50,1.66,1.94,1,1,1,9.00,0,1
43,1.22,3.90,20.0,1.03,24.0,0.50,1.47,2.30,2.50,1.63,1.98,1,1,1,9.00,0,1
44,1.22,3.90,20.0,1.43,7.00,1.50,1.46,2.35,2.50,1.60,2.00,3.50,2.20,1.51,3.60,1,1
45,1.22,3.90,20.0,1.44,7.00,1.50,1.45,2.40,2.50,1.58,2.05,3.50,2.15,1.53,3.50,1,1
46,1.22,3.90,20.0,1.45,7.00,1.50,1.43,2.45,2.50,1.55,2.10,3.50,2.10,1.56,3.45,1,1
47,1.22,3.90,20.0,2.65,2.35,2.50,1.39,2.60,2.50,1.55,2.10,4.50,2.05,1.58,3.20,2,1
48,1.22,3.90,20.0,2.70,2.30,2.50,1.38,2.65,2.50,1.52,2.20,4.50,2.00,1.61,3.20,2,1
49,1.22,3.90,20.0,2.55,2.50,2.50,1.34,2.80,2.50,1.56,2.10,4.50,2.00,1.60,3.15,2,1
50,1.22,3.90,20.0,2.60,2.45,2.50,1.32,2.90,2.50,1.53,2.15,4.50,1.96,1.64,3.15,2,1
51,1.22,3.90,20.0,2.70,2.40,2.50,1.31,2.90,2.50,1.51,2.20,4.50,1.91,1.67,3.10,2,1
52,1.22,3.90,20.0,2.75,2.35,2.50,1.30,3.00,2.50,1.49,2.25,4.50,1.86,1.71,3.10,2,1
53,1.22,3.90,20.0,2.80,2.30,2.50,1.29,3.00,2.50,1.46,2.35,4.50,1.81,1.76,3.10,2,1
54,1.22,3.90,20.0,2.90,2.30,2.50,1.28,3.10,2.50,1.44,2.40,4.50,1.76,1.81,3.05,2,1
55,1.22,3.90,20.0,3.35,1.97,2.50,1.41,2.50,2.50,1.37,2.65,4.50,1.77,1.79,3.20,2,1
56,1.22,3.90,20.0,3.40,1.94,2.50,1.40,2.55,2.50,1.36,2.75,4.50,1.72,1.85,3.20,2,1
57,1.22,3.90,20.0,3.50,1.91,2.50,1.39,2.60,2.50,1.34,2.80,4.50,1.68,1.90,3.20,2,1
58,1.22,3.90,20.0,3.55,1.89,2.50,1.42,2.50,2.50,1.34,2.80,4.50,1.73,1.84,3.20,2,1
59,1.22,3.90,20.0,3.60,1.87,2.50,1.41,2.55,1.50,2.80,1.34,4.50,1.68,1.90,3.20,2,1
60,1.22,3.90,20.0,3.75,1.84,2.50,1.39,2.60,1.50,2.70,1.36,4.50,1.64,1.96,3.20,2,1
61,1.22,3.90,20.0,3.85,1.81,2.50,1.38,2.65,1.50,2.65,1.38,4.50,1.60,2.00,3.20,2,1
62,1.22,3.90,20.0,4.00,1.78,2.50,1.36,2.70,1.50,2.55,1.40,4.50,1.56,2.10,3.20,2,1
63,1.22,3.90,20.0,4.10,1.75,2.50,1.35,2.75,1.50,2.50,1.42,4.50,1.52,2.20,3.20,2,1
64,1.22,3.90,20.0,4.25,1.73,2.50,1.33,2.85,1.50,2.40,1.45,4.50,1.49,2.25,3.20,2,1
65,1.22,3.90,20.0,4.40,1.70,2.50,1.31,2.90,1.50,2.30,1.47,4.50,1.45,2.40,3.20,2,1
