min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.78,2.15,10.0,2.15,3.00,1.50,1.38,2.65,1.50,1.56,2.10,1,1,1,3.10,0,0
2,1.78,2.15,10.0,2.15,3.00,1.50,1.38,2.65,1.50,1.56,2.10,1,1,1,3.10,0,0
3,1.78,2.15,10.0,2.15,3.00,1.50,1.38,2.65,1.50,1.56,2.10,1,1,1,3.10,0,0
4,1.78,2.15,10.0,2.15,3.00,1.50,1.38,2.65,1.50,1.56,2.10,1,1,1,3.10,0,0
5,1.78,2.15,10.0,2.15,3.00,1.50,1.38,2.65,1.50,1.56,2.10,1,1,1,3.10,0,0
6,1.78,2.15,9.50,2.20,3.00,1.50,1.37,2.70,1.50,1.55,2.10,1,1,1,3.10,0,0
7,1.79,2.20,9.50,2.20,3.00,1.50,1.36,2.70,1.50,1.53,2.15,1,1,1,3.10,0,0
8,1.83,2.25,7.50,2.25,3.05,0.50,2.60,1.38,1.50,1.43,2.45,1,1,1,2.90,0,0
9,1.84,2.25,7.50,2.30,3.05,0.50,2.60,1.39,1.50,1.42,2.50,1,1,1,2.90,0,0
10,1.85,2.25,7.00,2.30,3.10,0.50,2.55,1.40,1.50,1.41,2.50,1,1,1,2.90,0,0
11,1.85,2.25,7.00,2.30,3.10,0.50,2.50,1.41,1.50,1.40,2.60,1,1,1,2.90,0,0
12,1.86,2.25,7.00,2.30,3.10,0.50,2.50,1.42,1.50,1.39,2.60,1,1,1,2.85,0,0
13,1.87,2.30,7.00,2.30,3.10,0.50,2.45,1.43,1.50,1.38,2.65,1,1,1,2.85,0,0
14,1.87,2.30,6.50,2.30,3.10,0.50,2.45,1.44,1.50,1.37,2.70,1,1,1,2.80,0,0
15,1.88,2.30,6.50,2.30,3.10,0.50,2.40,1.45,1.50,1.36,2.70,1.50,2.40,1.45,2.80,0,0
16,1.72,2.50,7.00,2.00,3.60,0.50,2.25,1.49,1.50,1.45,2.40,1,1,1,2.90,0,0
17,1.73,2.50,7.00,2.00,3.60,0.50,2.25,1.50,1.50,1.44,2.40,1,1,1,2.90,0,0
18,1.73,2.50,6.50,2.05,3.60,0.50,2.20,1.51,1.50,1.43,2.45,1.50,2.40,1.44,2.85,0,0
19,1.81,2.40,6.50,2.20,3.35,0.50,2.30,1.48,1.50,1.38,2.60,1.50,2.35,1.46,2.80,0,0
20,1.82,2.40,6.00,2.20,3.35,0.50,2.25,1.49,1.50,1.37,2.70,1.50,2.30,1.47,2.80,0,0
21,1.82,2.40,6.50,2.20,3.30,0.50,2.30,1.47,1.50,1.38,2.60,1.50,2.40,1.45,2.80,0,0
22,1.83,2.40,6.00,2.20,3.30,0.50,2.30,1.48,1.50,1.37,2.70,1.50,2.35,1.46,2.80,0,0
23,1.84,2.40,6.00,2.20,3.30,0.50,2.25,1.49,1.50,1.36,2.70,1.50,2.30,1.48,2.80,0,0
24,1.85,2.40,6.00,2.25,3.30,0.50,2.20,1.50,1.50,1.35,2.75,1.50,2.25,1.49,2.75,0,0
25,1.85,2.40,6.00,2.25,3.30,0.50,2.20,1.51,1.50,1.34,2.80,1.50,2.20,1.51,2.75,0,0
26,1.86,2.40,5.50,2.25,3.35,0.50,2.15,1.53,0.50,2.80,1.34,1.50,2.15,1.53,2.70,0,0
27,1.87,2.45,5.50,2.30,3.35,0.50,2.15,1.54,0.50,2.80,1.35,1.50,2.10,1.55,2.70,0,0
28,1.88,2.45,5.50,2.30,3.35,0.50,2.10,1.55,0.50,2.75,1.35,1.50,2.10,1.56,2.70,0,0
29,1.89,2.45,5.00,2.30,3.40,0.50,2.10,1.56,0.50,2.70,1.37,1.50,2.05,1.58,2.65,0,0
30,1.90,2.50,5.00,2.30,3.40,0.50,2.05,1.58,0.50,2.65,1.38,1.50,2.00,1.61,2.65,0,0
31,1.92,2.50,5.00,2.30,3.40,0.50,2.00,1.59,0.50,2.60,1.39,1.50,1.97,1.63,2.60,0,0
32,1.93,2.50,5.00,2.35,3.40,0.50,2.00,1.61,0.50,2.55,1.40,1.50,1.93,1.66,2.60,0,0
33,1.94,2.50,4.90,1.28,11.5,0.50,1.99,1.62,1.50,2.50,1.41,1,1,1,4.00,0,1
34,1.94,2.50,4.90,1.28,11.5,0.50,1.96,1.64,1.50,2.50,1.42,1,1,1,4.00,0,1
35,1.94,2.50,4.90,1.28,12.0,0.50,1.93,1.66,1.50,2.45,1.44,1,1,1,3.95,0,1
36,1.94,2.50,4.90,1.28,12.0,0.50,1.90,1.68,1.50,2.40,1.45,1,1,1,3.95,0,1
37,1.94,2.50,4.90,1.02,60.0,0.50,1.88,1.70,2.50,2.35,1.46,3.50,1.80,1.76,9.00,0,2
38,1.94,2.50,4.90,1.02,60.0,0.50,1.85,1.72,2.50,2.30,1.48,3.50,1.77,1.80,9.00,0,2
39,1.94,2.50,4.90,1.02,60.0,0.50,1.82,1.74,2.50,2.25,1.49,3.50,1.73,1.83,9.00,0,2
40,1.94,2.50,4.90,1.02,60.0,0.50,1.80,1.76,2.50,2.20,1.50,3.50,1.70,1.87,9.00,0,2
41,1.94,2.50,4.90,1.02,60.0,0.50,1.77,1.79,2.50,2.20,1.52,3.50,1.67,1.91,9.50,0,2
42,1.94,2.50,4.90,1.02,60.0,0.50,1.75,1.81,2.50,2.15,1.53,3.50,1.64,1.96,9.50,0,2
43,1.94,2.50,4.90,1.02,27.0,0.50,1.90,1.68,2.50,2.10,1.55,3.50,1.71,1.87,11.5,0,2
44,1.94,2.50,4.90,1.02,28.0,0.50,1.87,1.70,2.50,2.10,1.57,3.50,1.68,1.91,12.0,0,2
45,1.94,2.50,4.90,1.02,28.0,0.50,1.84,1.73,2.50,2.05,1.58,3.50,1.64,1.96,12.0,0,2
46,1.94,2.50,4.90,1.02,30.0,0.50,1.81,1.75,2.50,2.00,1.60,3.50,1.61,2.00,12.0,0,2
47,1.94,2.50,4.90,1.02,30.0,0.50,1.79,1.78,2.50,1.99,1.62,3.50,1.59,2.05,12.0,0,2
48,1.94,2.50,4.90,1.02,31.0,0.50,1.76,1.81,2.50,1.95,1.65,3.50,1.56,2.10,12.0,0,2
49,1.94,2.50,4.90,1.02,32.0,0.50,1.73,1.84,2.50,1.91,1.67,3.50,1.53,2.15,12.0,0,2
50,1.94,2.50,4.90,1.02,32.0,0.50,1.70,1.87,2.50,1.88,1.70,3.50,1.51,2.20,13.0,0,2
51,1.94,2.50,4.90,1.02,34.0,0.50,1.68,1.90,2.50,1.85,1.72,3.50,1.48,2.30,13.0,0,2
52,1.94,2.50,4.90,1.02,36.0,0.50,1.66,1.94,2.50,1.81,1.75,3.50,1.46,2.35,13.0,0,2
53,1.94,2.50,4.90,-,-,0.50,1.63,1.97,3.50,1.78,1.78,4.50,1.44,2.40,-,0,3
54,1.94,2.50,4.90,-,-,0.50,1.68,1.90,3.50,1.68,1.90,4.50,1.42,2.50,-,0,3
55,1.94,2.50,4.90,-,-,0.50,1.66,1.93,3.50,1.66,1.93,4.50,1.40,2.55,-,0,3
56,1.94,2.50,4.90,-,-,0.50,1.63,1.97,3.50,1.63,1.97,4.50,1.38,2.65,-,0,3
57,1.94,2.50,4.90,-,-,0.50,1.61,2.00,3.50,1.61,2.00,4.50,1.36,2.70,-,0,3
58,1.94,2.50,4.90,-,-,0.50,1.59,2.05,3.50,1.59,2.05,4.50,1.34,2.80,-,0,3
59,1.94,2.50,4.90,-,-,0.50,1.56,2.10,3.50,1.56,2.10,3.50,2.80,1.35,-,0,3
