min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.57,2.60,9.50,1.75,3.95,0.50,2.40,1.45,1.50,1.68,1.90,1,1,1,3.25,0,0
4,1.57,2.60,9.50,1.75,3.95,0.50,2.40,1.45,1.50,1.68,1.90,1,1,1,3.25,0,0
5,1.57,2.60,9.50,1.75,3.95,0.50,2.40,1.45,1.50,1.68,1.90,1,1,1,3.25,0,0
6,1.58,2.60,9.00,1.76,3.95,0.50,2.35,1.46,1.50,1.66,1.92,1,1,1,3.25,0,0
7,1.58,2.65,9.00,1.77,4.00,0.50,2.30,1.47,1.50,1.65,1.95,1,1,1,3.20,0,0
8,1.59,2.65,9.00,1.77,4.00,0.50,2.30,1.48,1.50,1.63,1.98,1,1,1,3.20,0,0
9,1.59,2.65,8.50,1.78,4.00,0.50,2.25,1.49,1.50,1.61,2.00,1,1,1,3.15,0,0
10,1.59,2.65,8.50,1.79,4.00,0.50,2.25,1.50,1.50,1.60,2.00,1,1,1,3.15,0,0
11,1.60,2.65,8.00,1.79,4.00,0.50,2.20,1.50,1.50,1.58,2.05,1,1,1,3.10,0,0
12,1.60,2.65,8.00,1.80,4.00,0.50,2.20,1.51,1.50,1.57,2.10,1,1,1,3.10,0,0
13,1.61,2.70,8.00,1.81,4.00,0.50,2.15,1.53,1.50,1.55,2.10,1,1,1,3.10,0,0
14,1.61,2.70,7.50,1.82,4.00,0.50,2.15,1.53,1.50,1.53,2.15,1,1,1,3.05,0,0
15,1.62,2.70,7.50,1.83,4.00,0.50,2.10,1.55,1.50,1.52,2.20,1,1,1,3.05,0,0
16,1.62,2.70,7.00,1.83,4.00,0.50,2.10,1.56,1.50,1.51,2.20,1,1,1,3.00,0,0
17,1.63,2.70,7.00,1.85,4.00,0.50,2.05,1.57,1.50,1.49,2.25,1,1,1,3.00,0,0
18,1.63,2.70,7.00,1.85,4.00,0.50,2.05,1.58,1.50,1.48,2.30,1,1,1,3.00,0,0
19,1.64,2.70,6.50,1.87,4.00,0.50,2.00,1.59,1.50,1.47,2.30,1.50,2.40,1.44,2.95,0,0
20,1.64,2.75,6.50,1.88,4.00,0.50,2.00,1.60,1.50,1.46,2.35,1.50,2.35,1.46,2.95,0,0
21,1.65,2.75,6.00,1.89,4.00,0.50,2.00,1.62,1.50,1.44,2.40,1.50,2.30,1.47,2.90,0,0
22,1.66,2.75,6.00,1.90,4.00,0.50,1.98,1.63,1.50,1.43,2.45,1.50,2.30,1.49,2.90,0,0
23,1.67,2.80,6.00,1.91,4.00,0.50,1.95,1.65,1.50,1.42,2.50,1.50,2.20,1.50,2.90,0,0
24,1.67,2.80,6.00,1.92,4.00,0.50,1.92,1.66,1.50,1.41,2.55,1.50,2.20,1.52,2.85,0,0
25,1.68,2.80,5.50,1.93,4.05,0.50,1.90,1.68,1.50,1.40,2.60,1.50,2.15,1.54,2.80,0,0
26,1.69,2.80,5.50,1.94,4.05,0.50,1.88,1.70,1.50,1.38,2.60,1.50,2.10,1.56,2.80,0,0
27,1.69,2.80,5.50,1.95,4.05,0.50,1.86,1.71,1.50,1.37,2.65,1.50,2.05,1.58,2.80,0,0
28,1.70,2.80,5.00,1.96,4.05,0.50,1.84,1.73,1.50,1.36,2.70,1.50,2.00,1.60,2.75,0,0
29,1.71,2.85,5.00,1.97,4.10,0.50,1.82,1.75,1.50,1.35,2.75,1.50,2.00,1.62,2.75,0,0
30,1.72,2.85,5.00,1.99,4.10,0.50,1.80,1.77,1.50,1.34,2.80,1.50,1.96,1.64,2.70,0,0
31,1.73,2.90,5.00,2.00,4.10,0.50,1.77,1.79,0.50,2.80,1.34,1.50,1.92,1.66,2.70,0,0
