min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.37,3.20,14.0,1.39,6.00,0.50,2.25,1.50,2.50,1.43,2.45,1,1,1,4.10,0,0
2,1.37,3.20,14.0,1.39,6.00,0.50,2.25,1.50,2.50,1.43,2.45,1,1,1,4.10,0,0
3,1.37,3.20,14.0,1.39,6.00,0.50,2.25,1.50,2.50,1.43,2.45,1,1,1,4.10,0,0
4,1.41,2.95,14.0,1.45,5.00,0.50,2.45,1.43,1.50,2.40,1.45,1,1,1,3.95,0,0
5,1.41,2.95,14.0,1.45,5.00,0.50,2.45,1.43,1.50,2.40,1.45,1,1,1,3.95,0,0
6,1.41,2.95,14.0,1.46,5.00,0.50,2.45,1.44,1.50,2.35,1.46,1,1,1,3.90,0,0
7,1.42,2.95,13.0,1.46,5.00,0.50,2.40,1.45,1.50,2.30,1.47,1,1,1,3.90,0,0
8,1.42,2.95,13.0,1.47,5.00,0.50,2.40,1.45,1.50,2.25,1.49,1,1,1,3.85,0,0
9,1.42,2.95,13.0,1.48,5.00,0.50,2.35,1.46,1.50,2.20,1.50,1,1,1,3.85,0,0
10,1.42,2.95,13.0,1.48,5.00,0.50,2.30,1.47,1.50,2.20,1.52,1,1,1,3.80,0,0
11,1.42,3.00,12.0,1.49,5.00,0.50,2.30,1.48,1.50,2.15,1.53,1,1,1,3.80,0,0
12,1.43,3.00,12.0,1.49,5.00,0.50,2.25,1.49,1.50,2.10,1.55,1,1,1,3.75,0,0
13,1.43,3.00,12.0,1.50,5.00,0.50,2.25,1.50,1.50,2.10,1.56,1,1,1,3.70,0,0
14,1.43,3.00,11.5,1.50,5.00,0.50,2.20,1.51,1.50,2.05,1.58,1,1,1,3.70,0,0
15,1.44,3.00,11.0,1.50,5.00,0.50,2.20,1.52,1.50,2.00,1.60,1,1,1,3.65,0,0
16,1.44,3.00,11.0,1.51,5.00,0.50,2.15,1.53,1.50,2.00,1.62,1,1,1,3.65,0,0
17,1.44,3.00,11.0,1.52,5.00,0.50,2.10,1.54,1.50,1.97,1.64,1,1,1,3.60,0,0
18,1.44,3.00,10.5,1.52,5.00,0.50,2.10,1.55,1.50,1.94,1.66,1,1,1,3.60,0,0
19,1.45,3.00,10.0,1.53,5.00,0.50,2.10,1.56,1.50,1.90,1.68,1,1,1,3.55,0,0
20,1.45,3.05,10.0,1.53,5.00,0.50,2.05,1.58,1.50,1.87,1.70,1,1,1,3.50,0,0
21,1.46,3.05,9.50,1.54,5.00,0.50,2.05,1.59,1.50,1.84,1.73,1,1,1,3.50,0,0
22,1.46,3.05,9.50,1.09,16.0,0.50,2.00,1.60,2.50,1.81,1.75,3.50,1.63,1.98,6.00,0,1
23,1.46,3.05,9.50,1.11,14.0,0.50,2.25,1.49,2.50,1.94,1.66,3.50,1.80,1.76,6.00,0,1
24,1.46,3.05,9.50,1.11,14.0,0.50,2.20,1.50,2.50,1.91,1.68,3.50,1.77,1.79,6.00,0,1
25,1.46,3.05,9.50,1.11,14.0,0.50,2.20,1.51,2.50,1.87,1.70,3.50,1.73,1.83,5.50,0,1
26,1.46,3.05,9.50,1.11,15.0,0.50,2.15,1.53,2.50,1.84,1.73,3.50,1.70,1.88,5.50,0,1
27,1.46,3.05,9.50,1.11,14.0,0.50,2.15,1.54,2.50,1.81,1.76,3.50,1.67,1.92,5.50,0,1
28,1.46,3.05,9.50,1.11,15.0,0.50,2.10,1.55,2.50,1.77,1.79,3.50,1.64,1.96,5.50,0,1
29,1.46,3.05,9.50,1.12,15.0,0.50,2.10,1.56,2.50,1.75,1.82,3.50,1.62,2.00,5.50,0,1
30,1.46,3.05,9.50,1.12,15.0,0.50,2.05,1.58,2.50,1.72,1.85,3.50,1.59,2.00,5.50,0,1
31,1.46,3.05,9.50,1.12,15.0,0.50,2.00,1.59,2.50,1.69,1.88,3.50,1.57,2.10,5.50,0,1
32,1.46,3.05,9.50,1.12,15.0,0.50,2.00,1.61,2.50,1.67,1.92,3.50,1.54,2.10,5.50,0,1
33,1.46,3.05,9.50,1.12,15.0,0.50,1.99,1.62,2.50,1.64,1.96,3.50,1.52,2.20,5.50,0,1
34,1.46,3.05,9.50,1.12,15.0,0.50,1.96,1.64,2.50,1.62,2.00,3.50,1.50,2.25,5.50,0,1
35,1.46,3.05,9.50,1.12,15.0,0.50,1.93,1.66,2.50,1.60,2.00,3.50,1.47,2.30,5.50,0,1
36,1.46,3.05,9.50,1.12,16.0,0.50,1.90,1.68,2.50,1.57,2.05,3.50,1.45,2.40,5.50,0,1
37,1.46,3.05,9.50,1.11,16.0,0.50,1.88,1.70,2.50,1.55,2.10,3.50,1.43,2.45,5.50,0,1
38,1.46,3.05,9.50,1.12,16.0,0.50,1.85,1.72,2.50,1.53,2.15,1,1,1,5.50,0,1
39,1.46,3.05,9.50,1.12,16.0,0.50,1.82,1.74,2.50,1.51,2.20,1,1,1,5.50,0,1
40,1.46,3.05,9.50,1.12,16.0,0.50,1.80,1.76,2.50,1.49,2.25,1,1,1,5.00,0,1
41,1.46,3.05,9.50,1.09,13.0,0.50,1.77,1.79,2.50,1.48,2.30,1,1,1,6.50,0,1
42,1.46,3.05,9.50,1.10,13.0,0.50,1.75,1.81,2.50,1.46,2.35,1,1,1,6.50,0,1
43,1.46,3.05,9.50,1.10,14.0,0.50,1.73,1.84,2.50,1.44,2.40,1,1,1,6.50,0,1
44,1.46,3.05,9.50,1.10,14.0,0.50,1.71,1.87,2.50,1.42,2.50,1,1,1,6.50,0,1
45,1.46,3.05,9.50,1.10,14.0,0.50,1.69,1.89,2.50,1.41,2.50,1,1,1,6.50,0,1
46,1.46,3.05,9.50,1.09,14.0,0.50,1.66,1.92,2.50,1.39,2.60,1,1,1,6.50,0,1
47,1.46,3.05,9.50,1.10,14.0,0.50,1.65,1.95,2.50,1.37,2.65,1,1,1,6.50,0,1
48,1.46,3.05,9.50,1.09,15.0,0.50,1.62,1.99,2.50,1.36,2.70,1,1,1,6.50,0,1
49,1.46,3.05,9.50,1.10,15.0,0.50,1.60,2.00,2.50,1.34,2.80,1,1,1,6.50,0,1
50,1.46,3.05,9.50,1.09,15.0,0.50,1.58,2.05,1.50,2.80,1.34,1,1,1,6.50,0,1
51,1.46,3.05,9.50,1.09,15.0,0.50,1.56,2.10,1.50,2.75,1.35,1,1,1,6.50,0,1
52,1.46,3.05,9.50,1.09,15.0,0.50,1.55,2.10,1.50,2.70,1.37,1,1,1,6.00,0,1
53,1.46,3.05,9.50,1.09,15.0,0.50,1.53,2.15,1.50,2.60,1.39,1,1,1,6.00,0,1
54,1.46,3.05,9.50,1.09,16.0,0.50,1.51,2.20,1.50,2.55,1.40,1,1,1,6.00,0,1
55,1.46,3.05,9.50,1.09,16.0,0.50,1.50,2.25,1.50,2.50,1.42,1,1,1,6.00,0,1
56,1.46,3.05,9.50,1.09,16.0,0.50,1.48,2.30,1.50,2.40,1.44,1,1,1,6.00,0,1
57,1.46,3.05,9.50,1.08,16.0,0.50,1.46,2.35,1.50,2.35,1.46,1,1,1,6.00,0,1
58,1.46,3.05,9.50,1.08,16.0,0.50,1.45,2.40,1.50,2.30,1.48,1,1,1,6.00,0,1
59,1.46,3.05,9.50,1.08,17.0,0.50,1.43,2.45,1.50,2.20,1.50,1,1,1,6.00,0,1
60,1,1,1,1.08,17.0,0.50,1.42,2.50,1.50,2.15,1.53,1,1,1,6.00,0,1
61,1.46,3.05,9.50,1.08,18.0,0.50,1.40,2.55,1.50,2.10,1.55,1,1,1,6.00,0,1
62,1.46,3.05,9.50,1.08,18.0,0.50,1.39,2.60,1.50,2.05,1.58,1,1,1,6.00,0,1
63,1.46,3.05,9.50,1.08,18.0,0.50,1.37,2.70,1.50,2.00,1.61,1,1,1,6.00,0,1
64,1.46,3.05,9.50,1.08,19.0,0.50,1.36,2.75,1.50,1.97,1.64,1,1,1,6.00,0,1
65,1.46,3.05,9.50,1.07,19.0,0.50,1.34,2.80,1.50,1.91,1.68,1.50,2.80,1.34,6.50,0,1
66,1.46,3.05,9.50,1.07,20.0,0.50,1.32,2.90,1.50,1.85,1.72,1.50,2.70,1.36,6.50,0,1
67,1.46,3.05,9.50,1.07,20.0,0.50,1.30,3.00,1.50,1.81,1.76,1.50,2.60,1.38,6.50,0,1
68,1.46,3.05,9.50,1.06,21.0,0.50,1.29,3.05,1.50,1.76,1.81,1.50,2.50,1.41,6.50,0,1
69,1.46,3.05,9.50,1.05,24.0,0.50,1.21,3.50,1.50,1.64,1.96,1.50,2.20,1.50,7.00,0,1
70,1.46,3.05,9.50,1.05,24.0,0.50,1.19,3.60,1.50,1.60,2.00,1.50,2.15,1.54,7.00,0,1
71,1.46,3.05,9.50,1.04,25.0,0.50,1.18,3.70,1.50,1.57,2.05,1.50,2.05,1.57,7.00,0,1
72,1.46,3.05,9.50,1.04,26.0,0.50,1.16,3.85,1.50,1.53,2.15,1.50,2.00,1.62,7.50,0,1
73,1.46,3.05,9.50,1.04,27.0,0.50,1.15,4.00,1.50,1.50,2.20,1.50,1.93,1.66,7.50,0,1
74,1.46,3.05,9.50,1.04,27.0,0.50,1.13,4.15,1.50,1.48,2.30,1.50,1.86,1.71,8.00,0,1
75,1.46,3.05,9.50,1.03,28.0,0.50,1.12,4.30,1.50,1.45,2.40,1.50,1.79,1.77,8.00,0,1
